11:17:001:1	Iiláíjah éí, Doo nahałtin da dooleeł, dííniid
11:17:012:0	Nít'éé' ání, Ts'ídá t'áá aaníí Bóhólníihii niDiyin God hiná; ákót'éego ts'ídá t'áá aaníí łees'áán shee ádin, nidi ak'áán yílá bee haajaa' bíighahgo t'éiyá tóshjeeh yázhí bii', ak'ah ałdó' áłch' į́į́dí tóshjeeh yázhí bii'; jó, chizh naakigo náháshłááh, áko yah adeesháałgo łees'áán ádeeshłííł; shiyáázh áádóó shí éí diidį́įłgo áádóó díníi'nééł. 
11:17:013:0	Áko Iiláíjah áhodííniid, T'áadoo nił yé'í; nílááh, t'áá ádííníniidígi ánínééh, nidi shí áłtsé łees'áán áłts'íísígo shá ádíílíiłgo shaa díí'ááł, áko índa niyáázh bił átsą́ ádi'doołnííł. 
11:17:014:0	Háálá Bóhólníihii Ízrel biDiyin God kóní, Bóhólníihii éí nihokáá'góó nahałtingo ánáyiidlaajį' tóshjeeh yázhí bii' ak'áán doo ádoodįįł da, tóshjeeh yázhí bii' ak'ah nidi doo ádoodįįł da. 
11:17:015:0	Áádóó dashdiiyáago Iiláíjah t'áá ádííniidígíí bik'ehgo ádziidzaa, áko hó áádóó Iiláíjah índa haghangi nída'jidį́įhgo lą'í yiską́. 
11:17:016:0	Áko Bóhólníihii éí Iiláíjah yich'į' yee haadzí'ígíí bik'ehgo tóshjeeh yázhí bii' ak'áán t'áadoo ásdįįd da, ak'ah nidi t'áadoo bi'oh silį́į' da. 
11:17:017:0	Nít'éé' kódahóót'įįdóó asdzání bighangi biyáázh bitah honiigai, áko bitah honiigaígíí yéego ádzaago doo nídídzih da silį́į́'. 
11:17:018:0	Áko Iiláíjah ábijiní, Diyin God bits'ą́ą́dóó diné nílíinii, haashą' nideeshłííł? Da' t'óósh ádi ł ni'iiyésíí' yę́ę béédeeshnihgo índa shiyáázh diyííłhéełgo biniyé shéíníyá? 
11:17:019:0	Áko Iiláíjah áháłní, Niyáázh shaa níłteeh. Áádóó ádíjóltą'dóó néidiiłtį́įgo wódahdi jinitéhí góde hadzistį́įgo hatsásk'eh bikáá' nizhníłtį́. 
11:17:020:0	Áádóó Bóhólníihii bich'į' ázhdííniidgo ájíní, Bóhólníihii shiDiyin God nílíinii, da' asdzání bąąh áhásdįįdii baa ałk'ee sédáhígíísh ałdó' doo yá'át'éhígi ádíílíiłgo biyáázh síníłhį́? 
11:17:021:0	Áko ashkii bikáa'jį' tsé'yaa názhnítéehgo táadi azlį́į'go Bóhólníihii bich'į' ázhdííniidgo ájíní, Bóhólníihii shiDiyin God, nánooshkąąh, díí ashkii bii' sizíinii biih nídoodáałgo bee ba'di'ní'aah. 
11:17:022:0	Nít'éé' Bóhólníihii éí Iiláíjah biinéé' yidiizts'ą́ą'go ashkii bii' sizíinii biih náádzáago hinááh násdlį́į́'. 
11:17:023:0	Áádóó Iiláíjah éí ashkii néidiiłtį́įgo jinitéhídę́ę́' bidáájííłtį́įgo wóne'é bimá baazhníłtį́, áko Iiláíjah ání, Shoo, niyáázh hiná. 
11:17:024:0	Nít'éé' asdzání éí Iiláíjah ííłní, K'ad díí lą́ą bee Diyin God bíí' nílį́įgo áádóó Bóhólníihii bizaad bee yáníłti'ígíí éí t'áá aaníinii át'éego shił bééhoozin.
