11:9:001:1	Bóhólníihii éí Sálaman naakidi yaa honíle'
11:9:014:0	Íídą́ą́' Háíram éí aláahgo naat'áanii óola t'ááłáhídi neeznádiindóó ba'aan naadiin tálent bíighahgo yich'į' áyiilaa. 
11:9:015:0	Aláahgo naat'áanii Sálaman éí Bóhólníihii bikin bii' sohodizin áádóó t'áá bí bighan áádóó Míllo hoolyéii áádóó Jerúsalem ditą́ągo binaa ahéé'ítł'inígíí áádóó Héízar áádóó Megído índa Gíízer kin hadaas'áii ádadoolnííł biniyé naanish bí'nílchéehii yihodeez'ą́. 
11:9:016:0	Háálá bítséédą́ą́' Ííjip dine'é aláahgo binanit'a'í Féro éí Gíízer kin haal'áii yisnáago yidííłid áádóó Kéínan dine'é ákwii kéédahat'ínígíí neistseedgo kin haal'áhígíí a'ílyé biniyé bitsi' Sálaman be'asdzą́ą́ yeidiní'ą́. 
11:9:017:0	Sálaman éí Gíízer kin haal'áii áádóó Beth-hóran wóyahdi kin haal'áii náhóółbį'. 
11:9:018:0	Júdah kéyahgi halgaidi Béíyalath índa Tádmor kin haal'áii ałdó' áyiilaa, 
11:9:019:0	áádóó Sálaman éí kin hadaas'áhígíí bii' nooh nída'achíhígíí índa tsindaabąąs bijáád naakiígíí biih nídaabąsígíí áádóó łį́į́' bee nida'abaahii dabighan índa Jerúsalemgi áádóó Lébanangi índa kéyah bee hóhólníhígíí t'áá jinízingóó ákǫ́ǫ́ yá dahasbį'. 
11:9:020:0	Áko Ámor dine'é áádóó Het dine'é áádóó Píírez dine'é áádóó Háíva dine'é índa Jííbas dine'é t'áá ałtso daadzí'ígíí doo Ízrel dine'é danilį́į dago 
11:9:021:0	éí bada'áłchíní díí kéyah biyi' daadzí'ígíí ałtso Ízrel dine'é nidabidoołtsiłgi t'áadoo yídanéés'ąąd daígíí Sálaman hanaalte' danilį́į dooleełgo ádá nízhdiinil, áádóó díí jį́į́góó ákót'é. 
11:9:022:0	Áko Sálaman éí Ízrel dine'é t'áadoo binaalte' áyiilaa da, nidi diné nidaabaahii áádóó bá nidaal'a'í, naat'áanii, siláo yindanit'a'í índa tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii yee bídahólníihii danilį́įgo niinínil. 
11:9:023:0	Díí Sálaman binaanish naat'i'gi aląąjį' naazį́įgo bídahólnííh nít'éé'; éí ashdladi neeznádiindóó ba'aan ashdladiin ánéelą́ą'go diné nidaalnishígíí yindant'áá nít'éé'. 
11:9:024:0	Féro bitsi' éí David bikin haal'áádę́ę́' níyáago Sálaman kin há áyiilaii biih jíínáádóó bik'ijį' índa Míllo hoolyéii áyiilaa. 
11:9:025:0	Áádóó Sálaman éí Bóhólníihii bich'į' bikáá' náá'iiniihí ájiilaaígi bikáá'dóó didlidgo nááhániihii áádóó hózhǫ́ǫ́jí nááhániihii táadi náájiilnih t'ááłá'í nínáhahjį' áádóó Bóhólníihii binááł bikáá' náá'iiniihí bikáá' didlidgo łikání halchin nízhdíłi'. Kót'éego kin ałtso ájiilaa. 
11:9:026:0	Íídam kéyahdi Tónteel Łichíí' bibąąhgóó Íílath bíighahgi Ííziyan-gííbergi aláahgo naat'áanii Sálaman éí tsinaa'eeł lą'í ádayiilaa. 
11:9:027:0	Áádóó Háíram bá nidaal'a'í éí tónteel bikáá' na'al'eeł bił béédahózinígíí éí Sálaman bá nidaal'a'í yił táłkáá'góó tsinaa'eeł biyi' nidaalnish doo biniyé dayííł'aad. 
11:9:028:0	Áko éí Ófer hoolyéedi bił da'ní'éél, áádóó óola dį́įdi neeznádiindóó ba'aan naadiin tálent bíighahgo shódajost'e', índa éí aláahgo naat'áanii Sálaman baa dadziizyį́.
