11:1:001:1	Ábishag éí David yaa áhályą́
11:1:003:1	Sálaman éí aláahgo naat'áanii ábi'diilyaa
11:1:027:0	Bóhonishníihii aláahgo naat'áanii nílíinii, da' díísh ninahat'a' bik'ehgo ádzaa, áko ná naal'a'í nishłíinii éí t'áadoo bee shił hwíínílne' da? Háishą' bóhonishníihii aláahgo naat'áanii bikéé'dóó bikáá'dóó nahat'áii yikáá'dóó dah sidáa doo? 
11:1:028:0	Nít'éé' aláahgo naat'áanii hach'į' haadzíi'go ání, Bath-shííba shá hágo bidiní. Áko aláahgo naat'áanii bich'į' nizhníyáago bidááhdę́ę́' dziizį'. 
11:1:029:0	Áádóó aláahgo naat'áanii ádee hadoodzíi'go ání, Ts'ídá t'áá aaníí Bóhólníihii hiná; éí ach'į' nahwii'ná bits'ą́ąjį' shii' sizíinii nááyiisnii'; 
11:1:030:0	ákót'éego ts'ídá t'áá aaníí Bóhólníihii Ízrel dine'é biDiyin God bee nich'į' ádee hadisdziihgo ádíshní, Niyáázh Sálaman éí shikéédę́ę́' nináánít'áa doo, índa dah sédáhígi bikáá'dóó nahat'áii yikáá'dóó dah sidáa doo; kót'éego lą́ą díí jį́ t'áádóo nídí hwee hadisdziih. 
11:1:031:0	Áko Bath-shííba éí ni'jį' jineeshjoolgo aláahgo naat'áanii bich'į' hozdísingo ájíní, Bíni'dii bóhonishníihii aláahgo naat'áanii David hináago ahóyéel'áa le'. 
11:1:032:0	Áádóó aláahgo naat'áanii David ání, Náá'iiłniihii Zéídak áádóó Diyin God yá halne'ii Néíthan índa Jiihóíyada biye' Biinéíyah shá hágo dabidohní. Áko aláahgo naat'áanii yidááhdę́ę́' niikai. 
11:1:033:0	Áko aláahgo naat'áanii áháłní, Bídahonołníihii bá nidaal'a'í bił dohkáahgo shiye' Sálaman t'áá shí shidzaanézígíí bikáá' dah dabinoołdáago Gáíhan góyaa bił doohkah, 
11:1:034:0	áádóó bíni'dii náá'iiłniihii Zéídak áádóó Diyin God yá halne'ii Néíthan éí ak'ah hak'i yeidooziłgo hodoohsįh Ízrel dine'é aláahgo binanit'a'í jidooleeł, áádóó deenásts'aa' bidee' bee í'dílzoołí bee ádadidoohniiłgo, Sálaman aláahgo naat'áanii as'ahgóó hináa le', dadidoohniił. 
11:1:035:0	Áadi índa bikéé' hadoohkahgo níyáago shibikáá'dóó nahat'áii yikáá' dah dínóodaał, háálá hó éí shitsásk'ehdóó aláahgo naat'áanii náájídlį́į doo, índa Ízrel dine'é áádóó Júdah dine'é binazhnit'áa doogo áhooshłaa. 
11:1:036:0	Áádóó Jiihóíyada biye' Biinéíyah aláahgo naat'áanii ánéidoo'niidgo ání, T'áá ákót'ée le'; bíni'dii bóhonishníihii aláahgo naat'áanii biDiyin God ałdó' ákódidooniił. 
11:1:037:0	Bóhólníihii éí bóhonishníihii aláahgo naat'áanii yił hólónígi át'éego Sálaman yił hólǫ́ǫ doo, áádóó ts'ídá aláahgo ayóó át'éego bibikáá'dóó nahat'áii yik'i dah sidáago nant'áa doo; bóhonishníihii aláahgo naat'áanii David bibikáá'dóó nahat'áii yikáá'dóó nant'áhígi át'éego. 
11:1:038:0	Kót'éego náá'iiłniihii Zéídak áádóó Diyin God yá halne'ii Néíthan índa Jiihóíyada biye' Biinéíyah áádóó Kéreth dine'é áádóó Pííleth dine'é ákóyaa yíkaigo Sálaman aláahgo naat'áanii David bidzaanééz yik'i dah deineesdáago Gáíhanjį' yił daaskai. 
11:1:039:0	Nít'éé' náá'iiłniihii Zéídak éí níbaal bii' hodílzinii biyi'dę́ę́' adee' bee ak'ah nízhdiiką́ągo Sálaman ak'ah yik'i yayiiziidgo bíísį́į́'. Áádóó deenásts'aa' bidee' bee í'dílzoołí bee ádazhdííniidgo diné t'áá áté ádaaní, Aláahgo naat'áanii as'ahgóó hináa le'. 
11:1:040:0	Áádóó diné t'áá át'é hakéé' haaskai índa tsin bee í'dílzoołí yee nidaanéego áádóó bił nidahoozhǫǫhgo ayóó át'éego bił dahózhǫ́; wónáasii hodiits'a'ígíí bee ni' neheldóóh. 
11:1:041:0	Áádóó Adonáíjah índa baa haaskaígíí t'áá ałtso yił k'adę́ę ałtso da'ayą́ągo da'diizts'ą́ą́'. Áko Jó'ab éí deenásts'aa' bidee' bee í'dílzoołí yidiizts'ą́ą'go ání, Haa lá hóót'įįdgo díí kin haal'áádóó ayóó íits'a'go hahóó'á? 
11:1:042:0	Áko t'ah yájíłti'go, shoo, náá'iiłniihii Abáíyathar biye' Jánathan yílwod, áádóó Adonáíjah áháłní, Yah aninááh; jó, ni diné hayóii nílį́ índa hane' yá'át'éhígíí bił nináhídááh. 
11:1:043:0	Áádóó Jánathan éí Adonáíjah áyidííniid, Nidaga', bídahwííníilníihii aláahgo naat'áanii David yee' éí Sálaman aláahgo naat'áanii nilį́įgo áyiilaa. 
11:1:044:0	Áádóó aláahgo naat'áanii éí náá'iiłniihii Zéídak áádóó Diyin God yá halne'ii Néíthan índa Jiihóíyada biye' Biinéíyah áádóó Kéreth dine'é índa Pííleth dine'é éí Sálaman wolyéii aláahgo naat'áanii bidzaanééz yik'i dah deineesdáago bił yíldloozh, 
11:1:045:0	áko náá'iiłniihii Zéídak índa Diyin God yá halne'ii Néíthan éí Sálaman aláahgo naat'áanii nilį́į doo biniyé Gáíhandi ak'ah yik'i yayiiziidgo bíísį́į́'; áádę́ę́' náá'néełgo bił nidahoozhǫǫh, éí bąą kin haal'áagi hahóó'á. Díí éí hahóół'áago disíníts'ą́ą́'. 
11:1:046:0	Áádóó Sálaman ałdó' bee íhólníihgo bił haz'ą́ągi bikáá'dóó nahat'áii yikáá' dah neezdá. 
11:1:047:0	Áádóó náá'áłdó' aláahgo naat'áanii bá nidaal'a'í éí bídahwííníilníihii aláahgo naat'áanii David yik'idazhdoodliił yiniyé yíkaigo ádaaní, Diyin God éí ni nízhi' biláahgo Sálaman bízhi' ílį́įgo íidoolííł, índa bikáá'dóó nahó'áii biláahgo bí yikáá'dóó naha'áii ayóó át'é íidoolííł. Áádóó aláahgo naat'áanii bitsásk'eh yikáa'jį' yaa ádzaago sodoolzin. 
11:1:048:0	Áádóó ałdó' aláahgo naat'áanii kóní, Ízrel dine'é biBóhólníihii Diyin God baa ha'niih le', bí éí díí jį́ shibikáá'dóó nahat'áii yikáá' ła' dah néineesdá; t'áá shináá' bee yiiłtsą́. 
11:1:049:0	Áádóó Adonáíjah baa jiiskaígíí t'áá ádzíłtso nídadzisdzííd, áko nízhdiijée'go t'ááłá'í jinítínígo anídajiiskai. 
11:1:050:0	Áko Adonáíjah éí Sálaman bik'ee hoł yéé' hazlį́į'go nízhdii'na' áádóó dashdiiyáago bikáá' náá'iiniihí adee' bits'ádaaz'áhígíí ła' dzisił. 
11:1:051:0	Áko Sálaman bił hóóne', Shoo, Adonáíjah éí aláahgo naat'áanii Sálaman yinásdzííd; jó, bikáá' náá'iiniihí adee' bits'ádaaz'áhígíí yisiłgo ání, Bíni'dii aláahgo naat'áanii Sálaman bá naal'a'í diltłish doo yee yidiyoołhééłgóó díí jį́ yee shich'į' ádee hadidoodzih. 
11:1:052:0	Áádóó Sálaman ání, Diné ílíinii jílį́įgo hatsii' t'ááł á'í nidi doo ła' ni'jį' nidoodił da, nidi doo yá'ádaashóonii bee haho'deel'į́į'go éí dazdootsaał. 
11:1:053:0	Áko aláahgo naat'áanii Sálaman i'ííł'a'go bikáá' náá'iiniihí si'ánídę́ę́' Adonáíjah yił haa daaskai. Áko jiníyáago aláahgo naat'áanii Sálaman bich'į' yaa ádziidzaago hoł yílįįd, áádóó Sálaman hach'į' haadzíi'go áháłní, Nílááh, nighangóó nídídááh.
