11:12:001:1	Ízrel dine'é nidaastee'
11:12:002:1	Jerobówam éí Ízrel dine'é ádił ni'iidzííh yiih yiyíí'eezh
11:12:024:0	Bóhólníihii ání, Doo ch'ídoohkah da, doo nidi danihik'isóó Ízrel dine'é bik'iidoohjah da; diné t'ááłá'í nootínígo danihighangóó nídadohkááh, háálá díí shits'ą́ą́dóó át'é. Éí bąą Bóhólníihii hach'į' haadzí'ígíí bik'eh dahojííł'įįdgo haghangóó anídadziiskai. 
11:12:025:0	Nít'éé' Jerobówam éí Dził Íífreiyimgi Shííkem kin haal'áago áyiilaago ákwii kééhat'į́į́ nít'éé', áádóó dah náádiidzáago Piinúwel kin haal'áago ałdó' áyiilaa. 
11:12:026:0	Áádóó Jerobówam t'áá biyi'ídi ání, K'ad David ba'áłchíní náás ahoolchíiłii bee óhólníihii bíí' nídoodleeł: 
11:12:027:0	díí dine'é Jerúsalemgi Bóhólníihii bikin bii' sohodizin biyi' nááda'di'yoołnih biniyé ákóde eekai ládą́ą́', díí diné łahgo áńdeiniidzį́į'go yídahółníihii Júdah dine'é aláahgo binanit'a'í Riihobówam yikéé' dah nídiisą́ągo shí dashdiyoołhéełgo Júdah dine'é aláahgo binanit'a'í Riihobówam yikéé' dah nínáádidookah. 
11:12:028:0	Nít'éé' aláahgo naat'áanii díí yaa nitsízkéezgo óola yee béégashii yáázh naakigo áyiilaa áádóó diné ííłní, Jerúsalem góde ałnáádaahkahígíí doo nihá bíighah da; Ízrel dine'é danohłíinii, Ííjip kéyahdę́ę́' nihidiyin ch'ínihiní'eezhígíí kǫ́ǫ́ danół'į́. 
11:12:029:0	Áádóó ła' Béthel hoolyéegi yiyiisį' áádóó náánáła' Dan hoolyéegi yiyiisį'. 
11:12:030:0	Áko díí bee t'áá íiyisí ádił ni'iidzííh hazlį́į́', háálá Ízrel dine'é éí béégashii yáázh ła' yich'į' nidahałá yiniyé ákǫ́ǫ́ ałnáádaakah nít'éé' áádóó Dan hoolyéejį' ałdó' yiniyé ałnáádaakah nít'éé'. 
11:12:031:0	Áádóó ninádahałaah doo biniyé wódah nahaz'ą́ądi kin nideiznil índa diné bitahdóó doo Líívai dine'é danilínígíí nááda'iiłniihii danilį́įgo niinínil. 
11:12:032:0	Áko Jerobówam tseebíí nídízííd binih ashdla'áadah jį́į́ góne' Júdahgi dílzingo áłah ná'ádleehígi át'éego dílzingo áłah ná'ádleeh dooleełgo yee hooł'a' áádóó bikáá' náá'iiniihí bikáa'jį' didlidgo nááhániihii nááyiisnii'. Éí Béthel kin haal'áagi béégashii yáázh yi'iilaa yę́ę yich'į' náá'iisnii', áádóó índa ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaaígi nááda'iiłniihii nidaal'a'ígíí éí Béthelgi niinínil. 
11:12:033:0	Kót'éego Bétheldi bikáá' náá'iiniihí áyiilaa yę́ę yikáá' náá'iisnii'; tseebíí nídízííd binih ashdla'áadah jį́į́ góne' t'áá éí yiziłígíí binih t'áá hayi'ídi tsízdeezkéezgo bee hozdeez'ą́ yę́ędą́ą́' Ízrel dine'é bá dílzingo áłah ná'ádleeh jiił'a' go bikáá' náá'iiniihí bikáá' náájiisnii', índa łikání halchingo dilidii náájiisnii'. 
