11:18:001:1	Iiláíjah éí Éíhab yich'į' nádzá
11:18:011:0	Áko k'ad ádíní, Nílááh, ninanit'a'í bił hólne', Shoo, kwe'é Iiláíjah níyá. 
11:18:012:0	Kóhodoonííł, t'áá nits'ą́ą́' dah diiyáhí Bóhólníihii biNíłch'i doo shił bééhózinígóó háajigo shį́į́ nił dah didoo'ash, áko Éíhab baa níyáago bił hweeshne'go ch'ééh hanineeztą́ą'go shidiyoołhééł, nidi shí, ná naal'a'í nishłíinii t'áá áłchíní nishłį́į́dę́ę́' Bóhólníihii díínísin. 
11:18:013:0	Da' doósh ásdzaaígíí shinanit'a'í bee bił hóóne' da, shą́ą́', Jézebel éí Bóhólníihii yá dahalne'ii neistseed yę́ędą́ą́' Bóhólníihii yá dahalne'ii neeznádiingo t'áá ał'ąą ashdladiingo tsé'áán góne' nídééł'į́į'go bááh áádóó tó bił baná'ástso' nít'éé'? 
11:18:014:0	Áko k'ad ádíní, Nílááh, ninanit'a'í bił hólne', Shoo, kwe'é Iiláíjah níyá áádóó shidiyoołhééł. 
11:18:015:0	Iiláíjah ání, T'áá ałtsoní bee Bóhólníihii bidááhdóó sézínígíí ts'ídá t'áá aaníí hiná; ákót'éego ts'ídá t'áá aaníí t'áá díí jį́ haa deeshááł. 
11:18:016:0	Áko Obadáíyah éí Éíhab bidááshdoogááłgóó dashdiiyá áádóó bił hojoolne'go Éíhab éí Iiláíjah yidááh doogááłgóó ííyá. 
11:18:017:0	Áádóó nít'éé' Éíhab éí Iiláíjah yiyiiłtsą́ągo Éíhab ání, Da' niísh Ízrel dine'é bich'į' nahwiyíłnánígíí ánít'į́? 
11:18:018:0	Áko bich'į' hadzoodzíí', Shí doo Ízrel dine'é bich'į' nahwiishnáa da, nidi ni índa danizhé'é yę́ę bits'ą́ą́dóó ahoolchíiłii éí Bóhólníihii bibik'eh ó'oo'níiłii yóó'adasidoo'ą́ągo Béíyalim eda'alyaii bikéé' dah doojéé'. 
11:18:002:1	Dził Kármel bighą́ą'di ałk'i ayiildee'
11:18:019:0	Éí bąą k'ad adíł'áago Ízrel dine'é t'áá át'é Dził Kármelgi shá áłah ánílééh; Béíyal yá dahalne'ii dį́įdi neeznádiindóó ba'aan ashdladiingo áádóó asdzání beda'alyaii yá dahalne'ii dį́įdi neeznádiingo éí Jézebel bibikáá' adáníjį' nída'adį́hígíí ałdó' shá áłah ánílééh. 
11:18:020:0	Áko Éíhab éí Ízrel dine'é t'áá ałtso áádóó t'óó ádahodil'į́įgo dahalne'ii yich'į' i'ííł'a'go Dził Kármeljį' áłah áyiilaa. 
11:18:021:0	Áádóó Iiláíjah éí diné t'áá ałtso yich'į' niníyáago ání, Haa lá nízáágóó naakigo haz'ą́ bita' nidadinohdle' doo? Bóhólníihii éí Diyin God nilį́įgo bikéé' ninohkááh. Nidi Béíyal éí diyin át'é ládą́ą́' bikéé' ninohkááh. Áko diné łá'í nidi t'áadoo ła' hach'į' haadzíi' da. 
11:18:022:0	Nít'éé' Iiláíjah diné áłah nilínígíí ííłní, Shí, t'áá shí t'éiyá, Bóhólníihii yá halne'ii nishłį́įgo yisdziih, nidi Béíyal yá dahalne'ii éí dį́įdi neeznádiindóó ba'aan ashdladiin yilt'é. 
11:18:023:0	Éí bąą bíni' dóola naakigo nihaa dazhdoonił, áádóó bíni' dóola ła' ádá nídazhdidoołtéełgo nidahizhdoołgish, índa chizh bikáa'gi nidazhdoonił; t'áadoo biyaa kǫ'í, áádóó dóola ła'ígíí hasht'edeeshłíiłgo chizh bikáa'gi dah deeshnił; t'áadoo biyaa kǫ'í; 
11:18:024:0	nihí danihidiyin bízhi' dayínóhshí, áádóó shí Bóhólníihii bízhi' yíídéeshiił, áko kǫ' yee énáhoosįįdígíí éí t'áá aaníí Diyin God át'ée doo. Áko diné t'áá át'é hadaasdzíi'go ádaaní, T'áá íiyisí yá'át'éehgo ha' oodzíí'. 
11:18:025:0	Áádóó Iiláíjah éí Béíyal yá dahalne'ii ííłní, Nihí t'óó ahonohyóígíí biniinaa nihí átsé dóola ła' nídadoohdzį́įsgo hasht'edaahłéehgo t'áadoo biyaa kǫ'í danihidiyin bízhi' dayínóhshí. 
11:18:026:0	Áko dóola beíltínígíí nídeidiidzį́įzgo hasht'edayiilaa, áko abínídóó ałní'ní'ą́ąjį' Béíyal bízhi' dayózhíigo ádaaní, Béíyal nílíinii, nihich'į' ééhonísįįh. Doo nidi háádę́ę'da iinéé' dazdiizts'ą́ą' da, doo nidi háádę́ę'da ha'oodzíi' da. Áko bikáá' náá'iiniihí ádayiilaaígíí yinaagóó nída'dilzhish. 
11:18:027:0	Nít'éé' ałní'ní'ą́ągo Iiláíjah t'óó há nahałt'i'go ání, Yéego dadołwosh; jó, diyin jílį́; yáłti' daats'í, eelzhee' daats'í, ch'aa daats'í ííyá, doodaii' iiłhaazhgoda shį́į́ ch'éébidi'doolził. 
11:18:028:0	Áko yéego dadilwoshgo diltłish bee áádóó tsiidétáanda bee ádíkáá'góó nidayiiłgéésh; wónáásdóó dił bąąh hadajiisxiih. 
11:18:029:0	Áko nít'éé' ałní'ní'ą́ą́dóó bik'ijį' t'áá nidahidilgháashgo hííłch'į'go náá'iiniihjį' ahoolzhiizhgo doo nidi háádę́ę'da iinéé' dazdiizts'ą́ą' da, doo nidi háádę́ę'da ha'oodzíi' da, índa t'áadoo haa ákoniizį́į' da. 
11:18:030:0	Áádóó Iiláíjah éí diné t'áá ałtso ííłní, Hágo, áháníjį' shich'į' ninohkááh. Áko diné t'áá át'é áháníjį' hach'į' niikai. Áádóó Bóhólníihii bibikáá' náá'iiniihí neheestǫ'ígíí hasht'ééyiidlaa. 
11:18:031:0	Áko Jéíkab éí Bóhólníihii bich'į' haadzíi'go Ízrel yinílyée doo, biłnínígíí éí biye'ké bits'ą́ą́dóó dine'é hazlį́'ígíí bik'ehgo Iiláíjah éí tsé naakits'áadahgo néidiinil, 
11:18:032:0	áádóó éí tséhígíí bee bikáá' náá'iiniihí Bóhólníihii bízhi' bee wójíigo áyiilaa, áádóó bikáá' náá'iiniihí binaagóó ahéé'nígeedgo tó bee naakáhí naakidi tó hadeezbin yaadziidgo bíighahgo áyiilaa. 
11:18:033:0	Áko chizh hazhó'ó hasht'eyiilaago dóola niyiishgizhgo chizh yikáá' niinínilgo ání, Tóshjeeh dį́į'go tó bee hadadołbingo didlidgo nááhániihii índa chizh bikáa'jį' yadahohnííł. 
11:18:034:0	Áádóó ání, Naakidi nááná. Áko naakidi ákódajiilaa. Áádóó ánáádí'ní, Táadi nááná. Áko táadi ákódajiilaa. 
11:18:035:0	Áko bikáá' náá'iiniihí tó binázlį́, áádóó ałdó' ahéé'ígeedí góyaa tó hadeidééłbįįd. 
11:18:036:0	Kót'éego hííłch'į'go náá'iiniihjį' ahoolzhiizhgo Diyin God yá halne'ii Iiláíjah aháníjį' niníyáago ání, Bóhólníihii éí Éíbraham áádóó Áízak índa Ízrel biDiyin God nílíinii, bíni' díí jį́ bééhoozįįh le'; t'áá ni éí Ízrel dine'é biDiyin God nílį́, áádóó shí éí ná naal'a'í nishłį́, áko díí baa niséyáhígíí t'áá át'é nizaak'ehgo ásdzaa. 
11:18:037:0	Shich'į' ééhonísįįh, Bóhólníihii, shich'į' ééhonísįįh, áko díí dine'é éí Bóhólníihii Diyin God nílį́įgo bił béédahodoozįįł, áádóó ni éí bijéí łahgo át'éego tsíńdabidííníłkééz. 
11:18:038:0	Nít'éé' Bóhólníihii bikǫ' bidadíínóód, áko didlidgo nááhániihii áádóó chizh áádóó tsé índa łeezh ałtso yidííłid, índa ahéé'ígeed yę́ę góyaa tó iidííłk'ą́ą́'. 
11:18:039:0	Áko diné t'áá át'é éí dayiiłtsą́ągo ni'jį' tsé'yaa daneeshjoolgo ádaaní, Bóhólníihii éí Diyin God nilį́; Bóhólníihii éí Diyin God nilį́į́ lá. 
11:18:003:1	Iiláíjah níłtsą́ yíká sodoolzin
11:18:040:0	Áádóó Iiláíjah áháłní, Béíyal yá dahalne'ii daosił; t'ááká ła' yóó'oolyeed lágo. Áko deisiłgo Iiláíjah éí Kíshan tó nílíní góyaa yiní'eezhgo áadi neistseed. 
11:18:041:0	Áko Iiláíjah éí Éíhab ííłní, Nídiidáahgo íyą́ áádóó ídlą́, háálá aadę́ę́' t'óó ahayóí hooł tį́į́ł yiits'a'. 
11:18:042:0	Nít'éé' Éíhab adooyį́į́ł áádóó adoodlį́įłgo nídii'na'. Áádóó Iiláíjah éí Dził Kármel bílátah góde hajiyáago ni'jį' nitsizhdinígo'go hagod bita' góne' azhnoot'ą́, 
11:18:043:0	áko há naal'a'í ábijiní, K'ad ákóde hasínáahgo tónteel bich'į'go díní'į́į́'. Ákǫ́ǫ́ haayáago déé'į́į́' nít'éé' ání, Doo áhoot'éhí da. Áko ábijiní, Nílááh ákóde, tsosts'idi háádíídááł. 
11:18:044:0	Nít'éé' ákódzaago tsosts'idi aleeh góne' ázhdííniid, Shoo, k'os áłts'íísígo diné bíla' nahalingo tónteel biyi'dę́ę́' haalzhóód. Áko ábijiní, Nílááh, Éíhab bich'į' dínáahgo ábidiní, Nitsinaabąąs bijáád naakiígíí bighą́ą́h díníiłgo t'ah doo aho'niiłtįįhdą́ą́' nił nááwoł. 
11:18:045:0	T'áá áko k'os diłhiłgo hadahaashzhóód áádóó deeyolgo t'óó báhádzidgo aho'niiłtą́. Áádóó Éíhab éí Jézriyel kin haal'áágóó ná'ołbąs. 
11:18:046:0	Áko Bóhólníihii éí Iiláíjah yił hólǫ́ǫgo bi'éé' bitsiist'ah gónaa ahénágiizhgo Jézriyel yah e'etiingóó Éíhab yilą́ąjį' nídiilwod.
