11:14:001:1	Aháíjah éí Jerobówam yik'ijį' haadzíí'
11:14:013:0	Áádóó Ízrel dine'é t'áá ałtso yaa yínííł danilį́įgo yóó'ádeidoolííł, áko Jerobówam bits'ą́ą́dóó hazlį́į'ii t'áá bí t'éiyá yóó'ádoolnííł, háálá Jerobówam ba'áłchíní bitahdóó t'áá bí t'éiyá Bóhólníihii éí Ízrel dine'é biDiyin God bich'į' yá'át'éehii bii' hólǫ́ǫgo bééhoozin. 
11:14:014:0	Náá'áłdó' Bóhólníihii éí Ízrel dine'é bá aláahgo naat'áanii ła' ádá náánéidiyoosįįł; éí díí jį́ Jerobówam ba'áłchíní náás ahoolchíiłii íidoołdįįł. Ákót'ée nidi ha'át'éegosh ałdó' dooleeł? 
11:14:015:0	Áádóó k'ad kodóó Bóhólníihii éí lók'aa' tó bighádígi át'éego Ízrel dine'é atíhodeeshłííł, índa díí kéyah yá'áhoot'éehii dabizhé'é yę́ę yeidiní'ánígíí bits'ą́ą́dóó Ízrel dine'é hahodeeshjihgo tooh nílínígíí bilááhgóó tahodínéeshkał, háálá asdzání be'elyaii ádá ádajiilaaígíí bee Bóhólníihii bá dahojííłchįįd. 
11:14:016:0	Áko Jerobówam hó ádił ni'jiisí'ígíí bee Ízrel dine'é ádił ni'iidzííh biih jíínilgo biniinaa Ízrel dine'é yóó'iididoo'ááł. 
11:14:017:0	Áádóó Jerobówam be'asdzą́ą́ nídii'na'go dah nídiidzáago Térzah kin haal'áajį' nádzá; nít'éé' ch'é'étiinjį' nizhníyáago hayáázh daaztsą́. 
11:14:018:0	Áko Bóhólníihii bá naal'a'í Diyin God yá halne'ii nilíinii Aháíjah binahjį' Bóhólníihii haadzí'ígíí bik'ehgo yóó'ádayiilaago Ízrel dine'é t'áá ałtso yaa yínííł naaskai. 
11:14:019:0	Áko łahjį' Jerobówam yaa naayáhígíí, éí naazbaa'ii índa honí'ánígíí éí Ízrel dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
11:14:002:1	Riihobówam nant'áá nít'éé'
11:14:020:0	Jerobówam nant'áago naadiin naaki nááhai, áko dahazhé'é yę́ę ada'iishxaazhígi át'éego i'jííłhaazhgo haye' Néídab hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'. 
11:14:021:0	Íídą́ą́' Sálaman biye' Riihobówam éí Júdah dine'é yinant'á. Riihobówam éí dízdiindóó ba'aan t'ááłá'í binááhaigo hodeez'ą́ áádóó Ízrel dine'é t'áá ałtso bitahdóó Jerúsalem kin haal'áhígíí éí Bóhólníihii náhodii'ánígíí bízhi' bee wójíi dooleełígi tsosts'idts'áadah nááhaijį' nant'áá nít'éé'. Bimá éí Áman dine'é ła' nilį́įgo Néíyamah wolyéé nít'éé'. 
11:14:022:0	Áádóó Bóhólníihii binááł Júdah dine'é doo yá'áshóonii baa nidziskaigo dahazhé'é yaa naaskai yę́ę t'áá át'é biláahdi ádił nida'jiisí'ígíí bee Bóhólníihii haa łe'niizį́į'go bá dahojííłchįįd. 
11:14:023:0	Háálá dah daask'idgóó t'áá át'é áádóó tsin dootł'izh naazkaadii t'áá át'é dabiyaagóó índa ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaaígíí áádóó eda'alyaii índa asdzání be'elyaii ádá ádayiilaa. 
11:14:024:0	Áádóó ákwe'é kéyahgi diné ahaa ninádaaldeehígíí ałdó' hólǫ́; éí Bóhólníihii Ízrel dine'é bits'ą́ąjigo ał'ąą dine'é ch'íininíłkaadígíí doo daaldinii yaa naaskai yę́ę t'áá át'é yik'ehgo yaa naakai nít'éé'. 
11:14:025:0	Nít'éé' aláahgo naat'áanii Riihobówam ashdla' náhááh binih Ííjip dine'é aláahgo binanit'a'í Sháíshak éí Jerúsalem yik'ijį' nídiibaa'. 
11:14:026:0	Bóhólníihii bikin bii' sohodizindóó índa aláahgo naat' áanii bighandóó yódí ałtso ayííyį́, áko Sálaman éí naagé óola yee ádayiilaaígíí t'áá át'é éí Sháíshak ayííyį́. 
11:14:027:0	Áádóó aláahgo naat'áanii Riihobówam éí naagé yę́ę bitsásk'eh góne' béésh łitsoii bee naagé ádayiilaago siláo alą́ąjį' binanit'a'í éí aláahgo naat'áanii bighan ch'é'édą́ą'gi yaa ádahalyánígíí bílák'e jíínil. 
11:14:028:0	Bóhólníihii bikin bii' sohodizin góne' aláahgo naat'áanii éí t'áá yah anádááh bik'eh aa ádahalyánígíí naagé nínádeidii'nił áádóó bighan góne' ninádei'nił. 
11:14:029:0	Áko Riihobówam yaa naayáhígíí t'áá át'é índa íídą́ą́' ádahóót'įįdii éí Júdah dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
11:14:030:0	Áko Riihobówam áádóó Jerobówam bíyoołkááłdą́ą́' t'áá áłahjį' yił anaa' hółǫ́ǫ́ nít'éé'. 
11:14:031:0	Riihobówam éí dabizhé'é yę́ę yił ada'iishxaazhgo David yę́ę bikin haal'áagi dahazhé'é yę́ę bitahgi yóó'áho'diilyaa. Hamá éí Áman dine'é ła' nilį́įgo Néíyamah wolyé. Áko haye' Abáíjam hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'.
