5:28:001:1	Blessings at Gerizim
5:28:033:0	A people whom you do not know shall eat up the produce of your ground and all your labors , and you will never be anything but oppressed and crushed continually .
5:28:034:0	You shall be driven mad by the sight of what you see .
5:28:035:0	The Lord will strike you on the knees and legs with sore boils , from which you cannot be healed , from the sole of your foot to the crown of your head .
5:28:036:0	The Lord will bring you and your king , whom you set over you , to a nation which neither you nor your fathers have known , and there you shall serve other gods , wood and stone .
5:28:037:0	You shall become a horror , a proverb , and a taunt among all the people where the Lord drives you .
5:28:038:0	“ You shall bring out much seed to the field but you will gather in little , for the locust will consume it .
5:28:039:0	You shall plant and cultivate vineyards , but you will neither drink of the wine nor gather the grapes , for the worm will devour them .
5:28:040:0	You shall have olive trees throughout your territory but you will not anoint yourself with the oil , for your olives will drop off .
5:28:041:0	You shall have sons and daughters but they will not be yours , for they will go into captivity .
5:28:042:0	The cricket shall possess all your trees and the produce of your ground .
5:28:043:0	The alien who is among you shall rise above you higher and higher , but you will go down lower and lower .
5:28:044:0	He shall lend to you , but you will not lend to him ; he shall be the head , and you will be the tail .
5:28:045:0	“ So all these curses shall come on you and pursue you and overtake you until you are destroyed , because you would not obey the Lord your God by keeping His commandments and His statutes which He commanded you .
5:28:046:0	They shall become a sign and a wonder on you and your descendants forever .
5:28:047:0	“ Because you did not serve the Lord your God with joy and a glad heart , for the abundance of all things ;
5:28:048:0	therefore you shall serve your enemies whom the Lord will send against you , in hunger , in thirst , in nakedness , and in the lack of all things ; and He will put an iron yoke on your neck until He has destroyed you .
5:28:049:0	“ The Lord will bring a nation against you from afar , from the end of the earth , as the eagle swoops down , a nation whose language you shall not understand ,
5:28:050:0	a nation of fierce countenance who will have no respect for the old , nor show favor to the young .
5:28:051:0	Moreover , it shall eat the offspring of your herd and the produce of your ground until you are destroyed , who also leaves you no grain , new wine , or oil , nor the increase of your herd or the young of your flock until they have caused you to perish .
5:28:052:0	It shall besiege you in all your towns until your high and fortified walls in which you trusted come down throughout your land , and it shall besiege you in all your towns throughout your land which the Lord your God has given you .
5:28:053:0	Then you shall eat the offspring of your own body , the flesh of your sons and of your daughters whom the Lord your God has given you , during the siege and the distress by which your enemy will oppress you .
5:28:054:0	The man who is refined and very delicate among you shall be hostile toward his brother and toward the wife he cherishes and toward the rest of his children who remain ,
5:28:055:0	so that he will not give even one of them any of the flesh of his children which he will eat , since he has nothing else left , during the siege and the distress by which your enemy will oppress you in all your towns .
5:28:056:0	The refined and delicate woman among you , who would not venture to set the sole of her foot on the ground for delicateness and refinement , shall be hostile toward the husband she cherishes and toward her son and daughter ,
5:28:057:0	and toward her afterbirth which issues from between her legs and toward her children whom she bears ; for she will eat them secretly for lack of anything else , during the siege and the distress by which your enemy will oppress you in your towns .
5:28:058:0	“ If you are not careful to observe all the words of this law which are written in this book , to fear this honored and awesome name , the Lord your God ,
5:28:059:0	then the Lord will bring extraordinary plagues on you and your descendants , even severe and lasting plagues , and miserable and chronic sicknesses .
5:28:060:0	He will bring back on you all the diseases of Egypt of which you were afraid , and they will cling to you .
5:28:061:0	Also every sickness and every plague which , not written in the book of this law , the Lord will bring on you until you are destroyed .
5:28:062:0	Then you shall be left few in number , whereas you were as numerous as the stars of heaven , because you did not obey the Lord your God .
5:28:063:0	It shall come about that as the Lord delighted over you to prosper you , and multiply you , so the Lord will delight over you to make you perish and destroy you ; and you will be torn from the land where you are entering to possess it .
5:28:064:0	Moreover , the Lord will scatter you among all peoples , from one end of the earth to the other end of the earth ; and there you shall serve other gods , wood and stone , which you or your fathers have not known .
5:28:065:0	Among those nations you shall find no rest , and there will be no resting place for the sole of your foot ; but there the Lord will give you a trembling heart , failing of eyes , and despair of soul .
5:28:066:0	So your life shall hang in doubt before you ; and you will be in dread night and day , and shall have no assurance of your life .
5:28:067:0	In the morning you shall say , ‘Would that it were evening ! ’ And at evening you shall say , ‘Would that it were morning ! ’ because of the dread of your heart which you dread , and for the sight of your eyes which you will see .
5:28:068:0	The Lord will bring you back to Egypt in ships , by the way about which I spoke to you , ‘You will never see it again ! ’ And there you will offer yourselves for sale to your enemies as male and female slaves , but there will be no buyer . ”
