50:4:001:1	Jidii Gwiky'uunjik , Gwik'it Dinjii Ǫhłįį
50:4:010:0	Gohch'it hee chan ch'ihłok deegwiłtł'oo sheenjit yinjiihooh'ee gwik'eeshoohti' . Ąįį geh'an juk gwįįhdaii ts'ą' K'eegwaadhat ch'ihłak k'it vaa t'ihchy'aa ts'ą' łyaa zhyąą gwintł'oo shaa shroonchy'aa . Gwehkįį dąį' sheenjit yinjiihooh'ee , gaa nats'ahts'ą' gwik'eeshahǫǫhtyaa , izhik ts'ąįį gwik'it goo'aii kwaa . Ąįį gaashandaii .
50:4:011:0	K'eiich'ii gwit'įį yiihthan geenjit jyaa diihnyąą t'iihnyąą kwaa . Gwintsii kwaa gwizhrįh gwishi'įį dąį' , gaa geenjit shoo ihłįį gogwal'į' .
50:4:012:0	Nijin k'eiich'ii t'aałchy'aa gaa vishi'įį kwaa dąį' , doonchy'aa gaashandaii . Ąįįts'ą' chan k'eiich'ii vat'ahaałchy'aa gwandaa gwishi'įį dąį' , izhik chan doonchy'aa gaashandaii . Nijin t'ihchy'aa dąį' , googaa nihk'it khai'alchy'aa gogwal'į' . Gwintł'oo ch'ih'aa akwat shizhit gwiłts'ik dąį' , gaa nihk'it khai'alchy'aa . K'eiich'ii lęįį shi'įį akwat k'eiich'ii vat'aałchy'aa lęįį shi'įį kwaa , izhik dąį' googaa khai'alchy'aa .
50:4:013:0	Christ shits'inyąą gwik'iighai' , adan juu t'aih shats'an ąh'įį , nats'ąą deegwiizhik ji' , googaa nihk'it gihihkhyaa .
50:4:014:0	Izhik googaa nijin goodhaii nanaaldhak dąį' , shits'oonyą' . Izhik łyaa gwinzii t'akhwazhik t'oonchy'aa .
50:4:015:0	Shalak , juu Philippi kwaiik'it gogwich'įį nąįį , nakhwanahkat gwizhit , Macedonia goaazhii , gihłeehihdii dąį' , nakhwan zhrįh kheihłok ǫhłįį ts'ą' Christ k'injuhkhit nąįį tee ǫhłįį ts'ą' nakhwan zhrįh shits'oonyą' . Izhik dąį' t'ee tr'ookit nakhwanahkat gwa'an Gwandak Nizįį eegiihkhii . Nakhwan zhrįh laraa haa shats'ą' ch'oozhii dhohtsąįį . Jii kwaii datthak gaakhwandaii .
50:4:016:0	Nijin Thessalonica kwaiik'it gwachoo gwihch'įį dąį' , googaa laraa t'aałchy'aa dąį' , ch'ihłok gwandaa laraa shats'ą' noolii .
50:4:017:0	Jii jyaa dihnyąą t'ee laraa gwandaa shantł'eehohłyaa geenjit t'ihnyąą kwaa . Ch'oozhii shats'ą' dhohtsąįį shats'oonyą' , gaa ch'oozhii gwats'an ohtsii dąį' , chan gwandaa nakhwagwitr'it gogweech'in . Izhik łyaa khik jyaa dagoochy'a' yiihthan . Jii chan t'ee nakhweenjit gwihidineetł'oo .
50:4:018:0	Jii dęhtły'aa dįhtł'oo kak , jidii shintł'oolii datthak gwadanakhwatł'oo ts'ą' gwit'eehaałchy'aa gwandaa , łyaa lęįį . Diichaa , Epafroditus ch'oozhii shats'ą' ninoozhik datthak shintł'inlii ts'ą' t'ee łyaa vat'ahaałchy'aa gwandaa hee gwishi'įį . Jii ch'oozhii kwaii t'ee Vit'eegwijyąhchy'aa vintł'eech'ǫhjii k'it t'inchy'aa , jii t'ee łyaa veechįį t'akhwa'in . Jii kwaii t'ee vats'ą' ataiinjii tr'ahtsii k'it t'oonchy'aa , ts'ą' geenjit shoo heelyaa .
50:4:019:0	Ch'oozhii shats'an dhohtsąįį . Ąįį geh'an Vit'eegwijyąhchy'aa jidii gwii'įį gwats'an sheenjit jidii t'oohchy'aa datthak Christ Jesus vik'iighai' nakhwats'an hahtsyaa .
50:4:003:1	Jii Dęhtły'aa T'ee Ndaanaa'ąį'
50:4:020:0	Vit'eegwijyąhchy'aa , Diiti' nilii , khit ts'ą' khit geenjit veenjirohoh'ee ! Amen ! !
50:4:021:0	Izhik gwa'an Vit'eegwijyąhchy'aa vitsyaa nąįį datthak , juu Christ Jesus vats'an nilii nąįį , goonaldaii gaa goondaii gavoihnyąą . Dzaa juu Christ k'injiighit tee shaa nilii nąįį chan nakhwaneegaandaii .
50:4:022:0	Ąįįts'ą' chan dzaa kwaiik'it gwizhit Vit'eegwijyąhchy'aa vitsyaa nąįį ts'ą' chan kwaiik'it k'eedeegwaadhat choh k'įh vizheh gwitr'it t'agwah'in nąįį , ąįį nąįį ch'andaa nakhwaneegaandaii .
50:4:023:0	K'eegwaadhat Jesus Christ vich'eegoonzhrii nakhwaa gooli' .
