42:2:001:1	Jesus Christ bi'dizhchį́
42:2:011:0	háálá díí jį́ David bikin haal'áhígi Yisdá'iiníiłii nihá yizhchį́, éí Christ Bóhólníihii nilį́. 
42:2:012:0	Áko díí bee nihich'į' ééhózin doo: na'at'ą́hí łigaii éí awéé' bił yisdisgo béégashii yii' nída'alchoshígíí yii' sitį́įgo deidoołtsééł. 
42:2:013:0	Nít'éé' t'áadoo hooyání éí diyingo naal'a'í binaagi yá biyi'dę́ę́' diyingo nidaal'a'í t'óó ahayóí áłah silį́į́', áko Diyin God yaa dahaniihgo ádaaní: 
42:2:014:0	Aghánáhóó'áágóó Diyin God baa ha'niih,índa nahasdzáán bikáa'gi diné éí Diyin God yaa bił dahózhónígíí bich'į' hózhǫ́ náhásdlį́į́'! 
42:2:015:0	Ákódzaago diyingo nidaal'a'í yá'ąąshgóó nídaasdlį́į'go, nida'niłkaadii áda'ahidoo'niid, Sołtį', Béthlehemgóó diikah, áadi áhóót'įįdígíí Bóhólníihii nihił ííshją́ą́ áyiilaaígíí dadíníil'įįł. 
42:2:016:0	Áko tsxį́įłgo ákǫ́ǫ́ jíkaigo, Mary áádóó Jóseph índa awéé' éí béégashii yii' nída'alchoshígíí yii' sitį́įgo bik'íjíkai. 
42:2:017:0	Áko dajiiłtsą́ągo, díí awéé' bee hoł dahóóne'ígíí baa nináádahodzisne', 
42:2:018:0	áko nida'niłkaadii éí yaa dahalne'go dazdiizts'ą́'ígíí t'áá ádzíłtso bik'ee t'óó hoł adahóóyóí. 
42:2:019:0	Ákondi Mary díidíígíí t'áá ałtso hajéí biyi'di baa nitsídzíkeesgo t'óó bił ájít'é. 
42:2:003:1	Jesus bąąh náhineeshgizh
42:2:020:0	Áko nida'niłkaadii t'áá hoł dahóóne'ígi át'éego dazdiizts'ą́'ígíí índa dajiiłtsánígíí t'áá ałtso bąą Diyin God ayóó át'é dajiníigo índa baa dahojiniihgo t'ą́ą́' níjíkai. 
42:2:004:1	Jesus kin bii' sohodizin góne' Diyin God baa yíltį́
42:2:021:0	T'ah doo hó'niitsąąh yę́ędą́ą́' diyingo naal'a'í Jesus bee hodí'dóojiił dííniid yę́ę, tseebíí hwiiską́ągo hąąh náhineeshgizhgo Jesus bee ho'dééji'. 
42:2:022:0	Áádóó Diyin God yee has'áanii Mózes baa deet'áanii bik'ehgo ho'díídee' dooleełígíí bíighah niiníłką́ągo, Jesus éí Bóhólníihii baa hozhdoołtééł biniyé Jerúsalemgóó hozhníłtį́, 
42:2:023:0	(Bóhólníihii bibee haz'áanii bii' bee bik'e'ashchínígi át'éego, Ashiiké alą́ąjį' nidahachíhígíí t'áá ałtso Bóhólníihii baa nídeet'áanii dabidi'níi dooleeł). 
42:2:024:0	Áádóó Bóhólníihii bibee haz'áanii bii' áhodoo'niidígíí bik'ehgo hasbídí naakigo, doodago hasbídíłgaii biyázhí naakigo nááhizhdoołnih ałdó' biniyé Jerúsalemgóó hozhníłtį́. 
42:2:025:0	Nít'éé' Jerúsalemgi diné léi', Símiyan joolyé, díí dinéhígíí ts'ídá t'áá ákogi ájít'é, índa hozdísin, áádóó Ízrel yisdádoo'niłígíí nijólí, índa Níłch'i Diyinii hoł hólǫ́. 
42:2:026:0	Áádóó Bóhólníihii biChrist t'áadoo jiiłtséhí anoonééł doo yizdoołtséeł daígíí Níłch'i Diyinii hoł yééhoosįįd. 
42:2:027:0	Áádóó Níłch'i Diyinii hoł ééhósingo kin bii' sohodizin bił haz'ą́ą́ góne' yah ajííyáago Jóseph índa Mary éí bee haz'áanii bee é'él'ínígíí bik'ehgo ázh'doolííł biniyé, Jesus awéé' nilį́įgo yah ajííłtį́, 
42:2:028:0	áko Símiyan éí awéé' nízhdiiłtį́įgo Diyin God baa hodziznihgo ázhdííniid, 
42:2:029:0	K'ad lą́ą Bóhólníihii, nizaad k'ehgobíni'dii ná naal'a'í bił hózhǫ́ǫgo dah hodidooleeł. 
42:2:030:0	Háálá t'áá shí shináá' bee nibee yisdá'iildéehii yiiłtsą́, 
42:2:031:0	éí diné t'áá ałtso binááł hasht'einilaa; 
42:2:032:0	doo Jew dine'é danilíinii éí adinídínígíí bá bee ééhózinii át'é, áádóó t'áá éí yee nidine'é Ízrel ayóó át'éii dadooleeł. 
42:2:033:0	Áko díí bee há ha'oodzí'ígíí bik'ee Jóseph índa Mary t'óó bił ahayóí. 
42:2:034:0	Símiyan hak'i sodoolzingo hamá Mary áyidííniid, Jó'akon, díí awéé' bik'ee Ízrel dine'é lą'í naa'ahidínóodah índa lą'í náhididookah biniyé niiltį́, áádóó Diyin God bits'ą́ą́dę́ę́' bee ééhózinii nilį́įgo diné lą'í bits'ą́ą́jí yádaałti' doo, 
42:2:035:0	áko éí bee diné t'óó ahayóí bintsíkees nideinił'inii bikáa'jį' hadoo'nił. Áádóó yínííł diltłish nahalingo nii' sizíinii bighá doolnoł. 
42:2:036:0	Áádóó asdzání léi' Diyin God yá halne'ii nilį́įgo Anna yolyé, Fányowel bitsi', éí Ásher bidóone'é nilį́, t'óó ahayóí binááhai, ch'ikę́ę́h jílį́į́dą́ą́' hahastiin hazlį́į'go bił jiináago tsosts'id nááhai, 
42:2:037:0	áádóó t'áá bąąh áhásdįįdii jílį́įgo tseebídiindóó ba'aan dį́į́' nááhai. Áko kin bii' sohodizin bił haz'ánígi doo bits'ájígháah da, tł'ée'go índa jį́įgo nidi t'áadoo ajiyání sodizin bee Diyin God bich'į' nahojiłá. 
42:2:005:1	Názarethdi ná'íldee'
42:2:038:0	Áko íídą́ą́' ákwe'é jiníyáago Bóhólníihii bich'į' ahéésniizį́į́', áádóó Jerúsalemgi kéédahat'ínígíí yisdádoo'niłgo nidayólíhígíí t'áá ałtso bich'į' awéé' baa nahodzisne'. 
42:2:039:0	Áko Bóhólníihii bibee haz'áanii Jóseph áádóó Mary ałtso bi'jiilaago, Gálilii kéyahdi Názareth kin sinilígi haghanjį' Jesus bił níjíkai. 
42:2:006:1	Jesus ashkii nilį́įgo kin bii' sohodizin bił haz'ą́ą́ góne' naaghá
42:2:040:0	Áádóó ashkii nooséełgo bidziil yileeł, hódzą́ t'áá íiyisí bii' hooleeł, índa Diyin God bibee ajooba' bee bik'ihojidlí. 
42:2:041:0	Hodílzingo áłah ná'ádleeh, éí atis'adeesdzá bee bééhániihígíí t'áá baa náhwiilzhíísh góne' t'ááłá'í nináháháahgo Jesus bishchíinii Jerúsalemgóó ałnánát'ash. 
42:2:042:0	Áko Jesus naakits'áadah binááhaigo, Jerúsalemgóó ałnááda'aldahígíí bik'ehgo hodílzingo áłah ná'ádleehgóó bił jíkai, 
42:2:043:0	éí yoołkááł ałtso bíighah da'azlį́į'go níjookah, nít'éé' ashkii Jesus t'áá Jerúsalemdi naagháá lá. Jóseph índa Mary éí doo bił bééhózin da, 
42:2:044:0	nidi atah bił ooldah jinízingo ła'a jį́ oodááł ánízahgóó nijíkai, áko dahak'éí índa bił ahéédahodzílzinígíí bitahgóó ch'ééh hazneeztą́ą́'. 
42:2:045:0	T'áadoo bik'ízhní'áázhgóó, t'óó Jerúsalemgóó t'ą́ą́' bíká anázhníítą́ą́'. 
42:2:046:0	Nít'éé' táá' yiską́ągo, kin bii' sohodizin bił haz'ą́ą́ góne' nida'nitinígíí ałníi'gi sidáago yiyíists'ą́ą'go índa nayídíłkidgo bik'ízhní'áázh. 
42:2:047:0	Áko ak'izhdi'yiitįįhígíí índa t'ą́ą́' háádziidziihígíí dahwíists'ą́ą'ii t'áá ałtso hak'ee t'óó bił adahayóí. 
42:2:048:0	Áko jiiłtsą́ągo t'óó hoł ahayóí, áádóó bimá ábidííniid, Shiyáázh, ha'át'éegoshą' kónihiinilaa? Jó'akon, nizhé'é índa shí nąąh nihíni'go níkaniitáá nít'éé'. 
42:2:049:0	Nít'éé' áhodííniid, Ha'át'éegoshą' shíkanohtá? Da' shiTaa' bá naash'a' dooleełígíísh doo nihił bééhózin da? 
42:2:050:0	Nidi yee hach'į' haadzí'ígíí doo bik'izh'diitą́ą da. 
42:2:051:0	Áko Názarethgóó hoł nákaigo hak'eh hół'į́, áko díí kónínígíí t'áá ałtso bimá t'áá bijéí biyi'ídi yaa nitsékees. 
42:2:052:0	Áádóó Jesus hojíyą́ jooleeł áádóó jinoosééł, áádóó Diyin God índa diné bił jílį́ jooleeł. 
