42:1:001:1	Hane' Thiyáfilas bá bee ak'e'ashchíinii
42:1:015:0	háálá éí Bóhólníihii binááł ayóó át'éii dooleeł, wáin índa tó diłhił doo yidoodlį́įł da, áádóó t'áá bí'ootsą́ą́dę́ę́' Níłch'i Diyinii bii' hadeezbin doo. 
42:1:016:0	Ízrel bidine'é lą'í yilt'éego biBóhólníihii t'áá éí biDiyin God yich'į' t'ą́ą́' ninéidiyoo'ish. 
42:1:017:0	Iiláíjah yee át'éé nít'éé' yę́ę índa yee bidziil nít'éé' yę́ę bee Bóhólníihii yilą́ąjį' yigáał doo, áko azhé'é danilíinii t'áá bijéí tł'ááhdę́ę́' bada'áłchíní dayoosánígo áńdeidoodliił índa doo ak'eh dahół'íinii éí t'áá ákogi ádaat'éii bibee hódzáanii yik'eh dayíkáahgo áńdeidoodliił. Diné éí Bóhólníihii yiba' hasht'e'ádadólzingo íidoolííł yiniyé doogááł. 
42:1:018:0	Zekaráíyah éí diyingo naal'a'í áyidííniid, Ha'át'éegoshą' díí shił bééhodoozįįł? Jó, t'áá íiyisí hastiin sání sélį́į́', áádóó she'asdzą́ą́ ałdó' t'áá hazhó'ó bi'niitih. 
42:1:019:0	Áko diyingo naal'a'í hanáánáádzíi'go áháłní, Shí Géíbriyel, Diyin God yich'į' sizínígíí ásht'į́, áko nich'į' hadeesdzih biniyé shi'deel'a', díí hane' baa hózhóonii bee nił hodeeshnih biniyé. 
42:1:020:0	Áádóó jó'akon, díí ałtso ádaadzaa bijį́įjį', nidi'doolyiłgo doo yáníłti' da dííleeł, háálá shizaad baa hoolzhiizhgo bohodoolníłígíí t'áadoo yisínídląąd da. 
42:1:021:0	Áko diné áłah nilínígíí Zekaráíyah kin bii' sohodizin góne' t'áá yah ajííyáá nít'ée'go, haa lá hóót'įįd lá danízingo haba' áłah nilį́. 
42:1:022:0	Áádóó ch'éédzídzáago ch'ééh bich'į' hadzidziih, áko kin bii' sohodizin góne' hoł áhoodzaa lá daniizį́į́', háálá doo yájíłti'góó t'óó nabí'jígizh. 
42:1:023:0	Áádóó hanaanish ałtso bíighah azlį́į'go, haghangóó dah nízdiidzá.  
42:1:024:0	Díí ákódaadzaadóó bik'ijį' hwe'asdzą́ą́ Elízabeth i'niiltsąąd, áko ashdla' nídeezidjį' ná'ádees'į́į'go ání, 
42:1:003:1	Jesus doochíiłgi alą́ąjį' baa hóóne'
42:1:025:0	Bóhólníihii nilíinii diné bitahgi baa yánísin nít'éé' yę́ę, shits'éidee'aahgo shinééł'į́į́' yę́ędą́ą́' kót'éego shá ádzaa. 
42:1:026:0	Ákohgo hastą́ą́h nídeezidgo diyingo naal'a'í Géíbriyel éí Gálilii kéyahdi Názareth kin haal'áhíjį' Diyin God bits'ą́ą́dę́ę́' bi'deel'a', 
42:1:027:0	ch'ikę́ę́h Mary yolyéhígíí t'ah doo diné bee haleehii bich'į' bi'deel'a', diné ła' David ba'áłchíní náás ahoolchíłígíí Jóseph yolyéhígíí éí ch'ikę́ę́h yił ahaa doot'ashgo baa deet'ą́. 
42:1:028:0	Áko diyingo naal'a'í hoł yah ííyáago áhodííniid, Nił hózhǫ́ǫ le', agháago nich'ohas'ne'ii, Bóhólníihii nił hólǫ́! Asdzání bitahgi nik'ihojisdli'! 
42:1:029:0	Áko áho'doo'niidígíí t'áá íiyisí bik'ee hatah hodiisnáá', áádóó, Ha'át'íí lá shiłní, jinízingo hazhó'ó baa nitsídzíkees. 
42:1:030:0	Nít'éé' diyingo naal'a'í áhodííniid, T'áadoo bik'ee nił yé'í, Mary, háálá Diyin God bił nílį́ sínílį́į́'. 
42:1:031:0	Jó'akon, idí'nííltsąąłgo ashkii dííłchííł, áko Jesus bee yídíízhiił. 
42:1:032:0	Éí ayóó át'éii nilį́į doo, áádóó Aláahdi Ayóó'át'éii biYe' yolyée doo; bizhé'é David naat'áanii nilį́į́dą́ą́' bee bóhólnííh nít'éé' yę́ę Bóhólníihii Diyin God beididoo'ááł, 
42:1:033:0	áko hool'áágóó Jéíkab bidine'é yá hoo'áał doo, áádóó bee bóhólníihgo bił haz'áanii doo ninít'i' da dooleeł. 
42:1:034:0	Mary éí diyingo naal'a'í áyidííniid, Haash yit'éego díí ákódoonííł? Jó, diné t'ah doo shee haleeh da. 
42:1:035:0	Áko diyingo naal'a'í hanáánáádzíi'go áhodííniid, Níłch'i Diyinii nik'i hwiidooleeł, índa Aláahdi Ayóó'át'éii bibee adziilii nik'iidooldoh, éí bąą awéé', Diyin nilíinii, dííłchíłígíí Diyin God biYe' bee yídóojiił. 
42:1:036:0	Áádóó jó'akon, nik'éí Elízabeth haastih nidi ałdó' ashkii yééltsą́, áádóó doo ałchíi da bi'doo'niidii éí k'ad yiltsą́ągo hastą́ą́h nídeezid. 
42:1:037:0	Háálá Diyin God ha'át'íhída doo ch'ééh íidooł'įįł da. 
42:1:004:1	Mary éí Elízabeth yaa hotah níyá
42:1:038:0	Áko Mary ádííniid, Lą́'ąą, Bóhólníihii bá naal'a'í nishłį́; bíni'dii nizaad k'ehgo shich'į' áhodoonííł. Áko diyingo naal'a'í hats'ą́ą́' dah nídiidzá. 
42:1:039:0	Áko íídą́ą́' Mary dashdiiyáago tsxį́įłgo kéyahgi dził naaznilígóó, Júdah kéyahdi kin haal'áadi jiníyá, 
42:1:040:0	áko Zekaráíyah bighan góne' yah ajííyáago Elízabeth k'é bizhdííniid. 
42:1:041:0	Ákódzaago Elízabeth éí Mary k'é hodííniidígíí jidiizts'ą́ą'go, hatsą́ądi awéé' hidees'náá', áádóó Elízabeth éí Níłch'i Diyinii hwiih hóóle'go hwii' hadéébįįdgo 
42:1:042:0	yéego hadzoodzíi'go ázhdííniid, Asdzání bitahgi nik'ihojisdli', áádóó nits'ą́ą́dóó doochíłígíí ałdó' bik'ihojidlíi doo! 
42:1:043:0	Áko ha'át'éegoshą' shiBóhólníihii bimá shaa doogáałgo shaa deet'ą́? 
42:1:044:0	Háálá jó'akon, k'é shidííníniidígíí t'áá diséts'ą́'í awéé' bééstsánígíí bił hózhǫ́ǫgo naaztaz. 
42:1:005:1	Mary éí Diyin God yaa haniih
42:1:045:0	Áko asdzání oosdląądii éí bik'ihojidlíi doo, háálá Bóhólníihii bee bich'į' ha'oodzí'ígíí bohodoolnííł. 
42:1:046:0	Áko Mary ádííniid,Shii' sizíinii t'áá íiyisíBóhólníihii yaa haniih, 
42:1:047:0	Áádóó níłch'i shii' sizíinii Diyin God Yisdáshííłtíinii yaa bił hózhǫ́, 
42:1:048:0	Háálá asdzání há naal'a'í nilíinii yee a'oh át'éii hoł nilį́.Áko jó'akon, kodóó náás da'ahílchíhígíí t'áá ałtso nik'ihojidlí dashiłníi dooleeł. 
42:1:049:0	Háálá Ayóó'áhóodziilii éí ayóó ádaat'éii shá ájiilaa,áádóó házhi' diyin. 
42:1:050:0	Áádóó dahodísinígíí da'ahílchííhdę́ę́' áádóó da'ahílchííhgóó hwe'aa a'ááh hasin bił dahólǫ́. 
42:1:051:0	Hagaan bee hwe'adziil bééhózingo ájiilaa,diné bijéí biyi'dę́ę́' ádaa hodzódlí yee nitsídaakeesii taznooskaad. 
42:1:052:0	Ayóó át'éego nidant'áii a'ohgo ádaat'éego ájiilaa,índa a'ohgo ádaat'éii ayóó ádaat'éego ájiilaa.  
42:1:053:0	Dichin danilį́į́ nít'éé' yę́ę yá'ádaat'éehii yee hwiih danilį́įgo ájiilaa,áádóó da'at'į́į́ nít'éé' yę́ę t'áá ákohígo adajiis'a'. 
42:1:054:0	Hwe'aa a'ááh hasin bee bééjoolnii'gohá naal'a'í nilíinii Ízrel bíká ajoolwod, 
42:1:055:0	t'áá danihizhé'é yę́ę bich'į' hadziisdzíi'go,éí Éíbraham áádóó ba'áłchíní náás da'ahílchíihii hool'áágóó bee baa dzidzoozba'.  
42:1:006:1	John Tó Yee Asį́įhii yizhchį́
42:1:056:0	Áádóó Mary éí Elízabeth ya'ałk'ee sidáago táá' daats'í nídeezid, áádóó índa haghangóó anídzoodzá. 
42:1:057:0	Áádóó Elízabeth azhdoołchíiłjį' ahoolzhiizh, nít'éé' ashkii jishchį́. 
42:1:058:0	Áko bił kéédahojit'ínígíí índa dahak'éí éí Bóhólníihii ayóó át'éego haa a'ááh niizį́į'go deidiizts'ą́ą́', áko t'áá ałtso hoł bił dahóózhǫǫd. 
42:1:059:0	Áádóó ákódzaadóó tseebíí yiską́ągo awéé' bąąh náhidínóolgish biniyé jíkai, áko t'áá bizhé'é bízhi'ígíí bik'ehgo Zekaráíyah bee dayízhdóozhiił nít'éé', 
42:1:060:0	nidi bimá haadzíi'go ádííniid, Doo ákót'ée da, Johngo bee yídóojiił. 
42:1:061:0	Áko ádahodííniid, Nik'éí díí yízhíhígíí doo ła' bee wójíi da. 
42:1:062:0	Áko bizhé'é nabída'jigizhgo, Haash yolyée doo? dabijiníigo bíndabízhdíłkid. 
42:1:063:0	Áko bikáá' ak'e'alchíhí yíyííkeedgo ak'e'ashchį́, John yolyé, níigo. Áko t'áá ałtso t'óó bił adahayóí. 
42:1:064:0	T'áá áko hatsoo' náhii'na'go háádzoodzíi'go Diyin God baa hodziznih. 
42:1:065:0	Áko hanaagóó kéédahat'ínígíí t'áá ałtso bik'ee bił dahóóyéé' dahazlį́į́'. Áádóó díí ádaha'nínígíí Judíya kéyahgi dził naaznilígóó t'áá át'éé nít'éé' nidadeezdláád, 
42:1:007:1	Zekaráíyah nee'nijį' hoolne'ii
42:1:066:0	áko t'áá ádzíłtso dazdiizts'ą́'ígíí dahajéí biyi'di hasht'e'nidadziiznilgo ádajiní, Ákoshą' díí awéé' hait'ée dooleeł? Áko Bóhólníihii bił hólǫ́. 
42:1:067:0	Áádóó hazhé'é Zekaráíyah éí Níłch'i Diyinii bii' hadéébįįdgo, nee'nijį' hoolne'go ání, 
42:1:068:0	Bóhólníihii, Ízrel biDiyin God éí baa ha'niih!Háálá bidine'é yaa níyáago nááyiisnii'go hááyoo'nil, 
42:1:069:0	áádóó há naal'a'í David ba'áłchíní náás ahoolchíłígíí bitahdóóYisdá'iiníiłii ayóó ábóodziilii nihá hasht'eyiilaa, 
42:1:070:0	hodeeyáádą́ą́' Diyin God yá dahalne'ii dadiyinii dabizéé' yee hadahaasdzí'ígi át'éego, 
42:1:071:0	éí nihí nihida'ana'í bits'ą́ąjį', índa nihik'ee dadiniihii t'áá ałtso bílák'eedę́ę́' yisdáhidiikah biniyé, 
42:1:072:0	áko danihizhé'é yę́ę éí aa a'ááh hasin yee yá nihoní'áanii yi'doolíiłgo bidiyingo bee aha'deet'ánígíí yéédoolnih, 
42:1:073:0	jó, éí nihizhé'é yę́ę Éíbraham yich'į' yee ádee hadoodzíí', 
42:1:074:0	éí nihida'ana'í bílák'eedę́ę́' yisdánánihi'doo'nilgot'áadoo nídeildzidí bich'į' nidahwiidláa doogo nihaididoo'ááł, 
42:1:075:0	nihí dayéełkaahgóó diyingo índa ts'ídá t'áá ákogi át'éego bá dahinii'náa doo biniyé. 
42:1:076:0	Áko ni, awéé' nílíinii, Ts'ídá Aláahgo Át'éii yá halne'ii yinílyée doo,háálá Bóhólníihii bilą́ąjį' bá honít'i'góó hasht'ehóóliiłgo yínáał dooleeł, 
42:1:077:0	bidine'é bibąąhági át'éii yá yóó'iididoo'ááł,éí bee yisdá'iildéehii bił béédahodoozįįł biniyé, 
42:1:078:0	nihiDiyin God bee ajooba' yee oosáanii binahjį', aghánáhóó'áádę́ę́' nihee hayííłką́ągo  
42:1:079:0	chahałheełgi índa aniné bichaha'ohgi nidaháaztánígíí bik'i adinídíin doo, áádóó hózhǫ́ǫgo honít'i'góó nihoo'ish doo. 
42:1:080:0	Áko ashkii dínéesą́ągo bii' sizíinii bidziil silį́į́', áádóó Ízrel dine'é bitah nídzídzáajį' honoojíigi kééhojit'į́į́ nít'éé'.
