42:4:001:1	Jesus bóhodi'neestą́ą́'
42:4:015:0	Áádóó ákwii kéédahat'ínígíí kin yii' áłah nídaadleeh góne' t'áá ałtso naz'neeztą́ą'go haa dahaniih. 
42:4:016:0	Názarethdi hodi'neeszánígi jiníyá, áko háá'áyį́į́h jį́ azlį́į'go, t'áá áńjiit'įįhígíí bik'ehgo kin bii' áłah ná'ádleeh góne' yah ajííyáago, bich'į' íízhdóołtah biniyé dziizį', 
42:4:017:0	áko Aizéíyah éí Diyin God yá halne'ii binaaltsoos haa deiz'ą́. Ąą ájiilaago, kót'éego bee ak'e'ashchínígíí bik'izhníghal: 
42:4:018:0	Bóhólníihii biNíłch'i Diyinii shił hólǫ́,háálá badahojoobá'íígíí éí hane' yá'át'éehii bee bił dahashne' doogo biniyéak'ah shik'i yaadziidgo shíísį́į́'.[Bijéí daneezgaígíí hasht'éédadeeshdlííł biniyé,]daasnáanii éí béédahididoochiłígíí bee bił dahashne' dooleeł biniyé,doo da'oo'ínígíí da'oo'į́ nídadoodleeł biniyé shiníł'a', 
42:4:019:0	k'ad yihahígíí Bóhólníihii doogáałgo bá ashja ósin dishníigo baa hashne' dooleeł biniyé shiníł'a'.  
42:4:020:0	Áko naaltsoos yisdisii ałch'į' áńjiidlaago naal'a'í baa názhní'ą́ągo dah názneezdá, áko kin bii' áłah ná'ádleeh góne' áłah nilínígíí dahodiniilgęęzh. 
42:4:021:0	Áádóó bich'į' ayázh'niiłti', Díí Diyin God bizaad bee ak'e'ashchíinii dasidoots'ą́'ígíí díí jį́ bohoolyaa. 
42:4:022:0	Áko t'áá ałtso yá'át'éehgo há hadaasdzíí', áádóó saad bee ajooba'ii bee hadzoodzí'ígíí bik'ee t'óó bił adahayóigo ádadííniid, Da' díísh doo Jóseph biye' át'į́į da? 
42:4:023:0	Áko ábizhdííniid, Kóhá'nínígíí t'áá aaníí bee shá hadadoohdzih, Azee' ííł'íní, t'áá ni náá'ádiidlááh. T'áá Kapérniyamgi íinidzaago bee naa dahosidiits'ą́'ígíí, éí ałdó' kwe'é nikéyahgi baa nidíínaał. 
42:4:024:0	Áko ánááhodoo'niid, T'áá aaníí ánihidishní, Diyin God yá halne'ii doo ła'da t'áá bí bikéyahgi ts'ídá doo hodi'nidzin da. 
42:4:025:0	Nidi t'áá aaníígóó ánihidishní, Iiláíjah hináádą́ą́' t'áadoo nahałtiní táá' nááhaidóó ba'aan hastą́ą́h nídeezid, áko Ízrel bikéyahgi t'áá át'éé nít'éé' t'áá íiyisí hodííchįįd; íídą́ą́' éí kéyahgi asdzání bąąh ádahasdįįdii lą'í dahólǫ́ǫ nidi, 
42:4:026:0	Iiláíjah doo ła' bich'į' abi'dool'a' da, nidi Sáídan kéyahdi Zárefathgóó t'éiyá asdzání bąąh áhásdįįd léi' bich'į' abi'dool'a'. 
42:4:027:0	Áádóó Iiláísha Diyin God yá halne'ii ałdó' hináádą́ą́' Ízrel bikéyahgi łóód ats'íís yiyáanii naałdzidii bee bąąh dah nidahaz'ánígíí t'óó ahayóí nít'éé', nidi t'áadoo ła' náábi'dooldzí'í da, nidi Néíyaman, Síriyadę́ę́' diné nilíinii, t'éiyá nábi'dooldzíí'. 
42:4:028:0	Áko kin bii' áłah ná'ádleehí yii' áłah nilínígíí t'áá ałtso, díidí deidiizts'ą́ą'go t'áá íiyisí bádahóóchįįd. 
42:4:029:0	Áko hach'į' dah diijée'go kin sinilídóó ch'íhódahazyil. Dah yisk'id bighą́ą'gi dabikin sinil, áko hatsii' ha'yaago hadah adahodiyiilghą́ą́ł danízingo tsédáa'jį' adahazlóóz. 
42:4:004:1	Diné níłch'i nichxǫ́'í bii' hólóonii
42:4:030:0	Nidi t'óó bitahgóó ch'ízhníyáago dashdiiyá. 
42:4:031:0	Áádóó kéyah Gáliliigi Kapérniyam kin haal'áhí góyaa jiníyá. Áko t'áá háá'áyį́į́h jį́ ná'oodleeł góne' nazh'nitin, 
42:4:032:0	áko nazh'nitinígíí yik'ee t'óó bił adahayóí, háálá hazaad bidziilgo bee yájíłti'. 
42:4:033:0	Áádóó kin bii' áłah ná'ádleehí biyi' góne' diné ła' níłch'i bi'iiníziinii nichǫ́'íii bii' hólǫ́ǫ́ léi' sidáá lá; éí yéego hadoolghaazhgo ání, 
42:4:034:0	Yíiyá! Haashą' nihidíílííł, Názarethdóó Jesus nílíinii? Da' ánihidííłdįįłgoósh yíníyá? Ánít'íinii shił bééhózin, Diyin God bits'ą́ą́dóó Diyinii nílį́. 
42:4:035:0	Nidi Jesus éí yideeztehgo ííłní, T'áadoo ádíníní, hayi'dę́ę́' haninááh! Áko níłch'i bi'iiníziinii áłah ílínígíí bitahjį' ahoyííłhango, t'áadoo atíhoolaaí, hayi'dę́ę́' haalwod. 
42:4:036:0	Áko t'áá ádzíłtso t'óó hoł adahayóigo áda'ahizhdi'ní, Díí saadígíishą' ha'át'íí át'é? Háálá bee óhólníihii índa bee adziilii bee níłch'i danchxǫ́'íii yich'į' hahadziihgo diné biyi'dę́ę́' hahaazhjéé'! 
42:4:005:1	Jesus éí diné t'óó ahayóí hadaałt'é áńdayiidlaa
42:4:037:0	Áko ákwii kéyahígíí binaagóó t'áá át'éé nít'éé' bee haa hane'go adahideezdláád. 
42:4:038:0	Áádóó nízhdii'na'go kin bii' áłah ná'ádleehí biyi'dę́ę́' ch'ízhníyáago, Sáíman bighangi yah ajííyá. Nít'éé' Sáíman be'asdzą́ą́ bimá t'áá íiyisí bitah honeezgai lá, áko yá nídahookąąh. 
42:4:039:0	Áádóó bíighahgi dziizį'go tah honiigááh, Bits'áníldóóh, bizhdííniid, áko bits'áldogo t'áá áko nídii'na'go há chooz'įįd. 
42:4:040:0	Áko k'adę́ę e'e'aahgo, t'áá ałtso naałniih ał'ąą ádaat'éii bee bąąh dah nidahaz'ánígíí haa dayiizhjaa', áko t'áá ałtso bik'i dah dahizhdeesnii'go hadaałt'é áńdajiidlaa. 
42:4:006:1	Jesus éí hane' yá'át'éehii yaa nahodoolnihgóó dah diiyá
42:4:041:0	Áádóó diné lą'í dabiyi'dę́ę́' níłch'i bi'iiníziinii hahaazhjéé', éí dadilwoshgo ádaaní, Ni Christ Diyin God biYe' nílį́! Nidi Christ jílį́įgo bił béédahózingo bąą dzideeztehgo hadadoodzihígi t'áadoo bee bá hojiił'a' da. 
42:4:042:0	Áádóó hoos'įįdgo dashdiiyáago doo naagháhígóó ajííyá. Áko diné hadahontáago haa haaskaigo ch'ééh doo haa daadlee'góó bits'ą́ą́' dashdiiyá, 
42:4:043:0	nidi ábizhdííniid, Náánáłahdi kin hadaas'áhígi ałdó' Diyin God bee bóhólníihgo bił haz'áanii baa hane' bee bił ninááháshne' dooleeł, háálá éí biniyé shi'deel'a'. 
42:4:044:0	Áádóó Judíya kéyahdi kin bii' áłah nída'adleehígíí biyi' Diyin God baa ninááhojilne'.
