42:10:001:1	Tsosts'idiin jilt'éego daho'dool'aad
42:10:014:0	Nidi ánihwiit'aah beiníłką́ądi Táir índa Sáídan kin haal'áagi kéédahat'į́į́ nít'éé' yę́ę biláahdi át'éego atídanihidi'doolnííł. 
42:10:015:0	Áádóó nihí, Kapérniyam dine'é nohłíinii, da' yá'ąąsh ánízahgoósh nihaa dahodoo'nih? Nihíyee' hool'áágóó ti'hoo'nííh góyaa dadoohłeeł.  
42:10:003:1	Tsosts'idiinígíí nákai
42:10:016:0	Jó, t'áá háiida danihidiits'a'ígíí éí dashidiits'a', áádóó t'áá háiida doo danihinízinígíí éí doo dashinízin da, áádóó t'áá háiida doo dashinízinígíí éí shiníł'a'ígíí ałdó' doo deinízin da. 
42:10:017:0	Áko tsosts'idiinígíí hoł dahózhǫ́ǫgo níjíkaigo ádajiní, Bóhólníihii, níłch'i bida'iiníziinii nidi nízhi' yee nihik'eh dahół'į́! 
42:10:018:0	Áádóó ábizhdííniid, Atsiniltł'ish ahootahígi át'éego yá'ąąshdę́ę́' Séítan adadzííłhaalgo yiiłtsą́. 
42:10:019:0	Jó'akon, tł'iish índa séígo' bik'i naałdeeh doo biniyé bee óhólnííh nihaa diní'ą́, áádóó ana'í bibee adziilii t'áá át'é bee nihídahólníih doo biniyé nihaa diní'ą́, áko ts'ídá t'áadoo atídanihidoolíłí da. 
42:10:004:1	Jesus bił hózhǫ́
42:10:020:0	Ákondi níłch'i nihik'eh dahół'ínígíí éí t'áadoo baa nihił dahózhóní, nidi yá'ąąshdi nihízhi' bee ak'eda'ashchínígíí éí baa nihił dahózhǫ́ǫ le'. 
42:10:021:0	T'áá éí hoolzhishígíí biyi' Níłch'i Diyinii bee hoł hózhǫ́ǫgo ázhdííniid, ShiTaa', yá'ąąsh índa nahasdzáán bee Nóhólníihii, nich'į' ahééh nisin, háálá díidí dahóyáanii áádóó ídahooł'ą́ą'ii bits'ąą nídíníł'į́į́', nidi áłchínígi ádaat'éii t'éí bił ííshją́ą́ ádeinilaa; t'áá aaníí, shiTaa', háálá éí nił yá'át'éehgo bee íinínízinígíí át'é. 
42:10:022:0	ShiTaa' t'áá ałtsoní sheidiní'ą́, áko t'áadoo ła' aYe' nilíinii yééhósiní da, t'áá hazhó'ó aTaa' t'éiyá, índa t'áadoo ła' aTaa' yééhósiní da, t'áá hazhó'ó aYe' t'éiyá áádóó aYe' éí t'áá háiida aTaa' bééhodzísingo áhodoolíłígíí t'éiyá. 
42:10:023:0	Áádóó hódahooł'aahii bich'į' nídzízyizgo t'áá bí t'éí ábizhdííniid, Daah'ínígíí deiníł'íinii dabináá' bik'idahojidlí! 
42:10:005:1	Samériya dine'é jooba'ii
42:10:024:0	Háálá ánihidishní, Diyin God yá dahalne'ii índa aláahgo nidant'áii lą'í yilt'éego daah'ínígíí k'adę́ę dayiiłtsééh, nidi t'áadoo dayiiłtsą́ą da, áádóó dadoohts'a'ígíí k'adę́ę deidiits'į́į́h, nidi t'áadoo deidiizts'ą́ą' da. 
42:10:025:0	Áádóó jó'akon, bee haz'áanii yína'niłtinii léi' yiizį'go háka'iiłhilgo ání, Na'nitiní, haash deeshníiłgo éiyá iiná doo ninít'i'ii shee hodooleeł? 
42:10:026:0	Áko ábizhdííniid, Bee haz'áaniishą' ha'át'íí níigo bee ak'e'ashchį́? Yíníłta'goshą' ha'át'íí niłní? 
42:10:027:0	Áko ábijiní,Nijéí t'áá át'é bee, áádóó nii' sizíinii t'áá át'é bee,áádóó nidziil t'áá át'é bee, índa níni' t'áá át'é beeBóhólníihii niDiyin God ayóó'ííní'ní, áádóó t'áá ni ádíí'ní'nínígi át'éego bił kééhót'íinii ayóó'ííní'ní.  
42:10:028:0	Áádóó Jesus ánááhodoo'niid, Ts'ídá t'áá ákóne' át'éé góne' bee háínídzíí'; t'áá éí baa naniná, áko hinínáa doo.  
42:10:029:0	Nidi doo shohodiit'i'góó ídi'deeshnííł jinízingo, Jesus ábizhdííniid, Ákoshą' háí bił kééhasht'íinii nilį́? 
42:10:030:0	Jesus ánáádoo'niidgo ání, Diné léi' Jerúsalemdóó Jériko góyaa dashdiiyá, nít'éé' aghada'ii'níiłii bizajííyá, áádóó haghada'iis'nil índa tídahodiilaago k'asdą́ą́' dahwiisxį́įgo hats'ą́ąjį' dah diijéé'. 
42:10:031:0	Nít'éé' ts'ídá ákohgo náá'iiłniihii léi' ákóyaa yigááł lá; éí hoołtsą́ągo hak'ee'ąą dah diiyá. 
42:10:032:0	T'áá ákót'éego Líívai dine'é ła' ákwe'é náánáádáałgo nááhoołtsą́ągo ałdó' hak'ee'ąą dah náádiidzá. 
42:10:033:0	Nidi Samériya dine'é léi' ałdó' náánáádáałgo ákwe'é náánádzá, áko hoołtsą́ągo haa a'ááh niizį́į́', 
42:10:034:0	áádóó hach'į' niníyáago atího'diilyaa yę́ęgóó ak'ah índa wáin yąąh áyiilaago yik'í'deezdiz, áko bitélii yik'i dahastį́, áádóó da'njahgi hoł yah íí'áazhgo haa áhályą́. 
42:10:035:0	Nít'éé' biiskání denériyas naaki hayíínilgo da'njah bee bóhólníihii yeinínilgo kóní, Baa áhólyą́, áádóó t'áá ha'át'íhída há ninááhíníłnii'ígíí éí náánísdzáago bik'é nich'į' niná'deeshdlééł. 
42:10:036:0	Diné aghada'ii'níiłii bizajííyáhígíishą' diné tált'éhígíí háí hoł kééhat'íinii nilį́įgo baa nitsíníkees? 
42:10:006:1	Jesus éí Martha áádóó Mary yaa hootah níyá
42:10:037:0	Áko ázhdííniid, Haa joozba'ígíí lą́ą. Jesus áhodííniid, Nílááh, ni ałdó' t'áá ákónít'į́į le'. 
42:10:038:0	Áádóó náázdeeskaigo, kin sinil léi'gi Jesus jiníyá, áko asdzání Martha yolyéé léi' bighan góne' yah ajííyáago haa bił hóózhǫǫd. 
42:10:039:0	Áko bideezhí hólǫ́ǫgo Mary yolyé, éí Bóhólníihii yíighahgi sidáago bina'nitin yiyíists'ą́ą́'. 
42:10:040:0	Nidi Martha lą'ígóó naal'a'go bi'diił'á, áko hach'į' niníyáago áháłní, Bóhólníihii, da' shideezhí t'óó shi'níłnii'goósh t'áá sáhí naash'a'go nił yá'át'ééh? Bíká anilyeed shá bidiní. 
42:10:041:0	Nidi Bóhólníihii haadzíi'go áhodííniid, Martha, Martha, ni'diił'áii índa níni' łą́ągo áyósinii t'óó ahayóí, 
42:10:042:0	nidi t'ááłá'í t'éiyá aláahdi ílį́. Mary éí ílínígíí ádeideet'ą́, éí doo bighadidoot'áał da.
