42:16:001:1	Naalye'é yaa áhályáanii bina'adlo'ii binahjį' hane' bee ak'idi'dootį́įłii
42:16:011:0	Ákohgo at'į́ doo t'áá ákogi át'éii aya'iidoolohígíí nidi doo bee nihada'ahódlíi da nít'ée'go, ákoshą' háí at'į́ t'áá aaníinii yee niha'iidooliił? 
42:16:012:0	Áádóó diné náánáła' bíhígíí nidi doo bee nihada'ahódlíi da nít'ée'go, háishą' t'áá danihíhígíí nihaididoo'ááł? 
42:16:002:1	Bee haz'áanii Mózes baa deet'áanii
42:16:013:0	Naal'a'í ła'da doo t'áá łahjį' naat'áanii naaki bá nijól'a' át'ée da, háálá ła' bik'eezhdiniih doo, ła' éí ayóó'ájó'níi doo, éí doodaléi' ła' doo nahdi jó'níi da doo, ła' éí jijoołáa doo. Diyin God índa at'į́ doo t'áá łahjį' bá nijól'a' át'ée da.  
42:16:014:0	Férisii danilíinii, éí béeso yíchą́deídéelni'ii, díidí deidiizts'ą́ą'go há nídahodiiłt'i'. 
42:16:015:0	Nidi ábizhdííniid, Nihí éí diné dabinááł doo nihidahodiit'i'góó ídadi'diilnííł danohsin, nidi Diyin God éí nihijéí bił bééhózin, háálá diné bitahgóó ayóó ádaat'é dawó'níinii éí Diyin God binááł nádį́'ídi t'óó baa'ihii ádaat'é. 
42:16:016:0	Bee haz'áanii Mózes baa deet'áanii índa Diyin God yá dahalne'ii binaaltsoos John níyáhíjį' bee nihoolzhiizh, áádóó wóshdę́ę́' Diyin God bee bóhólníihgo bił haz'áanii baa hane' yá'át'éehii baa hodeezne', áko diné t'ááłá'í nítínígo t'áá bizááká yiih hijeeh. 
42:16:003:1	Jesus ałts'á'iildééh yeinít'į́
42:16:017:0	Nidi yádiłhił índa nahasdzáán bił yóó'ahodoogááłjí éí doo bohónéedzą́ą da, nidi bee haz'áanii biyi'dóó t'ááłáhígo dah alzhin t'áadoo biniyéhí da dooleełjí éí agháago doo bohónéedzą́ą da.  
42:16:004:1	Diné at'íinii áádóó Lázaras
42:16:018:0	T'áá háiida hwe'asdzą́ą́ yóó'azhdíí'ą́ągo áádóó náánáłahjį' asdzání bá náá'dzísgehígíí éí azhdííláago át'é, áádóó asdzání yóó'abi'doot'ánígíí t'áá háiida bá náá'ázyehgo éí azhdííláago át'é.  
42:16:019:0	Diné ła' t'áá íiyisí at'į́į́ léi', éé' tsídídééh nahalingo łichí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'é áádóó t'áá ákwíí jį́ ch'iyáán ałtaaskąądí t'éiyá yiyą́. 
42:16:020:0	Áko bich'éédą́ą'gi adókeedí léi', Lázaras yolyéego sitį́, éí t'áá át'éé nít'éé' łóód bąąh hólǫ́. 
42:16:021:0	Diné at'ínígíí bibikáá' adání bikáá'dę́ę́' ch'iyáán hadahindéhígíí sha'dooltsoł jinízingo; t'ah nááyówehígo łééchąą'í nidi hach'į' dah yijahgo halóód deiłnaad. 
42:16:022:0	Nít'éé' diné bahojoobá'íígíí daaztsą́ągo diyingo nidaal'a'í dah dabidiiłtį́įgo Éíbraham yílák'e deistį́. Áádóó diné at'íinii ałdó' daaztsą́ągo yóó'ábi'diilyaa, 
42:16:023:0	áko hool'áágóó ti'hojoonííhdóó hajííghal, nít'éé' doo deighánídi Éíbraham jiiłtsą́, Lázaras dah yoołtéełgo. 
42:16:024:0	Áko hazhdoolghaazhgo ájíní, Shizhé'é Éíbraham, t'áá shǫǫdí shaa jiiníbaah, áádóó Lázaras shich'į' díł'á, bíla' bílátahgi yee taah didoolnihgo shitsoo' yee néidínóołk'as, háálá díí kǫ' biyi'gi t'áá íiyisí ti'hooshnííh. 
42:16:025:0	Nidi Éíbraham áhodííniid, Shiye', hinínáádą́ą́' t'áá ałtso yá'ádaat'éehii bee ákisínídla'ígíí béénílnííh áádóó éí t'áá bináłt'éego Lázaras bich'į' nahwii'náá nít'é'ígíí ałdó' béénílnííh, nidi k'ad éí kwe'é bił náhoojǫǫd, nidi ni t'éí t'áá íiyisí ti'hwiyínííh. 
42:16:026:0	Áádóó nihí índa ni ałdó' nihita'gi doo tsé'naa nijóya'ígi át'éégóó hasht'ehoolyaa, áko kodóó naa doodáłígíí doo bohónéedzą́ą da, áádę́ę́' ła' nihaa doogáłígíí ałdó' doo bohónéedzą́ą da. 
42:16:027:0	Áko ázhdííniid, Éí lá bąą shizhé'é, nánooshkąąh, shizhé'é bighangóó hodíł'á, 
42:16:028:0	háálá bił háájéé' ashdla', áko oo'íinii k'ehgo bił dahozhdoolnih, áko éí ałdó' díí ti'hoo'níhígi doo nidahidookah da. 
42:16:029:0	Nidi Éíbraham áhodííniid, Éí Mózes índa Diyin God yá dahalne'ii binaaltsoos bee dahólǫ́; bíni'dii éí dayíists'ą́ą́'. 
42:16:030:0	Áko ázhdííniid, Dooda, shizhé'é Éíbraham, jó, ła' daaztsą́ą́dę́ę́' baa nádzáago, bił hoolne'go łahgo át'éego tsíńdadookosgo Diyin God yich'į' nídadooyis. 
42:16:031:0	Nít'éé' ánáábizhdoo'niid, Mózes índa Diyin God yá dahalne'ii doo dayíists'ą́ą́'góó, ha'át'éegoshą' áko da'aztsą́ą́dę́ę́' ła' náádiidzáii dayíists'ą́ą' doo.
