27:1:001:1	Daniel áádóó bik'isóó ídahooł'aah
27:1:011:0	Ákohgo naa'nil yaa áhályáanii jílį́įgo éí Daniel, Hananáíyah, Mísheiyel índa Azaráíyah baa áhojilyą́ą doo biniyé naa'nil binanit'a'í nihoníłtíinii Daniel áhodííniid, 
27:1:012:0	Háni'dii nanise' bił da'adáanii t'éí deiidą́ągo índa tó t'éí deiidlą́ągo neeznáá yiską́ąjį' ná nidaal'a'í niidlíinii haa daniit'ée doo nił bééhodoozįįł. 
27:1:013:0	Áko nihí índa ashiiké ániid nidaakaii aláahgo naat'áanii bich'iyą' deiyáanii bił hanihidíísiłgo haa daniit'éego nił bééhodoozįįł áádóó nił bééhoozinii bik'ehgo ná nidaal'a'í niidlíinii ánihíł'į́į doo. 
27:1:014:0	Ákódaaníigo hoł t'áá ííkoh áádóó hoł bééhodoozįįł biniyé neeznáá yiską́ąjį' ákójiilaa. 
27:1:015:0	Neeznáá yiską́ąjį' ashiiké ániid nidaakaii t'áá ałtso aláahgo naat'áanii bich'iyą' deiyą́ągo nidaneelk'aaígíí biláahgo yá'ádajít'éehgo bił bééhoozin. 
27:1:016:0	Ákohgo haa áhályáanii éí ch'iyáán áádóó wáin há nahjį' kóyiilaa, áko nanise' bił da'adáanii dajiyą́ą doogo haidiní'ą́. 
27:1:017:0	Díí ashiiké ániid nidaakaii dį́lt'éhígíí éí ił ééhózin áádóó iichįįhgo óhoo'aah índa bee hódzáanii t'áá ałtso Diyin God beidiní'ą́, áko Daniel éí ił áhát'į́ índa na'iigeeł t'áá ałtso bik'izhdiyiitįįh. 
27:1:018:0	Ákohgo t'áá ałtso aláahgo naat'áanii ts'ídá yah aho'di'doot'ishgo yee hooł'a'ii baa hoolzhiizhgo aláahgo naat'áanii Nébukadnézzar bidááhdę́ę́' naa'nil binanit'a'í nihoní'eezh. 
27:1:019:0	Áádóó aláahgo naat'áanii bił ałch'į' hadadziisdzíí', áko Daniel, Hananáíyah, Mísheiyel áádóó Azaráíyah éí aláahgo naat'áanii bidááhdę́ę́' nidzizį́įgo ániid nidaakaii bitahdóó ts'ídá t'áadoo hógi ádaat'éhí da lá. Éí bąą nidajil'a' doo biniyé aláahgo naat'áanii bidááhdóó dadziizį'go bá dazdees'a'. 
27:1:020:0	Áko hódzą́ áádóó ak'idi'yiitįįh t'áá ałtso aláahgo naat'áanii hazhó'ó yínahódíłkidgo álílee k'ehgo ída'ooł'įįłii índa déest'į́į́' ádeił'íinii aláahgo bee hóhólníihgo bił haz'ą́ą́dę́ę́' nidahaaskaígíí t'áá ałtso biláahgo neeznáadi ahą́ą́h nániiláago yá'át'éehgo ak'idazhdiitánígíí bił bééhoozin. 
27:1:021:0	Áko Sáíras aláahgo naat'áanii náádoodleełii átsé baa yíhááh biná Daniel nijil'a' nít'éé'. 
