23:66:001:1	Bóhólníihii éí nihokáá' dine'é yaa nídóot'įįł áádóó Záíyan náásgóó yá'át'éehgo bił áhooníił doo
23:66:011:0	áko bibe' daołt'o'go hada'íídóołniił áádóó hwiih dadoohłeełígíí biniyé dahodoołt'oł; t'áá íiyisí baa bił hózhónígíí baa nihił dahózhǫ́ǫgo bibe' hadahidoołt'oł. 
23:66:012:0	Háálá Bóhólníihii kóní, Tooh nílį́ nahalingo ach'į' hózhóonii éí há bighą́ą́h nídideestsih áádóó ał'ąą dine'é yee ayóó ádaat'éii tó wó'ą́ą́lį́ nahalingo bá bighą́ą́h nídadi'deestsih, jó' akon, áko índa da'ołt'o' doo, booshk'iizh yee nanihijaah doo áádóó bitsosk'idgi dah nanihijaah doo. 
23:66:013:0	T'áá hamá hahwi'iyoosniidígi át'éego hanihi'diyeeshnih, áádóó Jerúsalemgi hadanihi'diyoolnih. 
23:66:014:0	Áádóó díí daołtsą́ągo nihijéí bił nidahoozhǫǫh doo áádóó nihits'in ch'il dit'ódí nahalingo danéeséeh doo áádóó Bóhólníihii bá nidaal'a'í yich'į' ádééhólzin doo índa bi'ana'í yich'į' báháchį'go bił béédahodoozįįł. 
23:66:015:0	Háálá Bóhólníihii éí nááts'ó'oołdísii nahalingo kǫ' áádóó bitsindaabąąs bijáád naakiígíí yee doogááł, jó'akon, áko yéego báháchį'ígíí áádóó baa hashke' éí kǫ' dah nídíno'ígíí nahalingo atíhodoolííł. 
23:66:016:0	Háálá bits'íís dahólóonii t'áá ałtso Bóhólníihii éí kǫ' áádóó diltłish yee yaa nídóot'įįł, áko Bóhólníihii yiyííghą́ą'ii t'áadoo bee néelą́'í da dooleeł. 
23:66:017:0	Dá'ák'eh ałníí'góó bikéézh'dookah biniyé diyingo áda'dilnéehgo ádąąh da'aldéehii, éí bisóodi bitsį' áádóó doo daadáanii índa na'ats'ǫǫsí deildeełgo éí t'áá łahjį' ázhdoodįįł, ní Bóhólníihii. 
23:66:018:0	Háálá ádajooníiłii áádóó hantsíkees shił bééhózin; ał'ąą dine'é áádóó bizaad ał'ąą ádaat'éii t'áá ałtso áłah áhodeeshłíłígíí baa hodoolzhish, áko nihizhdookahgo bee ayóó ánísht'éii deizdoołtsééł. 
23:66:019:0	Áádóó hatahgi bee ééhózinii ádeeshłííł índa yisdádahaaskaígíí ał'ąą dine'é bitahgóó dahodeesh'aał: Társhish áádóó Pul índa Lud kédaayahgóó éí ałtį́į́' nídeidiłts'ǫ'ii áádóó Túbal kéyahgóó índída Jéívan kéyahgóó áádóó doo deeghánídi kéyah táyi'dę́ę́' hadaaz'áágóó kéédahat'íinii bee shaa ha'niihii t'ah doo deidiits'į́įh daígíí índa ayóó ánísht'éii t'ah doo dayiiłtséeh daígíí bitahgóó dahodeesh'aał, áádóó ał'ąą dine'é bitahgóó ayóó ánísht'éii yaa dahalne' doo. 
23:66:020:0	Ákohgo Ízrel dine'é éí náádeidiyoołnihii łeets'aa' chin bąąh ádinii yee Bóhólníihii bikin bii' sohodizin si'ą́ąjį' da'íkaahígi át'éego Jerúsalemdi shidził diyinii si' ą́ąjį' ał'ąą dine'é t'áá ałtso bitahdóó łį́į́' bee índa tsindaabąąs bijáád naakiígíí bee áádóó diné bee nidaajahígíí bee áádóó dzaanééz bee índa naaldlooshii dadilwo'ii bee nihik'isóó danilíinii Bóhólníihii bich'į' nááhániihgo nideidiyoo'ish, ní Bóhólníihii. 
23:66:021:0	Éí bitahdóó nááda'iiłniihii áádóó Líívai dine'é danilį́į dooleeł biniyé ałdó' ła' nídideeshnił, ní Bóhólníihii. 
23:66:022:0	Áko yádiłhił ániidíii índa nahasdzáán ániidíii ádeeshłíłígíí shidáahgi hólǫ́ǫ dooleełígi át'éego na'áłchíní áádóó nízhi' t'áá hólǫ́ǫ doo, ní Bóhólníihii. 
23:66:023:0	Áádóó t'áá dah yiitą́ą́dóó dah náánéiitą́ąjį' índa t'áá háá'áyį́į́h jį́ ná'oodleeł bik'eh ał'ąą dine'é t'áá ałtso shidáahjį' áłah náádleełgo shich'į' nidahałáa doo, ní Bóhólníihii. 
23:66:024:0	Áádóó dah didookahgo ła' bee haz'áanii dayiizti'ii éí bits'íís daneeznánígíí deiníł'į́į doo; jó, baa da'ashch'oshígíí doo dadínóonéeł da áádóó dadéek'ą́ąhii doo dadínóotsis da índa bits'íís daniłchongo diné t'áá ałtso doo hat'áahjį' na'aldeeh da doo.
