2:30:001:1	Tsin bijeeh dilidgo łikání halchinii bikáá' náá'iiniihí
2:30:023:0	Spáis ts'ídá yá'ádaat'éehii nídidíínił: ak'ah ílíinii mir wolyéii ashdladi neeznádiin shékel bíighahgo áádóó sínaman wolyéego łikání halchinii ashdladi neeznádiin ałníí'dóó; éí naakidi neeznádiindóó ba'aan ashdladiin bíighahgo, áádóó akaz łikání halchinígíí kálamas wolyéii naakidi neeznádiindóó ba'aan ashdladiin bíighahgo 
2:30:024:0	índa kásha wolyéhígíí ashdladi neeznádiin bíighahgo nídidíínił, éí shékel hodiyingo haz'ánígi choo'íinii bik'ehgo, índa áliv bineest'ą' bik'ah t'ááłáhídi yikááł bíighahgo éí t'áá ałtso nídidíínił. 
2:30:025:0	Ak'ah ak'i yahiidzíidgo bee alzį́įhii éí bił bééhózinii ałtahgo ííł'ínígi át'éego ádíílííł; dílzingo ak'ah ak'i yahiidzíidii át'ée doo. 
2:30:026:0	Áko éí bee níbaal bii' dahozdísinii índa tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii bik'ídííłtah; 
2:30:027:0	bikáá' adání áádóó bibeedí t'áá ałtso índa bee hool'iní bá yadaa'áhígíí áádóó bił chodao'íinii t'áá ałtso índa bikáá' náá'iiniihí éí tsin bijeeh dilidgo łikání halchinii bá ályaaígíida 
2:30:028:0	áádóó bikáá' náá'iiniihí éí didlidgo nááhániihii bá ályaaígíí índa bił chodao'íinii t'áá ałtso, áádóó bii' tá'ádígisí áádóó bá si'ánígíida bik'ídadííłtah; 
2:30:029:0	éí dílzingo ádadííliił, áko ts'ídá aláahgo dadílzin doo, áko t'áá ha'át'íhída bíhidéé'ná'ígíí éí dílzin dooleeł. 
2:30:030:0	Éran áádóó biye'ké ak'ah bik'i yadeidííziłgo diyingo bits'ąą dahasti'go shá nidaal'a'go náá'iiłniihii danilį́į doo. 
2:30:031:0	Áko Ízrel dine'é ábididííniił, Díí ak'ah dílzingo ak'i yahiidzíidii shá ats'ádeet'ą́ągo náás da'ahíínółchííhgóó nihá át'ée doo. 
2:30:032:0	Diné t'áá azlį́'ígíí doo bits'íís bik'i yeidooził da; t'ááká spáis ałtahgo ál'ínígi át'éego éí ak'ah bił aheełt'éhígíí ánáádaohdle' yíila'; dílzinii át'é, áko nihich'į'go dílzingo nideet'áanii át'é. 
2:30:033:0	T'áá háiida díí bił aheełt'éego ájiilaago índa t'áá háiida doo Ízrel dine'é nilíinii bik'i yadziiziidgo éí hadine'é bits'ą́ąjį' hodi'yoolyééł. 
2:30:034:0	Áádóó Bóhólníihii éí Mózes áyidííniid, Spáis łikání dahalchinii nídidíínił: éí stáktii wolyéhígíí áádóó ánika wolyéhígíí índa gálbanam wolyéhígíí áádóó tsin bijeeh dilidgo łikání halchinii fránkinsens wolyéii bił t'áá bízhání nídidíínił; t'áá ahidaałt'éego dah dahidiidloh doo, 
2:30:035:0	áko tsin bijeeh dilidgo łikání halchin dooígíí éí áshįįh bił ałtahgo t'áá bízhánígo índa dílzingo bił bééhózinii ííł'ínígi át'éego ádíílííł. 
2:30:036:0	Ła' áłts'íísígo dadidííséigo łahjį' níbaal bii' dahozdísinii biyi' góne' éí tsits'aa' dílzinii bidááhjí ła' nidííjih; áadi nił ahínéisht'ash doo; éí nihich'į'go ts'ídá aláahgo dílzinii át'é. 
2:30:037:0	Tsin bijeeh dilidgo łikání halchinii t'áá bee haz'ą́ągo ál'ínígíí bik'ehgo ádíílíłígíí éí doo t'áá nihí ádá ádadoohłíił da, háálá nihich'į'go Bóhólníihii dílzingo bá ats'át'áanii át'é. 
2:30:038:0	T'áá háiida éí łikání halchin doo biniyé bił aheełt'éii ádá ájiilyaago éí hadine'é bits'ą́ąjį' hodi'yoolyééł. 
