2:29:001:1	Éran áádóó biye'ké ats'á'nil
2:29:017:0	Áko éí deenásts'aa' nihidííłgishgo bitsą́ siláii índa bijáád ałdó' táádadíígis, áádóó nihíníłgizhígíí índa bitsii' t'áá bił t'ááłáhígi nidííniłgo 
2:29:018:0	bikáá' náá'iiniihí bikáa'gi deenásts'aa' t'áá át' é didííłił; éí Bóhólníihii bich'į' didlidgo nááhániihii át'é; Bóhólníihii bich'į' didlidgo nááhániihii łikání halchinii át'é.  
2:29:019:0	Áko deenásts'aa' ła'ígíí nínáádidíídlóosgo Éran áádóó biye'ké éí deenásts'aa' bitsii'káa'gi dah náádahididoolnih, 
2:29:020:0	áádóó deenásts'aa' náádiyííłhééł, áko bidił łahjį' nídidííkáałgo Éran bijaa' nish'náájíígíí bílátahgi bee díídlish, índa biye'ké dabijaa' nish'náájíígíí bílátahgi ałdó' bee dadíídlish, áádóó Éran índa biye'ké dabílátsoh nish'náájíígíí dadíídlish, áádóó dabikétsoh nish'náájíígíí ałdó' dadíídlish, índa yidziihígíí bikáá' náá'iiniihí t'áá ałtsodę́ę́' bik'ídííłtah. 
2:29:021:0	Dił éí bikáá' náá'iiniihí bik'ísíníłtahii t'áá bíí'ohígíí áádóó ak'ah ak'i yahiidzíidgo bee alzį́hígíí ła' nídidííkáałgo Éran áádóó bi'éé' bik'ídííłtah, índa haye'ké áádóó dabi'éé' ałdó' bik'ídadííłtah, áko hó índa ha'éé' dadiyin doo; haye'ké áádóó dabi'éé' ałdó' dadiyin doo. 
2:29:022:0	Éí deenásts'aa' bik'ah áádóó bitsee' neesk'ahígíí áádóó bitsą́ siláii bąąh ak'ahígíí áádóó azid bíighahgi ak'ahígíí, áádóó atsą́ áshk'azhí bąąh ak'ahígíí índa ajáád nish'náájíígíí bił nídidíínił, háálá diyingo bits'ąą hasti'go deenásts'aa' há nááhániihii át'é. 
2:29:023:0	Náá'áłdó' bááh áádóó ak'ah bił bááh ályaii índa díík'ǫsh t'áágééd bááh ályaii Bóhólníihii binááł ts'aa' bee siką́ągo t'áá daałá'ígo nídidíínił, 
2:29:024:0	áko éí t'áá ałtso Éran áádóó biye'ké bílák'ee dííniłgo náásee bił nídi'dilnihgo nááhániihii át'éego Bóhólníihii binááł náásee bił nídabidiyíłnih doo. 
2:29:025:0	Áko índa dabilák'eedóó nídidííniłgo bikáá' náá'iiniihí bikáa'jį' Bóhólníihii bich'į' łikání halchinii át'éego didlidgo nááhidííłnih; éí Bóhólníihii bich'į' didlidgo nááhániihii át'é. 
2:29:026:0	Deenásts'aa' bijéíts'iin bee Éran diyingo bibits'ąą hasti'go há náásee bił nídi'dilnihgo nááhániihii Bóhólníihii binááł ajéíts'iin náásee bił didíílnih; ajéíts'iinígíí éí ni doo. 
2:29:027:0	Ajéíts'iin náásee bił nídi'dilnihgo áádóó ajáád bił dah nídi'diilnihgo nááhániihii dílzingo ádíílííł; deenásts'aa' bee diyingo hats'ąą haasti'go éí Éran áádóó biye'ké bá át'é. 
2:29:028:0	Éran áádóó biye'ké éí Ízrel dine'é náádayiiłniihii hóó' neheleehgo yee nihoní'ą́ągo ahool'áa doo; jó, bił dah nídi'diilnihgo nááhániihii át'é; Ízrel dine'é bihózhǫ́ǫ́jí nááhániihii bits'ą́ą́dóó Bóhólníihii bich'į'go bił dah nídi'diilnihgo náádayiiłniihii át'é. 
2:29:029:0	Éran bikéé' áhásdįįdgo bi'éé' dadílzinii biye'ké baa daalzįįhgo yąąh noonéeł doo; t'áá bí bi'éé' yileehígíí yii' sitį́įgo ak'ah bee bi'dilzįh áádóó diyingo bits'ąą hasti'ii ábi'diil'įįh. 
2:29:030:0	Haye' hatsásk'ehgi náá'iiłniihii dooleełígíí éí éé' bee hazhdít'éego tsosts'id yidoołkáałgo níbaal bii' dahozdísinii hodiyingo haz'ání góne' nijil'a' doo biniyé yah aníjídáah doo. 
2:29:031:0	Diyingo hats'ąą hasti'go há deenásts'aa' bitsį' nááhaaznii'ii hodiyingo haz'ą́ągi náníłbish doo, 
2:29:032:0	áko Éran áádóó biye'ké éí deenásts'aa' bitsį' índa ts'aa' bee bááh sikánígíí nídeidį́įh doo; níbaal bii' dahozdísinii bich'é'étiingi ákódaat'į́į doo. 
2:29:033:0	Éí nídeidį́įhgo bee á k'énáhoodǫǫłii anídayiil'įįhgo diyingo bits'ąą hasti'ii índa dadiyingo ádayósin doo. Diné t'áá azlį́'ígíí éí doo yidooyį́įł da, háálá dólzinii át'é. 
2:29:034:0	Ats'áhwííníłtínígíí há nááhaaznii'ii atsį' áádóó bááh ła' abínígo ch'ínííłna'go didííłił; éí doo doodį́įł da, háálá nááhániihii dólzinii át'é. 
2:29:035:0	Áádóó Éran índa biye'ké bá bee ádííniidígíí t'áá át'é bik'ehgo ádíílííł; tsosts'id jį́ diyingo hats'ąą hasti' doo. 
2:29:036:0	T'áá ákwíí jį́ ádił ni'iidzííhjí nááhániihii dóola yázhí nááhíłniih doo áádóó bikáá' náá'iiniihí doo bąąh chinígóó áníléehgo bikáa'gi bee k'ééhoodǫǫłii nááhíłniih doo índa bikáa'jį' ak'ah yeidííziłgo dólzingo ádíílííł. 
2:29:002:1	T'áá ákwíí jį́ náádahaniihii
2:29:037:0	Tsosts'id jį́ bee k'ééhoodǫǫłii ánéinil'įįhgo bikáá' náá'iiniihí bá náhíłniihgo dólzingo ádíílííł; bikáá' náá'iiniihí aláahgo dólzinii át'ée doo; ha'át'íhígíida bíhidéé'náa'go dólzin doo. 
2:29:038:0	Bikáá' náá'iiniihí bikáa'gi nááhíłniih dooígíí éí díí: dibé yázhí ła' binááhaii naakigo t'áá ákwíí jį́ nááhíłniihgo hoolzhish doo. 
2:29:039:0	Dibé yázhí ła' abínígo nááhíłniih doo; éí e'e'áahgo ła'ígíí nááhíłniih doo; 
2:29:040:0	áłtséhé góne' dibé yázhí nááhíłniihgo ómer bee í'neel'ąąhí bee ak'áán t'ááłáhídi haaką́ągo éí kwáart bee í'neel'ąąhí bee áliv sikaadii bineest'ą' ník'íbí'neeshtłishii bik'ah haaką́ągo bił ałtahgo nááhíłniih doo, índa yanáadzi'go nááhániihii biniyé kwáart bee í'neel'ąąhí bee wáin hadookááł. 
2:29:041:0	Dibé yázhí ła'ígíí éí e'e'áahgo nááhíłniih doo; abínígo nááhíłniihígi át'éego ak'áán nááhidoonihii índa yanáadzi'go nááhidoonihii bił nááhíłniih doo; Bóhólníihii bich'į' łikání halchingo didlidgo nááhániihii át'é. 
2:29:042:0	Díí t'áá ákwíí jį́ didlidgo nááhániihii éí náás da'ahíínółchííhgóó níbaal bii' dahozdísinii bich'éédą́ą'gi Bóhólníihii binááł náádahoołniih doo; áadi nich'į' hanásdzih doo biniyé nił ahínéisht'ash doo. 
2:29:043:0	Áadi Ízrel dine'é bił áłah náshdleehgo ayóó ánísht'éego shits'ádi'nílídígíí bee ákwii haz'ánígíí dílzingo ályaa doo. 
2:29:044:0	Níbaal bii' dahozdísinii índa bikáá' náá'iiniihí dílzingo ádeeshłííł, áádóó Éran índa biye'ké diyingo nihodideesh'áałgo shá nidaal'a'go nááda'iiłniihii danilį́į doo. 
2:29:045:0	Áko Ízrel dine'é bitah kééhasht'į́įgo biDiyin God nishłį́į doo. 
2:29:046:0	Áko díí hoł béédahózin doo: Bóhólníihii haDiyin God nishłį́įgo hatah kééhasht'į́į doo biniyé Ííjip kéyahdę́ę́' ch'íhoní'eezhígíí ásht'į́ ni; Bóhólníihii haDiyin God nishłį́.
