2:38:001:1	Didlidgo nááhániihii bá bikáá' náá'iiniihí
2:38:009:0	Níbaal bii' hodílzinii binaa haz'ą́ągo áyiilaa; shádi'ááhjígo t'ááłáhídi neeznádiidóó ba'aan ashdladiin ké silá ánízahgo áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii nídadilbałígíí áyiilaa. 
2:38:010:0	Bá ííyah danii'áii naadiingo áádóó bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí ałdó' naadiingo béésh łitsoii bee ádaalyaa, nidi ííyah danii'áii bąąh hada'azhahígíí índa bita'ndaaz'áhígíí éí béésh łigaii bee ádaalyaa. 
2:38:011:0	Náhookǫsjí ałdó' t'ááłáhídi neeznádiindóó ba'aan ashdladiin ké silá ánízah; ííyah danii'áii naadiin áádóó bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí ałdó' naadiin; éí béésh łitsoii bee ádaalyaa, nidi ííyah danii'áii bąąh hada'azhahígíí áádóó bita'ndaaz'áhígíí éí béésh łigaii bee ádaalyaa. 
2:38:012:0	E'e'aahjígo tsosts'idiindóó ba'aan ashdla' ké silá ánízahjį' nínáá'dílbał; bá ííyah danii'áii éí neeznáá índa bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí ałdó' neeznáá; ííyah danii'áii bąąh hada' azhahígíí índa bita'ndaaz'áhígíí éí béésh łigaii bee ádaalyaa. 
2:38:013:0	Ha'a'aahjígo tsosts'idiindóó ba'aan ashdla' ké silá áhoníłtéél. 
2:38:014:0	Ch'é'étiingi łahjí naadiin naakidóó ná'áłníi'go ké silá ánízahjį' nída'dilbał; bá ííyah danii'áii táá' índa bitł'ááh naaznilii t'ááłáhíjí biih dahasdzánígíí ałdó' táá'. 
2:38:015:0	Łahjígo t'áá ákónáánát'é; ch'é'étiingi ałch'ishdę́ę́' naadiin naakidóó náá'áłníi'go ké silá ánízahjį' nída'dilbał; bá ííyah danii'áii ałch'ishdę́ę́' táá' índa bitł'ááh sinilii t'ááłáhíjí biih dahasdzánígíí ałch' ishdę́ę́' ałdó' táá'. 
2:38:016:0	Níbaal bii' hodílzinii binaa haz'ánígi nídadilbałígíí t'áá át'é áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee ádaalyaa. 
2:38:017:0	Ííyah danii'áii bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí béésh łitsoii bee ádaalyaa; bąąh hada'azhahígíí índa bita'ndaaz'áhígíí béésh łigaii bee ádaalyaa; bílátahjį' dah naaznilígíí béésh łigaii yik'ídeisti', índa bita'ndaaz'áhígíí béésh łigaii bee ádaalyaago bee ahee daniłdzilgo áyiilaa. 
2:38:018:0	Níbaal bii' hodílzinii binaa haz'ánígíí bich'é'étiingi dáádiníbaalígíí éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' naashch'ąą'go yistł'ǫ́ǫgo tádiin ké silá áníłnééz índa dego éí tsosts'idóó náá'áłníi'go ké silá áníłtéél; t'áá ahééníbaal áníłtélígíigi áníłtéél. 
2:38:019:0	Éí bá ííyah danii'áii dį́į́'; bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí ałdó' dį́į́'; éí béésh łitsoii bee ádaalyaa; bąąh hada'azhahígíí éí béésh łigaii bee ádaalyaa índa bílátahjį' dah naaznilígíí ałdó' béésh łigaii yik'ídeisti', áádóó ata'ndaaz'áhígíí ałdó' béésh łigaii bee ádaalyaa. 
2:38:004:1	Béésh ałtaas'éí níbaal bii' hodílzinii álnéehgi chooz'įįdígíí
2:38:020:0	Níbaal bii' hodílzinii índa binaa haz'ánígíí bá anídaalkałígíí t'áá ałtso béésh łitsoii bee ádaalyaa. 
2:38:021:0	Níbaal bii' hodílzinii t'áá éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii kónéelt'e'go bee hadiidzaaígíí yéélta'. Mózes yee has'áanii bik'ehgo Líívai dine'é yindaalnishgo Éran náá'iiłniihii nilíinii biye' Íthamar joolyéii dayiyííłta'. 
2:38:022:0	Biizáliyel éí Yúrai biye' jílį́ áádóó hanálí éí Her yiye' nilį́; hó éí Júdah dine'é jílį́įgo Bóhólníihii éí Mózes yee yich'į' haadzíi'ii bik'ehgo t'áá ałtso hasht'ejiilaa, 
2:38:023:0	índa yił naalnishii éí Ahóliyab wolyéii éí Ahísamak biye' nilį́įgo Dan dine'é éí na'ach'ąąhgo atsidjí áádóó iichįįh yee binaanishii nilį́. Índa yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' na'ach'ąąhgo atł'ó yinaalnishii nilį́. 
2:38:024:0	Óola éí Bóhólníihii baa nídahideest'ánígíí t'áá ałtso hodiyingo haz'ą́ą́ góne' t'áá át'é bee hahodidzaii éí naadiin náhást'éí tálent wolyéii áádóó tsosts'idi neeznádiindóó ba'aan tádiin shékel dah hidiidlohígíí bíighahgo ánéelą́ą́'; éí hodiyingo haz'ą́ą́ góne' shékel choo'íinii bik'ehgo wólta'. 
2:38:025:0	Ízrel dine'é dabi'déélta'ii éí béésh łigaii nidayiizhjaa'ígíí t'ááłáhídi neeznádiin tálent áádóó t'ááłáhídi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan tsosts'idiindóó ba'aan ashdla' shékel dah hidiidlohígíí bíighahgo ánéelą́ą́'; éí hodiyingo haz'ą́ą́ góne' shékel choo'íinii bik'ehgo wólta'. 
2:38:026:0	Jó, dinéhígíí t'ááłá'í nítínígo bííka wolyéii nidayiizhjaa'; éí shékel ałníí'dóó hodiyingo haz'ą́ągi choo'íinii bik'ehgo ákónéelt'e'go wólta'; t'ááłá'í jinítínígo dah ho'dólta'góó nidadziskai; naadiin hwéédááhaidóó degoígíí t'áá ádzíłtso naaltsoos bikáá' daházhi' ádaalyaii; hastą́ądi neeznádiindóó ba'aan táadi mííldóó ba'aan ashdladi neeznádiindóó ba'aan ashdladiin nida'iizhjaa' lá. 
2:38:027:0	T'ááłáhídi neeznádiin béésh łigaii tálent dah hidiidlohígíí bíighahgo éí níbaal bii' hodílzinii índa ata'naníbaal bá neelkálígíí bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí ádaalyaa, áko neeznádiin atł'ááh naaznilígíí éí neeznádiin tálent bíighahgo bee ádaalyaa; t'ááłá'í atł'ááh si'ánígíí éí t'ááłá'í tálent bíighahgo bee ályaa. 
2:38:028:0	Índa ííyah danii'áii bąąh hadaazhahígíí áádóó bita'ndaaz'áhígíí béésh łigaii yee ádayiilaa índa bílátahjį' dah naaznilígíí béésh łigaii yik'ídeisti'; éí béésh łigaii t'ááłáhídi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan tsosts'idiindóó ba'aan ashdla' shékel dah hidiidlohígíí bíighah. 
2:38:029:0	Béésh łitsoii éí Bóhólníihii yaa nídeidiyiiz'ánígíí éí tsosts'idiin tálent áádóó naakidi mííldóó ba'aan dį́įdi neeznádiin shékel bíighahgo ánéelą́ą́'. 
2:38:030:0	Áko níbaal bii' dahozdísinii bich'é'étiingi dáádiníbaal bá ííyah danii'áii bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí éí béésh łitsoii yee áyiilaa, índa béésh łitsoii bikáá' náá'iiniihí áádóó béésh łitsoii ałnáshizhoozhígíí índa bikáá' náá'iiniihí bił chodao'íinii t'áá ałtso t'áá éí yee ánáádayiidlaa, 
2:38:031:0	áádóó binaa haz'ánígíí índa ch'é'étiin bitł'ááh naaznilígíí t'ááłáhíjí biih dahasdzánígíí áádóó níbaal bii' hodílzinii índa binaa haz'ánígi bá anídaalkałígíí ałdó' éí béésh łitsoii bee ádaalyaa.
