58:3:001:1	Jesus , It'ee Moses Andaa Gwiintsii Veegoo'aii
58:3:010:0	Ąįįts'ą' ąįį Israel gwich'in nąįį goots'ą' shik'įį gwanlii ts'ą' jyaa gavahnyąą , ‘Gweedhaa datthak shik'eegwagwahthat kwaats'ą' nats'ąą dinjii gooli' gavoiinyąą gwik'it chan dinjii ginlii kwaa . ’
58:3:011:0	Shik'įį gwanlii ts'ą' jii łi'deegwidlii haa gwik'it gweheelyaa kwaa , dihnyą' , ‘Nijin nankat neegahaazhii gooveenjit goołtsąįį chy'ah , aiizhit gwizhit nihdeegiheedaa kwaa ! ’ dihnyąą ! ”
58:3:012:0	Shachaa nąįį , nakhwadrii zhit tr'agwaanduu gwizhrįh ninjich'ahohthat ts'ą' zhit gwik'injohkhit kwaa haa Vit'eegwijyąhchy'aa Khit Gwandaii Nilii ąįį vits'į' łihts'eedahoo'ee ąįį gwits'į' adak'ǫǫntii .
58:3:013:0	Gaa nakhwatee ch'ihłak gaa Satan nakhwaninjigwaazhii haa tr'agwaanduu nakhwagwitr'it gwanlii gohtsyaa shrǫ' , ts'ą' nakhwaki' tth'an dach'at haa Vit'eegwijyąhchy'aa vik'eegohthat kwaa ohli' shrǫ' . Datthak ts'ą' drin gwiteegwaanchy'aa nihłits'ohnyąą , tth'aii hee , “ Juk drin ” Dęhtły'aa Choh zhit diits'ą' danakhwatł'oo ąįį tth'aii gwarandaii t'igwinyąą .
58:3:014:0	Datthak ts'ą' Christ vaa khaihłak tr'iinlii ts'ą' vaa gwitr'it t'agwarah'in , tr'ookit dąį' gwats'an , ąįį gwik'injiriighit tr'ii'įį haa ndaagwahąąn'ąį' gwats'ą' datthak gwaroontą' ji' gweheezyaa .
58:3:015:0	Jii t'ee Dęhtły'aa Choh zhit jyaa digwinyąą , “ Juk drin Vit'eegwijyąhchy'aa viginjik dohtth'ak ji'yeenii nakhwatsįį nąįį k'it nakhakiitth'an dach'at shrǫ' , jyaa digii'in nijin Vit'eegwijyąhchy'aa doo'ya' goovoonyąą gaa gwik'it t'igii'in kwaa dąį' . ”
58:3:016:0	Juu dee Vit'eegwijyąhchy'aa viginjik diitth'ak gaa doo'ya' yuunyąą gwik'it t'ii'in kwaa ? Zhit juu Egypt gwats'an Moses tr'agoovinlii nąįį t'arahnyąą .
58:3:017:0	40 years gahkhyuk datthak Vit'eegwijyąhchy'aa juu nąįį ts'ą' vik'įį gwanlii ? Zhit juu tr'agwaanduu googwitr'it gwanlii geh'an nangwinjir gwa'an niinjik nąįį reh .
58:3:018:0	Nijin Vit'eegwijyąhchy'aa łi'deegwidlii haa jyaa dishi'yaa nyąą gwik'it t'ihee'yaa t'inyąą , “ Nijin nankat gwizhit neehoozhii nakhwaihnyąą ąįį nakhwantł'eegwiin'ąįį chy'ah , ąįį zhit gwizhit nihdeehohdaa kwaa ! ” gavaiinyą' , jyaa nyąą dąį' juu nąįį ts'ą' ginkhii t'inyąą ? Ąįį juu zhat dąį' Vit'eegwijyąhchy'aa doo'ya' goovoonyąą ąįį gwik'it t'igii'in kwaa nąįį t'ahnyąą .
58:3:019:0	Ąįįts'ą' it'ee deegwii'in ąįį gwaraah'in , gwik'injigiighit kwaa geh'an ąįį nankat gwizhit neegaahaazhii goovahnyąą ąįį khyų' nihdeegijyaa .
