58:11:001:1	Diigwik'injigwiighit Geh'an
58:11:017:0	Abraham , gwik'injigwiighit di'įį geh'an didinji' Isaac , Vit'eegwijyąhchy'aa ts'ą' ataiinjii iłtsąįį , nijin gwik'it t'ihee'yaa shrǫǫ yuunyąą geenjit Vit'eegwijyąhchy'aa jyaa dini'in yahnyąą dąį' . Vit'eegwijyąhchy'aa , Abraham vats'an nihzheeneedijii lęįį gweheelyaa t'oonchy'aa yahnyąą , googaa nihk'it Vit'eegwijyąhchy'aa k'eegwahthat ts'ą' gwik'it t'ahah'ya' , ts'ą' it'ee zhrįh didinji' ataiinjii hiłtsąįį .
58:11:018:0	Vit'eegwijyąhchy'aa jyaa yahnyąą , “ Deeshi'yaa naihnyąą ąįį gwik'it t'ishi'yaa dihnyąą dąį' , Isaac vik'iighai' nats'an deedhaa lęįį nąįį gweheelyaa t'oonchy'aa . ”
58:11:019:0	Vit'eegwijyąhchy'aa ąįį Isaac khan ch'ichį' ts'an yineegwahąhdaii ąįį Abraham gaandaii ts'ą' Vit'eegwijyąhchy'aa , ch'ichį' ts'an Abraham , Isaac yantł'eenahchįį k'it t'oonchy'aa .
58:11:020:0	Isaac vigwik'injigwiighit eh'an Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'ihee'yaa , yeendaa ji' Jacob ts'ą' Esau haa goodivee gweheezyaa geenjit Vit'eegwijyąhchy'aa oahkat .
58:11:021:0	Jacob , gwik'injigwiighit di'įį geh'an , Joseph , vidinji' neekwaii nąįį goodivee gweheezyaa geenjit khadigeedi' . Datǫǫ kat gat'ąąnchįį gwiizhit Vit'eegwijyąhchy'aa deehił'ee .
58:11:022:0	Joseph gwik'injigwiighit di'įį geh'an niheedhaa gwats'ą' , Israel nąįį Egypt nahkat gwats'an tr'ineegiheedaa nyąą geeginkhii , ts'ą' nijin niidhat ji' giich'ichį' deeheelyaa geenjit akǫǫ dagoovahnyąą .
58:11:023:0	Moses , viyehghan nąįį gwik'injigwiighit gii'įį geh'an vagoodlit dąį' 3 months gahkhyuk geegoh'it giiyehdi' . Tr'iinin tsal gwinzii viyiichy'a' nilii ts'ą' Egypt nahkat gwats'ą' k'eegwaadhat nilii deenyąą k'eegwagwahahthat kwaa geenjit gąąnjat kwaa .
58:11:024:0	Moses gwik'injigwiighit di'įį geh'an nijin dink'indhat dąį' , k'eedeegwaadhat vichi' nich'it vidinji' varoonyą' nindhan kwaa .
58:11:025:0	Ch'ihłee tr'agwaanduu t'ihee'yaa ąįį kwaa gaa gwik'it t'ee'ya' Vit'eegwijyąhchy'aa vigii nąįį haa khaiinjich'iheeghit ts'ąįį veenjit gwinzii .
58:11:026:0	Egypt nahkat gwa-laraa łyaa daatł'oo , gaa adan ąįį izhit dąį' Messiah Christ eenjit khaiinjich'iheeghit ts'ąįį gwandaa gwaatł'oo gaandaii ts'ą' yeendaa ji' gwinzii gwintsii veenjit goo'aii ąįį yiindhan .
58:11:027:0	Moses gwik'injigwiighit di'įį geh'an K'eegwaadhat zhyaahaants'įį gąąnjat kwaa ts'ą' Egypt gihłeehaazhii . Vit'eegwijyąhchy'aa tr'ąąh'in kwaa ąįį nah'ya' k'it veenjit t'oonchy'aa ts'ą' kiitł'ii neehidii gitr'ii'ee .
58:11:028:0	Gwik'injigwiighit di'įį chan Passover gwiłtsąįį ts'ą' gindeiinvyaa kat nin eekaii ch'o'shǫǫ goovahnyąą , jyąhts'ą' gwik'iighai' zheekat gwich'in ch'ichį' eenjit neehidik ąįį Israel nąįį googii tsyaa tr'ookit vagoodlit gahaahkhwaa kwaa geenjit .
58:11:029:0	Israel gii nąįį gwik'injigwiighit gi'įį geh'an Chųų Choo Daatsik njik chųų kwaa k'it t'oonchy'aa neegiinjil . Egypt niveet'ah'in nąįį gwik'it t'agahah'yaa dąį' , datthak tee nagahǫǫnii .
58:11:030:0	Israel gwich'in nąįį drin 7 datthak geelin łits'eedigeendaa ąįįtł'ęę gwik'injigwiighit k'iighai' Jericho kwaiik'it gwachoo geelin kii choo haa tthał nin'ee needagwaanąįį .
58:11:031:0	Gwik'injigwiighit eh'an tr'injaa Rahab , laraa eenjit dinjii nąįį haa dhichįį nilii , Vit'eegwijyąhchy'aa k'eegwahthat kwaa nąįį haa tr'iiłkhwąįį kwaa , dinjii nąįį nats'ąą kwaiik'it gwachoo gaiiyigwagwahahtsyaa li' geenjit zhit gwa'an gwats'ą' googihił'e' nąįį shoh haa dizheh nihdeiinlii geh'an .
58:11:032:0	Tth'aii hee jii nąįį datthak gooveegoihkhyaa shoohnyąą ? Gideon , Barak , Samson , Jephthah , King David , Samuel ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį , jii nąįį datthak gaveegiihihkhyaa gaa juk geenjit gwik'it goo'aii kwaa .
58:11:033:0	Ch'adanh nahkat goodlii datthak gwats'ą' nich'itsigiłthat ts'ą' gwik'injigwiighit eh'an , gaiiyich'igiłtsąįį . Gwinzii t'igiizhik ts'ą' Vit'eegwijyąhchy'aa deehee'yaa nyąą ąįį gooveenjit t'iizhik . Lion vighit nihts'ą' googoonjik .
58:11:034:0	Kwankyaa niint'aii gaa neegahkyaa , shrii choo haa goovęhdaa tr'igwirehee'aa gaa gwats'an tr'ineegiidal . Goot'aii kwaa gaa goot'aii nint'aii goodlit . Niveet'agah'in zhit gwint'aii nich'itsigahthat , haa ch'adanh nahkat gwats'an niveet'ah'in nąįį gaiiyiigiłtsąįį .
58:11:035:0	Tr'injaa nąįį googwik'injigwiighit k'iighai' goolak yiinlii nąįį nigiindhat gaa neegwigwiindaii ąįį nąįį neegǫǫnjik . Ch'izhii dinjii nąįį zheegwaazhrąįį cheegoorahahchyaa geenjit digwik'injigwiighit akhagagoonyąą kwaa , gaa gwandaii nizįį gihee'yaa geenjit khaiinjich'agoogahthat haa nigiinjik .
58:11:036:0	Goolat nąįį gooveegeedlaa ts'ą' googahtrii , ts'ą' ch'izhii nąįį chan ch'iitsii tły'ah haa dagoogiłchaa ts'ą' zheegwaazhrąįį nagoogiinlii .
58:11:037:0	Kii haa googookit , teetł'an gook'eech'igit'ii , shrii choo haa googeełkhwąįį . Divii dhah akwat goat dhah nagaazhii haa zhat gwa'an neegihiidal , neeshreegaahchy'aa ts'ą' khaiinjich'agoogahkhit ts'ą' gwiizųų datthak gooneegahąhdak .
58:11:038:0	Dzaa nankat geenjit łyaa giinzii ! Goodeek'it gwakwaa k'it nangwinjir ts'ą' taih kat gwa'an gooneech'ahahchik , nanzhit gweedii ts'ą' ch'a'an zhit chan gwigwich'įį .
58:11:039:0	Jii dinjii gooveegarinkhii nąįį t'ee googwik'injigwiighit eh'an Vit'eegwijyąhchy'aa shoo giłtsąįį googaa Vit'eegwijyąhchy'aa jidii goovantł'eehee'aa nyąą ąįį tth'aii hee goonjii kwaa .
58:11:040:0	Vit'eegwijyąhchy'aa jidii gwandaa nizįį diineenjit gwii'įį gaa datthak khaihłok nihłaa nigiinjil tł'ęę gwizhrįh giihoondal .
