58:7:001:1	Giinkhih Melchizedek
58:7:011:0	Jii t'ee Levitical giinkhih nąįį k'iighai' Israel gwich'in nąįį Moses va-law antł'eegwarin'ąįį . Ąįį giinkhih Levi ts'an deedhaa nąįį Vit'eegwijyąhchy'aa deekhwa'in goovahnyąą gwik'it t'igiizhik ji' , juk duuyeh ch'izhii ginkhih Melchizedek tąįį adaa nąįį t'eegwaahchy'aa , ąįį t'ee Aaron vats'an deedhaa kwaa .
58:7:012:0	Ąįį geh'an nijin giinkhih nąįį googwitr'it ch'ijuk t'inchy'aa neegahoodlit dąį' ąįį Moses va-law chan ch'ijuk t'ineeheenjyaa gwizhrįh goo'aii t'oonchy'aa .
58:7:013:0	Ts'ą' Diik'eegwaadhat jii kwaii eenjit veegarinkhii t'ee ch'izhii zheeneedijii nąįį ts'an deedhaa ts'ą' Judah vizheeneedijii ts'an ch'ihłok gaa giinkhih gwanlii kwaa .
58:7:002:1	Ch'izhii giinkhih Melchizedek K'it T'inchy'aa .
58:7:014:0	Judah , zheeneedijii ts'an vagoodlit datthak vaagwiindaii ts'ą' Moses nijin giinkhih nąįį eeginkhii dąį' jii zheeneedijii nąįį eeginkhe' kwaa t'inchy'aa .
58:7:015:0	Jii eenjit juk it'ee gwigweech'in goodlit ts'ą' ch'izhii giinkhih Melchizedek k'it t'inchy'aa igweełkįį .
58:7:016:0	Levi ts'an deedhaa ąįį geh'an giinkhih dhidlit t'aihnyąą kwaa , gaa , gwandaii ndaanąą'ąį' kwaa di'įį ąįį ts'an t'aih di'įį haa giinkhih dhidlit t'aihnyąą .
58:7:017:0	Ąįį geh'an Dęhtły'aa Choh zhit veenjit jyaa digwinyąą , “ Melchizedek ginkhih inli' k'it nan t'ee ndaanąą'ąį' kwaa gwats'ą' datthak giinkhih hinlyaa t'oonchy'aa . ”
58:7:018:0	Moses va-law vat'aii kwaa ts'ą' vit'eegwaahchy'aa kwaa haa dhidlit geh'an geh'at nigiiyin'ąįį .
58:7:019:0	Moses va-law datthak gwinzii gwahtsii kwaa geh'an juk ąįį Vit'eegwijyąhchy'aa deehee'yaa nyąą ąįį gwik'it t'ihee'yaa vaagwiindaii gwandaa nizįį gwaroontą' , ąįį gwik'iighai' Vit'eegwijyąhchy'aa vats'a' nahgwan t'igweheechy'aa geenjit gwandaa gwik'it gwanlii .
58:7:020:0	Ąįįts'ą' chan Vit'eegwijyąhchy'aa deehee'yaa nyąą , ąįį łi'deegwidlii haa gwik'it t'ihee'yaa , ąįį chan goo'aii , ąįįts'ą' ch'ihłok gaa Vit'eegwijyąhchy'aa ch'izhii giinkhih eenjit jyaa dishi'yaa diinyą' kwaa t'oonchy'aa .
58:7:021:0	Gaa Jesus ąįį Vit'eegwijyąhchy'aa deeshi'yaa nyąą k'iighai' giinkhih dhidlit , ts'ą' jyaa yahnyąą , “ K'eegwaadhat łi'deegwidlii zhit deeshi'yaa nyąą ąįįt'ee łahchy'aa gwik'it t'ihee'yaa t'inyąą , ts'ą' duuyeh diginjik noonjii , ‘Ndaagwąąn'ąį' kwaa gwats'ą' datthak giinkhih hinlyaa ! ’ ” yahnyąą .
58:7:022:0	Vit'eegwijyąhchy'aa deehee'yaa nyąą geh'an Jesus vik'iighai' łyaa gwik'it gweheelyaa gwizhrįh ts'ą' jii , Moses k'iighai' deehee'yaa nyąą ąįį andaa gwinzii t'oonchy'aa .
58:7:023:0	Jii chan ch'ijuk neegahoodlit , yeenii giinkhih gwiinli' nąįį datthak nigiinjik ts'ą' duuyeh digwigwitr'it gęhdaa tr'igiinjii ,
58:7:024:0	gaa Jesus khit gwandaii nilii , ts'ą' giinkhih nilii digwitr'it duuyeh ch'izhii nąįį antł'eegwa'aii t'inchy'aa .
58:7:025:0	Ts'ą' t'ee juk ts'ą' khit haa gwik'it t'ihee'yaa , juu yik'iighai' , Vit'eegwijyąhchy'aa k'injiinjik nąįį neehahshii geenjit , gwaandaii ndaagwąą'ąį' kwaa di'įį haa Vit'eegwijyąhchy'aa ts'ą' gooveenjit ch'oodiikwat geenjit .
58:7:026:0	Jesus t'ee ndak khii ginkhih choo nilii ts'ą' jidii t'eegwaahchy'aa diits'an ąhtsii . Shroodiinyąą nilii ts'ą' vatr'agwaanduu gwakwaa : Vit'eegwijyąhchy'aa juu tr'agwaanduu t'ii'in nąįį tee gwats'an gihłeerihiłchįį ts'ą' zheekat ndak deeghaii niyąąhchįį .
58:7:027:0	Ch'izhii ndak khii ginkhih choo nąįį k'it t'inchy'aa kwaa , juu tr'ookit gootr'agwaanduu eenjit ąįįtł'ęę diitr'agwaanduu geenjit drin gwit'eegwagwaanchy'aa ataiinjii ąhtsii gwat'aahchy'aa kwaa . Ch'ihłok datthak diineenjit ataiinjii iłtsąįį nijin adan gwantł'eedaachįį dąį' .
58:7:028:0	Moses va-law zhit , dinjii nąįį ndak khii giinkhih choh heelyaa eenjit gwitee tr'agoogiinlii gaa ąįį dinjii nąįį khit Vit'eegwijyąhchy'aa haa geedaa kwaa , gaa Vit'eegwijyąhchy'aa ąįį łi'deegwidlii haa deeshi'yaa nyąą ąįį vijuu gwanaa gǫhju' gwik'it t'iizhik , Didinji' juu ndaagwąą'ąį' kwaa gwats'ą' vatr'agwaanduu ch'ihłok gaa gwakwaa ąįį gwitee tr'ąąhchįį , ndaagwąąn'ąį' kwaa gwats'ą' datthak ndak khii giinkhih choh heelyaa geenjit , Law giłtsąįį ąįįtł'ęę niighyuk gwahaadhat .
