58:9:001:1	Zheekat ts'ą' Nankat Nats'ąą Vit'eegwijyąhchy'aa Deegihil'ee
58:9:011:0	Gaa Christ ch'adąį' hee ndak khii giinkhih nilii , ts'ą' nijin dzaa k'idik dąį' , adan t'ee jidii gwinzii diits'ą' t'igwii'in gwiłtsąįį t'inchy'aa . Ąįį kharigidiinjii zheh gwadhah zhit gwitr'it t'agwah'in t'ee chil'ee ts'ą' jidii gwinzii ąįį andaa gwinzii . Jii kharigidiinjii zheegwadhah dzaa nankat gwidinjii nąįį daganli' haa giiyiłtsąįį kwaa , ts'ą' dzaa nankat nats'ahts'ą' gwiltsąįį ąįį gwik'it iltsąįį kwaa t'inchy'aa .
58:9:012:0	Nijin Christ Zheekat gwizhit kharigidiinjii zheh gwadhah gwizhit ch'andaa shroodiinyąą goo'aii izhit ch'ihłok datthak geenjit ataiinjii iłtsąįį nijin adan gwantł'eedaachįį dąį' , goat akwat bull ts'an eekaii adahaa haa'aii kwaa gaa dadaa haa Vit'eegwijyąhchy'aa ts'ą' gwantł'eedaachįį , ndaagwąą'ąį' kwaa neereheezhii tr'ihee'yaa geenjit .
58:9:013:0	Nin goat ts'ą' bull kwaii haa ts'an ch'eekaii ts'ą' calf dhik'in ts'an kikluu kwaii , Vit'eegwijyąhchy'aa vandee zhit shroodiinyąą nilii kwaa nąįį k'ąą giihahtł'at ts'ą' jyaa digii'in haa shroodiinyąą neegiilik .
58:9:014:0	Ąįįt'ee łi'deegwidlii geh'an , deegwahtł'oo Christ vadaa haa gaiiyiigwahahtsyaa t'oonchy'aa ! Ch'anky'aa Shroodiinyąą ndaanąą'ąį' kwaa k'iighai' gwinzii ąįį gwandaa gweheezyaa geenjit vatr'agwaanduu kwaa haa Vit'eegwijyąhchy'aa ts'ą' gwantł'eedaachįį . Vadaa eh'an ataiinjii tr'ahtsii akhagwaroonyąą , ąįį ataiinjii t'ee gwandaii ndaanąą'ąį' diits'an ąhtsii kwaa , ts'ą' Vit'eegwijyąhchy'aa khit gwandaii vats'a' kharigeheejyaa ts'ą' veenjit gwitr'it t'agwarahah'yaa geenjit diiyinji' nizįį niłtsąįį .
58:9:015:0	Jii geh'an t'ee Christ deeshi'yaa nyąą gwik'it t'ihee'yaa ch'izhii neegwiłtsąįį , ąįįt'ee Vit'eegwijyąhchy'aa gwats'an dinjii nąįį ts'ą' , juu Vit'eegwijyąhchy'aa gwit'eetr'agooviinlii nąįį Christ khit goots'ą' gwinzii t'ihee'yaa ts'ą' deeshi'yaa nyąą goovantł'eiin'ąįį . Jii khan gwik'it gweheelyaa , Christ niindhat geh'an dinjii nąįį datr'agwaanduu gwats'an tr'ineegooviinlii , tr'ookit deeshi'yaa nyąą gwik'it t'iizhit ąįį tth'aii hee zhit geedaa gwiizhit .
58:9:016:0	( Will ) tr'ahtsii dąį' ąįį juu will iłtsąįį , niindhat tł'ęę ąįį gaagweheendaii gwarahahtsyaa gwizhrįh .
58:9:017:0	Ąįį juu will iłtsąįį tth'aii hee gwandaii ji' ch'ihłee gaa jidii vats'an heelyaa oonjii ? Duuyeh t'inchy'aa ! Ąįį juu will iłtsąįį niindhat ji' gwizhrįh , ąįį will tr'ahaah'yaa ąįįtł'ęę vik'it t'igwehee'yaa t'inchy'aa .
58:9:018:0	Ąįį geh'an nijin tr'ookit deeshi'yaa nyąą gwik'it t'ihee'yaa dąį' nin eekaii t'eegąhchy'aa ąįį ch'eekaii k'iighai' deeshi'yaa nyąą gwik'it t'ihee'yaa gwinzii goodlit .
58:9:019:0	Tr'ookit , Moses , dinjii nąįį datthak gwik'it t'igiheechy'aa geenjit Commandments Law datthak goots'ą' eegiinkhe' dąį' , ąįįtł'ęę goats ts'ą' bulls haa ts'an ch'eekaii oonjik ts'ą' chųų haa neeyiłtraa ts'ą' Hyssop ts'iivii tthoochan ts'ą' naadoo gwach'aa wool daatsik t'aahchy'aa haa ąįį Law dęhtły'aa kat ts'ą' dinjii nąįį k'ąą yahahtł'at .
58:9:020:0	Ts'ą' jyaa goovahnyąą , “ Jii nin eekaii haa t'ee Vit'eegwijyąhchy'aa deeshi'yaa nyąą gwandaa gwiint'aii gwiłtsąįį ts'ą' deiinyąą datthak gwik'eegǫhthat ! ” gavahnyąą .
58:9:021:0	Ąįį gwik'it Moses , kharigidiinjii zheegwadhah k'ąą nin eekaii ch'ashoo ts'ą' jidii Vit'eegwijyąhchy'aa vats'a' vaa kharigidiinjii datthak chan gwik'it t'inlik .
58:9:002:1	Christ Gwintł'ee Daachįį Geh'an Diitr'agwaanduu Gwigwitr'it Oo'an Gwahaajil .
58:9:022:0	Jii łyaa gwik'it gwanlii , Law deenyąą gwik'it jidii datthak nin eekaii vakat ch'arashoo haa shroodiinyąą heelyaa ts'ą' nin eekaii Vit'eegwijyąhchy'aa vats'a' ataiinjii tr'ahtsii haa neeriinjaa k'iighai' gwizhrįh tr'agwaanduu oo'an gweheedaa .
58:9:023:0	Izhit geh'an dzaa nankat kharigidiinjii zheegwadhah zhit k'aiich'ii kwaii t'ee zheekat jyaa doonchy'aa gwik'it teegwagwahtsį' t'igii'in , ts'ą' nin eekaii haa shroodiinyąą heelyaa gwizhrįh , gaa Kharigidiinjii zheh gwizhit zheekat gwik'eiich'ii gwandaa chil'ee heelyaa goo'aii .
58:9:024:0	Christ , dzaa nankat dinjii nąįį daganli' haa shroodiinyąą gwideek'it gwiłtsąįį gwizhit nihdeiinzhii kwaa , ąįįt'ee zheekat jyaa doonchy'aa goo'aii gwik'it dzaa nankat giiyiłtsąįį t'inchy'aa , gaa zheekat gwizhit gwats'ą' haazhii ts'ą' juk t'ee Vit'eegwijyąhchy'aa haa dhidii ts'ą' diineenjit yats'ą' ch'oodiikwat t'inchy'aa .
58:9:025:0	Nin eekaii haa Jewish ndak khii giinkhih choh shree drin ch'ihłok neegwiidhat hee ch'andaa shroodiinyąą gwideek'it goo'aii , ąįį zhit ninidik . Gaa Christ gwinlęįį gwintł'eedahaachik geenjit zhat ninidik kwaa ,
58:9:026:0	Ąįį jyaa diizhik ji' , jii nan goodlit dąį' gwats'an gwinlęįį khaiinjich'iheeghit t'inchy'aa . Gaa juk khaiinkǫǫ drin zhit gwats'ą' nahgǫǫ gweedhaa gwiizhit , juu nąįį datthak eenjit ch'ihłok gwizhrįh dzaa nankat gwats'an haazhii diitr'agwaanduu oo'an gweheelyaa geenjit adan gwantł'ee'adaachįį t'inchy'aa .
58:9:027:0	Dzaa nankat diitee gwagwaanchy'aa ts'ą' ch'ihłok gwizhrįh neeraheedhaa ts'ą' ąįįtł'ęę t'ee Vit'eegwijyąhchy'aa diitr'agwaanduu geenjit diinoohahkat goo'aii .
58:9:028:0	Ąįį gwik'it chan Christ diineenjit gwantł'ee'adaachįį , vik'iighai' dinjii lęįį nąįį gootr'agwaanduu oo'an gweheedaa geenjit . Ąįįts'ą' chan dzaa nankat gwits'eeheedyaa , gaa gootr'agwaanduu oo'an gweheelyaa geenjit nakwaa gaa juu nineeheedyaa geenjit niyuul'in nąįį neegoohahshii geenjit .
