65:1:001:1	K'é ha'níinii
65:1:010:0	Nidi díí t'áá ádzaagóó nida'nitinii t'áadoo ééhóziní ił nida'í'įįh áádóó naaldlooshii doo nitsídaakeesii nahalingo t'áadoo tsíhodeeskézí t'óó nida'ádiilchxǫǫh .
65:1:011:0	Éí bá doo hojooba' ájíníi da ! Kéin áát'įįd yę́ęgi át'éego diné k'ad ákódaat'į́ , áádóó Béílam diné achxáazhii nilį́įgo áát'įįd yę́ęgi át'éego díí diné t'áá bizááká a'ídeeł yíká naanánoodah , índa Kórah éí bee ídahólníihii yich'į' nídiidzáago biniinaa ábi'disdįįd yę́ęgi át'éego díí diné ałdó' bee ídahólníihii yich'į' nídahidiikaígíí biniinaa ádabidi'dooldįįł .
65:1:012:0	Christ bee ahił danohdlį́įgo ánída'óohsįįhgi doo ádaa nídaat'íinii danilį́įgo nihits'ą́ą́' nída'adį́įhgo t'áá bí t'éí aghá'ádadees'á . Éí dinéhígíí k'os bił yóó'iiyołgo t'áadoo nahałtį́įh da łehígi ádajít'é : aak'eejį' tsin bineest'ą' t'áadoo bąąh nídahasdlį́į'ii , naakidi ałkéé' nídaazganii , áádóó bihétł'óól t'áá bił hadahaastł'íidiigi ádajít'é .
65:1:013:0	Tónteel bíígháán t'óó báhádzidgo náádadiidáahii bizhéé'ígi át'éego t'óó baa yáhásinígi ádajit'į́ ; sǫ' wót'áahdi hidijeehígíí hool'áágóó ts'ídá diłhiłgo chahałheeł bee bá nahaz'ánígíigi ádajít'é .
65:1:014:0	Ádam áho'diilyaadóó wóshdę́ę́' tsosts'idi ałk'i ná'ázhchį́į́ góne' bi'dizhchíinii Íínak wolyéii díí t'áá ádzaagóó nida'nitinii nee'nijį' kóníigo yaa hoolne' , Jó'akon , Bóhólníihii éí bidiyį́į́' t'áadoo bee néelą́'ígóó yił nánízą́ągo ,
65:1:015:0	diné t'ááłá'í jinítínígo haa nídahódóot'įįł , áádóó Diyin God doo dazdísinii t'áá ádzíłtso bąąhági ádajíít'įįdii biniinaa há nidahwiist'ą́ągo atídaho'di'doolnííł , índa Diyin God nichxǫ́'ógo baa yádajííłti'ii bee ák'ijį' dahojoolchį' doo .
65:1:003:1	Jude i'níłnii'go ná'ookąąh
65:1:016:0	Díí t'áá ádzaagóó nida'nitinii ts'ídá t'áá áłahjį' t'áadoo biniyéhígóó saad dahółǫ́ , índa t'áá hó ádajit'į́ daaníigo saad dabighą́ ; k'ad yidáahjį' bi'niináanii t'éiyá yik'ehgo deíkááh ; t'áá bí t'éiyá alááh ída'dees'áago ádaa daha'niih ; t'óó ádaaníigo aa dahaniihgo yee diné łídeichxáázh .
65:1:017:0	Nidi , nihí ayóó'ánihósh'níinii , nihiBóhólníihii Jesus Christ yá daal'aadii nee'ni'jį' saad yaa dahoolne'ii ts'ídá béédaałniih .
65:1:018:0	Éí ádanihiłní , Łahgo náhodoodááł baa hoolzhiizhgo diné ándahałt'i' doo , t'áá bí yidáahjį' bi'niináanii yik'ehgo deíkáah doo .
65:1:019:0	Díí diné ałts'á'áldahgo ádeile'ii danilį́ ni , ts'ísee k'ehgo dahináanii índa Níłch'i Diyinii bee ádaadinii danilį́ .
65:1:020:0	Nidi , nihí ayóó'ánihósh'níinii , ts'ídá diyingo deinohdláanii bikáá'dóó bidziilgo danóohséełgo áda'díí'nółzin ; Níłch'i Diyinii bee sodadołzin .
65:1:021:0	NihiBóhólníihii Jesus Christ nihaa a'ááh nízingo iiná doo ninít'i'ii nihaididoo'áłígíí bíká dadínóh'į́į'go Diyin God bibee ayóó'ó'ó'ni' bii' dahonohłǫ́ǫgo áda'díí'nółzin .
65:1:022:0	Diné ła' bi'oodlą' bił naaki nilíinii nihił baa dahojoobá'ígo aa a'ááh hasin bee bił dahołne' .
65:1:004:1	Jude sodilzingo Diyin God yaa haniih
65:1:023:0	Náádaała' bá bik'ee nihił daayée'go baa dajiinohba'go kǫ' bii'dę́ę́' yisdádahohdzį́į́s nahalinígi át'éego Christ bee yisdádahizhdookah , nidi bąąhági át'éii bee bi'éé' dááchxǫ' nahalinígi át'éego bibąąhági ádaat'éii dajiinohłá .
65:1:024:0	Doo t'ą́ą́' anídínóohdahgóó Diyin God nihaa áhályą́ągo yilááh neel'ą́ . Áádóó t'áadoo bee nihik'ídahót'ahígóó t'áá íiyisí nihił dahózhǫ́ǫgo Diyin God t'áá bí bee bits'ádi'nílíidii yidááhdę́ę́' ninihidiyoo'ishgo yilááh neel'ą́ .
65:1:025:0	Diyin God t'áá éí t'éiyá hóyáanii , Yisdánihiiníiłii , [ nihiBóhólníihii Jesus Christ] bee baa ha'niihii , yee ayóó át'éii , bibee óhólníihii índa yee ayóó ábóodziilii éí hodeeyá bítséedidą́ą́' áádóó k'ad índa hool'áágóó bíi'go ahool'á . T'áá ákót'ée doo .
