21:7:001:1	Hódzą́ aláahdi át'éii
21:7:020:0	Nahasdzáán bikáa'gi diné t'áá ákogi át'éii éí yá'át'ééh ááníłígíí áádóó doo ádił ni'iisíihii t'áá ádin. 
21:7:021:0	Saad t'áá ałtso bee hada'iidziihígíí ałdó' t'áadoo baa ná'áhodílt'íní, áko ná naal'a'í neinít'į́įgo doo didííts'į́įł da. 
21:7:002:1	Hódzą́ hát'į́
21:7:022:0	Háálá nahdę́ę́' t'áá ahą́ą́h t'áá ákót'éego diné baa nánít'į́į́ nít'ée'go nił bééhózin. 
21:7:023:0	Díí t'áá ałtso hódzą́ bee bééhózingo áshłaa; Honisą́ą dooleeł, dííniid nidi, doo deeghánídi shits'ą́ądi hólǫ́ǫ́ lá. 
21:7:024:0	Dahólóonii bi'oh nitsáhákosdi hólǫ́ áádóó bik'idi'dootį́łígíí nantł'a. Háísh éí yik'idi'dootį́į́ł? 
21:7:025:0	Hadínéeshtaał áádóó hádídéesh'įįł índa ts'ídá ha'át'éego ádaat'éé lá nisingo shił bééhodoozįįł niizį́į́' áádóó doo yá'áshóonii éí doo hóshkał át'éego índa doo áháyą́ éí áhodiigis át'éego shił bééhodoozįįł biniyé shijéí bee hásht'į́įgo ádaa dinisht'ą́. 
21:7:026:0	Asdzání ła' bijéí łoh áádóó tł'óół yistł'óonii át'éego bíla' éí álátsíín niná'niłí át'éego aniné biláahgo dích'íi'go hadinish'į́į́'; t'áá háiida Diyin God yił hóshóonii éí yits'ádínóochééł, nidi diné ádił ni'iilzíihii éí asdzání azahodínóo'ah. 
21:7:027:0	Biniinaanii shił bééhodoozįįł nisingo ahąąh nidaashnilgo díí shił bééhoozin, jó'akon, ní halne'í nilíinii. 
21:7:028:0	Éí lą́ą shii' sizíinii t'ahdii háidéez'į́į́', nidi t'ah doo bik'íninishtáah da. T'ááłáhídi mííl diné ákónéelą́ą'go diné t'ááłá'í hadinish'į́į́', nidi díí ákónéelą́ą'go bitahdóó asdzání t'ah doo ła' bik'íninishtáah da. 
21:7:029:0	Jó, díí t'éiyá shił bééhoozin, Diyin God éí diné t'áá ákogi át'éego áyiilaa, nidi lą'ígóó t'áá hó bindahodziz'áanii bik'ídazneeztą́ą́'.
