40:18:001:1	Juu Ch'andaa Hil'ee
40:18:014:0	Izhit gwik'it, zheekat Gwiti' chan jii tr'iinin ch'ihłak gaa haa tr'agołjii niindhan kwaa t'inchy'aa.” 
40:18:015:0	“Nijin nachaa gwik'injiighit nats'ą' tr'agwaanduu tr'agwah'in dąį' vats'a' hinkhaii ts'ą' nats'ą' deezhik vaagwaandak gaa gweentak ni'in, nan ąįįts'ą' nachaa haa zhrįh t'akhwa'in, noołk'įį ji' nachaa gaiiyiineedhahtsąįį ts'ą' gwinzii neegohtsąįį t'agoonchy'aa. 
40:18:016:0	Gaa noołk'įį kwaa ji' dinjii ch'ihłak akwat neekwaii nąįį dahaa hiinlii, ąįį deegwinyąą ąįį ndak gwagoohoontą' geenjit, jii t'ee Dęhtły'aa Choh zhit jyaa digwinyąą t'oonchy'aa. 
40:18:005:1	Gwik'it T'igwehee'yaa Kwaa akwat Gwik'it T'igwehee'yaa
40:18:017:0	Ąįį juu adahaa hoiinlii nąįį oołk'įį kwaa ji' tr'igiinkhii zheh gwizhit datthak geegwandak, aiizhit chan ch'oołk'įį kwaa ji' Vit'eegwijyąhchy'aa haagiindaii kwaa nąįį akwat tax eenjit laraa oonjii k'it vineehohdak.” 
40:18:018:0	“Ąįįts'ą' gwik'injiighit nąįį jii nakhwaagwaldak, dzaa nankat gwats'an nakwaa dohnyąą ji', Vit'eegwijyąhchy'aa zheekat gwats'an chan nakwaa heenjyaa t'oonchy'aa ts'ą' dzaa nankat gwizhit jidii geenjit aahą' dohnyąą ji' Vit'eegwijyąhchy'aa zheekat gwats'an chan aahą' heenjyaa t'oonchy'aa. 
40:18:019:0	Ąįįts'ą' chan hee nakhwaaneegwaldak, nijin gwik'injiighit neekwaii nąįį jidii giindhan eenjit khadigigiinjii dąį' zheekat Shiti' gwik'it t'ihee'yaa gwizhrįh t'oonchy'aa. 
40:18:006:1	Dinjii Slave Nilii Ąįį Dinjii Eenjit Ganaandee Kwaa Gwagwandak
40:18:020:0	Ąįįts'ą' gwik'injiighit neekwaii akwat tik nąįį shoozhri' zhit nihłaa nineegiidal ji' gavaahihłyaa t'oonchy'aa, t'oonchy'aa.” 
40:18:021:0	Ąįįtł'ęę Peter, Jesus ts'ą' niinzhii ts'ą' yuahkat, “K'eegwaadhat, shachaa shats'ą' tr'agwaanduu t'ii'in ji' deegwaanchy'aa veenjit gineehaaldee t'inchy'aa? Nihk'iitik ants'ą' ch'ihłak gwagwaanchy'aa veenjit gineehaldee lee t'oonchy'aa?” yahnyąą. 
40:18:022:0	“Nakwaa, nihk'iitik ants'ą' ch'ihłak ąįį nakwaa gaa 70 x 7,” Jesus yahnyąą. 
40:18:023:0	Zheekat Gweegwinii'ee jii jyaa doonchy'aa geh'an jii jyaa dihnyąą t'ihnyąą, ch'ihłan dinjii King nilii ąįį juu yeenjit tr'agwah'in nąįį deegwahtsii giits'ą' gaandaii li' gaageheendaii geenjit. 
40:18:024:0	Dęhtły'aa kat gweheeł'ya' gwiizhit łąą dinjii slave ch'ihłak laraa million dollars yats'ą' aandaii giits'ą' nihdąhchįį. 
40:18:025:0	Ąįį slave yineegahookwat geenjit laraa gaanchy'aa di'įį kwaa, ąįį geh'an ditsyaa nąįį jidii k'aiich'i' di'įį datthak vits'į' ǫhjii goovahnyąą. Adan ts'ą' vizhehk'aa nąįį haa slaves giheelyaa haa giineegwahohkwat geenjit. 
40:18:026:0	Ąįį slave, king ehzhee dahgwat kat nat'aanąįį ts'ą' t'iiyahnyąą. ‘Ch'ihłee nagoodhan'in ji' datthak nineegoohihkwat t'oonchy'aa!’ nyąą ts'ą' yats'ą' ch'oodiikwat. 
40:18:027:0	Ąįį King neeshraahchy'aa yuunyąą ts'ą' neegohookwat goo'aii datthak yeenjit ginildee ts'ą' oo'an neeyihił'e'. 
40:18:028:0	“Ąįįtł'ęę nijin cheehoozhii dąį' ch'izhii slave yats'ą' gwintsal gaandaii chy'aa k'at deedhizhii ts'ą' ąįį dinjii chan t'ee slave nilii t'ah'in, ąįį dinjii ahtsik ts'ą' yigheehaanjik gwiizhit t'iiyahnyąą, ‘Jidii laraa shats'ą' aandaii chy'aa shineegoiinkwat,’ yahnyąą. 
40:18:029:0	Ąįį slave yaa tr'agwah'in, zhazhat oozhat t'ee heełnaii ts'ą' yach'oodiikwat, “Ch'ihłee nagoodhan'in, izhit ji' t'ee datthak nineengoohihkwat!” yahnyąą. 
40:18:030:0	Ąįį googaa nihk'it gitr'ii'ee ts'ą' zheegwaazhrąįį gwizhit nihdeet'eeyaahnaii, dahthee datthak neegoheekwat gwats'an datthak zhat heedyaa yeenjit gwiłtsąįį. 
40:18:031:0	Nijin ch'izhii slaves nąįį gwagwaah'in dąį' dagatthąį' zhit gwintl'oo tr'igwigwidii ts'ą' zhit juu king nilii ts'ą' gahaajil ts'ą' deegwiizhik datthak giiyaagwaandak. 
40:18:032:0	Ąįįts'ą' ąįį juu slave jyaa diizhik ąįį aanaii ahnyąą ts'ą' t'iiyahnyąą, ‘Łyaa zhyaa slave ginilih kwaa inlii! Jidii shineehahtsyaa goo'aii kwaii datthak nijin gineedhaldee jyaa shaiinyąą geh'an gwizhrįh jyaa shizhit.’ yahnyąą. 
40:18:033:0	Zhit slave juu naatr'agwaah'in chy'aa neeshraahchy'aa oiinyąą jaghaii, neeshraahchy'aa noihnyąą gwik'it nan chan neeshraahchy'aa oohinjyaa goo'aii t'oonchy'aa.’ nyąą. 
40:18:034:0	King łyaa zheełts'įį ts'ą' zheegwaazhrąįį niiyahchįį, dahthee laraa haa datthak yineegahookwat gwats'ą' datthak khaiinjich'iheeghit yeenjit gwiłtsąįį. 
40:18:035:0	“Nachaa gwik'injiighit nidrii zhit gwats'an veenjit gineedhandee kwaa ji', jii jyąhts'ą' t'ee zheekat Gwiti' k'ineenakhwahahndak t'oonchy'aa.” Jesus jyaa diinyą'.
