40:14:001:1	John Chųų Gwats'an Ąhtsii, Geełkhwąįį Dąį'
40:14:018:0	“Ąįį shantł'ohłii!” Jesus nyąą. 
40:14:019:0	Dinjii nąįį tł'oo kat dook'įį goovohnyąą, Ąįįtł'ęę Jesus, zhit łųhchy'aa ch'ihłoanli' (5) ts'ą' łuk neekwaii haa tee gwiłjik ts'ą' zheekat k'iidak gwąąh'in ts'ą' Vit'eegwijyąhchy'aa “Mahsį' choh!” ahnyąą. Ąįįtł'ęę łųhchy'aa kwaii khadinzhuu ts'ą' ditsyaa nąįį antł'eeyinlii, gwitee giiyeeheelyaa eenjit. Łuk kwaii chan gwik'it t'inlik ts'ą' gwitee giiyaadlii. 
40:14:020:0	Juu nąįį datthak ch'anahoo'al. Ąįįtł'ęę vitsyaa nąįį tł'ootyah ch'ihłoaatin ants'ą' neekwaii tr'ooniindhat tineegwigwįłjik. 
40:14:003:1	Jesus, Chųų Kat Ahaa
40:14:021:0	Tr'injaa ts'ą' tr'iinin nąįį tr'eechyaa kwaa, haa dinjii 5,000 aanchy'aa nąįį ch'iin'al. 
40:14:022:0	Ąįįtł'ęę Jesus, ditsyaa nąįį tr'ihchoo zhit inlii ts'ą' giiyehkii van ndųhts'ąįį gwats'ą' gahaajil gooviłtsąįį. Adan tth'aii zhat dhidii gwiizhit dinjii łeeljil nąįį nakhwazheh gwits'ee khwajyaa goovahnyąą. 
40:14:023:0	Dinjii nąįį datthak oo'an nakhwazheh gwits'ee khwajyaa ahnyąą ąįįtł'ęę taih kat deedhizhii ts'ą' adan zhrįh khagidiinjii. Nijin tǫǫ nigwiindhat dąį' Jesus adan zhrįh zhat t'inchy'aa. 
40:14:024:0	Ts'ą' zhat dąį' it'ee ąįį tr'ihchoh van tł'an hee dhitin, ts'ą' chųų tit choh haa zhat gwa'an neehiilak, veiintr'aii geh'an. 
40:14:025:0	Vanh dąį' 3 AM ts'ą' 6 AM gwideetak gweedhaa gwiizhit Jesus vitsyaa nąįį chųų kat goots'ą' ahaa nigiiyiił'in. 
40:14:026:0	Nijin chųų kat ahaa nigiiyiił'in dąį' łahchy'aa gąąnjat, nagaanaii ts'ą' t'iginyąą, “Ch'anky'aa t'ii'in!” ginyąą gwiizhit gihilghaa ts'ą' gwint'aii gazhral. 
40:14:027:0	Jesus, zhat gwagwahkhan goots'ą' khagiinkhee, “Shįį t'ishi'in! Noojat kwaa ts'ą' nooht'aii!” gavahnyąą. 
40:14:028:0	Ąįįtł'ęę Peter, khagiinkhee ts'ą' t'iiyahnyąą, “K'eegwaadhat, nan t'inchy'aa ji' chųų kat nats'ą' hihshyaa geenjit akwat jyaa shaiinyąą!” yahnyąą. 
40:14:029:0	Jesus yats'ą' khagiinkhee ts'ą' “Aanaii!” yahnyąą, ts'ą' t'ee Peter tr'ihchoh zhit gwats'an tr'iinzhii ts'ą' chųų kat Jesus ts'ą' ahaa. 
40:14:030:0	Gaa nijin gwint'aii ahtr'aii gik'aanjik dąį' naajat naanaii ts'ą' chųų zhit teet'aaghyii gwiizhit jyaa nyąą, “K'eegwaadhat shits'iinyąą!” nyąą ts'ą' khatree'iintrat. 
40:14:031:0	Zhat gwagwahkhan Jesus danli' k'iindaa t'inlik ts'ą' neeyahtsit ts'ą' t'inyąą, “Łyaa nigwik'iinjigwiighit natsal, jaghaii zhyaa tr'adashoiinlii?” yahnyąą. 
40:14:032:0	Nijin tr'ihchoh zhit neegeejil dąį' ahtr'aii neet'aanąįį. 
40:14:004:1	Jesus, Gennesaret Nahkat Iłts'ik Nąįį Shrininlik.
40:14:033:0	Ąįįtł'ęę vitsyaa nąįį tr'ihchoh zhit giits'ą' nikiigwiintthaii ts'ą' ginjik nint'aii haa jyaa ginyąą, “Łahchy'aa łi'deegwidlii haa Vit'eegwijyąhchy'aa Vidinji' inlii łee.” ginyąą. 
40:14:034:0	Van ndųhts'ąįį neegiinjil ts'ą' Gennesaret kwaiik'it deeginjil, 
40:14:035:0	dąį' zhat gwich'in nąįį Jesus juu t'inchy'aa gaagiindaii. Ąįįts'ą' ąįį dinjii nąįį, geelin nahkat gwats'an iłts'ik nąįį datthak Jesus ts'ą' gahaadlii. 
40:14:036:0	Ąįįtł'ęę iłts'ik nąįį Jesus ts'ą' ch'oodigiikwat, “Ni'ik eelin gaa kat khan narahaandal shrǫ'?” giiyahnyąą. Juu yakat naanjik nąįį datthak shrineegaazhik.
