40:5:001:1	Taih Kat Gwandak Nizįį Eeginkhii
40:5:013:0	“Dzaa nankat dinjii nąįį datthak eenjit lisil k'it t'ohchy'aa ts'ą' nakhwat'injigaahchy'aa t'oonchy'aa. Ąįįts'ą' lisil vagwaandaii kwaa dhidlit ji' duuyeh chan hee vagwaandaii neerahtsii t'inchy'aa ts'ą' duuyeh chan hee vit'ineegwaachy'aa, ts'ą' oo'an tr'ahahtł'aa gwizhrįh, ts'ą' dinjii nąįį gwintł'oo giikat k'eeheedal. 
40:5:014:0	“Nakhwant'ee jii nankat datthak geenjit aadrii ǫhłįį k'it t'ohchy'aa t'oonchy'aa, kwaiik'it gwachoo taih kat gwiriłtsąįį ji' duuyeh geegoh'ik goo'aii. 
40:5:015:0	Dinjii nąįį duuyeh khwaiidaak'a' aadrii neegahdrii ts'ą' tyah ghoo choh t'eh nigiiya'ąįį, gaa zheh gwizhit datthak gach'ahaadrii geenjit aadrii daak'a' vakat doo'aii kat nigiihee'aa. 
40:5:003:1	Law Eenjit Geech'ǫąąhtan
40:5:016:0	Ąįį gwik'it adrii ch'aadrii k'it t'ohchy'aa, dinjii nąįį nakhwagąąh'in dąį' ch'ohdit k'it t'akhohchy'aa, ts'ą' nijin Vit'eegwijyąhchy'aa vigwitr'it gwinzii t'akhwa'in nakhwagąąh'in dąį' Zheekat Nakhwati' deegahah'aa t'igiinchy'aa.” 
40:5:017:0	“Moses va-law ąįįts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii nąįį jidii eech'agwahtan ąįį oo'an gwihihłyaa eenjit dzaa gwats'ą' hoiizhii nǫhkhya' shrǫ'. Jii kwaii eech'agwahchya' ąįį łi'deegwidlii gwahałtsyaa geenjit dzaa gwats'ą' hoiizhii t'ishi'in. 
40:5:018:0	Jidii datthak łi'haa nakhwaagwaldak, deegwąhkhyuk jii nan ts'ą' zheekat haa goodlii, gwiizhit duuyeh zhit Law vili' tsal gaa an ilii t'inchy'aa. Jidii t'igweheenjyaa goo'aii datthak gwik'it t'igwiizhit ąįįtł'ęę t'ohju' hee an heelyaa. 
40:5:019:0	Ąįįts'ą' t'ee juu Law vili' tsal zhrįh gaa k'eegwahthat kwaa ts'ą' ch'izhii dinjii nąįį chan law k'eegwagwahthat kwaa ąhtsii ji', Zheekat Gweegwinii'ee zhit ch'andaa gwiintsal gwizhrįh veegwehee'aa t'inchy'aa. Gaa juu Law deenyąą gwik'it t'ii'in ts'ą' ch'izhii nąįį chan law k'eegwahthat ąhtsii ji' Zheekat Gweegwinii'ee gwizhit ch'andaa gwiintsii vidivee gwehee'aa t'inchy'aa. 
40:5:004:1	Diik'įį Gwanlii Geenjit Geech'ǫąąhtan
40:5:020:0	It'ee łyaa nakhwaagwaldak t'ihnyąą, juu Law eech'ǫąąhtan nąįį, ts'ą' juu Pharisee nąįį k'it Vit'eegwijyąhchy'aa deeyahnyąą gwik'it t'ii'in nąįį andaa vik'eegohthat ji', gwizhrįh Zheekat Gweegwinii'ee nihdeehohdaa t'oonchy'aa.” 
40:5:021:0	“Vit'eegwijyąhchy'aa yeenii nakhwalak nąįį jyaa ahnyąą gohtth'ak, ‘Dinjii ęhdaa tr'agǫh'aa shrǫ' jyaa dakhwazhik ji' t'ee ch'aroahkat zheh nihdeenakhwarahahchyaa t'oonchy'aa.’” 
40:5:022:0	Gaa juk nakhwaagwahaldak, juu dachaa ts'ą' gwik'injigwiighit zhit vik'įį gwanlii ji' ch'aroahkat zheh gwizhit nihdeerahahchyaa. Nachaa zhyaa ‘Geenjit gwakwaa dinjii inlii!’ vaiinyąą ji', Jews gwakhaihkwaii nąįį ts'ą' nihdeenarahahchyaa, ąįįts'ą' chan, nachaa gwik'injigwiighit zhit dinjii ‘Vit'eegwijyąhchy'aa haandaii kwaa ts'ą' k'ii'an tr'agwah'in!’ vaiinyąą ji' khink'an ts'ą' hell gwats'ą' hinkhaa gwahtsii t'oonchy'aa. 
40:5:023:0	Ąįįts'ą' Vit'eegwijyąhchy'aa ataiinjii tr'ahtsii deek'it gwakat shih vantłeehahtsit gwiizhik nachaa gwik'injiighit gwiizųų vats'a' t'inizhik ganąnjik ji', 
40:5:024:0	ąįį shih zhat ataiinjii tr'ahtsii deek'it geeghaih akhoohoinjyaa ts'ą' nachaa zhat gwagwahkhan vats'a' hinkhaa ts'ą' vaagwinzii neegwahahtsyaa, ąįįtł'ęę gǫhju' hee zhat gwits'eehindyaa ts'ą' Vit'eegwijyąhchy'aa vats'a' shih vantł'eehahchaa. 
40:5:025:0	“Juu dinjii ch'ihłak shats'ą' gwiizųų t'inizhik nahnyąą (lawsuit) ji', ch'aroahkat zheh gwats'ą' nahahchyaa gwehkįį vaa gwinzii neegwąhtsii. Jyaa dinizhit kwaa ji', zhit juu noohaahkat ts'ą' nahahchyaa, ąįįtł'ęę juu gwadąįį gwak'ąąhtii (Police) nąįį antł'eenagahahchyaa ts'ą' zheh gwaazhrąįį nanagahahchyaa t'oonchy'aa. 
40:5:005:1	Juu Geedhidii Ąįį Juu Geedhidii Kwaa Haa Nigwii'ąįį Geenjit Geech'ǫąąhtan
40:5:026:0	Łyaa naagwaldak, ąįįts'ą' aiizhit gwizhit heendyaa t'oonchy'aa, dahthee datthak laraa neegohoiinkwat gwats'ą' datthak zhat hiindyaa t'oonchy'aa.” 
40:5:027:0	“Vit'eegwijyąhchy'aa yeenii nakhwalak nąįį jyaa daiinyą' gohtth'ak? ‘Nakąį' akwat na'at nilii kwaa haa oonchį' shrǫ'!’” 
40:5:028:0	Gaa juk nakhwaagwaldak, juu nakhwatee dinjii, tr'injaa nah'in ts'ą' vaa oihchį' yuunyąą ji' gaa didrii zhit adultery t'ii'in. 
40:5:029:0	Ąįįts'ą' t'ee nishriits'ąįį, nindee tr'agwaanduu t'ini'yaa nihiłtsąįį ji' khaiin'ąįį, ts'ą' oo'an haakhii jyąhts'ą' gwik'iighai' nindee ch'ihłak kwaa ji' ts'ąįį nidiveegweheezyaa t'oonchy'aa. Nananh gwa'an natthąį' lat kwaa, ji' gaa duuyeh natthąį' datthak hell gwizhit nihdeerahchįį t'oonchy'aa. 
40:5:006:1	Dinjii akwat Tr'injaa Haa Juu Eegaadii Ihłeegahaa'oo Ąįį Geenjit Geech'oorahtan
40:5:030:0	Nishriits'ąįį, nanli' tr'agwaanduu t'ini'yaa nihiłtsąįį ji' vik'eech'iint'ii, ts'ą' oo'an haakhii jyąhts'ą' gwik'iighai' nanli' ch'ihłak kwaa ji' ts'ąįį nidiveegweheezyaa t'oonchy'aa. Nananh gwa'an natthąį' lat kwaa, ji' gaa duuyeh natthąį' datthak hell gwizhit nihdeerahchįį t'oonchy'aa.” 
40:5:031:0	“Ąįįts'ą' chan hee Vit'eegwijyąhchy'aa yeenii nakhwalak nąįį jyaa dahnyąą gohtth'ak? ‘Dinjii da'at akhoonyąą ji' gwideheentł'oo ts'ą' da'at antł'eeyahahchal gwizhrįh goo'aii.’ 
40:5:032:0	Gaa juk nakhwaagwaldak, zhit juu dinjii da'at akhoonyąą ji' va'at adultery t'ii'in kwaa gaa nihk'it akhoonyąą, ąįįt'ee da'at adultery t'ii'in ąhtsii, ąįįts'ą' va'at chan hee neeroonjik ji' t'ee, ąįį dinjii neeyuunjik t'ee adultery t'ii'in t'oonchy'aa. 
40:5:033:0	“Vit'eegwijyąhchy'aa yeenii nakhwalak nąįį dahnyąą dohtth'ak, ‘Łahchy'aa deegwinyąą ts'ą' deegwehee'yaa gwinyąą gwik'it t'igwehee'yaa gwizhrįh. K'eegwaadhat vats'a' vow’ dhąhtsąįį łahchy'aa gwik'it t'ini'yaa gwizhrįh goo'aii. 
40:5:034:0	Gaa juk zhat nakhwaagwaldak, nijin jyaa shi'yaa dohnyąą dąį' vows t'oohchy'a' shrǫ', zheekat geh'an jyaa t'ishi'yaa ąįį łyaa gwik'it t'ishi'yaa dohnyą' shrǫ'! Aiizhit Vit'eegwijyąhchy'aa k'eedeegwaadhat ts'ą' yakat doodii deek'it goo'aii geh'an. 
40:5:035:0	Jii nankat geenjit chan jyaa t'ishi'yaa dohnyą' shrǫ', ji' nankat gwakat t'ee Vit'eegwijyąhchy'aa dakwai' diłdlii t'oonchy'aa. Vit'eegwijyąhchy'aa, k'eedeegwaadhat jiintsii vakwaiik'it t'oonchy'aa, Jerusalem kwaiik'it gwachoo geh'an jyaa t'ishi'yaa dohnyą' shrǫ'. 
40:5:036:0	Nikiitth'an haa geenjit gaa jyaa t'ishi'yaa dohnyą' shrǫ', duuyeh gaa nikiighai' azhrąįį akwat daagąįį ąhtsii gwizhit jyaa dihiinjyaa. 
40:5:007:1	Gwiizųų Diits'ą' T'igwii'in, Ąįį Gwit'ii Neegwarahtsii, Ąįį Geenjit Geech'ǫąąhtan
40:5:037:0	Jii zhrįh gwik'it t'ohnyąą, ‘Aahą'’ akwat ‘Nakwaa’ geeghaih, k'eegwiichy'aa t'ahohjyaa ji' ąįįt'ee Tr'aanduu ts'an t'ahohjyaa t'oonchy'aa.” 
40:5:038:0	“Vit'eegwijyąhchy'aa yeenii nakhwalak nąįį dahnyąą dohtth'ak? ‘Dinjii ch'ihłee ch'izhii dinjii andee akwat yagho' iinjik ji' ąįį dinjii dandee akwat dagho' haa iinjii ji' heezyaa.’ 
40:5:039:0	Gaa juk nakhwaagwaldak, juu nakhwats'ą' gwiizųų t'ii'in ji' gwit'ii neegohtsyaa shrǫ'! Dinjii ch'ihłak nishriits'ąįį ninin nak'ah naat'an ji' natł'ohts'ąįį chan ninin nak'ah neeniheent'an ąhtsii. 
40:5:040:0	Ąįįts'ą' zhit dinjii ch'ihłak, zhak khii ni'ik nits'į' ooheendal geenjit Ch'aroahkat Zheh nihdeenąąhchįį ji' zhak khii ni'ik vantł'ąhtsuu ts'ą' nach'ada'ik chan vantł'ąhtsuu. 
40:5:041:0	Zhit juu Roman niveet'ah'in nilii nąįį, ąįį ch'ihłak sha'ohtsuu, 1 mile sheenjit inghwaa nahnyąą ji' 2 miles veenjit yihiinghwaa yuu. 
40:5:008:1	Juu Nakhwatr'ii'ee Nąįį Eenjit Ch'eet'igwiniindhan Khwa'įį.
40:5:042:0	Dinjii k'eiich'i' ch'ihłak eenjit naahkat ji' vantł'eeyiin'ąįį, ąįįts'ą' nijin dinjii jii k'eiich'i' sheedhah'aii nahnyąą ji' gwik'it t'ini'in.” 
40:5:043:0	“Vit'eegwijyąhchy'aa yeenii nakhwalak nąįį dinjii nąįį jyaa dahnyąą gohtth'ak, ‘Nakhwaneh'ok gwich'įį nąįį eet'ohthan, ts'ą' juu nakhwatr'ii'ee nąįį gootr'ooh'ee.’ 
40:5:044:0	Gaa juk nakhwaagwaldak, juu nakhwatr'ii'ee nąįį eet'ohthan, ts'ą' juu khaiinjich'anakhwagahkhit nąįį eenjit khadagohjii. 
40:5:045:0	Jyąhts'ą' gwik'iighai' Zheekat Nakhwati' vigii khohłyaa geenjit. Dinjii iizųų akwat dinjii nizįį nąįį datthak kat oodee shree dha'aii haa gooch'ąhdrii ąhtsii t'inchy'aa. Juu gwinzii t'ii'in ts'ą' juu tr'agwaanduu t'ii'in nąįį datthak kat ąhtsin gwahtsii t'inchy'aa. 
40:5:046:0	Juu neet'iindhan zhrįh eet'iindhan ji', jaghaii Vit'eegwijyąhchy'aa geenjit nahah'aa? Juu tax eenjit laraa oonjii nąįį gaa jyaa digii'in. 
40:5:047:0	Ąįįts'ą' nijyaa nąįį zhrįh ts'ą' inzii ji', jaghaii Vit'eegwijyąhchy'aa geenjit nahah'aa? Juu Vit'eegwijyąhchy'aa haandaii kwaa nąįį gaa jyaa digii'in.” 
40:5:048:0	Zheekat Nakhwati' vit'igwiin'ee kwaa ts'ą' shroodiinyąą nilii ąįį vik'it t'ahohchy'aa gwizhrįh goo'aii.”
