40:26:001:1	Jesus Giiyęhdaa Tr'igwihee'aa Gwik'eegwagwandaii
40:26:011:0	Dinjii neeshraahchy'aa nąįį gweedhaa datthak nakhwaa gweheendaii, gaa shįį ąįį duuyeh gweedhaa datthak nakhwaa gwįįhdaii t'oonchy'aa. 
40:26:012:0	Jii gwanzhįh chų' gwinzii vagwaatsan shak'aa naanjaa ąįįt'ee tth'ank'it gwizhit sharaheetsii geenjit shatthąį' tr'iilęįį ąhtsii t'ii'in. 
40:26:003:1	Judas, Jesus Gwantł'eehałchyaa Nyąą
40:26:013:0	Łyaa nakhwaagwaldak t'ihnyąą, jii nankat datthak nijin gwa'an Gwandak Nizįį eeragwaandak gwa'an giiyeegiheekhyaa adan t'ee deezhik khik vineegwahaandaii geenjit.” 
40:26:014:0	Ąįįtł'ęę Jesus, vitsyaa 12 nąįį ch'ihłak Judas Iscariot oozhii, giinkhih kįh dilk'ii nąįį ts'ą' haazhii. 
40:26:015:0	Ts'ą' gavahkat, “Jesus nakhwantł'ałchįį ji', jidii shantł'eehoh'aa?” goovahnyąą. Laraa 30 dollars silver choh k'it t'inchy'aa giiyintł'inlii. 
40:26:004:1	Jesus, Ditsyaa Nąįį Haa Passover Gwagwahtsii Ąįį Neega'aa
40:26:016:0	Izhit gwats'an it'ee Judas, Jesus gavantł'eehahchyaa geetr'agwah'in. 
40:26:017:0	Tr'ookit drin łųhchy'aa vitee łųh niituu tr'ihee'aa kwaa nigwiindhat dąį', Jesus vitsyaa nąįį giits'ą' haajil ts'ą' giiyųąhkat, “Passover ch'irehee'aa geenjit nijin tr'iilęįį gwarahahtsyaa?” giiyahnyąą. 
40:26:018:0	Jesus goodii ginkhe', “Kwaiik'it gwachoo gwizhit dinjii ch'ihłee vats'a' hohjyaa ts'ą' jyaa vohnyąą, ‘Geech'ǫąąhtan jyaa nyąą, shįį ąįįts'ą' shitsyaa nąįį haa nizheh Passover neerahee'aa juk it'ee zhat nigwiindhat.’ vohnyąą.” 
40:26:019:0	Vitsyaa nąįį Jesus deenyąą gwik'it t'igiizhit ts'ą' neech'igehee'aa geenjit shrigwigwiinlik. 
40:26:020:0	Nijin khaa nagwaanąįį dąį' Jesus ts'ą' ditsyaa nąįį haa neech'ihgihee'aa geenjit datthak zhak dagaandii. 
40:26:021:0	Ch'aga'aa gwiizhit Jesus, t'agavahnyąą, “Jii nakhwaagwahaldak, nakhwatee ch'ihłak gwantł'ee shahahchyaa t'oonchy'aa.” 
40:26:022:0	Vitsyaa nąįį tr'igwigwidii haa datthak giiyahkat, “K'eegwaadhat Łahchy'aa shįį t'ashaiinyąą kwaa gwizhrįh t'oonchy'aa,” gooteegwagwaanchy'aa ts'ą' jyaa giiyahnyąą. 
40:26:023:0	Jesus t'inyąą, “Ch'ihłee juu shaa k'ik ghoo zhit shaa łųhchy'aa tahtsik ąįįt'ee gwantł'eeshahahchyaa t'ihnyąą. 
40:26:024:0	Gwidinji' niheedhaa gwinyąą, ąįį Dęhtły'aa Choh kat gwadanakhwatł'oo, gaa zhit juu dinjii, Gwidinji' niheedhaa eenjit gwantł'eehahchyaa łyaa veenjit googwantrii gwiizųų ts'ą' vagoodlit kwaa ji' ts'ąįį vidivee gweheezyaa.” 
40:26:005:1	K'eegwaadhat, Ninjigwadhat Goots'an Ąhtsii
40:26:025:0	Judas, ąįįt'ee Jesus, gwantł'eehahchyaa t'inchy'aa, ąįį yats'ą' khaginkhee. “Geech'ǫąąhtan, łahchy'aa shįį t'ashaiinyąą kwaa hee?”Jesus, t'iiyahnyąą, “Nan jyaa diinyąą t'oonchy'aa.” 
40:26:026:0	Ch'aga'aa gwiizhit, Jesus łųhchy'aa oonjik ts'ą' mahsį' nyąą haa khadigeedi' ts'ą' khadiyinzhuu ąįįtł'ęę ditsyaa nąįį tee yiłtsit ts'ą' t'inyąą, “Jii łųhchy'aa ǫhjii ts'ą' ch'oh'aa, jii t'ee shatthąį' t'inchy'aa.” gavahnyąą. 
40:26:027:0	Ąįįtł'ęę chųų tyah oonjik, ts'ą' Vit'eegwijyąhchy'aa ts'ą' mahsį' nyąą ąįįtł'ęę gavantł'eeyiinkaii ts'ą' “Datthak vats'an ch'akhwanįį.” gavahnyąą, 
40:26:028:0	“Jii t'ee shadaa, lęįį nąįį atr'agwaanduu oo'an gweheelyaa geenjit gwantł'eerinkaii t'inchy'aa ts'ą' Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'iizhik gwigweheechy'aa geenjit. 
40:26:029:0	Łyaa nakhwaagwaldak, dahthee Shiti' Veegwinii'ee gwizhit jak chų' k'eejit nakhwaa shihinjyaa gwats'ą' datthak duuyeh jak chų' neeshinįį t'oonchy'aa.” 
40:26:006:1	Peter, Jesus Haandaii Kwaa Heenjyaa, Ąįį Jesus Geegwaandak.
40:26:030:0	Vit'eegwijyąhchy'aa deegihił'e' haa ch'igiinli' ąįįtł'ęę Taih Vakat Olives Nahshii gwats'ą' gahaajil. 
40:26:031:0	Jesus ditsyaa nąįį t'ahnyąą, “Juk khaa datthak ts'ą' akhashahohjyaa ts'ą' shihłeehohgal, Dęhtły'aa Choo zhit jyaa digwinyąą gwik'it, ‘Vit'eegwijyąhchy'aa, divii k'ąąhtii hahkhwaa ts'ą' divii nąįį datthak nihky'aa shrihtee gahaajil.’ 
40:26:032:0	Gaa nijin gwihįhdaii geenjit nineedhihkhin ąįįtł'ęę nakhwats'įį Galilee gwats'ą' hihshyaa t'oonchy'aa.” 
40:26:033:0	Peter, Jesus jyaa dahnyąą, “Jii nąįį datthak akhanagoonyąą gaa shįį duuyeh nihłeehihshii t'oonchy'aa.” 
40:26:034:0	Jesus, Peter t'ahnyąą, “Naagwahaaldak, juk khaa rooster hahchik gwehkįį tik agwaanchy'aa shaanandaii kwaa hinjyaa t'oonchy'aa!” yahnyąą. 
40:26:007:1	Jesus, Gwanzhįh Deek'it Gethsemane gwizhit Khagidiinjii
40:26:035:0	Peter yidii ginkhii, “Naa nihihthaa ji' gaa nihk'it duuyeh jyaa dihnyąą t'oonchy'aa!” yahnyąą. Ts'ą' ch'izhii vitsyaa nąįį datthak chan jyaa diginyąą. 
40:26:036:0	Ąįįtł'ęę Jesus, ditsyaa nąįį haa gwanzhįh deek'it Gethsemane goozhii gwats'ą' goovaahaazhii. “Dzaa dook'įį, gwiizhit yee'at nihihshyaa ts'ą' khadigikhihjyaa.” gavahnyąą. 
40:26:037:0	Ditsyaa Peter, ąįįts'ą' Zebedee vidinji' neekwaii nąįį giiyaaneehiidal. Gwiizhit Jesus gwintł'oo tr'igwidii gwizhit khaiinjich'iighit. 
40:26:038:0	Ąįįts'ą' t'agavahnyąą, “Shidrii zhit tr'igwidii nitsii dha'aii ts'ą' vaa an hihłyaa k'it t'ihchy'aa, dzaa dook'įį ts'ą' sheenjit gwak'ǫǫhtii.” 
40:26:039:0	Geh'at niighit kwaa gwats'ą' haazhii ts'ą' nikiigwiintthaii ts'ą' dinin nankat gwah'ee ts'ą' khadigiinjii ts'ą' t'inyąą, “Shiti', gwik'it goo'aii ji' jii khaiinjich'iriighit gwichųų tyah shits'į' noiinjii, shįį ąįį deeyiihthan gwik'it ąįį nakwaa, gaa nan ąįį deeyiindhan gwik'it.” 
40:26:040:0	Ąįįtł'ęę ditsyaa tik nąįį ts'eehoozhii akhai' giłchųų łee ts'ą' Peter ąįį t'ahnyąą, “Hour ch'ihłak gwizhrįh gwik'eehoohtyaa goo'aii gaa geenjit gohthan kwaa?” 
40:26:041:0	Datthak ts'ą' t'agavahnyąą, “Gwak'ǫǫhtii ts'ą' khadagohjii, jyąhts'ą' gwik'iighai' tr'agwaanduu t'akhwa'yaa hohkhyaa kwaa geenjit. Nakhwayinji' ąįį gwik'it shoo'ya' niindhan gaa nakhwatthąį' ąįį vat'aii kwaa.” 
40:26:042:0	Chan hee gihłeehoozhii ts'ą' khadigiinjii ts'ą' t'inyąą, “Shiti' jii khaiinjich'iriighit gwichųų tyah, shihłeehiin'aa kwaa ji', shihinjyaa, ts'ą' deeyiindhan ąįį gwik'it gweheelyaa.” 
40:26:043:0	Chan hee ditsyaa nąįį ts'eehoozhii, akhai' khyų' digindee nihky'aa goontą' ts'ą' neegiiłchųų. 
40:26:044:0	Chan hee Jesus, goołeehoozhii ts'ą' juk t'ee tik agwaanchy'aa gwehkįį deenyą' chy'aa chan hee gwik'it t'inyąą ts'ą' khadigiinjii. 
40:26:045:0	Juk it'ee tik agwaanchy'aa ditsyaa nąįį ts'eehoozhii ts'ą' t'agavahnyąą, “Tth'aii hee noozhii ts'ą' dhohchųų? Gooh'in! Juk t'ee zhat nigwiindhat Gwidinji' tr'agwaanduu gwitr'it t'agwah'in nąįį antł'eetr'ahahchyaa. 
40:26:008:1	Jesus Giiyuunjik
40:26:046:0	Ndak nǫhjyaa ts'ą' tr'ahoojyaa, gooh'in jii dinjii gwantł'ee shahahchyaa dzaa dhidii t'oonchy'aa.” 
40:26:047:0	Jesus tth'aii hee ginkhii gwiizhit vitsyaa ch'ihłak Judas oaazhii zhat k'idik. Dinjii lęįį nąįį shrii choo ts'ą' gał choo haa neegahaazhik ts'ą' giinkhih kįh dilk'ii nąįį ts'ą' ch'anjaa nąįį ts'ą' Law eech'ǫąąhtan nąįį goohił'e' giiyaaneehiidal. 
40:26:048:0	Ąįį juu gwantł'ee yahahchyaa ąįį dinjii lęįį łeeljil nąįį t'ahnyąą, “Dinjii haaltsu' t'ee adan vohtthan t'inchy'aa, ąįį ǫhjii.” 
40:26:049:0	Judas, zhat k'idik gwagwahkhan Jesus ts'ą' haazhii, “Geech'ǫąąhtan, tsinehdan naa gooli'!” yahnyąą ts'ą' yiilts'ų'. 
40:26:050:0	Jesus t'iiyahnyąą, “Shijyaa, jaghaii dzaa dhindii?”Ąįįtł'ęę Jesus goonjik ts'ą' gwiint'aii giiyuutą'. 
40:26:051:0	Dinjii ch'ihłee Jesus haa t'iinchy'aa ąįį shrii choo khaiintin ts'ą' ndak khii giinkhih choh vi-slave anlee yihiilnaii akhai' yidzee gadahtrat. 
40:26:052:0	Ąįįtł'ęę Jesus jyaa yahnyąą, “Nishrii choo gwizhit ninchįį, juu nąįį datthak shriichoo khaiintin t'aahchy'aa t'ee yaahahchyaa t'oonchy'aa! 
40:26:053:0	Zheekat Shiti' shits'iinyąą vaihnyąą ji' gwagwahkhan zheekat gwich'in niveet'ah'in 12,000 andaa t'ąąnchy'aa shats'ą' niheelyaa gaakhwandaii? 
40:26:054:0	Gaa gwik'iighai', nats'ahts'ą' Dęhtły'aa Choo zhit deegweheenjyaa gwinyąą ąįį gwik'it gweheelyaa.” 
40:26:055:0	Zhat dąį' Jesus dinjii gwanlii nąįį ts'ą' ginkhii, “Law łaahnaii iizųų ihłii k'it zhit, shriichoo ąįįts'ą' gał choo haa shohǫhdal geenjit gaa neehoozhik? Drin gwit'eegwaanchy'aa Kharigidiinjii Zheh Gwachoh gwizhit geech'ǫąąhtan gaa shǫhjii kwaa. 
40:26:009:1	Jesus, Israel K'įh Dilk'ii Nąįį Ts'ą' Nigiiyaahchįį
40:26:056:0	Gaa jii kwaii datthak nats'ąą Vit'eegwijyąhchy'aa Eenjit Ginkhii Dęhtły'aa Choo zhit gwadagwaantł'oo ąįį gwik'it gweheelyaa geenjit t'igwiizhit.” Tł'ęę vitsyaa nąįį datthak akhagiiyuunyąą ts'ą' gihłeegalgihiljil. 
40:26:057:0	Zhit juu Jesus oonjik nąįį ndak khii giinkhih choo Caiaphas oozhii vizheh gwats'ą' giihiłchįį, izhit t'ee Law eech'ǫąąhtan nąįį ts'ą' Israel kįh dilk'ii nąįį haa łeeljil. 
40:26:058:0	Gaa Peter ąįį gootąįį niighit ahaa, ndak khii giinkhih choo vizheh gokwantee gwizhit gweedii geelin tthał needhe'ee nihdeiinzhii ts'ą' zhat gwadąįį gwak'ąąhtii nąįį haa naadii deegweheenjyaa li' geenjit. 
40:26:059:0	Giinkhih kįh dilk'ii nąįį ts'ą' Israel kįh dilk'ii nąįį haa datthak Jesus ęhdaa tr'igwigwehee'aa geenjit goots'it haa gwiizųų t'iizhik giiyahaanjyaa eenjit gwankeegwagwah'in. 
40:26:060:0	Dinjii lęįį nąįį goots'it haa jyaa diizhik giiyahnyąą, gaa gwiizųų t'iizhik giiyeenjit gwagwagwah'ąįį kwaa. Gohch'it dee dinjii neekwaii nąįį khagiinkhee, 
40:26:061:0	ts'ą' t'iginyąą, “Jii dinjii t'ee Vit'eegwijyąhchy'aa Vakharigidiinjii zheh shrahtee gwahaałtsyaa ąįįtł'ęę drin tik gwiizhit ndak nineegwihih'aa nyąą t'inchy'aa.” 
40:26:062:0	Ndak khii giinkhih choh ndak nigiilzhii ts'ą' Jesus goots'ą' nadhat gwiizhit giiyųąhkat, “Jaghaii jii dinjii nąįį gwiizųų neegigiinkhii gwiizhit jaghaii goodii ginkhii kwaa?” 
40:26:063:0	Gaa Jesus hahchįį kwaa. Ndak khii giinkhih choo jyaa yahnyąą, “Christ, Vit'eegwijyąhchy'aa Vidinji' inlii lee t'oonchy'aa, Vit'eegwijyąhchy'aa khit gwandaii voozhri' zhit oiints'it kwaa haa diinaa gwaandak giiyahnyąą.” 
40:26:064:0	“Shįį t'ee adan ihłii, Gwidinji' t'ee Vit'eegwijyąhchy'aa jidii datthak geenjit t'aih di'įį vishriits'ąįį dhidii khoh'yaa, k'iidąą zheekat gwats'an zheek'ǫh tee neeheedyaa khooh'yaa t'inchy'aa.” Jesus gavahnyąą. 
40:26:065:0	Jyaa nyąą geh'an ndak khii giinkhih choo dagwach'aa dats'an tr'ahch'aa ts'ą' jyaa nyąą, “Vit'eegwijyąhchy'aa vinehts'į' ginkhii! Dinjii nąįį tr'agwaanduu vigwitr'it gwanlii giheenjyaa t'eegwaahchy'aa kwaa! Datthak ts'ą' Vit'eegwijyąhchy'aa vinehts'į' ginkhii dohtth'ak! 
40:26:066:0	Deereheelyaa?” goovahnyąą. Ts'ą' giidii ginkhii, “Vęhdaa tr'agǫh'ąįį!” ginyąą. 
40:26:067:0	Tł'ęę giinin k'ąą gihizhree ts'ą' giiyahgwat ts'ą' goolat nąįį giiyant'an, 
40:26:010:1	Peter, Jesus Vaashandaii Kwaa Nyąą
40:26:068:0	ts'ą' jyaa ginyąą, “Christ, Vit'eegwijyąhchy'aa Eenjit Ginkhii inlii ji', juu neełgwat diinaa gwaandak!” giiyahnyąą. 
40:26:069:0	Peter kwantee tthał needhe'ee gwiizhit tth'aii hee dhidii dąį' ndak khii giinkhih choo vitsyaa tr'injaa yats'ą' niinzhii ts'ą' t'iiyahnyąą, “Nan chan Jesus Galilee gwats'ąnh nilii vaaneehindik hee?” yahnyąą. 
40:26:070:0	Gaa datthak goovandah gaandaii kwaa adaa'įį. “Jidii eegiinkhii t'iinyąą naashandaii kwaa!” nyąą ts'ą' yidii ginkhii, 
40:26:071:0	ts'ą' kwantee tthał needhe'ee chigweedii niinzhii. Ndak khii giinkhih choo ch'izhii vitsyaa tr'injaa yah'in ts'ą' zhat dinjii nąįį jyaa dahnyąą, “Jii t'ee Jesus, Nazareth gwats'an nilii haa neehidik chy'aa.” yahnyąą. 
40:26:072:0	Chan hee Peter gaandaii kwaa adaa'įį ts'ą' gwidii ginkhii, “Ąįį dinjii vaashandaii kwaa dihnyąą łyaa t'ihnyąą!” nyąą. 
40:26:073:0	Gwintsal gwahaadhat ąįįtł'ęę zhat dinjii neelzhii nąįį Peter ts'ą' nigiinjil. “Łyaa nant'ee vitsyaa ch'ihłak inlii!” “Nats'ahts'ą' ginkhii k'iighai' naagwiindaii t'oonchy'aa.” giiyahnyąą. 
40:26:074:0	Tł'ęę Peter t'inyąą, “Łyaa zhyaa łi'didlii haa gihkhii t'ihnyąą! Oihts'it ji' Vit'eegwijyąhchy'aa shagohshii! Ąįį dinjii vaashandaii kwaa t'inchy'aa.” nyąą gwiizhit rooster hahchik. 
40:26:075:0	ts'ą' Jesus deeyaiinyą' chy'aa Peter ganaanjik, “Rooster hahchik gwats'ą' tik agwaanchy'aa shaanandaii kwaa hinjyaa t'oonchy'aa yaiinyą'.” Peter cheehoozhii ts'ą' gwint'aii iintrii.
