40:21:001:1	Jesus Jerusalem K'inidik
40:21:002:1	Jesus, Kharigidiinjii Zheh gwats'ą' Haazhii
40:21:011:0	“Jii t'įį Vit'eegwijyąhchy'aa Eenjit Ginkhii Jesus, t'inchy'aa Nazareth kwaiik'it, Galilee nahkat gwizhit goo'aii ąįį zhit gwats'an ahaa t'inchy'aa!” zhit dinjii łeeljil nąįį jyaa diginyąą. 
40:21:012:0	Jesus Kharigidiinjii Zheh nihdeiinzhii ts'ą' juu ch'ookwat nąįį ts'ą' zhit vach'arookwat nąįį datthak Kharigidiinjii Zheh gwats'an cheehaanzhit. Ch'adanh nahkat gwalaraa ookwat nąįį vakaii'aa, ąįįts'ą' chan vakat daraadii ts'ą' chiitsal pigeons ąįį vizhit dilk'ii kwaii gavarahookwat nilii kwaii datthak khatąąnahjil. 
40:21:013:0	Ts'ą' t'agoovahnyąą, “Jii t'ee Dęhtły'aa Choh kat dagwaantł'oo ts'ą' Vit'eegwijyąhchy'aa jyaa nyąą, ‘Shitr'iginkhii zheh ąįįt'ee khadigiriinjii zheh goohaazhyaa t'oonchy'aa.’ Gaa nakhwan ąįį, ch'an'įį nąįį, gwizhit geegoh'ik ch'agąą'įį gwagwaa'įį goo'įį!” goovahnyąą. 
40:21:014:0	Kharigidiinjii Zheh gwizhit, zhit juu vandee kwaa nąįį ąįįts'ą' zhit juu neehidik kwaa nilii nąįį datthak giits'ą' haajil ts'ą' shrineegooviinlik.  
40:21:015:0	Tr'iinin nąįį Kharigidiinjii Zheh gwizhit, “Yeenii King David vidinji', tr'ahoo'e'!” ginyąą ts'ą' gazhral ts'ą' Jesus Kharigidiinjii Zheh gwizhit gwigwee'in t'ii'in geh'an chan giinkhih kįh dilk'ii nąįį, ąįįts'ą' Law eech'ǫąąhtan nąįį haa gook'įį goodlit. 
40:21:016:0	Jesus, ąįį jyaa dagahnyąą, “Deeginyąą t'iginyąą nik'ee gaviintth'ak?” giiyahnyąą.Jesus t'agoovahnyąą, “Łahchy'aa gwinzii gaviitth'ak t'igiinchy'aa! Dęhtły'aa Choo zhit nik'ee gooh'in? ‘Nakhwan, ąįį tr'iinin nąįį ts'ą' tr'iinin tsal nąįį haa, gwinzii Vit'eegwijyąhchy'aa deenagahah'aa geenjit geegoovǫǫhtan.’” goovahnyąą. 
40:21:003:1	Jesus, Fig Dachan Vakat Gwąąhshii Kwaa Iłtsąįį
40:21:017:0	Jesus zhat gihłeehoozhii ts'ą' Bethany kwaiik'it gwizhit naakhaa. 
40:21:018:0	Vanh dąį' hee Jesus, Jerusalem gwats'ą' needyaa, akhai' vizhit gwiłts'ik nagwaanąįį. 
40:21:019:0	Tąįį gwinjik geeghaih gwa'an dachan vakat Figs nahshii kat gwąąh'in akhai' vakat ch'at'an zhrįh nahshii łee, ąįįts'ą' ąįį dachan t'ahnyąą. “Duuyeh gwik'it chan nahkat neegwąąhshii t'oonchy'aa,” yahnyąą. Gwagwahkhan ąįį dachan navagaii aanaii. 
40:21:020:0	Nijin vitsyaa nąįį gwagwąąh'ya' dąį' deegiheenjyaa gaa gaagiindaii kwaa ts'ą' t'igiiyahnyąą, “Zhit Fig vadachan deegwiłkhan chan traa daagąįį naanaii?” ginyąą. 
40:21:021:0	Jesus t'agoovahnyąą, “Jii t'ee łyaa t'ihnyąą, gwik'injuhkhit ts'ą' Vit'eegwijyąhchy'aa duuyeh jyaa dii'in gwich'in nohthan kwaa ji', jii dachan Fig deiinlik, nakhwan ji' gaa gwik'it t'ahohjyaa. Gaa jii zhrįh t'akhwa'yaa kwaa t'oonchy'aa. Jii taih oondaa chųų choh zhit gwats'ą' teet'akhanghii vohnyąą ji' gwik'it t'iheenjyaa t'inchy'aa. 
40:21:004:1	Jesus Jidii T'aih Haa T'ii'in Geenjit Giiyųąhkat
40:21:022:0	Gwik'injuhkhit ji' khadagohjii datthak jidii dohnyąą datthak nakhwak'it t'igweheenjyaa.” t'oonchy'aa. 
40:21:023:0	Ąįįtł'ęę Jesus Kharigidiinjii Zheh gwits'ee hoozhii ts'ą' geech'ǫąąhtan, akhai' giinkhih kįh dilk'ii nąįį ts'ą' Israel kįh dilk'ii nąįį haa giits'ą' haajil ts'ą' giiyųąhkat, “Jii jyaa dini'yaa eenjit juu t'aih nantł'eiin'ąįį t'ini'in?” giiyahnyąą. 
40:21:024:0	Jesus t'agoovahnyąą, “Jii eenjit ch'ihłak nakhwahałkat, ąįį deihnyąą t'ihnyąą shaagoondak ji' juu vats'an t'aih haa t'ishi'in nakhwaagwahaldak. 
40:21:025:0	John chųų gwats'an hahtsyaa dąį' nijin gwats'an t'aih oonjik t'ii'in? Vit'eegwijyąhchy'aa vats'an akwat dzaa nankat dinjii nąįį ts'an?”Deegiheenjyaa geenjit nihzheedagąąn'ee, “Vit'eegwijyąhchy'aa vats'an t'aih di'įį gwinyąą ji' chan jaghaii John vik'injuhkhit kwaa diinahąąnjyaa t'inchy'aa.” ginyąą. 
40:21:026:0	“Gaa dzaa nankat dinjii nąįį ts'an gwinyąą ji' dinjii lęįį nąįį John, Vit'eegwijyąhchy'aa Eenjit Ginkhii t'inchy'aa ginyąą ts'ą' gwik'injigiighit geh'an datthak gąąnjat.” 
40:21:005:1	Dinjii Neekwaii Eenjit Geech'oorahtan Gwagwandak
40:21:027:0	Ąįįts'ą' Jesus, “Gaagwiindaii kwaa!” agahnyąą.“Shant'ee jii t'aih haa gwitr'it t'agwał'in, nijin gwats'an t'ishi'in nakhwaagwahaaldak kwaa t'oonchy'aa.” Jesus gavahnyąą. 
40:21:028:0	Jesus t'agoovahnyąą, “Juk zhat jii geenjit deenohthan? Ch'ihłan dinjii ch'ihłak vidinji' neekwaii gwanlii. Ch'oodee ąįįts'ą' haazhii ts'ą' t'ahnyąą, ‘Shidinji' juk drin nijin jak choh tr'ąąhshii gwideek'it gwizhit tr'agwah'in.’ yahnyąą. 
40:21:029:0	‘Gitr'iih'ee!’ yahnyąą, googaa juk drin tr'agwahaał'yaa niindhan ts'ą' tr'agwahaah'ya' gwats'ą' haazhii. 
40:21:030:0	Ąįįtł'ęę ch'iti', didinji' khaiints'ą' ts'ą' haazhii ts'ą' adan chan gwik'it t'iiyahnyąą, akhai', ‘Aahą' shiti'.’ nyąą gaa gwik'it t'iizhit kwaa. 
40:21:031:0	“Juu shrit viti' deeyahnyąą gwik'it t'iizhit?” gavahnyąą. “Ch'oodee ąįįt'ee gwik'it t'iizhik,” giiyahnyąą. Ąįįts'ą' t'ee Jesus t'agavahnyąą, “Łyaa nakhwaagwaldak t'ihnyąą, Prostitutes ąįįts'ą' tax eenjit laraa oonjii nilii nąįį Vit'eegwijyąhchy'aa Veegwinii'ee gwizhit nakhwehkii nihdeegiheedaa t'igiinchy'aa. “David vidinji' neeshraahchy'aa diinoiinyaa!” ginyąą. 
40:21:006:1	Dinjii Nąįį Jak Choh Nahshii Gwideek'it Gwak'ąąhtii Tr'agwaanduu Googwitr'it Gwanlii Googwaandak
40:21:032:0	John chųų gwats'an ąhtsii dzaa gwats'ą' haazhii, Vit'eegwijyąhchy'aa vik'eegahohthat geenakhwahahchyaa geenjit, googaa vik'injuhkhit kwaa, gaa tax eenjit laraa oonjii nilii ts'ą' protstitutes nąįį giik'injiighit gooh'in googaa nihk'it tr'agwaanduu nakhwagwitr'it gwanlii akhagohnyąą kwaa ts'ą' vik'injuhkhit kwaa.” 
40:21:033:0	Jesus t'agoovahnyąą, “Chan hee jii gwaandak haa geenookhwahałchyaa, ch'oodǫǫhk'įį, ch'ihłan dinjii jak choo (grapes) deek'it jak choo gwit'eiinlii, tthał chan yeelin needhatthaii. Jak choh teech'ahahdǫǫ ts'ą' jak choo chų' (wine) tr'ahahtsyaa eenjit khagwiindhat ts'ą' zhee ndak goo'aii gwiłtsąįį kat gwats'an khach'oorahaa'yaa geenjit. Dinjii zhat gwik'eehaahtyaa nąįį teegwįłjik, ts'ą' ch'adanh niighit nahkat gwats'ą' haazhii. 
40:21:034:0	Nijin jak choh khaihłan nigiheelyaa nagwiindhat dąį', va-slaves nąįį oo'an gwanzhįh k'ąąhtii nąįį ts'ą' hił'e', ąįį jak choh lat gooheendal geenjit. 
40:21:035:0	“Ąįį gwanzhįh k'ąąhtii nąįį googahtsik, ch'ihłak gaahkhwai' ts'ą' ch'ihłak geełkhwąįį ts'ą' ch'ihłak kii haa khaiinjii geełkhwąįį. 
40:21:036:0	Chan ch'izhii da-slaves nąįį oo'an neehił'e', tr'ookit hił'e' nąįį andaa t'ąąnchy'aa nąįį, ts'ą' gwanzhįh k'ąąhtii nąįį chan gwik'it t'agoogiinlik. 
40:21:037:0	Ndaagwąąn'ąį' didinji' goots'ą' hił'e'. ‘Łyaa shidinji' gahah'aa gwizhrįh goovaashandaii.’ nyąą. 
40:21:038:0	Gaa nijin gwanzhįh k'ąąhtii nąįį giidinji' nah'in dąį', jyaa diginyąą. ‘Jii t'ee dinjii gwanzhįh ts'ą' k'eedeegwaadhat vidinji'. Aanaii vats'a' tr'ahoojyaa vęhdaa tr'agwaroo'aa ąįįtł'ęę jii gwanzhįh deek'it diits'an gweheelyaa!’ ginyąą. 
40:21:039:0	Ąįįts'ą' giiyahtsik, ts'ą' jak choh deek'it gwats'an cheet'eegiiheełnaii ts'ą' giiyęhdaa tr'igwiin'ąįį. 
40:21:040:0	“Nijin jak choh deek'it gwats'ą' k'eedeegwaadhat oo'ee neezhįį ji', deehee'yaa shrǫǫ nohthan?” nyąą ts'ą' Jesus goovoahkat. 
40:21:041:0	Jesus t'agahnyąą, “Ąįį dinjii iizųų nąįį ęhdaa tr'igwihee'aa ts'ą' ch'ihzhii gwanzhįh k'ąąhtii nąįį jak choh khaihłan nigilii ji' valak giits'an hahtsyaa haandaii nąįį giigookwat haa jak choh deek'it gwagwahahshii.” giiyahnyąą. 
40:21:042:0	Jesus t'agoovahnyąą, “Nik'ee Dęhtły'aa Choo kat deegwinyąą gooh'in?‘Kii chyah kat zheh ndak gwehee'aa,ąįį kii dinjii nąįį iizųų giiyahnyąą.Gaa ndaagwąą'ąį' dąį' kii hilee nilii.Jii t'ee K'eegwaadhat t'iizhit.Łyaa gwinzii giiyiichy'a'!’” 
40:21:043:0	Jesus chan t'inyąą, “Ąįįts'ą' t'ee nakhwaagwaldak, Vit'eegwijyąhchy'aa Veegwinii'ee nakhwałeegwirehee'aa ts'ą' juu dinjii deevarahnyąą ąįį gwik'it t'ii'in antł'eegwirehee'aa t'oonchy'aa. 
40:21:044:0	Juu ąįį kii kat nat'aanąįį t'ee khadigweheent'ii, ts'ą' ąįį juu vakat kii naanaii t'ee yitreegwahaht'an ts'ą' łųh nahaadhal.” 
40:21:045:0	Giinkhih kįh dilk'ii nąįį ts'ą' Pharisee nąįį haa Jesus gwandak haa geech'ǫąąhtan gwigwiitth'ak ąįįt'ee gooveeginkhii t'inyąą giiyaandaii. 
40:21:046:0	Ąįįts'ą' giihoondal gwik'eegogwandaii. Gaa juu Jesus, t'ee Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii yuunyąą nąįį łeeljil ąįį nąįį k'eegwiichy'aa deegoogiheelyaa geenjit googąąnjat.
