40:24:001:1	Jesus, Jerusalem Kharigidiinjii Zheh Gwachoh An Gweheelyaa Geeginkhii
40:24:027:0	Nijin Gwidinji' dzaa gwits'eehidii ji' East gwats'an West gwats'ą' nahtan kǫ' haadhak k'it zheetii datthak ch'eegwąhndit nagwahaadhal t'oonchy'aa. 
40:24:004:1	Gwidinji' Nineeheedyaa
40:24:028:0	“Jii k'it t'igweheenjyaa t'oonchy'aa, nijin ch'atthąį' iłchįį t'ee zhat gwa'an vultures (deetrya' k'it t'inchy'aa) nąįį łaahaadaa t'oonchy'aa.” 
40:24:029:0	“Googwantrii gwiizųų gehgoo goodhat gwagwahkhan shree ch'ahahdrii kwaa nahaadhal ts'ą' tǫǫ oozhrii chan ch'ahahdrii kwaa, ts'ą' są' chan zheekat gwats'an niheedaa. Ts'ą' zheetii gwa'an jidii dhidlii kwaii datthak haatrat. 
40:24:030:0	Gwidinji' nats'ahts'ą' vagwahaakyaa Jesus jyaa nyąą ąįį gwik'it zheetii vagwahaakyaa, ąįįtł'ęę nankat gwich'in nąįį datthak Gwidinji' zheekat, gwats'an zheek'ǫh zhit vat'aih ts'ą' vich'eegwąhndit jiintsii haa k'iidąą needyaa ji', tr'igwidii haa treeyah hee'aa gwiizhit giiyahaah'yaa. 
40:24:005:1	Ts'iivii Fig Nahshii Ąįį Haa Geech'ǫąąhtan
40:24:031:0	Trumpet, vach'arahłii nilii gwint'aii haahchik nagwahaadhal, gwiizhit dizheekat gwich'in nąįį dzaa nankat gwizhit datthak gwats'ą' nagavaheelyaa ts'ą' Vit'eegwijyąhchy'aa juu gwitee tr'iinlii nąįį datthak khaihłan nigiheelyaa t'oonchy'aa.” 
40:24:032:0	“Zhit ts'iivii Fig vakat nahshii, ąįį vats'an gwagoo'ee. Nijin vatthoochan tth'aii hee datłok ts'ą' vakat ch'at'an tsal khan nahshii dąį', it'ee shin gwats'ą' nahgwan gaakhwandaii. 
40:24:033:0	Izhit gwik'it deegwehee'yaa diinyą' gwik'it t'igwii'in gooh'in ji' t'ee yee'at tthał nii'ee nihdeegweedii gwats'ą' ahaa vaakhwandaii. 
40:24:034:0	Łi'haa nakhwaagwaldak t'ihnyąą! Juk gweendaa gwandaii nąįį datthak niheedhaa kwaa ts'ą' jii kwaii zhit gweheedhaa. 
40:24:006:1	Nijin Drin ąįįts'ą' Nijin Ji' T'igweheenjyaa Ąįį Ch'ihłak Gaa Gaandaii Kwaa
40:24:035:0	Zhee, nan haa kwaa gweheelyaa gaa shiginjik ąįį khit łi'didlii heelyaa.” 
40:24:036:0	“Ch'ihłak gaa nijin drin akwat nijin ji' t'igweheenjyaa gaandaii kwaa, zheekat gwich'in nąįį ts'ą' Gwidinji' haa gaagiindaii kwaa gaa Gwiti' zhrįh gaandaii t'oonchy'aa. 
40:24:037:0	Gwidinji' k'inidik ji' deenaadąį' Noah vaadeegwiizhit chy'ah ąįį gwik'it t'ineegweheenjyaa. 
40:24:038:0	Zhat drin gwanaa dąį', nankat datthak chųų teehaankhaii nagwahaadhal gwats'ą' dąį' dinjii nąįį ch'aga'aa ts'ą' ch'igiinįį, dinjii ts'ą' nich'it haa nihłagoonjii googwahtsii, dahthee Noah tr'ihchoo zhit heekhaa gwats'ą' datthak jyaa digee'ya'. 
40:24:039:0	Googaa aiizhit dąį' deegwii'in gaagiindaii kwaa, gaa deegwii'in gwik'igaanjik dąį' gookat chųų t'iizhit ts'ą' chųų datthak goovoonjik. Nijin Gwidinji' k'inidik ji', jyaa digweheenjyaa. 
40:24:040:0	Jyaa digwii'in gwiizhit dinjii neekwaii nąįį gwanzhįh deek'it tr'agwagwah'in, Gwidinji' ch'ihłak ąįį neehoondal ts'ą' ch'ihłak ąįį zhat akhahoonjyaa. 
40:24:041:0	Tr'injaa neekwaii nąįį, łųhchy'aa vaatr'ahtsii haa tr'agogwah'in, gwiizhit Gwidinji' ch'ihłak neeyahoondal ts'ą' ch'ihłak ąįį zhat akhahoonjyaa. 
40:24:042:0	Nijin drin K'eegwaadhat neeheedyaa gwak'ǫǫhtii kwaa ji' gaakhwandaii kwaa t'oonchy'aa! 
40:24:043:0	Gaa jii gaakhwandaii! Ąįį dinjii nijin tǫǫ gwa'an juu ch'an'įį yizheh łeegwahahnaii gaandaii ji' yeenjit nagoohaah'yaa ts'ą' duuyeh yizheh łeegwahnaii t'inchy'aa. 
40:24:007:1	Juu Dinjii Eenjit Gwitr'it T'agwah'in Iizųų ts'ą' Nizįį
40:24:044:0	Jyąhts'ą' geh'an nakhwan chan oohadhanzhii gwizhrįh goo'aii, Gwidinji' geehoohłii kwaa gwiizhit k'ineeheedik t'inchy'aa.” 
40:24:045:0	“Juu yats'ą' k'eedeegwaadhat eenjit yitsyaa nilii t'ee vigwitr'it gwinzii ts'ą' chan goonzhįį? Ąįį t'ee juu yats'ą' k'eedeegwaadhat ch'izhii ditsyaa nąįį k'eehahtyaa yahahtsyaa ts'ą' drin gwiteegwaanchy'aa zhat nineegwiidhak dąį' gooch'ahah'aa geenjit. 
40:24:046:0	Nijin juu yats'ą' k'eedeegwaadhat oo'ee neezhįį ts'ą' jyaa dii'in yah'in ji' łyaa gwintł'oo yashoohahłyaa t'inchy'aa. 
40:24:047:0	Łyaa, nakhwaagwaaldak! Ąįį juu yats'ą' k'eedeegwaadhat jidii veegoo'aii datthak k'eehahtyaa yahahtsyaa. 
40:24:048:0	Gaa ch'itsyaa iizųų nilii ji' adats'ą' giheehkhyaa ts'ą' jyaa diheenjyaa, ‘Shats'ą' k'eedeegwaadhat niighyuk oo'ee neeheedyaa kwaa t'oonchy'aa.’ heenjyaa. 
40:24:049:0	ts'ą' juu yaatr'agwah'in nąįį dahkhwaii ts'ą' ch'anakhwanį' nąįį haa ch'a'aa ts'ą' ch'iinįį. 
40:24:050:0	Nijin ji' juu yats'ą' k'eedeegwaadhat k'ineeheedik gaandaii kwaa geh'an geeneeyuulii kwaa gwiizhit yarahtee k'ineeheedik. 
40:24:051:0	Jidii tsal nilii ts'ą' khandiyeheent'ii ts'ą' juu gwik'injiighit adaa'įį nąįį haa niyahahchyaa, izhit t'ee gwintł'oo heetree ts'ą' dagho' nihts'ą' łǫǫn'al haa neeyik'ii k'it t'ihee'yaa.”
