40:12:001:1	Neeraazhii Drin Zhit Geenjit Ch'agoahkat
40:12:022:0	Ąįįtł'ęę dinjii lat nąįį, dinjii vizhit ch'anky'aa iizųų t'inchy'aa geh'an ginkhii kwaa ts'ą' vandee kwaa giits'ą' nąąhchįį ts'ą' ąįį dinjii shrininlik ts'ą' gwąąh'in ts'ą' ginkhii neeyiłtsąįį.  
40:12:023:0	Jesus, dinjii lęįį vaa łeeljil nąįį gooveenjit nindal gwaahchy'aa t'igwiizhik, ts'ą' jyaa ginyąą, “Jii yeenii King David vidinji' t'inchy'aa shrǫǫ?” Ginyąą ts'ą' ch'agoahkat. 
40:12:024:0	Nijin Pharisee nąįį gwigwiitth'ak dąį' jyaa ginyąą, “Ch'anky'aa iizųų nąįį datthak ts'ą' k'eedeegwaadhat Beelzebul oaazhii ąįį vat'aii haa ch'anky'aa iizųų cheehilii t'ii'in,” giiyahnyąą. 
40:12:025:0	Jesus, nats'ahts'ą' ninjich'agadhat goovaandaii ts'ą' t'agavahnyąą, “Jidii nahkat nihts'įį nihts'ą' nineegiidal ts'ą' nihłigiighan ji' khants'ą' an gweheelyaa. Zhehk'aa gwizhit akwat kwaiik'it gwizhit chan nihłigiighan ji' t'ee tthak an gweheelyaa gwagwahahtsyaa. 
40:12:026:0	Ąįį gwik'it Satan vineegoo'ee khaihłak gwanlii kwaa ts'ą' nihtee nihłigiighan ji' duuyeh niighyuk khaihłak gwanlii ts'ą' nihłaa shrahtee gwagwahahtsyaa ts'ą' an gweheelyaa t'oonchy'aa. 
40:12:027:0	Beelzebul k'iighai' ch'anky'aa iizųų kwaii dinjii ts'an tr'ihłii dohnyąą ji', nakhwatsyaa nąįį juu t'aih goots'an ąhtsii haa jyaa digii'in t'igii'in? Deeshi'in ąįį gwik'it t'igii'in t'igii'in, ąįįts'ą' datthak ts'ą' gwiizųų t'akhwa'in nakhwagahąąnjyaa t'oonchy'aa. 
40:12:028:0	Nakwaa, Vit'eegwijyąhchy'aa, Vach'anky'aa Shroodiinyąą vat'aii haa ch'anky'aa iizųų cheehihłii t'ishi'in, ąįįt'ee Vit'eegwijyąhchy'aa nakhweenjit Diveegwinii'ee gagwaach'in t'igwii'in. 
40:12:029:0	Ąįį gwik'it duuyeh dinjii ch'ihłak gaa dinjii vat'aii niint'aii gwanlii ąįį zheh nadakhaii ts'ą' yik'eiich'į' kwaii teegwąhjii t'inchy'aa, tr'ookit diiyahahchaa ts'ą' naghwaa yihee'aa, ąįįtł'ęę yizheh yik'eiich'į' datthak ooheendal t'inchy'aa. 
40:12:030:0	“Juu shaa nilii kwaa nąįį t'ee shats'ąįį nadhat kwaa, juu shits'inyąą kwaa ts'ą' shaa dinjii khaihłan nilii kwaa t'ee dinjii shrihteehilii t'oonchy'aa. 
40:12:031:0	Jyąhts'ą' geh'an jii nakhwaa gwaldak t'ihnyąą, dinjii ch'ihłee tr'agwaanduu nihłehjuk vigwitr'it gwanlii ji' gaa, shatr'agwaanduu gwanlii nyąą ts'ą' Vit'eegwijyąhchy'aa sheenjit oo'an gwihinlii ahnyąą ji' yeenjit oo'an gweheelyaa t'oonchy'aa, gaa juu Ch'anky'aa Shroodiinyąą gwiizųų eeginkhii ji', ąįį tr'agwaanduu t'ii'in geh'an ndaagwąą'ąį' kwaa gwats'ą' duuyeh yeenjit oo'an gwihilii t'inchy'aa. 
40:12:005:1	Gwanzhįh Vakat Jak Nahshii Gwagwandak
40:12:032:0	Dinjii ch'ihłee Gwidinji' gwiizųų eegiinkhii ji' gaa, shatr'agwaanduu gwanlii nyąą ts'ą' Vit'eegwijyąhchy'aa sheenjit oo'an gwihinlii ahnyąą, ji' yeenjit oo'an gweheelyaa t'inchy'aa, gaa juu, Ch'anky'aa Shroodiinyąą gwiizųų eeginkhii ji', ąįį tr'agwaanduu t'ii'in geh'an juk akwat ndaagwąą'ąį' gwats'ą' datthak duuyeh yeenjit oo'an gwihilii t'oonchy'aa.” 
40:12:033:0	“Jak dachan gwinzii nahshii ni'įį ji' gwizhrįh vakat jak gwinzii hahshii t'inchy'aa, gaa jak dachan gwinzii nahshii kwaa ni'įį ji' vakat jak iizųų hahshii. Dachan nats'ąą vakat jak nahshii k'iighai' vaagwiindaii t'oonchy'aa. 
40:12:034:0	Nakhwan ąįį gyųų choh k'it t'ohnyąą, nats'ahts'ą' tr'ǫǫnduu gwiizhit gwinzii gwanlii geegahohkhyaa? Nakhwaghit haa nats'ahts'ą' gohkhii ąįįt'ee nakhwadrii zhit jyaa doonchy'aa geh'an jyąhts'ą' goohkhii t'ohnyąą. 
40:12:035:0	Dinjii nizįį ąįį vats'an gwinzii tr'igwijyaa, ts'ą' dinjii iizųų ąįį vats'an gwiizųų tr'igwijyaa t'inchy'aa. 
40:12:036:0	Ch'aroahkat Drin, gwizhit nigwiindhat ji' jidii ginjik ginilih kwaa haa gookhe' ąįį datthak geenjit nakhwarahahkat t'oonchy'aa. 
40:12:006:1	Gwigwii'in Tr'agwahaah'yaa Gwizhrįh Ginyąą.
40:12:037:0	Nakhwaginjik t'ee gwagwahahchy'aa haa t'ee nakhwarahahkat. Ąįį haa t'ee nakhwatr'agwaanduu gwanlii akwat nakhwatr'agwaanduu gwakwaa nakhwarahaanjyaa t'oonchy'aa.” 
40:12:038:0	Ąįįtł'ęę Law eech'ǫąąhtan lat nąįį ts'ą' Pharisee lat nąįį, giits'ą' khagiinkhee ts'ą' t'iginyąą, “Geech'ǫąąhtan, gwigween'in t'ini'in ąįį tr'agooh'ya' gwiindhan,” giiyahnyąą. 
40:12:039:0	Gaa Jesus t'agoovahnyąą, “Juk gweendaa gwidinjii nąįį łyaa tr'ihkhit gwik'injigiighit kwaa ts'ą' tr'agwaanduu gwizhrįh googwitr'it gwanlii! Nakhwan gwigwii'in eenjit ch'oohkat? Nakwaa, duuyeh nakhweenjit gwigwii'in t'ishi'in ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii Jonah, deezhik gwik'it gwizhrįh gwigwii'in gahǫǫh'yaa t'oonchy'aa. 
40:12:040:0	Jonah, drin tik ąįįts'ą' tǫǫ tik datthak łuk choh zhit indi', ąįį gwik'it chan Gwidinji', nanzhit drin tik t'iheechy'aa t'oonchy'aa. 
40:12:041:0	Ch'aroahkat drin ji' Nineveh kwaiik'it gwachoo gwich'in nąįį ndak nagahaazhyaa ts'ą' tr'agwaanduu t'akhwazhit, nakhwagahąąnjyaa t'oonchy'aa. Ąįįt'ee Jonah geech'ǫąąhtan gwigwiitth'ak dąį' dagatr'agwaanduu akhagagoonyąą. Nakhwaagwahaldak, dzaa juk Jonah andaa ts'ą' veegoo'aii diitee t'inchy'aa t'oonchy'aa. 
40:12:007:1	Ch'anky'aa Iizųų Oo'ee Neezhįį
40:12:042:0	Ch'aroahkat Drin ji' Sheba gwats'an Queen nilii ndak niheehaa ts'ą' juk gweendaa gwidinjii nąįį gootr'agwaanduu gwanlii heenjyaa. Sheba yeenji' danahkat gwats'an k'idik, King Solomon vigwizhi' gwanlii zhit geech'ǫąąhtan oohąąhky'aa eenjit. Nakhwaagwahaldak, dzaa juk Solomon andaa ts'ą' veegoo'aii diitee t'inchy'aa t'oonchy'aa.” 
40:12:043:0	“Nijin ch'anky'aa iizųų dinjii ts'ą' tr'ineediidhat dąį', nankat chųų kwaa gwa'an needahaachik ts'ą' gweheechy'aa gwinkeegwaah'in. Khyų' gwagwa'ąįį ji'. 
40:12:044:0	‘Shizheh gwits'eehihdyaa,’ adaanyąą. Ąįįts'ą' gwits'eehoozhii akhai' ąįį zheh gwizhit datthak cheegwaraadlii, shrineegwaazhit, ts'ą' gwinzii shrineegwirinlik łee gwąąh'in. 
40:12:008:1	Jesus Vahan ts'ą' Vachaa Nąįį Haa
40:12:045:0	Ąįįtł'ęę t'ohłii haazhii ts'ą' vandaa ch'anky'aa iizųų 7 nąįį oo'ee neiinlii, ts'ą' zhat gwigwich'įį. Nijin ndaanagąąhjik dąį', ąįį dinjii tr'ookit iizųų chy'aa gwandaa t'agwahtł'oo iizųų dhidlit. Juk gweendaa dinjii iizųų nąįį goots'ą' jyaa digweheenjyaa t'oonchy'aa.” 
40:12:046:0	Jesus tth'aii hee dinjii nąįį ts'ą' ginkhii gwiizhit, vahan, ts'ą' vachaa nąįį haa k'eegiidal, chiitąįį nigiilzhii gwiizhit zheh giiyeenjit ch'oahkat. 
40:12:047:0	Ąįįts'ą' dinjii ch'ihłak ąįį Jesus jyaa dahnyąą, “Nahan, nachaa nąįį haa chiitąįį nigeelzhii, ts'ą' nats'ą' garookhyaa ginyąą.” 
40:12:048:0	Jesus gwidiiginkhii, “Juu dee shahan ts'ą' shachaa nąįį nilii?” 
40:12:049:0	Ąįįtł'ęę ditsyaa nąįį ts'ą' ch'ahaatthaii ts'ą' t'inyąą, “Jii nąįį t'ee shahan ts'ą' shachaa nąįį haa t'iginchy'aa. 
40:12:050:0	Juu zheekat gwizhit Shiti' doo'ya' yuunyąą gwik'it t'ii'in t'ee shachaa, shijuu ts'ą' shahan nilii t'oonchy'aa.”
