40:17:001:1	Jesus Ch'ijuk Vigweheechy'aa ts'ą' Vaa Ch'eegwąhndit
40:17:011:0	Ts'ą' t'agoovahnyąą, “Elijah adan tr'ookit k'ineeheedik ts'ą', adan jidii datthak shrigweheelyaa ts'ą' tr'iilęįį nigwehee'aa geenjit. 
40:17:012:0	Gaa, nakhwaagwahaldak, Elijah ch'adąį' hee k'inidik t'inchy'aa, googaa dzaa nankat gwich'in nąįį juu t'inchy'aa giiyaandaii kwaa ts'ą' dooł'ya' giiyuunyąą gwik'it datthak t'igiiyah'ya'. Ąįį gwik'it chan Gwidinji' khaiinjich'agahahthat t'igiinchy'aa.” Jesus goovahnyąą. 
40:17:002:1	Jesus, Chyaatsal, Ch'anky'aa Iizųų Vizhit Shrininlik
40:17:013:0	Ąįįtł'ęę vitsyaa nąįį ąįį John chųų gwats'an ąhtsii eeginkhii t'inyąą łee giiky'aanjik. 
40:17:014:0	Nijin zhit dinjii nąįį łeeljil, k'ineegiidal dąį' dinjii ch'ihłak Jesus ts'ą' niinzhii ts'ą' yats'ą' nikiigwiintthaii, 
40:17:015:0	ts'ą' t'iiyahnyąą, “K'eegwaadhat, shigii chyaatsal sheenjit neeshraahchy'aa oiinyąą! Epileptic naandoo ts'ą' oo'an t'eehaadhat nilii ts'ą' nijin veenjit gwiizųų nineegwaadhat dąį', chųų akwat kǫ' haa zhit nineet'aadhat. 
40:17:016:0	Ąįį geenjit nitsyaa nąįį ts'ą' hoołchįį gaa khyų' shrineegiiyilii.” yahnyąą. 
40:17:017:0	Jesus ditsyaa nąįį jyaa dahnyąą, “Łyaa gwik'iinjuhkhit kwaa ts'ą' gwiizųų t'oochy'aa łee it'ee nakhwaashandaii goodlit! Deegwąhkhyuk zhyaa nakhwaa t'ihihchy'aa shoohnyąą? Ąįį chyaatsal dzaa shats'ą' hohchįį!” Gavahnyąą. 
40:17:018:0	Jesus zhit ch'anky'aa iizųų, gwint'aii ts'ą' khagiinkhee, gwagwahkhan zhit chyaatsal ts'an khaiinzhii, ts'ą' zhat gwagwahkhan chan chyaatsal shranaazhik. 
40:17:019:0	Ąįįtł'ęę vitsyaa nąįį dinjii nąįį kwaa gwiizhit giiyųąhkat, “Jaghaii khyų' ąįį ch'anky'aa iizųų kharahchįį t'oonchy'aa?” giiyahnyąą. 
40:17:020:0	Jesus t'agoovahnyąą, “Nakhwak'injigwiighit natsal geh'an khyų' t'akhwa'in. Jii t'ee łyaa nakhwaagwaldak t'ihnyąą, nakhwak'injigwiighit jii mustard seed natsal ąhtsii ji' jii ddhah dzaa gwats'ą' hinkhaii vaiinyąą ji' gaa gwik'it t'ihee'yaa t'inchy'aa, ąįįts'ą' nakhwak'injigwiighit zhit Vit'eegwijyąhchy'aa vat'aii haa deesho'ya' nohthan datthak gwik'it t'akhwa'yaa t'oonchy'aa.” 
40:17:003:1	Jesus Chan Hee Niheedhaa Geeginkhii
40:17:021:0	Jii ch'anky'aa iizųų k'it t'inchy'aa t'ee khadigiriinjii ąįįts'ą' khadigireheejyaa geenjit adach'ara'aa kwaa haa gwizhrįh khahohchyaa t'oonchy'aa,” yąą. 
40:17:022:0	Nijin vitsyaa nąįį Galilee nahkat khaihłan nigiinjil dąį' Jesus jyaa gavahnyąą. “Gwidinji' tr'ahaahkhwaa geenjit dinjii nąįį antł'eeyahahchyaa ts'ą' 
40:17:004:1	Kharigidiinjii Zheh, Laraa Gwintł'eereheelyaa Goo'aii
40:17:023:0	giiyęhdaa tr'igwihee'aa t'inchy'aa, gaa drin tik ąįįtł'ęę neegweheendaii.” Vitsyaa nąįį łahchy'aa gwiintł'oo tr'igwigwidii nagaanaii. 
40:17:024:0	Nijin Jesus ąįįts'ą' ditsyaa nąįį haa Capernaum kwaiik'it k'eegiidal dąį', dinjii Kharigidiinjii zheh geenjit tax laraa oonjii nąįį ąįį Peter ts'ą' gahaajil ts'ą' giiyųąhkat, “Nakhwageech'ǫąąhtan Kharigidiinjii zheh gwats'ą' lee tax ookwat t'inchy'aa?” ginyąą. 
40:17:025:0	“Jyaa dihee'yaa gwizhrįh t'inchy'aa!” Peter gavahnyąą.Nijin Peter zheh nihdineezhii dąį' Jesus t'iiyahnyąą, “Simon jii geenjit deeyiindhan, juu dzaa nankat kings nąįį ts'ą' tax ookwat t'oonchy'aa? Juu zhat gwich'įį nąįį akwat juu zhat gwich'įį kwaa nąįį?” yahnyąą. 
40:17:026:0	“Juu dzaa gwich'įį kwaa nąįį reh”, Peter yahnyąą.“Akwaa ji' juu dzaa gwich'įį nąįį gooheekwat kwaa goo'aii łee. 
40:17:027:0	Gaa, dzaa gwich'in nąįį goonehts'į' t'igwehee'yaa gwits'į', oo'an van ts'ą' hiinkhaii, ts'ą' cheehjal dha'aii ts'ą' ąįį jidii łuk tr'ookit khahchįį ąįį vighit gwąąh'in, gwizhit Kharigidiinjii zheh geenjit tax laraa t'aahchy'aa agwahaa'aa t'oonchy'aa, ąįį goovantł'eiinlii, nan, ąįįts'ą' shįį haa diineenjit.” Jesus yahnyąą.
