40:15:001:1	Yeenii Diitsii Nąįį Jidii Geech'agahchya'
40:15:012:0	Ąįįtł'ęę t'ee vitsyaa nąįį yats'ą' niinjil ts'ą' t'igiiyahnyąą, “Jii jyaa diinyąą geh'an Pharisee nąįį gootthąį' iizųų dhąhtsąįį nyąą gaanandaii?” giiyahnyąą. 
40:15:013:0	Jesus t'agoovahnyąą, “Jidii gwanzhįh datthak Zheekat Shiti' yeelshih kwaa kwaii datthak nan ts'an kharaheelyaa t'oonchy'aa! 
40:15:014:0	Gooveenjit tr'agohdii kwaa, geedan gavandee kwaa ts'ą' juu vandee kwaa nąįį eenjit kįh giilk'ii t'iginchy'aa, ts'ą' nijin dinjii ch'ihłak gwąąh'in kwaa dąį', nihłigeen'aa ts'ą' nihłaa tąįį gwinjik łųh khariindhat (ditch) gwizhit t'eegahaadhal t'igiinchy'aa.” 
40:15:015:0	Peter, jyaa nyąą, “Jii deiinyąą t'iinyąą diihaa gwandak.” yahnyąą. 
40:15:016:0	Jesus, t'agavahnyąą, “Nakhwan gaa tth'aii hee gook'it nakhwagwizhi' gwanlii kwaa lee t'ohnyąą?” 
40:15:017:0	“Deihnyąą t'ihnyąą nik'ee gaakhwandaii? Jidii nakhwaghit gwik'ijyaa ąįįt'ee, nakhwatthąį' zhit t'injik ąįįtł'ęę nakhwatthąį' ts'an an ilik. 
40:15:018:0	Gaa jidii nakhwaghit gwats'an tr'ijyaa ąįįt'ee nakhwadrii ts'an t'igwii'in, ts'ą' jidii gwiizųų t'ohnyąą kwaii t'ee shroodiinyąą kwaa nakhwahtsii t'igwii'in. 
40:15:019:0	Dinjii ęhdaa tr'agǫh'ak, veedhoodii kwaa haa dhoochįį ąįįts'ą' ch'ijuk datthak nakhwatthąį' haa tr'agwaanduu nakhwagwitr'it gwanlii, ts'ą' ch'oh'įį, ts'ą' ohts'it ąįįts'ą' dinjii oozhri' iizųų hohtsyaa geenjit ohts'it, jii kwaii t'ee nakhwadrii zhit gwats'an tr'agwaanduu t'akhwa'ya' nohthan ts'ą' ąįį gwik'it t'akhwa'in, t'akhwa'in. 
40:15:003:1	Tr'injaa Vigwik'injigwiighit
40:15:020:0	Ąįį kwaii t'ee shroodiinyąą kwaa nakhwahtsii gaa nats'ahts'ą' nakhwanli' k'eech'ohtryaa nakhwagahnyąą, ąįį gwik'it t'akhwa'in kwaa ts'ą' shih oh'aa kwaii shroodiinyąą kwaa nakhwahtsii kwaa t'oonchy'aa.” 
40:15:021:0	Jesus zhat gwats'an gihłeehoozhi' ts'ą' Tyre ąįįts'ą' Sidon kwaiik'it gwachoo nahkat gwa'an gwats'ą' haazhii. 
40:15:022:0	Jii tr'injaa, Canaan gwich'in nilii, ąįį zhat nahkat gwa'an gwich'įį, ąįį yats'ą' haazhii, ts'ą' yats'ą' khashraa'iintrat, “Yeenii King David vidinji'! K'eegwaadhat, neeshraahchy'aa shǫįįnyąą, shigii nich'it tsal ch'anky'aa iizųų vizhit t'inchy'aa ts'ą' łahchy'aa vaa gwiizųų ts'ą' yaa khaiinjich'iighit!” yahnyąą. 
40:15:023:0	Googaa nihk'it Jesus ginjik haa yats'ą' khaginkhee kwaa. Vitsyaa nąįį yats'ą' haajil ts'ą' giich'oodiikwat, “Zhyaa diitąįį neehihdik ts'ą' tr'ihkhit gwintł'oo deegwaahtsai', t'oohłii neehiindii vaiinyąą!” giiyahnyąą. 
40:15:024:0	Ąįįtł'ęę Jesus ditsyaa nąįį t'ahnyąą, “Israel gwich'in nąįį tee juu divii k'it gavaatr'igweendaii nąįį eenjit gwizhrįh dzaa nankat gwats'ą' shirihił'e' t'oonchy'aa!” 
40:15:025:0	Jyaa nyąą gwiizhit ąįį tr'injaa yakwai' ehzhee natroogwiintthaii ts'ą' t'iiyahnyąą, “K'eegwaadhat, shits'iinyąą!”, yahnyąą. 
40:15:026:0	Jesus yats'ą' khaginkhee, “Tr'iinin nąįį gooshii łąįį ts'ą' tr'ahaathak ąįį gashragwaahchy'aa kwaa t'oonchy'aa.” yahnyąą. 
40:15:027:0	“K'eegwaadhat, łyaa łi'deegwidlii t'iinyąą t'oonchy'aa gaa łąįį nąįį ąįį juu goots'ą' k'eedeegwaadhat ąįį shįį vakaii'aa ts'an nihjyaa kwaii ga'aa t'igii'in.” yahnyąą 
40:15:004:1	Jesus, Dinjii Lęįį Nąįį Shrininlik
40:15:028:0	Ąįįtł'ęę Jesus t'iiyahnyąą, “Łyaa tr'injaa vik'injigwiighit jiintsii iinlii, deeyiindhan gwik'it gweheelyaa t'oonchy'aa.” yahnyąą. Zhazhat gwagwahkhan vigii nich'it tsal veenjit gwinzii neegahoodlit ts'ą' shranaazhik. 
40:15:029:0	Jesus zhat gwats'an gihłeehoozhii ts'ą' Galilee vanvee k'ii'an haazhii ts'ą' taih kat k'iidak hadhizhii ts'ą' naadii. 
40:15:030:0	Dinjii lęįį nąįį łigeeljil ts'ą' Jesus ts'ą' nigiinjil, juu neehihdik kwaa, juu vandee kwaa, juu vatthąį' iłchįį nilii nąįį, juu ginkhii kwaa, ąįįts'ą' ch'izhii lęįį nąįį ts'ik nihłehts'į' t'iichy'aa haa iłts'ik nąįį datthak giits'ą' haadlii ts'ą' Jesus, vakwai' ehzhee nagoogiinlii, ts'ą' datthak shrineegooviinlik. 
40:15:005:1	Jesus, Dinjii 4,000 Nąįį Ach'ah'al
40:15:031:0	Zhat dinjii nąįį łahchy'aa gooveenjit geegagoolii kwaa t'igwiizhik, nijin juu ginkhii kwaa, nąįį ginkhii needhidlit, ts'ą' juu vatthąį' iłchįį nilii nąįį chan shrininlik ąįįts'ą' juu neehihdik kwaa nąįį chan neehihdik niłtsąįį, ąįįts'ą' juu vandee kwaa nąįį chan gwąąh'in niłtsąįį, zhat gwich'in nąįį jii gwagwaah'in dąį' Israel gwich'in Goovit'eegwijyąhchy'aa nilii ąįįts'ą' datthak deegiiyihiił'ee. 
40:15:032:0	Jesus, ditsyaa nąįį aanaii ahnyąą ts'ą' adats'ą' nagaviinlii, ts'ą' t'agavahnyąą, “Jii dinjii nąįį łyaa gooveenjit tr'igwihdii, juk łyaa drin tik datthak shaa giilk'ii gwiizhit tth'aii hee gaa ch'aga'aa kwaa ts'ą' tr'ihee'aa chan gii'įį kwaa. T'oohłii neegahoojyaa gavoiinyąą kwaa, digizheh gwats'ą' neegeedaa gwiizhit duulee oo'an t'eegahaadhal geh'an t'ihnyąą.” 
40:15:033:0	“Dzaa nangwinjir gwa'an nijin shih lęįį goorahah'aa tr'ooheendal t'iinyąą?” Vitsyaa nąįį yahnyąą. 
40:15:034:0	“Łųhchy'aa daanchy'aa khwa'įį?” Jesus gavahnyąą.“Łųhchy'aa 7 ts'ą' łuk nitsya' chan tr'ii'įį.” giiyahnyąą. 
40:15:035:0	Ąįįts'ą' Jesus zhit juu łeeljil nąįį nankat dhook'ii ahnyąą. 
40:15:036:0	Ąįįtł'ęę łųhchy'aa 7 ts'ą' łuk haa oonjik ts'ą' Vit'eegwijyąhchy'aa mahsį' ahnyąą ąįįtł'ęę nihtr'iyiiłnaii ts'ą' ditsyaa nąįį antł'eeyiinlii ts'ą' vitsyaa nąįį ants'ą' gwitee giiyiłts'ik. 
40:15:037:0	Ąįįts'ą' datthak ch'igiin'al ts'ą' goozhit gwiłts'ik kwaa. Gwiizhit vitsyaa nąįį ch'ityah 7 zhit shih deedąą'ąį' tr'ooniindhat tineegwigwįłjik. 
40:15:038:0	Dinjii 4,000 nąįį ch'in'al, tr'injaa ts'ą' tr'iinin nąįį haa geechyaa kwaa t'iginyąą. 
40:15:039:0	Ąįįtł'ęę Jesus, zhat dinjii dilk'ii nąįį datthak oo'an nakhwazheh gwits'eekhwajyaa gavahnyąą, ts'ą' tr'ihchoh zhinzhii ts'ą' Magadan nahkat gwats'ą' haazhii.
