40:11:001:1	John Chųų Gwats'an Ąhtsii Ąįį Vats'an Tr'ihił'e' Nąįį.
40:11:011:0	Łahchy'aa nakhwaa gwaldak, John chųų gwats'an ąhtsii t'ee dinjii gwehkįį gwiindaii nąįį datthak andaa gwiintsii veegoo'aii t'inchy'aa gaa Zheekat Gweegwinii'ee gwizhit juu gwintsal gwizhrįh veegoo'aii ąįįt'ee John andaa veegoo'aii t'oonchy'aa. 
40:11:012:0	Nijin John, Gwandak Nizįį eeginkhii dhidlit dąį' gwats'an, Zheekat Gweegwinii'ee gwizhit, dzaa nankat gwidinjii nąįį gwint'aii nihdeech'itsigahthat ts'ą' nihdeegiheedaa gwik'eegwagwandaii ts'ą' Zheekat Gwigwiniin'ee gwizhit khaiinjich'agoorahkhit gooriłtsąįį t'oonchy'aa. 
40:11:013:0	John jyaa diheenjyaa gwats'ą' dąį' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį datthak, ts'ą' yeenaa Moses va-law gwizhit juk drin gwats'ą' Zheekat Gwigwiniin'ee datthak geegiginkhe' ts'ą' Dęhtły'aa Choo zhit gwadanakhwatł'oo. 
40:11:014:0	Gwik'it t'iindhan ji', yeenii Moses Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį deegiinyą' gook'injiinghit ji', John t'ee Elijah t'inchy'aa, nijin John dzaa nankat gwats'ą' heekhaa dąį' ch'adąį' hee, dzaa gwats'ą' heekhaa giiyeeginkhe' t'oonchy'aa. 
40:11:015:0	Ch'oodǫǫhk'įį, nakhwadzee gwanlii ji'! 
40:11:016:0	“Juk gweendaa dzaa nankat gwich'in nąįį jidii k'it t'igiinchy'aa hihjyaa li'? Tr'iinin tsal k'it nijin gwa'an dinjii gwanlii ch'oorookwat deek'it, gwa'an nihłaa nigiilzhii ts'ą' ch'izhii łeeljil nąįį ts'ą' gazhral, 
40:11:017:0	‘Nihłeegwarahchįį gwich'ilik nakhweenjit ach'araahłii gaa ch'oodzaa kwaa! Dinjii niindhat gwich'ilik nakhweenjit ach'araahłii gaa ohtree kwaa!’ 
40:11:018:0	Nijin John dzaa nankat gwats'ą' haazhii dąį' adach'aa'aa kwaa ts'ą' jak chų' (wine) gaa dinįį kwaa ts'ą' juu nąįį datthak jyaa nyąą, ‘Ch'anky'aa iizųų vizhit dhidii!’ giiyahnyąą. 
40:11:002:1	Jii Kwaiik'it Kwaii Zhit Gwik'injigiighit Kwaa.
40:11:019:0	Nijin shįį Gwidinji' dzaa gwats'ą' hoiizhii dąį', ch'ih'aa ts'ą' jak chų' shinįį, ąįįts'ą' juu nąįį datthak jyaa nyąą, ‘Jii dinjii nǫh'in! Gwintł'oo ch'a'aa ts'ą' jak chų' (wine) chan gwintł'oo dinįį ts'ą' chan tax eenjit laraa oonjii nąįį ts'ą' dinjii vatr'agwaanduu gwanlii googahnyąą nąįį jyaa a'ii.’ giiyahnyąą! Gwidinji' deegii'in k'iighai' Vit'eegwijyąhchy'aa vigwizhi' łi'deegwidlii gwanlii ąįį gwigweech'in.” 
40:11:020:0	Nijin kwaiik'it gwizhit, Jesus gwigwee'in gwinlęįį t'iizhik, ąįį dinjii nąįį datr'agwagwaanduu ts'an łihts'eedagaa'ee kwaa ts'ą' ąįį kwaiik'it kwaii tth'aii hee tr'agwaanduu t'igii'in geh'an akǫǫ dagoovahnyąą. 
40:11:021:0	“Chorazin kwaiik'it ts'ą' Bethsaida kwaiik'it haa łahchy'aa łyaa nakhwaa gweheezųų t'oonchy'aa! Jii gwigwii'in, Tyre ts'ą' Sidon kwaiik'it gwachoo gwizhit jyaa digwee'ya' ji' t'ee zhat gwich'in nąįį deenaadąį' hee ohtsuu gwach'aa (sack cloth) nagahaazhyaa ts'ą' kikluu dagakat neegeheenjaa t'igiinchy'aa, datr'agwagwaanduu ts'an łihts'eedigiil'ee gwigweheechy'aa geenjit! 
40:11:022:0	Jii łahchy'aa t'ihnyąą, Ch'aroahkat Drin zhit nigwiindhat ji' Tyre ts'ą' Sidon kwaiik'it gwachoo gwich'in nąįį, Vit'eegwijyąhchy'aa nakhwandaa neeshraahchy'aa gavahoonjyaa t'oonchy'aa! 
40:11:023:0	Ąįįts'ą' kwaiik'it Capernaum goozhii chan zheekat gwats'ą' adahaahoochyaa nohthan? Hell oozhak gwit'eh gwakwaa gwats'ą' t'anakhwarahahthal t'oonchy'aa! Jii gwigwii'in Sodom, gwizhit t'igwiizhit ji', juk tth'aii hee ąįį kwaiik'it dzaa gwehee'aa t'oonchy'aa! 
40:11:003:1	Datthak shats'ą' Hohjyaa ts'ą' Dzaa Nankat Gwats'an Noozhii
40:11:024:0	Nijin Ch'aroahkat drin gwizhit nigwiindhat ji', Vit'eegwijyąhchy'aa Sodom gwich'in nąįį nakhwandaa neeshraahchy'aa ooheenjyaa t'oonchy'aa gaakhwandaii.” 
40:11:025:0	Izhit dąį' Jesus jyaa nyąą, “Shiti', zheekat ts'ą' nankat haa gwats'ą' K'eegwaadhat, mahsį', naihnyąą. Juu gwaroołtin kwaa nąįį ts'ą' nigwizhi' gwizhrįh nigwiin'ąįį geh'an ąįį jidii gwit'eh gooh'ąįį juu dzaa nankat gwats'ąnh vigwizhi' gwanlii ts'ą' geech'ǫąąhtan choo nąįį ts'į' gwit'eh gooh'ąįį geh'an. 
40:11:026:0	Aahą', Shiti' jii t'ee jyaa dagoonjyaa niindhan, geh'an gwik'it t'igwiizhit ts'ą' shoo inlii. 
40:11:027:0	Shįį Shiti', jidii datthak shantł'eiinlii t'oonchy'aa, ch'ihłak gaa Gwidinji' haandaii kwaa, gaa Gwiti' zhrįh yaandaii, ts'ą' ch'ihłak gaa Gwiti' haandaii kwaa, gaa Gwidinji' zhrįh yaandaii t'oonchy'aa. Ąįįts'ą' Gwidinji' juu niindhan nąįį chan Gwiti' goots'ą' agwahch'in. 
40:11:028:0	“Aanaii, gwintl'oo neech'ohohkhwat gwats'an neenakhwahałshii ts'ą' neehoozhii geenjit datthak shats'ą' hohjyaa. 
40:11:029:0	Jii ghwah shak'oh kat doo'aii, ąįį nakwakat deehih'aa ts'ą' shats'an gwagoohoo'ee. Shidrii zhit khazhak t'ihchy'aa ts'ą' khai'gwidlii ch'eezhuu t'ihchy'aa ąįį geh'an shats'an gwinzii neenoozhii gwagoohoh'aa. 
40:11:030:0	Ąįį jidii nakhwak'oh kat k'eekhokhwat, ąįį nakhwantł'eehih'aa, duuyeh nidii t'inchy'aa.”
