62:5:001:1	Jyąhts'ą' T'ee Dzaa Nankak gwizhit Ch'anky'aa Tr'aanduu Gwitr'it Gaiitr'iłtsaii
62:5:003:1	Gweedhaa Tthak Gwireheendaii
62:5:012:0	Juu Vidinji' tsyaa nilii nąįį , ąįį nąįį t'ee jii gweedhaa tthak gwireheendaii gii'įį . Gąą juu Vit'eegwijyąhchy'aa Vidinji' tsyaa nilii kwaa nąįį , jii gweedhaa tthak gwireheendaii gii'įį kwaa .
62:5:013:0	Juu dinjii oozhri' Vit'eegwijyąhchy'aa Vidinji' k'injiighit nąįį , jii kwaii datthak nakhwats'ą' gwidįįhtł'oo . Nakhwats'ą' ch'adįhtł'oo , jii gweedhaa tthak gwireheendaii gwinyąą łyaa zhyąą gaahahkhwandaii geenjit .
62:5:014:0	Nijin Vit'eegwijyąhchy'aa doo'ya' diinoonyąą gwik'eegwarohthat gwiindhan ji' , vats'ą' khadirigidiinjii , diineenjit deehee'yaa tr'oahkat diiniitth'ak ts'ą' vaagwiindaii ąįįts'ą' chan diineenjit gwik'it t'ihee'yaa . Ąįį geh'an najat ehdan vats'ą' kharigidiinjii .
62:5:015:0	Nijin vats'ą' kharigidiinjii dąį' , łyaa zhyąą diiniitth'ak vaagwiindaii . Ąįį geh'an jidii eenjit vats'ą' kharigeedi' , ąįį ch'adąį' hee diineenjit gwik'it t'iizhik . Izhik t'ee gaagwiindaii .
62:5:016:0	Juu Christ k'injiighit nąįį ts'an ch'ihłee tehk'ąą gwitr'it t'agwah'in , tee gweedhaa tthak gwireheendaii di'įį khadeenjit gwiizųų gwiłtsąįį . Ąįį dinjii t'ee veenjit khadigireheejyaa . Gąą juu Christ k'injiighit nąįį tee gwats'an ch'ihłee tehk'ąą gwitr'it t'agwah'in , gąą tth'aii gweedhaa tthak gwireheendaii gwii'įį tth'aii khadeenjit gwiizųų gwahtsii kwaa , ąįį dinjii t'ee veenjit khadigireheejyaa , Vit'eegwijyąhchy'aa gweedhaa tthak gwireheendaii yats'an hahtsyaa eenjit .
62:5:017:0	Juu tehk'ąą gwitr'it t'agwah'in nąįį tthak t'ee khagwaatsii , gąą khagwaraatsii gwalat gwizhrįį gwik'iighai' gweedhaa tthak gwireheendaii khadeenjit gwiizųų gwarahahtsyaa .
62:5:018:0	Juu Vit'eegwijyąhchy'aa vitr'iinin nąįį nilii , ąįį nąįį t'ee khagogwahaatsyaa gwankeegihi'ik kwaa . Vit'eegwijyąhchy'aa Vidinji' khik diik'aahtii . Ch'anky'aa tr'aanduu diits'ą' gwiizųų gwitr'it t'agwahah'yaa gwits'į' . Ąįįt'ee gaagwiindaii .
62:5:019:0	Vit'eegwijyąhchy'aa vats'an tr'inlii . Dzaa nankak juu Christ k'injiighit kwaa nąįį t'ee ch'anky'aa tr'aanduu goots'ą' k'eedeegwaadhat . Ąįįt'ee gaagwiindaii .
62:5:020:0	Vit'eegwijyąhchy'aa Vidinji' dzaa nankak gwats'ą' haazhii . Vidinji' vik'iighai' t'ee juu Vit'eegwijyąhchy'aa nilii gaagwiindaii . Vidinji' haa t'ee ch'ihłak k'it t'irinchy'aa , ąįį geh'an Vit'eegwijyąhchy'aa chan ch'ihłak k'it vaa t'oonchy'aa . Vit'eegwijyąhchy'aa t'ee łyaa zhyąą Vit'eegwijyąhchy'aa nilii . Gweedhaa tthak gwireheendaii diinintł'eegwiin'ąįį .
62:5:021:0	Shitr'iinin nąįį , Vit'eegwijyąhchy'aa zhrįh t'injuuhchy'aa . Yik'itiltsį' nąįį ts'į' adak'ǫǫntii , Vit'eegwijyąhchy'aa k'it giveegoo'aii kwaa .
