62:4:001:1	Ch'anky'aa Shroodiinyąą Łyaa Oots'it Kwaa , Gąą Ch'anky'aa Tr'aanduu Łyaa Oots'it Gaandaii
62:4:010:0	Ch'eet'igwiniindhan t'ee jyąhts'ą' t'agwarahnyąą . Vit'eegwijyąhchy'aa łyaa diineet'iindhan . Ąįį geh'an Didinji' dzaa nankak gwats'ą' hił'e' , diitr'agwaanduu diineenjit oo'an gweheelyaa geenjit . Vit'eegwijyąhchy'aa adan tr'ookit diineenjit ch'eet'igwiniindhan di'įį , Ąįįtł'ęę vats'an ch'eet'igwiniindhan tr'ii'įį .
62:4:011:0	Shalak nąįį , Vit'eegwijyąhchy'aa jyaa dagwahtł'oo diineet'iindhan , akwat diikhwan t'ee łyaa zhyąą nihłeet'irihęęnghyaa gwizhrįį .
62:4:012:0	Dinjii ch'ihłak gąą tth'aii Vit'eegwijyąhchy'aa nah'in kwaa , gąą nihłeet'iriindhan ji' , gweedhaa tthak diinaa nilii , ąįįts'ą' chan vich'eet'igwiniidhan tr'ii'įį , łyaa zhyąą gwit'igwehee'aa kwaa .
62:4:013:0	Ch'anky'aa Shroodiinyąą diits'an iłtsąįį , ąįį k'iighai' t'ee Vit'eegwijyąhchy'aa khik diinaa nilii ts'ą' diikhwan t'ee khik vaarinlįį , łyaa gaagwiindaii .
62:4:014:0	Ąįįts'ą' chan Diiti' Didinji' dzaa nankak gwats'ą' hił'e' , nankak dinjii nąįį datthak neehahshii heelyaa geenjit . Ąįįts'ą' chan tr'ąąh'ya' , ts'ą' tr'ąąh'ya' khik ts'ą' geegirinkhii .
62:4:015:0	Juu , “ Zhik dinjii , Jesus oaazhii , Vit'eegwijyąhchy'aa Vidinji' t'inchy'aa , ” nyąą ji' , ąįįt'ee Vit'eegwijyąhchy'aa khik yaa nilii ąįįts'ą' adan t'ee Vit'eegwijyąhchy'aa khik haa nilii .
62:4:016:0	Vit'eegwijyąhchy'aa thok ch'eet'igwiniindhan diineenjit di'įį , ąįį t'ee veenjit gaagwiindaii , ąįįts'ą' chan ąįį vich'eet'igwiniidhan t'injirąąhchy'aa . Vit'eegwijyąhchy'aa gweedhaa tthak khik dinjii nąįį eet'iindhan , Juu khik dalak nąįį eet'iindhan ts'ą' khik gwik'it t'inchy'aa ji' , ąįįt'ee Vit'eegwijyąhchy'aa khik haa nilii ts'ą' chan Vit'eegwijyąhchy'aa khik yaa nilii .
62:4:017:0	Vich'eet'igwiniidhan tr'ii'įį , łyaa zhyąą gwit'igwin'ee kwaa , ąįį geh'an nijin drin dinjii nąįį datthak tr'oohahkat ji' , tr'ahąąnjat kwaa . Dzaa nankak gwizhit Christ vik'it t'irinchy'aa , ąįį geh'an gwizhrįį tr'ahąąnjat kwaa .
62:4:018:0	Diineet'igwiindhan gaagwiindaii ji' , it'ee tr'ahąąnjat kwaa . Juu veet'igwiindhan gwit'igwin'ee kwaa , ąįįt'ee duuyeh naajat . Nijin dinjii naajat dąį' t'ee , ch'adąį' hee vigwiilzhii k'it t'inchy'aa . Nijin dinjii naajat dąį' , Vit'eegwijyąhchy'aa ts'an ch'eet'igwiniindhan di'įį , tth'aii hee gwit'igwehee'aa .
62:4:019:0	Vit'eegwijyąhchy'aa adan tr'ookit diineet'iindhan , ąįį geh'an ch'eet'igwiniindhan tr'ii'įį .
62:4:020:0	Juu , “ Vit'eegwijyąhchy'aa eet'iihthan , ” nyąą gwiizhik Christ k'injiighit nąįį itr'ii'ee , vaagwiindaii ji' , ąįįt'ee oots'it nilii . Dzaa nankak juu Christ k'injiighit nąįį nah'in gwiizhik giveenjit ch'eet'igwiniindhan di'įį kwaa ji' , Vit'eegwijyąhchy'aa tth'aii googaa nah'in kwaa , ąįį nats'ahts'ą' eet'ihęęnghyaa ?
62:4:021:0	Juu Vit'eegwijyąhchy'aa eet'iindhan , ąįįt'ee Christ k'injiighit nąįį chan eet'ihęęnghyaa gwizhrįį . Jyąhts'ą' t'ee Vit'eegwijyąhchy'aa diits'ą' k'eedeegwiildhat .
