45:8:001:1	Pen . viij .
45:8:029:0	Can ys yr ei y ragwybu ef , yr vnrei hefyt a rac luniawdd ef y vot yn vnffurf a delw y Vap ef , val y byddei yn gyntenid ym‐plith broder lawer .
45:8:030:0	A’r sawl a raclunioð ef , yr ei hyny hefyd a alwoð ef , a’r ei a alwodd , reini hefyt a gyfiawnhaodd ef , a’r ei a gyfiawnhaodd ef , yr ei hyny hefyt a ’ogoneddawdd ef .
45:8:031:0	Beth ynte a ddywedwn ni wrth y pethe hyn ? A’s yw Duw ar ein tu , pwy all vot in herbyn ?
45:8:032:0	Yr hwn nyd arbedawdd ei briawt Vap , anyd y roðy ef drosom ni oll y amgeu , py wedd y gyd ac ef na ryð y ni bop peth hefyt ?
45:8:033:0	Pwy a ryð ddim yn erbyn etholedigion Duw ? Duw yvv r hvvn a gyfiawnha ,
45:8:034:0	pwy a ddamna ? Christ yvv , yr hwn a vu varw , ie yn hytrach , yr vn a gyfodwyt drachefn , yr hwn hefyt ’sy ar ddeheulaw Duw , ysy hefyt yn yn erchy drosom .
45:8:035:0	Pwy a’n gohana ni ywrth cariat Christ ? ai gorthrymder nei gyfyngder , nei ymlid , nei newyn , neu noethi , nei pericul , nei gleddyf ?
45:8:036:0	Megis mae yn yscrivenedic , Er dy vwyn di in lleddir ni trwy’r dydd : in cymerir ni mal deueit yw lladdfa .
45:8:037:0	Eithr yn y petheu hyn oll yð ym yn vwy na choncwerwyr trwy’r hwn a’n carawdd ni
45:8:038:0	Can ys mae yn ðogel genyf , nad oes nac ange , na bywyt , nac Angelion , na na phennaetheu , na meddianneu , na chydrycholion , na phetheu y ddyvot ,
45:8:039:0	nac uchelder , na dyfnder , nac vn creatur arall a aill ein yscar ni ywrth cariat Duw , ysyð yn‐Christ eun Arglwydd .
