43:12:001:1	Mary , Jesus , Gwanzhįh Gwinzii Vagwaatsan Chų' Yakat T'inlik
43:12:028:0	Shiti' , Noozhri' hil'ee ąhtsii ! ” Ąįįtł'ęę zheekat gwats'an khagiriinkhee , “ Hil'ee dhałtsąįį ts'ą' chan jyaa dineehihłyaa . ”
43:12:029:0	Ąįį zhat dilk'ii nąįį zheekat gwats'an girinkhii gwigwiitth'ak ts'ą' jyaa ginyąą , “ Nagoahtan lee t'igwinyąą ? Ch'izhii nąįį chan zheekat gwich'in yats'ą' ginkhii t'inyąą ! ”
43:12:030:0	Gaa Jesus jyaa gavahnyąą , “ Jii girinkhii goohtth'ak sheenjit t'igwinyąą kwaa gaa nakhwan ąįį nakhweenjit t'igwinyąą .
43:12:031:0	Et'ee juk jii nankat Ch'aroohahkat Drin nigwiindhat Ch'anky'aa Tr'aanduu kįh dhidii ąįį charahahchyaa gwik'it t'ishi'in shi'in . It'ee neerahoojyaa .
43:12:032:0	Nijin nankat gwats'an deeshiriłchįį ts'ą' sharoołkhwąįį ji' juu nąįį tthak shats'ą' giheedaa . ”
43:12:033:0	( Nats'ąą khaiinjich'iheedhaa ts'ą' niheedhaa ąįį geegwaandak t'inyąą . )
43:12:034:0	Zhat dilk'ii nąįį jyaa ginyąą : “ Dęhtły'aa Choh zhit Christ khit geenjit gweheendaii gwinyąą . Nats'ąą Gwidinji' ndak deerahahchyaa deenyąą t'iinyąą ? Gwidinji' ąįį juu t'arahnyąą ? ”
43:12:035:0	Jesus jyaa gavahnyąą “ Tth'aii gwintsal gwizhrįh nakhwaa ch'ahałdrii t'oonchy'aa . Tǫǫ gweheelyaa gwehkįį deekhwa'yaa goo'aii gwik'it t'akhwa'in . Nakhwaa tǫǫ nagwahaadhal gwits'į' . Juu tǫǫ gwizhit dinjii nilii t'ee nijuk ahaa gaaheendaii kwaa geh'an
43:12:006:1	Jews Nąįį Gwik'injigiighit Kwaa
43:12:036:0	Tth'aii drin gwanlii dąį' vat'oohchy'aa . Khit naa ch'ahaadrii eenjit . ” Jesus jyaa diinyą' ąįįtł'ęę t'oołii neehoozhii ts'ą' goh'it idiildii .
43:12:037:0	Gwitr'it geegwaroolii kwaa lęįį gavandah t'iizhik googaa giik'iinjiighit kwaa .
43:12:038:0	Isaiah , Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii ąįį jii kwaii łi'didlii heelyaa nyąą : “ K'eegwaadhat , juu yik'injiheeghit ? Juu yat'aii nah'ya' ? ”
43:12:039:0	Khyų' giik'iinjiighit geh'an Isaiah jii jyaa diinyą' :
43:12:040:0	“ Vit'eegwijyąhchy'aa goovaagweech'in kwaa gwiłtsąįį , niinjich'agadhat kwaa gooviłtsąįį , goovaagweheechy'aa kwaa eenjit , googwandaii ninjich'iheedhat kwaa , Duuyeh goots'ą' tr'ihihdal eenjit shats'ą' gihijyaa . ”
43:12:041:0	Isaiah , Jesus vich'eegwąhndit gwąąh'ya' geh'an jyąhts'ą' yeeginkhii t'inyąą .
43:12:042:0	Zhit dąį' Israel kįh dilk'ii lęįį nąįį giik'iinjiindhat gaadlit gaa Pharisee nąįį anagogwaah'įį , Israel nąįį tr'igiinkhii zheh chagoorahahchyaa , kwaa gwits'į' .
43:12:043:0	Dinjii deenyąą ąįį gwik'it geedaa ts'ą' Vit'eegwijyąhchy'aa deenyąą ąįį gwik'it geedaa kwaa .
43:12:044:0	Jesus gwint'aii khaginkhee ts'ą' jyaa nyąą , “ Juu shik'injiighit t'ee shįį zhrįh shik'injiighit kwaa gaa juu shihił'e' chan k'injiighit t'oonchy'aa .
43:12:045:0	Juu shąąh'in t'ee juu shihił'e' chan nah'in t'oonchy'aa .
43:12:046:0	Jii nankat gava aadrii ihłii ts'ą' gwats'ą' hoiizhii , ąįįts'ą' juu shik'injiighit ji' duuyeh tǫǫ dhidii .
43:12:047:0	Juu shiginjik diitth'ak gaa gwik'eegwahthat kwaa ji' , duuyeh an ałtsii eenjit gwantł'ałchįį . Dinjii an hałtsyaa eenjit nankat gwats'ą' hoiizhii kwaa , gaa dinjii neehałshii eenjit gwizhrįh .
43:12:048:0	Juu shaa t'inchy'aa kwaa ts'ą' shiginjik diitth'ak kwaa ąįįt'ee an yahahtsyaa veenjit dhidii . Khaiinkǫǫ Drin ndaanąą'ąį' ji' deihnyą' t'ee an yahahtsyaa !
43:12:049:0	Aahą' , jii deihnyą' ąįį shįį zhrįh shats'an t'igwinyąą kwaa gaa Gwiti' shihił'e' ąįį deiinyąą shahnyąą gwik'it giihkhii t'ihnyąą .
43:12:050:0	Viginjik k'iighai' t'ee khit gwireheendaii . Deihnyą' datthak t'ee Gwiti' deiinyąą shahnyąą gwik'it giihkhii t'ihnyąą . ”
