43:10:001:1	Divii K'ąąhtii ts'ą' Didivii Nąįį Haa
43:10:012:0	Divii k'ąąhtii nilii kwaa ąįį laraa t'įį divii k'ąąhtii ts'ą' divii di'įį kwaa ąįį zhoh niił'in dąį' divii akhoonyąą ts'ą' zhoh goolat teegwįłjik ts'ą' shrihteegaajil .
43:10:013:0	Ąįį divii laraa t'įį k'ąąhtii ąįį t'oohłii divii ts'į' neehilgit , zhyaa laraa t'įį tr'agwah'in geh'an divii eenjit niinjich'adhat kwaa .
43:10:014-015:0	“ Divii k'ąąhtii nizįį ihłii . Gwiti' shaandaii ts'ą' shįį chan vaashandaii , izhit gwik'it shidivii nąįį haashandaii ts'ą' geedan chan shaagiindaii . Gooveenjit ji' gaa nihihthaa .
43:10:016:0	Goolat nąįį ch'adanh giilk'ii . Oo'ee neegoohihłyaa , goots'ą' giihkhii dąį' shigiitth'ak ts'ą' nihteeneegiheedaa ts'ą' ch'ihłak giheelyaa ts'ą' divii k'ąąhtii ch'ihłak zhrįh gook'eehąąhtyaa .
43:10:017:0	“ Gwiti' sheet'iindhan geh'an nihihthaa galjat kwaa , ąįįtł'ęę neegwihįhdaii chan sheenjit gwiłtsąįį .
43:10:018:0	Ch'ihłak gaa gwįhdaii shihłeegwehee'aa kwaa , shakhai' gwintł'eehih'aa . Shakhai' gwintł'eehih'aa ts'ą' shakhai' chan noohihdal . Jii t'ee Shiti' jyąhts'ą' sheenjit gwiłtsąįį . ”
43:10:019:0	Jii ginjik kwaii eh'an chan hee nihzheedagąąn'ee
43:10:020:0	Gootee lęįį nąįį jyaa ginyąą , “ Vizhit ch'anky'aa iizųų dhidii ! Vagwandaii iizųų ! Jaghaii oodǫǫhk'įį t'ohchy'aa ? ”
43:10:003:1	Jews Nąįį Jesus Ik'injigiighit Kwaa
43:10:021:0	Gaa ch'izhii nąįį jyaa ginyąą , “ Dinjii vizhit ch'anky'aa iizųų gwiizhit jyąhts'ą' ginkhii kwaa t'oonchy'aa ! Nats'ąą ch'anky'aa iizųų dinjii vandee kwaa haagweech'in neegwahahtsyaa ? ”
43:10:022:0	Et'ee khaii gwanlii Jerusalem gwizhit Hanukkah khaihłan nineegiidal nineegwiidhat ;
43:10:023:0	Jesus ąįį Kharigidiinjii Zheh Gwachoh gwizhit Solomon's Porch t'agahnyąą gwizhit gwa'an neehidik .
43:10:024:0	Nijin ąįį Jews nąįį Jesus eelin nigiilzhii ts'ą' jyaa ginyąą dąį' , “ Deegwiłkhyuk diits'ą' gwit'eegwaha'aa t'inchy'aa ? Łi'didlii haa diinaa gwandak nan lee Christ inlii ? ”
43:10:025:0	Jesus jyaa gavahnyąą , “ Ch'adąį' hee nakhwaagwadhaldak gaa shik'iinjuhkhit kwaa ; nakhwandah Shiti' voozhri' zhit t'ishi'in gooh'in t'ee juu ihłii gwigweech'in .
43:10:026:0	Gaa shik'iinjuhkhit kwaa geh'an shidivii hohłyaa kwaa .
43:10:027:0	Shidivii nąįį shiginjik haandaii , shįį chan goovaashandaii ts'ą' shatąįį geedaa .
43:10:028:0	Khit geenjit gwigweheendaii nigwii'ąįį , ts'ą' duuyeh gahchįį ; ch'ihłak gaa duuyeh shats'an yan'įį .
43:10:029:0	Shiti' shintł'eegoovinlii ts'ą' ch'andaa t'aht'aii , ts'ą' duuyeh gaa Shiti' vats'an gooroonjii .
43:10:030:0	Gwiti' , shįį haa ch'ihłak tr'iinlii . ”
43:10:031:0	Ąįįts'ą' Jews nąįį chan hee Jesus eenjit kii tee gwigwįłjik .
43:10:032:0	Jesus jyaa gavahnyąą , “ Nakhwandah gwitr'it gwinzii gwinlęįį t'ishizhik , ąįįt'ee Gwiti' shintł'eegwiin'ąįį ; ąįį gwitee jidii shrit t'ishizhik eenjit kii haa shohohkhwaa ? ”
43:10:033:0	Israel nąįį jyaa ginyąą , “ Ąįį gwitr'it gwinzii kwaii eenjit kii haa narahaahkhwaa t'igwii'in kwaa gaa Vit'eegwijyąhchy'aa vinehts'į' ginkhii ąįį eenjit . Dinjii zhrįh iinlii , gaa Vit'eegwijyąhchy'aa hinlyaa gwik'eegwiindaii ! ”
43:10:034:0	Jesus jyaa gavahnyąą , “ Nakhwa-law Dęhtły'aa Choh kat jii deegwinyąą khit ts'ą' łyaa łi'didlii ąįį gaagwiindaii ; ‘Vit'eegwijyąhchy'aa ǫhłįį , ’ nyąą ,
43:10:035:0	zhit juu Vit'eegwijyąhchy'aa Viginjik antł'inlii nąįį .
43:10:036:0	Shįį ąįį , Gwiti' gwiteetr'ashąhchįį ts'ą' nankat gwats'ą' shihił'e' . Nats'ąą Vit'eegwijyąhchy'aa Vidinji' ihłii dihnyąą eenjit vinehts'į' giihkhii shohnyąą t'ohnyąą ?
43:10:037:0	Shiti' vigwitr'it t'agwał'in shi'in kwaa ji' shik'iinjuhkhit kwaa .
43:10:038:0	Gaa nihk'it t'ishi'in ts'ą' , shik'iinjuhkhit kwaa ji' gaa Shiti' vigwitr'it t'ishi'in ąįį geenjit shik'iinjuhkhit . Ąįį ji' t'ee Gwiti' shizhit t'inchy'aa akwat chan Gwiti' shizhit t'inchy'aa shaakhwandaii eenjit . ”
43:10:039:0	Chan hee zheegwaazhrąįį nigiihahchyaa gwik'igogwandaii , gaa goovantł'ee tr'ineezhii .
43:10:040:0	Jesus chan hee Jordan han gwinjik nineezhii ts'ą' nijin John tr'ookit vats'an chųų dhidlit izhit dhidii .
43:10:041:0	Lęįį nąįį yats'ą' haajil ts'ą' jyaa ginyąą , “ John jyaa deegwahtł'oo gwitr'it geegwaroolii kwaa t'iizhik , gaa jii dinjii daiinyą' datthak łi'didlii . ”
43:10:042:0	Ąįįts'ą' zhat dinjii gwanlii lęįį nąįį giik'iinjinghit .
