43:1:001:1	Jii Gwandak Ginjik T'ee Jesus Oaazhii
43:1:030:0	Jii dinjii eegiihkhii t'ihnyąą , nijin jii nakhwaagwaldak dąį' , ‘Dinjii shatąįį k'eeheedik gaa shandaa hil'ee , shigweheelyaa gwats'ą' dąį' gwats'an gwandaii geh'an . ’
43:1:031:0	Shįį gaa juu t'inchy'aa vaashandaii kwaa , gaa Israel gwich'in nąįį yaaheendaii eenjit vats'an chųų dhałtsąįį . ”
43:1:032:0	Jii t'ee John jyaa diinyą' : “ Dove chiitsal daagąįį zheekat gwats'an yakat needaanąįį gwik'it Ch'anky'aa Shroodiinyąą yakat needaanąįį ts'ą' yaa nilii .
43:1:033:0	Tth'aii nihk'it vaashandaii kwaa , gaa Vit'eegwijyąhchy'aa chųų gwats'an hałtsyaa eenjit shihił'e' ąįį jyaa shaiinyą' , ‘Ch'anky'aa Shroodiinyąą dinjii kat needahąądhal ; ąįįts'ą' ąįį dinjii t'ee Ch'anky'aa Shroodiinyąą haa chųų gwats'an hahtsyaa . ’
43:1:004:1	Jesus Tr'ookit Vitsyaa Nąįį .
43:1:034:0	Jii gwał'ya' t'ihnyąą , ” John gavahnyąą , “ Jii dinjii łi'haa Vit'eegwijyąhchy'aa Vidinji' t'inchy'aa . ”
43:1:035:0	Gęhdaa drin chan hee zhat John , ditsyaa neekwaii haa zhat nigiilzhii ,
43:1:036:0	Nijin Jesus gehgoo ahaa nah'in dąį' , “ Jii t'ee Vit'eegwijyąhchy'aa Vidivii Giitsal t'inchy'aa ! ” John goovahnyąą .
43:1:037:0	Ąįį vitsyaa neekwaii jyaa nyąą giiyiitth'ak ts'ą' Jesus haa gahaa'oo .
43:1:038:0	Jesus neediil'ee ts'ą' giitąįį adaa gwąąh'in ts'ą' gavaahkat , “ Jidii keegǫh'in t'akhwa'in ? ” “ Geech'ǫąąhtan , nijin gwinch'įį ? ” giiyahnyąą .
43:1:039:0	“ Aanaii , gahǫǫh'yaa , ” gavahnyąą . Ąįįts'ą' t'ee giiyaahaa'oo ts'ą' nijin gwich'įį googwąąh'ya' ts'ą' giiyaaniihaa ( khaa gwilii geh'an ) .
43:1:040:0	Andrew , John deiinyą' gwiitth'ak ąįįtł'ęę Jesus haa haazhii . ( Simon Peter voondee nilii . )
43:1:041:0	Andrew łyaa khan doondee Simon kantii ts'ą' yagwąh'ąįį Googwahkhan jyaa yahnyąą , “ Messiah vagwarąh'ąįį ! ” ( Greek ginjik t'ee Christ t'agahnyąą . )
43:1:042:0	Ąįįts'ą' t'ee Simon ąįį Jesus ts'ą' hiłchįį . Jesus yąąh'in ts'ą' jyaa yahnyąą , “ Simon , nan John vidinji' , noozhri' Cephas oohaazhyaa . ” ( Peter gwinyąą t'igwinyąą , “ kii ” chan ginyąą t'igwinyąą ) .
43:1:043:0	Gęhdaa drin Jesus Galilee nahkat gwats'ą' heekhaa nigwiin'ąįį . Philip agwąh'ąįį ts'ą' jyaa yahnyąą , “ Shaa hinkhaii ! ”
43:1:044:0	Philip t'ee Bethsaida kwaiik'it gwats'an ahaa , nijin Andrew chan ts'ą' Peter haa gwigwich'įį .
43:1:045:0	Philip ąįį Nathaniel agwąh'ąįį ts'ą' jyaa yahnyąą , “ Moses va-law dęhtły'aa kat yeeginkhe' akwat Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį dęhtły'aa kat jyąhts'ą' gwadagaantł'oo . Jesus t'inchy'aa , Nazareth gwats'an Joseph ąįį vigii nilii . ”
43:1:046:0	“ Nazareth nijin ji' gweheezyaa li' ? ” Nathaniel nyąą “ Aanaii ts'ą' gwąąh'in , ” Philip yahnyąą .
43:1:047:0	Nijin Jesus ąįį Nathaniel yats'ą' ahaa gwąąh'in dąį' , jyaa yahnyąą , “ Jii t'ee łyaa Israel gwich'in nilii , dinjii łi'didlii nilii ! ”
43:1:048:0	Nathaniel yuahkat , “ Nats'ąą shaanandaii ? ” Jesus jyaa yahnyąą , “ Philip nagwahah'aa gwats'ą' dąį' ts'iivii vakat Figs nahshii t'eh dhindii naał'ya' ! ”
43:1:049:0	“ Geech'ǫąąhtan , Vit'eegwijyąhchy'aa Vidinji' t'iinchy'aa łee Israel gwi-King t'iinchy'aa łee ! ” Nathaniel yahnyąą .
43:1:050:0	Jesus jyaa yahnyąą , “ Ts'iivii vakat Figs nahshii t'eh dhindii naał'ya' naiinyą' geh'an gwizhrįh gwik'iinjinghit ? Jii kwaii andaa ts'ą' gwihil'ee t'igwii'in gwahąąh'yaa t'oonchy'aa ! ”
43:1:051:0	Ąįįts'ą' jyaa gavahnyąą , “ Jii t'ee łi'didlii haa nakhwaa gwahaldak : zheekat nihky'aa t'igweheenjyaa gahǫǫh'yaa ts'ą' Vit'eegwijyąhchy'aa zheekat gwich'in nąįį k'iidak , k'iidąą haa Gwidinji' ts'ą' nigiheedaa ! ”
