43:21:001:1	Jesus , Vitsyaa 7 Nąįį Ts'ą' Gwigwiilkįį
43:21:011:0	Simon Peter ąįį tr'ihchoo zhineezhii ts'ą' chihvyaa vizhit łuk choh deedąą'ąį' ąįį teedhiluu , ( 153 aanchy'aa ) łyaa vizhit łuk lęįį gaa chihvyaa łeedhach'aa kwaa .
43:21:012:0	Jesus jyaa gavahnyąą , “ Aanaii ts'ą' dząą ch'oh'aa . ” “ Juu inlii ? ” giiyahaanjyaa eenjit giideetr'oaanyąą . Gook'eegwaadhat t'inchy'aa giiyaandaii geh'an .
43:21:013:0	Ąįįts'ą' Jesus gaveeniinzhii ts'ą' łųhchy'aa oonjik ts'ą' gavantł'eech'ąhtsit , łuk chan gwik'it t'inlik .
43:21:002:1	Jesus , Peter Shitsyaa Nąįį Gwahtan Ahnyąą
43:21:014:0	Jesus niindhat ts'ą' ninehjin ąįįtł'ęę jii zhat dąį' t'ee ditsyaa nąįį ts'ą' tik agwaanchy'aa idigweelkįį t'agwarahnyąą .
43:21:015:0	Ch'igiin'al ąįįtł'ęę , Jesus ąįį Simon Peter jyaa yahnyąą “ John vidinji' , Simon , jii nąįį andaa ts'ą' łyaa sheet'iindhan ? ” “ Shik'eegwaadhat , aahą' neet'iihthan ts'ą' gaanandaii . ” Peter yahnyąą . Jesus t'iiyahnyąą , “ Shidivii tsal nąįį gooch'ah'aa . ”
43:21:016:0	Chan hee Jesus ąįį Peter jyaa yahnyąą , “ John vidinji' , Simon , łyaa sheet'iindhan ? ” “ Shik'eegwaadhat , aahą' neet'iihthan ts'ą' gaanandaii . ” Peter yahnyąą . Jesus t'iiyahnyąą , “ Shidivii nąįį k'ąąhtii . ”
43:21:017:0	Tik agwaanchy'aa chan Jesus ąįį jyaa yahnyąą , “ John vidinji' , Simon , sheet'iindhan ? ” Peter tr'igwidii dhidlit Jesus tik agwaanchy'aa “ Sheet'iindhan ? ” yahnyąą eenjit . “ Shik'eegwaadhat , łyaa jidii datthak eenjit gaanandaii ; neet'iihthan gaanandaii t'oonchy'aa . ” Peter yahnyąą . Jesus jyaa yahnyąą “ Shidivii nąįį gooch'ah'aa .
43:21:018:0	Łi'didlii haa nakhwaagwahaldak , k'eejit inlii dąį' neenitł'uu ts'ą' deenoo'ya' yiindhan datthak gwik'it t'ini'in , nijin gwats'ą' hoihshi' niindhan chan gwik'it t'ini'in ; gaa naghaii lęįį ji' neenigiheetł'uu ts'ą' nijin gwats'ą' hoihshi' niindhan kwaa gaa nihk'it gwats'ą' nigehęę'aa t'oonchy'aa . ”
43:21:003:1	Jesus , Ch'izhii Vitsyaa Haa
43:21:019:0	( Jii Jesus jyaa nyąą t'ee nats'ąą Peter niheedhaa ts'ą' Vit'eegwijyąhchy'aa vich'eegwahdrii gwahąąh'yaa t'agwarahnyąą . ) Ąįįts'ą' chan yahnyąą , “ Shatąįį inkhaii ! ”
43:21:020:0	Peter neediil'ee akhai' ąįį juu Jesus ditsyaa nąįį tee ch'andaa yeet'iindhan niił'in , nijin neech'aga'aa dąį' Jesus eeghaii niighit kwaa dhidii chy'aa ąįį niił'in ts'ą' Jesus oahkat . “ Diik'eegwaadhat , juu diitee gwintł'ee nahahchyaa t'oonchy'aa ? ”
43:21:021:0	Nijin Peter ąįį dinjii niił'in dąį' , Jesus oahkat , “ Shik'eegwaadhat , jii dinjii aiiyu' ? ”
43:21:022:0	“ K'ineehihdik gwats'ą' goondaii oihnyąą ji' , jaghaii geenjit tr'igwiindii ? Aanaii , shatąįį hinkhaii ! ” Jesus yahnyąą .
43:21:023:0	Vitsyaa nąįį ąįį gootee dinjii ch'ihłak niheedhaa kwaa łee ginyąą ts'ą' geenihłagogwaandak . Gaa Jesus ąįį dinjii niheedhaa kwaa nyąą t'inyąą kwaa jii ąįį jyaa nyąą t'inyąą ; “ K'ineehihdik gwats'ą' gwandaii oihnyąą ji' , jaghaii geenjit tr'igwiindii ? ”
43:21:004:1	John Vidęhtły'aa Ndaanąą'ąį'
43:21:024:0	Jii deegwee'ya' gwinyąą t'ee John gwąąh'ya' ts'ą' gwadąąntł'oo ; ąįįts'ą' deiinyą' datthak łi'didlii nilii ts'ą' geenjit gaagwiindaii .
43:21:025:0	Jesus łyaa ants'ą' gwinlęįį vagwandak gwanlii ts'ą' gaa datthak vik'iteech'adarantl'oo ji' , tr'ihkhit dęhtły'aa lęįį heelyaa ts'ą' jii nankat duuyeh yuutą' !
