43:18:001:1	Niveet'ah'in Nąįį Jesus Giiyuunjik
43:18:015:0	Peter , ch'izhii ch'itsyaa haa Jesus tąįį gahaa'oo . Ąįį ch'izhii ch'itsyaa t'ee ndak khii giinkhih choh gwinzii yaandaii ąįįts'ą' Jesus zhit giinkhih choh vizheh gokwantee yaa gwats'ą' haazhii .
43:18:016:0	Peter ąįį oo'at chiitąįį ohts'ąįį dhidii . Ąįį ch'izhii ch'itsyaa gwinzii giinkhih choh yaandaii chineezhii ts'ą' oo'at chiitąįį nich'it tsal haa giinkhe' ąįįtł'ęę Peter nihdaahchįį .
43:18:017:0	Ąįį oo'at chiitąįį ohts'ąįį nich'it tsal ąįį Peter jyaa ahnyąą , “ Zhit dinjii vitsyaa ch'ihłak inlii ? ” “ Nakwaa , vitsyaa ihłii kwaa ! ” Peter yahnyąą .
43:18:004:1	Ndak Khii Giinkhih Choh Jesus Oahkat
43:18:018:0	Chiitąįį gwiink'oo , ts'ą' ąįį ndak khii giinkhih choh vitsyaa chan ts'ą' geech'agwaa'ya' nąįį haa gwigwiilk'in ąįį eelin giheendhaa eenjit nigiilzhii . Peter chan heendhaa eenjit gootee nadhat .
43:18:019:0	Ąįį ndak khii giinkhih choh ąįį Jesus , vitsyaa nąįį akwat geech'ǫąąhtan kwaii eenjit yuahkat .
43:18:020:0	Jesus jyaa yahnyąą : “ Lęįį nąįį ts'ą' gwandah geech'ǫąąłchya' , Israel nąįį tr'igiinkhii zheh kwaii akwat Kharigidiinjii Zheh Gwachoh gwizhrįh gwizhit geech'ǫąąłchya' , izhit t'ee Jews nąįį khaihłan nineedal reh . Ch'ihłok gaa nagwąą'įį gwizhit giihkhe' kwaa .
43:18:021:0	Jaghaii geenjit shoohkat t'ohnyąą gǫ' ? Ąįį juu gwaałchy'a' oohkat . Deegavaiinyą' ąįį geenjit gavoohkat , deihnyą' shaagiindaii . ”
43:18:022:0	Nijin Jesus jyaa nyąą dąį' , zhat gwak'ąąhtii ch'ihłak dhidii ąįį yaant'an ts'ą' jyaa yahnyąą . “ Nats'ąą ndak khii giinkhih choh ts'ą' ginkhii t'iinyąą ! ”
43:18:023:0	Jesus t'iiyahnyąą , “ Yee'at k'ii'an t'iinyą' ji' , juk dząą gavaagwandak . Gaa deiinyą' eenjit oiints'it kwaa ji' , jaghaii shįįt'an ni'in ? ”
43:18:005:1	Peter , Chan Hee Jesus Haandaii Kwaa Nyąą
43:18:024:0	Ts'ą' t'ee Annas , ąįį Jesus tth'aii vakat ch'adookhwachaa gwizhit ndak khii giinkhih choh Caiaphas ts'ą' niyąąhchįį .
43:18:025:0	Gwiizhit Peter ąįį tth'aii hee gwaak'a' gwats'ą' heendhaa eenjit nadhat . Ąįįts'ą' zhat dilk'ii nąįį jyaa giiyahnyąą . “ Nan lee zhit dinjii vitsyaa ch'ihłak lee t'iinchy'aa ? ” Gaa Peter ąįį zhyaa t'igwinyąą gavahnyąą ts'ą' jyaa nyąą , “ Nakwaa , vitsyaa ihłii kwaa . ”
43:18:026:0	Ąįį ndak khii giinkhih choh vi-slave ch'ihłak ąįį zhit juu Peter yidzee gihłeehiłtr'it valak yąąh'ya' ąįį Peter jyaa ahnyąą , “ Nanlee gwanzhįh deek'it vaa naał'ya' lee t'iinchy'aa ? ”
43:18:006:1	Jesus , Pilate ts'ą' Nigiiyąąhchįį
43:18:027:0	Chan hee Peter “ Nakwaa ” nyąą gwiizhit rooster khashraa'iintrat .
43:18:028:0	Jesus ąįį Caiaphas vizheh cheegiihiłchįį ts'ą' oo'at Roman khaihkwaii choh vizheh nihdeegiiyąąhchįį . Vanh dąį' gineech'ahoo'aii hee . Jews nąįį Passover ch'igihee'aa eenjit shroodigidiinyąą geh'an khaihkwaii choh vizheh nihdeegijyaa gitr'igii'ee , nihdeegiinjil ji' duuyeh Passover ch'a'aa .
43:18:029:0	Ąįįts'ą' ąįį Roman khaihkwaii choh ( Pilate ) yats'ą' ch'izhii ts'ą' yuahkat , “ Jii dinjii jidii eenjit gwiizųų tr'agwah'ya' ? ”
43:18:030:0	Jyaa diginyąą , “ Gwiizųų tr'agwah'ya' kwaa ji' duuyeh nats'ą' narąhchįį t'inchy'aa . ”
43:18:031:0	Pilate jyaa gavahnyąą , “ Ts'an oo'įį ts'ą' nakhwa-law zhit deehohłyaa gwik'it t'ohłii . ” Jews nąįį jyaa ginyąą “ Dinjii drin gwarahahtsyaa geenjit goo'aii kwaa . ”
43:18:032:0	( Jesus nats'ą' vidrin tr'ahahtsyaa diinyą' chy'aa ąįį gwik'it gweheelyaa eenjit t'igwiizhik )
43:18:033:0	Pilate dizheh nihdineezhii ts'ą' Jesus oahkat , “ Nanlee Jews nąįį eenjit King inlii ? ”
43:18:034:0	Jesus jyaa yahnyąą , “ Nan shǫąąhkat akwat ch'izhii nąįį ts'an sheegwiintth'ak lee t'iinyąą ? ”
43:18:035:0	Pilate jyaa yahnyąą , “ Jew ihłii shaiinyąą ? Naa gwich'in nąįį akwat ąįį googiinkhii choh nąįį haa shintł'eenagąhchįį t'oonchy'aa . Nigwitr'it deezhik t'igwinyąą ? ”
43:18:036:0	Jesus jyaa yahnyąą , “ Shanahkat dząą nankat gwats'an nilii kwaa : shanahkat dząą nankat gwats'an nilii ji' , shitsyaa nąįį Jews nąįį intł'eesharahahchyaa gwits'į' nich'itsigahahthat . Nakwaa , shanahkat dząą nahkat gwats'ą' nilii kwaa t'oonchy'aa ! ”
43:18:037:0	Ąįįts'ą' Pilate yuahkat , “ King inlii diinyąą lee t'iinyąą ? ” Jesus jyaa yahnyąą , “ Nan reh King inlii . Shaiinyąą . Ch'ihłak eenjit gwizhrįh shagoodlit ts'ą' nankat gwats'ą' hoiizhii t'ishi'in , łi'didlii eegihihkhyaa eenjit . Juu łi'didlii ts'an nilii ąįįt'ee shoołk'įį . ”
43:18:007:1	Jesus Tr'ahaahkhwaa Goodlit .
43:18:038:0	“ Ąįį łi'didlii ąįį jidii t'aiinyąą ? ” Pilate yuahkat . Ąįįtł'ęę Pilate cheehoozhii ts'ą' Jews nąįį jyaa ahnyąą : “ Jaghaii tr'ahaahkhwaa veegwaał'in kwaa .
43:18:039:0	Passover nineegwiidhak dąį' dinjii ch'ihłak zheegwaazhrąįį nakhweenjit chinałchik , ąįįt'ee khit jyąhts'ą' nakhweenjit gwik'it goo'aii geh'an . Jews nąįį nakhwa-King nakhweenjit chinoałchyaa shoohnyąą ? ”
43:18:040:0	Datthak gazhral ts'ą' jyaa ginyąą , “ Nakwaa , adan nakwaa ! Barabbas ąįį gwiindhan . ” ( Barabbas t'ee Roman nahkat gookat deeheehaa gwik'eegoonjik inli' t'arahnyąą . )
