43:4:001:1	Jesus , Ts'ą' Samaria Gwats'an Tr'injaa Haa
43:4:018:0	Nakąį' ch'ihłoanli' gwiinli' , juk ąįį dinjii vaagwinch'įį nakąį' t'inchy'aa kwaa . Łi'didlii haa shaagwadhandak . ”
43:4:019:0	Ąįį tr'injaa jyaa yahnyąą , “ Vit'eegwijyąhchy'aa Eenjit Ginkhii inlii łee .
43:4:020:0	Yeenii diilak nąįį jii ddhah kat Vit'eegwijyąhchy'aa deegihiił'e' gaa nakhwan Jews ąįį Jerusalem gwizhit Vit'eegwijyąhchy'aa deerahǫh'e' diinoohnyąą . ”
43:4:021:0	Jesus jyaa yahnyąą , “ Jii ddhah kat akwat Jerusalem gwizhit dinjii nąįį Vit'eegwijyąhchy'aa deegahah'aa kwaa nigweheedhaa ąįį łyaa t'igwinyąą .
43:4:022:0	Samaria gwich'in ǫhłįį ts'ą' juu vats'ą' khadagohjii gaakhwandaii kwaa . Diikhwan Jews gwich'in tr'iinlii ts'ą' juu vats'ą' khadigariinjii gaagwiindaii , Israel gwich'in nąįį k'iighai' neehohshii geh'an .
43:4:023:0	Gaa it'ee zhat nigwiighit , juk t'ee łyaa gwik'iinjiighit nąįį digiyinji' zhit łi'didlii haa Gwiti' ts'ą' khadigigiinjii . Ąįį gik'iinjiighit k'it t'inchy'aa t'ee Gwiti' keehi'ik t'inchy'aa .
43:4:024:0	Vit'eegwijyąhchy'aa t'ee Ch'anky'aa nilii , ts'ą' juu yats'ą' khadigiinjii t'ee digiyinji' zhit łi'didlii haa giits'ą' khadigiheejyaa goo'aii . ”
43:4:025:0	Ąįį tr'injaa jyaa yahnyąą , “ Messiah ąįį Christ oozhii ahaa ts'ą' gaashandaii nijin k'idik ji' jidii datthak eediinaagwahaandak vaashandaii . ”
43:4:026:0	Jesus jyaa yahnyąą , “ Shįį nats'ą' ginkhii t'ee adan t'ihchy'aa . ”
43:4:027:0	Izhit gwiizhit Jesus vitsyaa nąįį oo'ee neegiijil ; tr'injaa ts'ą' ginkhii giiky'aanjik dąį' deegiheenjyaa gaa gaagiindaii kwaa . Gootee ch'ihłak gaa ąįį tr'injaa jyaa ahnyąą kwaa , “ Jidii yiindhan ? ” akwat Jesus chan jii agaahkat kwaa , “ Jaghaii jii tr'injaa vats'ą' ginkhii ? ”
43:4:028:0	Ąįįtł'ęę ąįį tr'injaa zhat dityaa akhoonyąą ts'ą' kwaiik'it gwits'eehoozhii ts'ą' zhat nąįį jyaa ahnyąą ,
43:4:029:0	Aanaii ts'ą' jii dinjii yeenii deeshi'yaa datthak geeneeshaagwaandak nǫh'in . Jii dinjii lee Christ t'inchy'aa ?
43:4:030:0	Ąįįts'ą' t'ee zhat datthak ąįį kwaiik'it chagahaajil ts'ą' Jesus ts'ą' gahaajil .
43:4:031:0	Izhit gwiizhit vitsyaa nąįį yaandeegwii'ąįį ts'ą' jyaa giiyahnyąą , “ Geech'ǫąąhtan , gwintsal ch'in'aa ! ”
43:4:032:0	Gaa jyaa gavahnyąą , “ Shih shi'įį ąįį vaakhwandaii kwaa . ”
43:4:033:0	Ąįįts'ą' vitsyaa nąįį jyaa nihłagaanyąą , “ Juu shih yats'ą' hiłtsit t'inyąą li' ? ”
43:4:034:0	Jesus gavahnyąą , “ Ąįį juu shihił'e' vik'it t'ooshi'ya' shoonyąą ąįį vigwitr'it t'agwahał'ya' gwizhrįh goo'aii ąįįt'ee shishii k'it t'inchy'aa .
43:4:035:0	Jii jyaa dohnyąą chy'aa ganoondaii , ‘Shree drin dǫǫ ts'ą' gwanzhįh khareheelyaa . ’ Nakhwaagwahaldak , gwanzhįh deek'it gwinzii gooh'in ; gwanzhįh khareheelyaa eenjit et'ee nizįį !
43:4:036:0	Ąįį juu gwanzhįh dehk'it gwitr'it t'agwah'in t'ee vagwarookwat , ąįįts'ą' zhit gwanzhįh khaihłan nilii t'ee khit gwarandaii eenjit khaihłan niyilii t'ii'in . Ąįįts'ą' zhit juu gwiiłshįį ts'ą' juu khaihłan niyilii haa nihłaa shoo geelyaa eenjit .
43:4:037:0	Jii t'ee łyaa t'igwinyąą , ‘Dinjii ch'ihłak gwąąhshii , dinjii ch'ihłak gwanzhįh khaihłan nilii . ’
43:4:002:1	Samaria Lęįį Nąįį Jesus K'iinjigiighit
43:4:038:0	Gwanzhįh deek'it gwehkįį tr'agoh'in kwaa izhit gwanzhįh khaihłan nohohłyaa eenjit gwats'ą' nakhwahooł'e' . Ch'izhii nąįį zhat tr'agwah'ya' gaa nakhwan ąįį gwanzhįh nakhwats'an dhidlit . ”
43:4:039:0	Izhit kwaiik'it gwizhit , Samaria gwich'in lęįį nąįį Jesus k'iinjigiighit , ąįį tr'injaa jii jyaa nyąą geh'an , “ Yeenii deeshi'ya' datthak geeneeshaagwaandak . ”
43:4:040:0	Ąįįts'ą' nijin Samaria gwich'in nąįį giits'ą' haajil dąį' diinaa dhiindii giiyahnyąą , ąįįts'ą' t'ee Jesus zhat drin neekwaii gavaa iindi' .
43:4:041:0	Deegavaiinyą' eenjit lęįį nąįį giik'iinjiighit dhidlit
43:4:003:1	Cana Kwaiik'it Gwats'ą' K'eegwaadhat Vidinji' , Jesus Shrinilik
43:4:042:0	ts'ą' ąįį tr'injaa jyaa agahnyąą , “ Juk et'ee vik'injiriindhat , deediinaiinyą' eenjit kwaa gaa diikhwan chan diits'ą' ginkhe' , ts'ą' jii nankat datthak dinjii neehahshii nilii et'ee vaagwiindaii . ”
43:4:043:0	Drin neekwaii zhat naakhaa ąįįtł'ęę Jesus neehoozhii ts'ą' Galilee gwats'ą' haazhii .
43:4:044:0	Jii t'ee Jesus gwehkįį jyaa diinyą' . “ Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį daganahkat gwa'an gooveenjit yinjigihił'ee kwaa . ”
43:4:045:0	Nijin Galilee k'idik dąį' , giiyeenjit shoo dhidlit , Jerusalem gwizhit Passover gwiinli' dąį' ch'aga'aa gwiizhit deezhik datthak giiyąąh'ya' geh'an .
43:4:046:0	Ąįįts'ą' Jesus Galilee nahkat gwizhit Cana kwaiik'it gwits'eehoozhii , izhit t'ee chųų ąįį jak chų' iłtsąįį . Izhit gwats'ą' k'eegwaadhat vidinji' Capernaum kwaiik'it gwizhit iłts'ik .
43:4:047:0	Nijin ąįį dinjii Jesus Judea nahkat gwats'an Galilee gwats'ą' haazhii gwinyąą gwiitth'ak dąį' , yats'ą' haazhii ts'ą' Capernaum gwats'ą' shaa hinkhaii , shidinji' veenjit gwinzii neegwąhtsii yahnyąą , ąįį vidinji' t'ee niheedhaa nigwiindhat .
43:4:048:0	Jesus jyaa yahnyąą , “ Gwitr'it geegwaroolii kwaa nakhwandah t'igwiizhik kwaa ji' , nakhwatee ch'ihłak gaa duuyeh gwik'iinjiighit ilii ! ”
43:4:049:0	Ąįį nahkat gwats'ą' k'eegwaadhat jyaa yahnyąą , “ Shigii niheedhaa gwehkįį shaa hinkhaii . ”
43:4:050:0	Jesus jyaa yahnyąą , “ Oo'an neehindii , nidinji' gweheendaii t'inchy'aa ! ” Ąįį dinjii Jesus viginjik k'iinjindhat ts'ą' oo'an neehoozhii .
43:4:051:0	Dizheh gwats'ą' needyaa gwiizhit zhit juu yeetr'agwah'in nąįį gwandak haa giidąąjil , “ Nichyaatsal gweheendaii t'oonchy'aa ! ”
43:4:052:0	Nijin nigwiindhat dąį' vidinji' veenjit gwinzii neegahoodlit eenjit gavoahkat , ts'ą' jyaa giiyahnyąą , “ K'ehdąį' drintł'an ęhdaa tr'igwiindhat dąį' ts'ik niindhaa di'įį kwaa dhidlit . ”
43:4:053:0	Izhit nigwiindhat dąį' Jesus jii jyaa yahnyąą chy'aa ganaanjik , “ Nidinji' gweheendaii t'inchy'aa . ” Ąįį dinjii dizhehk'ąą haa datthak gwik'iinjigiighit gaadlit .
43:4:054:0	Jesus Judea gwats'an Galilee gwats'ą' haazhii dąį' jii gwitr'it gwihil'ee t'iizhik t'ee neekwat gwizhrįh t'iizhik t'avarahnyąą .
