43:7:001:1	Jesus , Dachaa Nąįį Haa
43:7:026:0	Dzaa gooh'in ! Juu nąįį datthak andah ginkhii googaa ch'ihłak gaa k'eegwiichy'aa t'inyąą kwaa . Kįh dilk'ii nąįį Christ t'inchy'aa giiyaandaii t'igii'in gwich'in .
43:7:027:0	Gaa Christ nijin vigwiilkįį ji' izhit ch'ihłak gaa nijin gwats'an t'inchy'aa giiyaaheendaii kwaa . Ąįįts'ą' diikhwan ąįį nijin gwats'an t'inchy'aa vaagwiindaii . ”
43:7:028:0	Jesus Kharigidiinjii Zhee Gwachoh gwizhit gwint'aii ginkhii ts'ą' jyaanyąą , “ Shaakhwandaii ts'ą' nijin gwats'an ihshyaa gaakhwandaii ? Gaa shakhai' dząą gwats'ą' hoiizhii kwaa , juu dząą gwats'ą' shihił'e' t'ee łi'didlii nilii . Nan ąįį vaanandaii kwaa .
43:7:029:0	Gaa shįį ąįį vaashandaii , vats'an tr'iizhii ts'ą' shihił'e' . ”
43:7:030:0	Ąįįts'ą' zheegwaazhrąįį nihdeegiihahchįį gwik'eegogwandaii , gaa ch'ihłak yakat naanjik kwaa , tth'aii vidrin nigwiighit kwaa geh'an .
43:7:004:1	Gwiky'aahtii Nąįį Jesus Zheegwaazhrąįį Nigihiłchįį
43:7:031:0	Gaa zhat lęįį nąįį giik'iinjiighit ts'ą' jyaa ginyąą . “ Nijin Christ vineegwiilkįį ji' , jii dinjii dee'ya' ąįį andaa ts'ą' gwitr'it geegwaroolii kwaa t'ihee'yaa ? ”
43:7:032:0	Pharisee khaihkwaii nąįį dinjii tee gwa'an dagaadzit Jesus ts'ą' eegiginkhii googiitth'ak , ąįįts'ą' geedan chan ts'ą' giinkhih kįh dilk'ii nąįį haa zheegwaazhrąįį nigiihahchyaa eenjit , gwak'ąąhtii nąįį giiyinkeehił'e' .
43:7:033:0	Jesus jyaa nyąą , “ Tth'aii gwintsal gwizhrįh nakwaa t'ihihchy'aa , ąįįtł'ęę juu nakhwats'ą' shihił'e' ąįį vats'ą' neehihdyaa ,
43:7:034:0	Shįį shinkeegoh'in gaa duuyeh shagoh'ąįį , nijuk neehidyaa duuyeh gwats'ą' hohjyaa geh'an . ”
43:7:035:0	Jews kįh dilk'ii nąįį jyaa nihłagaanyąą , “ Nijuk gwats'ą' heekhaa ts'ą' khyų' vagwarahah'aa t'inyąą ? Greek kwaiik'it Jews nąįį tee gwats'ą' hahaii ts'ą' geech'oohąąhchyaa lee t'inyąą ?
43:7:005:1	Chųų Vats'an Gwandaii Ninlaii
43:7:036:0	Jyaa goovahnyąą , ‘Shikeegohǫǫh'yaa gaa duuyeh shagoh'ąįį , ts'ą' nijuk hihdyaa duuyeh gooh'in . ’ Deiinyąą t'inyąą ? ”
43:7:037:0	Ąįį ch'ara'aa drin ndaanąą'ąį' łyaa ch'andaa gwihil'ee . Izhit drin Jesus ndak nidhikhin ts'ą' gwint'aii jyaanyąą . “ Juu chųų dahłįį shats'ą' hahaii ts'ą' chųų dinįį .
43:7:038:0	Dęhtły'aa Choh kat jyaa digwinyąą , ‘Juu shik'iinjiighit , vidrii zhit gwats'an chųų gwandaii t'iheenjyaa . ’ ”
43:7:006:1	Dinjii Nąįį Nihłehjuk Gininjich'ahthat
43:7:039:0	Juu yik'injiighit nąįį eenjit Ch'anky'aa Shroodiinyąą ts'an gahaa'yaa eenjit Jesus geeginkhii t'inyąą . Izhit zhat dąį' ąįį Ch'anky'aa Shroodiinyąą tth'aii goontł'eerah'ąįį kwaa , Jesus tth'aii hee niighit kwaa ts'ą' ch'eegwąhndit ilii kwaa geh'an .
43:7:040:0	Dinjii tee lęįį nąįį jii jyaa nyąą giiyiitth'ak dąį' jyaa ginyąą , “ Jii dinjii Vit'eegwijyąhchy'aa Eenjit Ginkhii t'inchy'aa łee ! ”
43:7:041:0	Ch'izhii nąįį jyaa ginyąą , “ Christ t'inchy'aa oo'ee ? ” Gaa ch'izhii nąįį chan jyaa nyąą , “ Christ duuyeh Galilee gwats'an ahaa t'inchy'aa !
43:7:042:0	Dęhtły'aa Choh kat , dinjii yeenii King David ts'an deedhaa ts'ą' Bethlehem gwizhit vigweheelyaa ąįįt'ee Christ , dinjii neehahshii heelyaa gwinyąą , ąįį kwaiik'it t'ee David gwiinch'į' .
43:7:043:0	Nihłitee giiyeenjit nihzheedagąąn'ee .
43:7:007:1	Jews Kįh Dilk'ii Nąįį Giik'injiighit Kwaa
43:7:044:0	Goolat nąįį zheegwaazhrąįį narohchyaa giiyuunyąą , ch'ihłak gaa giikat naanjik kwaa . ”
43:7:045:0	Ąįį gwiky'aahtii nąįį , giinkhih kįh dilk'ii nąįį chan ts'ą' Pharisee khaihkwaii nąįį haa ts'eegahoojil , ąįį nąįį googaahkat , “ Jaghaii adahaa oo'ee noohchįį kwaa ? ”
43:7:046:0	Ąįį gwiky'aahtii nąįį jyaa ginyąą , “ Jii dinjii łyaa vik'it t'igwinyąą kwaa t'arahnyąą ! ”
43:7:047:0	“ Nakhwan chan neenakhwaiin'ak lee t'ohnyąą , ” Pharisee khaihkwaii nąįį jii googaahkat .
43:7:048:0	“ Diitee gwa'an nik'ee diikhaihkwaii akwat Pharisee khaihkwaii ch'ihłak yik'injiighit haakhwandaii ?
43:7:049:0	Juk dząą dinjii nąįį Moses va-law haagiindaii kwaa , ąįį geh'an t'ee Vit'eegwijyąhchy'aa doo'ya' gavoonyąą gwik'it t'iginchy'aa kwaa ! ”
43:7:050:0	Nicodemus t'ee Pharisee ch'ihłak nilii , ąįįt'ee gwehkįį dąį' Jesus eenoozhii ts'ą' nah'ya' . Nicodemus jyaa gavahnyąą ,
43:7:051:0	“ Dii-law zhit duuyeh dinjii tr'ahaahkhwaa gwats'ą' dee'ya' eenjit vęhdaa tr'agwara'aii goo'aii gwinyąą . ”
43:7:052:0	Ąįį jyaa ginyąą , “ Nan chan Galilee gwats'an inkhaa ? Dęhtły'aa Choh kat vagwan'ee ąįį ji' t'ee Galilee gwats'an Vit'eegwijyąhchy'aa Eenjit Ginkhii ahaa kwaa gwiky'aahaandal . ”
43:7:053:0	Ąįįtł'ęę t'ee juu nąįį datthak digizheh gwits'eegahoojil .
