9:30:001:1	David éí Ámalek dine'é yik'eh deesdlį́į́'
9:30:011:0	Ííjip dine'é ła' kéyahgi bik'ídadziskaigo David bił baa jíkai. Bááh ła' bada'dzistsoodgo yiyííyą́ą́'; tó ałdó' ła' baa dadzizką́ągo yoodlą́ą́'. 
9:30:012:0	Tsin sikaadii fig wolyéhígíí bineest'ą' ahídiiłjée'ii ła' neheesti'go áádóó ch'il na'atł'o'ii bąąh bineest'ą' dah naazyíinii nááltseii naakigo baazhnínilgo yiyííyą́ą́' índa bíni' nááłdził, háálá t'áadoo ayání áádóó t'áadoo adlání tágí jį́ áádóó tágí tł'éé' azlį́į́' lá. 
9:30:013:0	Áko David áháłní, Háishą' bíí' nílį́, háádę́ę'shą' naniná? Nít'éé' ání, Ííjip kéyahdóó dinééh nishłį́. Ámalek dine'é ła' bá naalte' nishłį́į́ nít'éé'. Táá' yiskánídą́ą́' shitah honiigaigo shinanit'a'í t'óó shits'ą́ą́' dah diiyá. 
9:30:014:0	Kéreth dine'é kéédahat'ínígíí shádi'ááhjígo áádóó Júdah kéyahgi índa Kéíleb bikéyah shádi'ááhjígo baatįįh yiikai áádóó Zíklag kin haal'áii adahidiilk'ą́ą́'. 
9:30:015:0	Áko David áháłní, Da' díí dah oonéłígíísh bich'į' t'áá shił díí'ash? Áko áhodííniid, Diyin God bee shich'į' ádee hadídziih, doo yéí shidiyííłhéeł da, doodaii' shinanit'a'í doo baa náshididíí'áał da, ákót'éego t'éiyá ákóyaa nił deesh'ash. 
9:30:016:0	Áádóó ákóyaa hoł ní'áazhgo, shoo, kéyahgi t'áá át'éé nít'éé' diné yíl'áago ła' da'ayą́ áádóó da'adlą́ índa azhish baa na'aldeeh, háálá Filístiya dine'é bikéyahdóó índa Júdah kéyahdóó naalye'é t'óó ahayóí deisnáá lá. 
9:30:017:0	Áko hiłiijį́į́dóó náábiiskání i'íí'ą́ąjį' David ałtso nahastseed. Áko t'áadoo diné ła' ánéísįįd da, t'áá hazhó'ó dinééh dį́įdi neeznádiin ánéelą́ą'go ghą́ą́'ask'idii bił yóó'aheezhjé'ígíí t'éí yisdáhaazhjéé'. 
9:30:018:0	Áko David éí Ámalek dine'é hondaalye'é deisná yę́ę t'áá át'é shóníjoost'e'go índa hwe'asdzą́ą́ t'áá áłah shóníjoost'e'go yisdájíínil. 
9:30:019:0	T'áá ałtso neheesdzíí' lá: ayáhígo ádaat'éii áádóó ayóó ádaat'éii, aye'ké áádóó atsi'ké danilíinii áádóó binaalye'é índa t'áadoo le'é deisná yę́ę t'áá át'é shónáyoost'e' lá. 
9:30:020:0	David éí dibé nidanilkaadii áádóó béégashii nidanilkaadii t'áá át'é néísná. Áko diné dabilį́'ígíí alą́ąjį' ats'ádeineeskaadgo ádaaní, Díí David binaalye'é ádaat'é. 
9:30:021:0	Áko David éí diné naakidi neeznádiingo Bíísor tó nílínídi nídínéeskaigo naháaztą́ yę́ę baa nídzídzá; nít'éé' David índa diné yił náákahígíí yidááh heezhjéé'. Áko David éí diné baazhníyáago k'é bizhdííniid. 
9:30:022:0	Ákohgo diné doo yá'ádaashóonii índa t'áá bóhólníhígíí t'áá ałtso David yił nidaazbaa'ígíí ádadííniid, Shónídeisiilt'e'ii doo ła' haa dadii'nił da, háálá doo nihił nidadzizbaa' da. Nidi diné dajílíinii hweda'asdzą́ą́ áádóó hada'áłchíní hach'į' bééda'diyiilnihgo háni'dii nídají'éésh. 
9:30:023:0	Nidi David ádííniid, Shik'isóó danohłíinii, Bóhólníihii nihaidiní'ánígíí t'ááká nahjį' kódaołe' lágo. Éíyee' t'áá bí nihaa áhályą́ índa nihidadiilkaalii nihílák'ee yidíí'ą́. 
9:30:024:0	Díí kót'éhígíí biniinaa háishą' nihíists'ą́ą' doo? Azhą́ nidasoobaa' nidi t'áá kǫ́ǫ́ naalye'é yaa ádahalyą́ą́ nít'é'ígíí t'áá aheełt'éego nihił ałts'ą́ą́' da'íłk'iiz doo. 
9:30:025:0	Áko íídą́ą́' ákódzaago nee'nijį' yee nihoní'áanii áádóó bik'ehgo hoogáałii Ízrel dine'é bá ájiilaago díí jį́į́góó bá ákót'é. 
9:30:026:0	Áko David éí Zíklag kin haal'áagi jiníyáago ana'í binaalye'é ła' Júdah dine'é aląąjį' naazíinii dahak'isígíí bich'į' dadeeshjaa'go ájíní, Shoo, Bóhólníihii bida'ana'í binaalye'é ła' bee nihik'idahojisdli'ii ádaat'é. 
9:30:027:0	Béthel kin haal'áagi kéédahat'ínígíí bá dooleeł. Réímath shádi'ááhjígo kin haal'áagi kéédahat'ínígíí ałdó', Játer kin shijaa'góoda, 
9:30:028:0	Aró'er kin shijaa'góoda, Sífmath haz'ánígóoda, Éshtiimowa kin haal'áágóoda, 
9:30:029:0	Réíkal haz'ánígóoda, Jiiráhmiyel dine'é bikin hadaas'áágóoda, Kííni dine'é bikin hadaas'áágóoda, 
9:30:030:0	Hórmah kin haal'áágóoda, Kárashan haz'ánígóoda, Éíthak kin haal'áágóoda, 
9:30:031:0	Hííbran kin haal'áágóoda índa náádaałahgóó t'áá ałtsogi David áádóó diné hoł tádíkááh nít'é'ígíí bił tázhdookai yę́ęgóó kéédahat'ínígíí ałdó' bee bik'idahojisdli'.
