43:20:001:1	Pen . xx .
43:20:015:0	Dywedyt or Iesu wrthei , A‐wraic , pa wylo ydd wyt ? pwy ddwyt yn ei geisio ? Hithe yn tybiet mai ’r garddwr oedd ef , a ddyvot wrthaw , Arglwyð , a’s ti y duc ef ymaith , dyweit i mi p’le y dodeist efe , a’ mi y dugaf e ymaith .
43:20:016:0	Dywedyt yr Iesu wrthei , Mair . Hithe a ymchweloð , ac a ddyvot wrthaw , Rabboni , yr hwn yw oei ddywedyt , Athro .
43:20:017:0	Dywedyt o’r Iesu wrthei , Na chyfwrðam vi : can na’d escēnais i etwa at vy‐Tat , eithr dos at vy‐broder , a’ dywet wrthyn , Escennaf at vy‐Tat i , a’ch Tat chwi , ac at vy‐Duw i , a’ch Duw chwi .
43:20:018:0	Daeth Mair Magdalen , ac a venagodd ir discipulon weled o hanei yr Arglwydd , a’ dywedyt o hanaw y pethe hyn wrthei . Yr Euangel y Sul cyntaf gwedyr Pasc .
43:20:019:0	¶ Y dydd hwnw yn yr hwyr nos yr hwn oedd y dydd cyntaf or wythnos , ac a’r drysae yn gayad , lle ydd oedd y discipulon wedyr ymgynnull rac ofn yr Iuddaeon , y daeth yr Iesu ac y savawdd yn y cenawl , ac y dyvot wrthwynt , Tangweddyf ywch .
43:20:020:0	A’ gwedy iddaw ddywedyt hyn , e ddangoses yddwynt ei ddwylaw , a’ ei ystlys . Yno y llawenychawð y discipulon wrth welet yr Arglwyð .
43:20:021:0	Yno y dyvot yr Iesu wrthwynt drachefyn , Tangneðyf ywch , megis yd anvones vy‐Ta vyvi , velly yd anvona vi chwithae .
43:20:022:0	Ac wedy iddaw ddywedyt hyny , ydd anhetlawdd ef arnwynt , ac a ðyvot wrthwynt Cymerwch yr yspryt glan .
43:20:023:0	Pwy bynac y madaeoch ei pechatae , eu maddeuir yðynt a’r eiddo pwy pynac yr atalioch , eu a atalijr . Yr Euangel ar ddie gwyl Thomas .
43:20:024:0	¶ Yno Thomas vn o’r deuðec , a elwit Didymus , nyd oeð y gyd a hwy pan ðaeth yr Iesu .
43:20:025:0	Dywedyt o’r discipulon eraill gan hyny wrthaw . Gwelsam yr Arglwydd : ac yntef a ddyvot wrthyn , Any welaf yn ei ddwylo ol y cethri , a’ dodi vy‐bys yn ol y cethri , a’ dodi vy llaw yn eu ystlys , ny’s credwyf i ddim .
43:20:026:0	Ac ar ben wyth diernot drachefyn ydd oedd eu ddiscipulon y mewn , a’ Thomas y gyd a hwy . Yno dyvot o’r Iesu a’r drysaw yn gayad , a’ sefyll yn y cenol , a’dywedyt , Tāgneðyf ywch
43:20:027:0	Gwedy y dyvot ef wrth Thomas . Dod dy vys yma , a’ gwyl vy‐dwylo , ac esten dy law , a’ dod yn v’ystlys , ac na vydd ancrededyn amyn creddyn .
43:20:028:0	Yno yr atepawdd Thomas , ac y ddyvot wrthaw , Ys ti yvv vy Arglwydd , a’m Duw .
43:20:029:0	Yr Iesu a ðyvot wrthaw , Thomas , can yty vy‐gwelet , y credaist . Ys gwynvydedic yr ei ny welsant , ac a gredesant .
43:20:030:0	A’ llawer hefyt o arwyddion eraill a wnaeth yr Iesu yn‐gwydd ei ddiscipulon , a’r nyd yw yn yscrivenedir yn y llyfer hwn .
43:20:031:0	Eithyr y pethe hyn a escrivennir , val y credoch mai’r Iesu yw’r Christ y Map Duw , ac y chwi gan gredu gaffael bywyt trwy y Enw ef .
