43:19:001:1	Pen . xix .
43:19:021:0	Yno y dyvot yr Archoffeiriait yr Iuðaeon wrth Pilatus , Nag yscrivena , y Brēhin yr Iuðeon , eithr bot yðo ðywedyt , Brenhin yr Iuðeon ytwyf .
43:19:022:0	Pilatus a atepoð , yr hyn a escrivēnais , a yscrivenais .
43:19:023:0	Yno ’r milwyr wedy yð wynt grogi’r Iesu a gymersont ei ddillat ac ei gwnaethant yn bedair rhā , i bob milwr ran , ay bais ef : a’r bais oeð yn ddiwniat , wedy’r weheu o’r cwr uchaf trwyddhei .
43:19:024:0	Can hyny y dywedesont wrth ei gylydd , Na ranwn yhi anid bwriwn am danei , pwy bieuvydd . Hyn a vu er cyflawni yr Scrythur a ddywait , Ranesant vy‐gwist yn ei plith , ac ar vy‐pais y bwriesōt goelbrenni . Felly ’r milwyr a wnaeth hyn yn ddiau .
43:19:025:0	Yno y sefynt wrth groc yr Iesu ei vam , a’ ehwaer ei vam , Mair gvvraic Cleopas , a’ Mair Magdalen .
43:19:026:0	A’ phan weles yr Iesu ei vam , a’r discipul yn sefyll ger llaw y garei ef , y dyvot wrth ei vam , Wreic , wely dy vap .
43:19:027:0	Yno y dyvoc wrth y discipul Wele dy vam : ac or awr hono y cymerth y discipul y hi ato adref .
43:19:028:0	Ar ol hynny pan wybu yr Iesu vot pop beth wedy ’r ddybenny , er mwyn cyflawny ’r Scrythur , e ddyvot , Mae arnaf sychet .
43:19:029:0	Ac ydd oedd yno lestr wedy ’r ’osot yn llawn o vinegr : ac wy a lanwesont yspong o vinegr : ac ei roesynt ynghylch paladr hyssop , ac ei dodesont wrth ei enae .
43:19:030:0	A’ gwedy i’r Iesu gymeryd yr vynecr , y dyvot , Dibennwyt . Ac a ei ben ar ogwydd y rhoddes e yr yspryt .
43:19:031:0	Yr Iuddeon yno ( can y bot yn Ddarpar , rac bot y cyrph yn aros ar y groc ar y dydd Sabbath : ( can ys mawr oedd y Sabbath hwnw ) a ddeisyfesont ar Pilatus gahel drylliaw y escairie hwy , a’ei tynnu i lawr .
43:19:032:0	Yno y daeth y milwyr , ac a ddrylliesont esceirie ’r cyntaf , ac ysceiriae ’r llall , yr hwn a grogesit gyd a’r Iesu .
43:19:033:0	An’d pan ddaethant at yr Iesu , a’ ei weled wedy marw eisioes , ny ddrylliesont y esceirie ef .
43:19:034:0	Eithyr vn o’r milwyr a gwaew a wanodd y ystlys ef , ac yn van ydaeth allan waed a dwfr .
43:19:035:0	A’r hwn a welawdd , a testolaethawdd , a’ gwir yw y destoliaeth ef : ac ef a wyr ei vot yn dywedyt gwir , val ac y credo chwi .
43:19:036:0	Can ys y pethe hyn a wnaethpwyt , val y cyflawnit yr Scrythur , Ny drillir ascwrn o hanaw .
43:19:037:0	A’ thrachefyn e ddywait Scrythur arall , Wy a welsant yr vn a wanasont trywoð .
43:19:038:0	Ac yn ol hyn , Ioseph o Arimathaia ( yr hwn oedd ddiscipul yr Iesu , ’n amyn yn ddirgel rac ofn yr Iuddaeon ) a archawdd ar Pilatus gahel tynny i lawr gorph yr Iesu . Ac Pilatus a ganiataodd yddaw . Yno y deuth ef ac y cymerth gorph yr Iesu .
43:19:039:0	Ac a ðeuth Nicodemus hefyt , ( yr hwn yn gyntaf a ddeuthei at yr Iesu o hyd nos ) ac a dduc gymysc or myrrh ac Aloes , yn‐cylch cant poys .
43:19:040:0	Yno y cymersont gorph yr Iesu , ac ei rhwymesont mewn llieniae a’r aroglae , megis y mae yr arver gan yr Iuddaeon ar gladdy .
43:19:041:0	Ac yn y van lle crogesit yr Iesu , ydd oedd gardd , ac yn yr ’ardd monwent newydd , yn yr hon ny ddodesit dyn erioet .
43:19:042:0	Ac yn y van hono y dodesont vvy’r Iesu , o achos dydd Darpar yr Iuddaeon , can ys bot y vonwent yn agos .
