43:16:001:1	Pen . xvj .
43:16:017:0	Yno y dyvot rei o’r discipulon wrthyn , y gylydd , Beth yw hynn a ddyweit ef wrthym , Ychydic enhyt , ac ny’m gwelwch , a’ thrachefyn , ychydic enhyd , a’ chvvi am gwelwch , ac , Can ys mivi a at vy‐Tat ?
43:16:018:0	Can hyny y dywedesont , Beth yw hyn a ddyweit ef , Ychydic enhyt ? ny’s gwyddam pa beth a ddywet ef .
43:16:019:0	A’r Iesu a wybu y chwenychent ymofyn ac ef , ac a ddyvot wrthynt , Ai ymofyn ydd ych ai gylydd am ddywedyt o hanof hyn , Ychydic enhyt , ac ny’m gwelwch : a thrachefyn , ychydic enhyt , a’ chvvi a’m gwelwch ?
43:16:020:0	Yn wir , yn wir ydywedaf wrthych , y bydd y chwi wylo ac alaru , a’r byd a lawenha : a’ chwi a dristewch , eithyr eich tristit a ddymchwelir yn llawenydd .
43:16:021:0	Gwraic wrth escor‐dyn‐bach vydd mewn trystit , can ddyvot y h’awr : eithyr gwedy geni yði ’r dyn‐bach , ny chofia hi mwyach o’r gofit , gan lawenydd geni dyn ir byt .
43:16:022:0	A’ chwithe gā hyny ydych mewn tristit : eithyr e vydd ym’ eich gwelet drachefyn , a’ch calonae a lawenycha , ach llewenydd ny’s dwc nep y arnoch .
43:16:023:0	A’r dydd hwnw nyd erchwch ddim arnaf . Yr Euangel y v . Sul gwedy’r Pasc . Yn wir , yn wir y dywedaf y chwy , pa bethae bynac a archoch ar vy‐Tat yn vy Enw i , ef ei rhydd y ychwy .
43:16:024:0	Yd hynn nyd archesoch ddim yn vy Enw i : erchwch , a’ derbyniwch , val y bo cyflawn eich llawenydd .
43:16:025:0	Y pethe hyn a a droddeis wrthych ym‐parabolae : and e ddawr amser , pryd nad ymadrodwyf mwyach wrthych ym‐parabolae : eithyr menagaf ywch yn eglur am y Tat .
43:16:026:0	Yn dydd hwnw yr erchwch yn vy Enw i , ac nyd wyf yn dywedyt wrthych , y gweddia vi ar y Tat trosoch .
43:16:027:0	Can ys ef y Tat ’sydd ich caru , o bleit caru o hanoch vi , a chredu dyvot o hanof allan ywrth Dduw .
43:16:028:0	Dauthym allan ywrth y Tat , a’ deuthym ir byt ; trachefyn ydd wyf yn gadaw ’r byt , ac yn myned at y Tat :
43:16:029:0	Dywedawð eu ddiscipulon wrthaw , Wele ’r awrhon yr ymadroddy yn eglur , ac ny ddywedy vn parabol .
43:16:030:0	Yr owrhon y gwyddam y gwyddosti bop peth oll , ac nyd rait yty ymofyn o nep athi . Wrth hyn y gwyddam , ddyvot o hanot allan ywrth Dduw .
43:16:031:0	Yr Iesu a atepawdd yddynt , A gredwchvvi yr owrhon ?
43:16:032:0	Nacha , yr awr yn dy vot , ac ’sy eisioes wedi dyuot , pan ich goyscerer pawp at yr eiddaw , ac im gedwch vi yn vnic : ac nyd wyf yn vnic : can y Tat ys y gyd a mi .
43:16:033:0	Y pethe hyn a lavaris wrthych , y gaffael o hanoch ynof dangneddyf : yn y byt y ceffwch orthrymder , eithr byddwch o confort da : mivi a ’orchyvygeis y byt .
