43:7:001:1	Pen . vij .
43:7:039:0	( Hyn a ddyvawt ef a’m yr Yspryt yr hwn a dderbynynt yr ei a gredent yndo ef : can ys yd hynn nyd oedd doniæ yr Yspryt glan vvedy ei rhoddi o bleit na ðaroedd eto gogoneddu yr Iesu )
43:7:040:0	Llaweroedd can hyny o’r popul , pan glywsant yr ymadrodd hwn , a ddywedesont , Yn wir hwn yw’r Prophwyt .
43:7:041:0	Ereill a ddywedesont , Hwn yw’r Christ : a’r ei a ddywedent , Ac a ddaw ’r Christ o’r Galilaia ?
43:7:042:0	Any ddywait yr Scrythur ’lan may o had Dauid , ac o dref Beth‐lechem , lle ydd oedd Dauid y dawr’r Christ ?
43:7:043:0	Ac ydd oedd ymryson ym‐plith y popul oy bleit ef .
43:7:044:0	A’r ei hanaddynt a vynesent y ddaly ef , eithyr na roddei nebun ddwylaw arnaw .
43:7:045:0	Yno y daeth swyddogion at yr Archoffeirieit ar Pharisaieit , ac y dywedesont wrthwynt , Paam na ddugesoch ef ?
43:7:046:0	Atep o’r swyddogion , Nyd ymddiddanawdd gwr erioed val y gwr hwn .
43:7:047:0	Yno ydd atepawdd y Pharisaieit , A dwyllwyt chwitheu hefyd ?
43:7:048:0	A gredavvdd neb or pennaethieit nei o’r Pharisaieit yndo ef ?
43:7:049:0	Eithyr y werin hyn , a’r nyd edwyn y Ddeðyf , ynt vellticedic .
43:7:050:0	Dywedyt o Nicodemus wrthynt , ( yr hwn a ddaethei at yr Iesu o hyd nos ac oedd vn o hanynt . )
43:7:051:0	A varn ein Deddyf ni nebun nes nag yddi yn gyntaf ei glywet , a’ gwybot pa beth a wnaeth ef ?
43:7:052:0	Wytheu a atepesont ac a ddywedesont , wrthaw Yw‐tithe hefyd o’r Galilaia ? Chwilia a’ gwyl : can ys o’r Galilaia ny chyfyt vn Prophwyt .
43:7:053:0	A’ phawp aeth yw duy yhunan .
