43:10:001:1	Pen . x .
43:10:015:0	Mal yr edwyn y Tat vyvi , velly ydd adwaen i y’r Tat : a’ mi a ddodaf vy eneit dros vy‐deveit .
43:10:016:0	Ac y mae y mi ddefait eraill , yr ei nid ynt or gorlan hon : a’ rhait i mi areiliaw yr ei hynny , ac wy a wrandawant vy lleferydd : Ac e vydd vn gorlan ac vn bugail .
43:10:017:0	Am hyn y car vy‐Tat vivi , can y mi vot yn dodi vy einioes y lavvr , val ey cymerwyf hi drachefyn .
43:10:018:0	Ny ddwc neb hi o ddyarnaf , eithyr mi ai dodaf hi y lavvr , ac mae i mi veðiant y’vv dodi hi ylavvr , ac mae ym’ veddiant y’w chymmeryd drachefyn : y gorchymyn hwn a dderbyniais y gan vy‐Tad .
43:10:019:0	Yno y bu amrafael rhwng yr Iuddaeon am yr ymadroddion hyn .
43:10:020:0	A’ llawer o hanynt a ddywedent , Y mae cythrael ganthaw , ac mae wedy ynuydu : paam y gwrandewch ef .
43:10:021:0	Ereill a ddywedent . Nid yw ’r ’ein ’eiriau vn a chythrael ganthaw : a all y cythrael agori llygait y daillion ?
43:10:022:0	Ac ydd oeð hi yn vvyl y Cyssecr yn Cairusalem , a’r gayaf oedd hi .
43:10:023:0	A’r Iesu a rodiei yn y Templ ym‐porth Selyf .
43:10:024:0	Yno y daeth yr Iuddaeon oy amgylch ef , ac y dywedesont wrthaw , Pa hyd y peri i ni bedrusaw ? A’s ti yw ’r Christ , dyweid i ni yn eglur .
43:10:025:0	Yr Iesu a atepawdd , Dywedais y chwy , ac ny chredwch : y gweithredoedd yr yw vi yn gwneythu’r yn Enw vy‐Tat , yr ei hyny a destolaethant am dana vi .
43:10:026:0	Eithyr chwi ny chredwch : can nad ydych o’m deveit , mal y dywedais y chwy .
43:10:027:0	Y deueit mauvi a glywant vy llef i , a’ mi y adwaen hwy , ac wy am dilynant i ,
43:10:028:0	a’ mi a rof yddynt vuchedd tragyvythawl , ac nys cyfergollir wy byth , ac ny’s treisia nep wy y maes om llaw i .
43:10:029:0	Vy Tad yr hwn y rhoes vvy y‐mi , ys y vwy nag phavvb ol’ , ac ny’s gail’ nep y dwyn hwy al’ā o law vy‐Tat .
43:10:030:0	Mivi a’r Tat vn ydym .
43:10:031:0	Yno yr Iuddaeon drachefyn a godesont vain , yw lapyddiaw ef .
43:10:032:0	Yr Iesu a atepawdd ydd‐wynt , Llawer o weithredoeð da a ddangoseis ywch’ o ywrth vy‐Tat : am ba vn o’r gweithredoeð hyn y llapyddiwch vi ?
43:10:033:0	Yr Iuðeon a atepesōt iðo , gan ðywedyt , Am weithret da nid ym ith lapyddio , eithyr am gabledigaeth , ’sef am y ti yn ðyn , wnethur dy vn yn Dduw .
43:10:034:0	Yr Iesu y atepawdd wy , Anyd yw ’n scrifenedic yn eich Deddyf chvvi , Mi ddywedais , duwiae ytych ?
43:10:035:0	A’s galwawdd ef wy yn dduwiae ar yr ei ’n y bu gair Duw vvedy draethu , ac na ellir datdod yr Scrypthur‐’lan ,
43:10:036:0	a ddywedw‐chwi am dano yr hwn a sancteiddiawdd y Tat , ac ei danvonawdd ir byt , Ydd wyt yn cablu , o bleit dywedyt o hanof , Map Duw ytwyf ?
43:10:037:0	Anyd wyf yn gwneuthur gweithredoedd vy‐Tat , na chredwch vi .
43:10:038:0	Ac ad wyf vine yn ei gwneuthur , cyd na chredwch vi , eto credwch y gweithredoedd , val y gwybyddoch ac y cretoch , vot y Tat yno vi , a’ mine yndaw ef .
43:10:039:0	Yno drachefyn y ceisiesont y ddalha ef : ac ef a ðiangodd allan o’u dvvylaw hvvy ,
43:10:040:0	ac aeth drachefyn tros Iorddanen , i’r lle y bysei Ioan yn batyddio yn gyntaf , ac a arosawdd yno .
43:10:041:0	A’ llawer a ddaethant ataw , ac a ddywedent ny wnaeth Ioan vn gwyrth : eithyr pop peth oll ar a ddyvawd Ioan am y gvvr hwn , oeddent wir .
43:10:042:0	A’ llawer a gredesont ynddaw yno .
