43:4:001:1	Pen . iiij .
43:4:023:0	Eithyr dyuot y mae yr awr , ac ys owrhon y mae hi , pan yw ir gwir addolwyr addoly y Tat mevvyn yspryt a’ gwirioneð : can ys y Tat a vyn y cyfryw ’r ei y’w addoly ef .
43:4:024:0	Yspryt yw Duw , a’r sawl y a addolant ef , raid yddwynt ey a ddoli mevvyn yspryt a’ gwirionedd .
43:4:025:0	Dywedawð y wraic wrthaw Gwn i y daw Messias , ys ef yr hwn a elwir Christ : gwedy y del hwnw , ef a venaic y ni bop peth oll .
43:4:026:0	Dywedyt o’r Iesu wrthei , Ys mi yw yr hwn a ddywait wrthyt .
43:4:027:0	Ac yn hyn y daeth ey ddiscipulon , ac a ryveddasont y vot ef yn ymddiddan a gwraic : ny ddyvot neb hagen wrthaw , Beth a gaisy ? ’nai paam yr ymddiðeny a hi ?
43:4:028:0	Yno y gadawdd y wraic hei dvvfr steen , ac aeth ymaith ir dinas , ac a ddyuot wrth y dynion yno ,
43:4:029:0	Dewch , gwelwch wr a ddyuot i mi gymeint oll ar a wnaethym . Anyd hwn yw’r Christ ?
43:4:030:0	Yno myned o hanynt allan or dinas , a’ dyuot ataw .
43:4:031:0	Yn cyfamser , ydd archei y discipulon iddo , gan ddywedyt , Rabbi , bwyta .
43:4:032:0	Ac ef a ddyuot wrthynt . Mae y mi vwyt y’w vwyta , a’r ny wyddo‐chwi .
43:4:033:0	Yno y dyuot y discipulon wrth ei gylydd , A dduc nep yddo vwyt ?
43:4:034:0	Yr Iesu a ddyuot wrthynt , Vy‐bwyt i yw gwneuthu ’r ewyllys yr hwn a’m danvonawdd i , a’ gorphen y waith ef .
43:4:035:0	A ny ddywedw‐chwi , Mae etwa petwar‐misic , ac yno y daw ’r cynayaf ? Nychaf , y dywedaf y chwi , derchefwch eich llygaid , ac edrychwch ar y broydd : can ys gwynion ynt eisus ar gynayaf .
43:4:036:0	A’r hwn a gynayafa a dderbyn gyfloc , ac a gynull ffrwyth i vywyt tragyvythawl , mal y bo ac ir hwn a heuo , ac ir hwn a gynayafa gael gydlawenechu .
43:4:037:0	Can ys yn hyn y mae’r gair yn wir , Mai vn a heuha , ac arall a ved .
43:4:038:0	Mi a’ch danvoneis chvvi i vedi yr hyn ny’s llafurieso‐chwi vvrtho : eraill a lafuriesont , a’ chwitheu a aethoch y’w llafur hwy .
43:4:039:0	Yno llawer o’r Samarieit o’r dinas hono a gredesont ynddaw , o bleit hyn a ddywedawdd y ’wraic yr hon a destolaethesei , Ef a ddyuot i mi gymeint oll a’r a wnaethym .
43:4:040:0	A’ phan ðaeth y Samarieit ataw , yð atolygesant yddaw , ar aros y gyd a hwy : ac ef a arosawdd yno ddau ddiwarnot .
43:4:041:0	A’ mwy o lawer o gredesont o bleit hyn a ddywedawdd ef ehun .
43:4:042:0	Ac wy a ddywedesōt wrth y wreic , Nid ym yn credu weithian o bleit a ddywedais‐ti : can ys ni a ei clywsom ef ynunain , ac a wyddam mai hwn yn ddiau yw ’r Christ ’sef Iachawdur y byd .
43:4:043:0	Velly a’r ben y ddau‐ddyð ef aeth ymaith o ddyno , ac aeth ir Galilaia .
43:4:044:0	Can ys‐ef yr Iesu a destolaethesei , na chae Prophwyt anrydeð yn ei wlat ehun .
43:4:045:0	Yno wedy y ddyuot i’r Galilaia , yd erbynynt y Galilaieit ef , yr ei a welesont yr oll pethe a wnaethoeddoedd ef yn‐Caerusalem ar yr wyl : can ys wy hefyt a aethent ir ’wyl .
43:4:046:0	A’r Iesu a ddaeth drachefyn i’r Cana tref yn-Galilaia , lle gwnaethoeddoedd ef y dwfr yn ’win . Yr Euāgel yr xxi . Sul gwedy Trintot . ¶ Ac yð oeð ryw Pendevic ac yðaw vap yn glaf yn‐Capernaum .
43:4:047:0	Pan glypu ef ddyuot Iesu o’r Iudaia i’r Galilaia , ydd aeth ef ataw , ac a atolygawdd yddaw ddyvot i waret , ac iachay y vap ef , can ys ydd oedd e wrth vron marw .
43:4:048:0	Yno y dyvot yr Iesu wrthaw , A ny welwch arwyddion a ’ryveddodae , ny chredwch .
43:4:049:0	Y pendevic a ddyuot wrthaw , Arglwydd , dyred i wared cyn marw vy map .
43:4:050:0	Yr Iesu a ddyvot wrthaw , Does ymaith , y mae dy vap yn vyw : a’ chredawdd y dyn y gair a ddywedesei’r Iesu wrthaw , ac aeth ymaith .
43:4:051:0	Yr awrhon ac ef yn mynet i wared , y cyfarvu ei wasanaethwyr ac ef , ac y vanegosont , gan ðywedyt , Mae dy vap yn vyw .
43:4:052:0	Yno y gofynawdd ef yddwynt yr awr y gwellaesei arnaw . Ac wy a ðywedesont wrthaw , Doe y seithfet awr y gadawdd y cryd ef ,
43:4:053:0	Yno y gwybu’r tat ddarvot yn yr awr hōno y dywedesei ’r Iesu wrthaw , Mae dy vap yn vyw A’ chredy a wnaeth ef , a’ ei oll tuy .
43:4:054:0	Yr ail miragl hynn a wnaeth yr Iesu drachefyn , wedy y ddyvot ef o’r Iuddaia i’r Galilaia .
