43:12:001:1	Pen . xij .
43:12:028:0	Y Tat , gogonedda dy Enw . Yno y daeth llef or nef , gan ddyvvedyt , A’u gogoneddais , ac au gogoneddaf drachefyn .
43:12:029:0	Yno y popul oedd yn gorsefyll , ac yn yn clywet , a ddyvot mai taran ytoedd hi : yr‐eill a ddywedent , Angel a lavarawdd wrthaw .
43:12:030:0	Yr Iesu atepoð ac a ðyvot , Ny ðaeth y llef hon o’m pleit i , eithr er ych mwyn chwi .
43:12:031:0	Yr owrhon y mae barn y byt hwn : yr owrhō y tevlir allan tywysoc y byt hwn .
43:12:032:0	A’ mi o’m derchefit or ðaiar , a dynnaf bavvp oll atafinef .
43:12:033:0	A’ hyn a ðyvot ef , can arwyddocau o ba angae y byðei ef varw .
43:12:034:0	Y popul eu atepoð , Nini a glywsam o’r Ddeðyf , yr aros y Christ yn tragyvythol : a’ pha voð y dywedy di , vot yn ðir derchavel y Map y dyn y vynyð ? pwy ’n yw’r Map y dyn hwnw ?
43:12:035:0	Yno y dyuot yr Iesu wrthynt , Eto ychydic enhyt y mae’r goleuni y gyd a chwi : rodiwch tra vo y chwy ’oleuni , rac dyvot y tywyllwch ar eich gwartha ; can ys hvvn a rodia yn y tywyllwch , ny wyr i b’le ydd a .
43:12:036:0	Tra vo’r goleuni y chwy , credwch yn y goleuni , val y boch yn blant i’r goleuni . Y pethe hyn a adroddodd yr Iesu . ac aeth ymaith , ac a ymguddiodd y wrthwynt .
43:12:037:0	A’ chyd gwneuthur o hanaw gymeint o wrthiae geyr y bron hwy , eto ny chredent vvy yndo .
43:12:038:0	Mal y cyflawnit ymadrodd Esaias y Prophwyt , yr hwn a ddyvot ef , Arglwydd pwy a gredawdd y ’n ymadrodd ni ? ac y bwy ’n datguddiwyt braich yr Arglwydd ?
43:12:039:0	Am hyny ny allent vvy gredu , can i Esaias ddywedyt drachefyn ,
43:12:040:0	Ef a ddallawdd y llygait wy , ac a galedawdd ei calonae , val na welent a ei llygait , ac na ðyallent a ei calonae , ac ymymchwelyt vvy , ac y mi y iachau hwy .
43:12:041:0	Y pethae hyn a ddyvot Esaias pan welawdd y ’ogoniant ef , ac yr ymadroddawdd am danaw .
43:12:042:0	Er hyny ac o’r pennadurieit llawer a gredesont yndaw : eithyr o bleit y Pharisaieit , ny’s cyffessesont vvy ef , rac eu rhoi allan o’r Synagog .
43:12:043:0	Can ys‐carent voliant dynion yn vwy na moliant Duw .
43:12:044:0	A’r Iesu a lefawdd , ac a ddyvot , a gred yno vi , ny chred yno vi , eithyr yn hwn am danvonawdd i .
43:12:045:0	A’m gwel i , a wel hwn am danvonawdd i ,
43:12:046:0	Mi a ðeuthym yn ’oleuni i’r byt , val y bo y bwy bynac a gred yn o vi , nad aroso yn y tywyl’wch .
43:12:047:0	Ac a’s clyw neb vy‐geiriae , ac ny chred , mi ny’s barna ef : can na ddaethym’ i varnu ’r byt , eithyr y iachau ’r byt .
43:12:048:0	A’m gwrthoto i , ac nyd erbynio vy‐geiriae , y mae iddo vn a ei barn : y gair y adroddeis i , hwnw y barn ef yn y dydd dyweðaf .
43:12:049:0	Can ys mi nyd ymadroddeis o hanaf vyhun : eithyr y Tat yr hwn am danvonawdd i , efe a roes i mi ’orchymyn pa beth ddywedwn , a’ pha beth a ymadroddwn .
43:12:050:0	A’ mi wn vot y ’orchymyn ef yn vywyt tragyvythol : y pethe gan hyny ’r wy vi yn ei ymadrodd , a ymadroddaf megis ac y dyweddawdd y Tat y‐my .
