43:5:001:1	Pen . v .
43:5:023:0	Yny bo i bawp anrydeðy y Map , mal yr anrydeddant y Tat : hwn nid yw yn anrydeddu ’r Map , nid yw hvvnvv yn anrydeddu ’r Tat , yr hvvn yd anvonawdd ef .
43:5:024:0	Yn wir , yn wir y dywedaf y chwi , yr hwn a clyw vy‐gair , ac a gred yn hwn a’m danvonawdd , y mae yddaw vywyt tragyvythawl , ac ny ddaw i varn , eithyr ef aeth ffwrdd o yvvrth angae i’r bywyt .
43:5:025:0	Yn wir , yn wir y dywedaf y chwi , y daw yr amser , ac yrowan yw , pan glyw ’r meirw lef Map Duw : a’r sawl a ei clywant , a vyddant vyw .
43:5:026:0	Can ys megis y mae ir Tat vywyt ynddo y hun , velly hefyt y rhoddes ef i’r Map vot iðo vywyt ynddo y hun .
43:5:027:0	Ac a roep y‐ddaw veddiant do y roi barn : can y vot ef yn vap dyn .
43:5:028:0	Na ryveddwch hyn : can ys‐daw yr awr yn yr hon y bydd ir sawl oll ynt yn y beddae , glywet y leferydd ef .
43:5:029:0	Ac e ddaw allan , yr ei a wnaethant dda , i gyfodiadigeth bywyt : a’r ei a wnaethant ddrwc i gyfodiadigaeth barn .
43:5:030:0	Ny alla vi wneuthur dim o hanof vy hunan : mal y clywaf , y barnaf : am barn i ’sy gyfion , can na cheisiaf vy ’wyllys vy hun , eithyr ewyllys y Tat yr hwn a’m danvonawdd i .
43:5:031:0	A’s testolaethwn am dana vy hun , nyd oedd vy‐testiolaeth i gywir .
43:5:033:0	Chwichvvi a ddanvonesoch at Ioan , ac y ef a destolaethawdd ir gwirionedd .
43:5:034:0	A’ mi ny chymeraf destoliaeth y gan ddyn : eithyr y pethe hyn a ddywedaf , val yr iachaijr chwi .
43:5:035:0	Efe oeð ganwyll yn Lloscy , ac yn tywynu : a chwi chvvi a vynesech dros amser ymlawenychu yn y lewych ef .
43:5:036:0	Eithyr y mae i mi testoliaeth mwy na thestolaeth Ioan : can ys y gweithredoedd a roes y Tat i mi y’w gorphen , ’sef y gweithredoedd hyny , a’r ydd wy vi yn ei gwneythur , a testolaethant am dana vi , may’r Tat am danvonawdd .
43:5:037:0	A’r Tat yntef , yr hwn am danvonawdd , a destolaetha am danaf . Ny chlywsoch y leferydd ef vn amser , ac ny welsoch ei wedd .
43:5:038:0	A’ y ’air ef nyd yw ychwi yn aros ynoch : can ys yr vn a ddanvonoð ef , hwnw ny chredwch .
43:5:039:0	Chwiliwch yr Scrypthurae : can ys ynthwynt hvvy y tybiwchwi y ceffwch vywyt tragyvythawl a’ hwy ynt yr ei a destolaethant am dana vi .
43:5:040:0	Ac ny ddewchwi ata vi , y gaffel o hanoch vywyt .
43:5:041:0	Ny dderbyniaf vawl y gan ddynion .
43:5:042:0	Eithr mi ach adwaen , nad oes genychgariat Duw ynoch .
43:5:043:0	Myvi a ðaethym yn Enw vy‐Tat , ac ni’m derbyniwch vi : a’s arall a ddaw yn y enw hun , hwnw a dderbyniwch .
43:5:044:0	Pa voð y gellw‐chwi gredu , a’ chwi yn derbyn anrydedd y gan y gylydd , eb ychvvy gaisiaw ’r anrydedd y sydd o Dduw yn vnic ?
43:5:045:0	Na thybiwch y cyhuðaf vi chwi wrth vy‐Tad : y mae vn a’ch cyhudda chvvi ’sef Moysen , yn yr hwn yr ymðiriedw chwi .
43:5:046:0	Cans pe’s credyssech Moysē , chvvi am credyssech inef : can ys o hano vi ydd escrivenawdd ef .
43:5:047:0	Ac a ny chredwch ei yscrifennae ef , py ’wedd y credwch vy‐gairiae i ?
