43:1:001:1	Pen . j .
43:1:035:0	Tranoeth y safawdd Ioan , a’ dau o ei ddiscipulon :
43:1:036:0	ac a edrychoð ar yr Iesu yn gorymðaith , ac a ddyuot , Wely yr oen Duw .
43:1:037:0	Yno clybot o’r ðau ddiscipul ef yn ymadrodd , a’ dilyn yr Iesu .
43:1:038:0	A’r Iesu a droes , ac y gwelawdd hwy yn dilyn , ac a edyuot , wrthwynt , Pa beth a geisiwch ? A’ hwy a ddywedesont wrthaw Rabbi ( yr hyn o ei ddeongl yw , Athro , p’le ðwyt yn trigio ?
43:1:039:0	Dywedawð wrthynt , Dewch , a’ gwelwch . Daethant , a’ gwelesant lle yr oedd ef yn trigiaw , ac aros a wnaethant y gyd ac ef y diernot hwnw : can ys ydd oedd hi yn‐cylch y ddecved awr .
43:1:040:0	Andreas , brawt Simon Petr , oedd vn o’r ddau a glywsent y gan Ioan , ac y dilynesent ef .
43:1:041:0	Hwn yma a gafas , y vrawt Simon yn gyntaf , ac a ddyuot wrthaw , Ys cawsam y Messias , yr hwn o ei ddeongl , yw y Christ .
43:1:042:0	Ac y duc ef at yr Iesu . A’r Iesu a edrychawdd arnaw , ac a ddyuot , Ti yw Simon vap Ioan : ti a elwir Cephas , yr vn wrth ddcongl yw maen .
43:1:043:0	Tranoeth yr wyllesei ’r Iesu vyned i Galilaia , ac y cafas ef Philip , ac y dyuot wrthaw , Dilyn vi .
43:1:044:0	A’ Philip oeð o Bethsaida , dinas Andreas ac Petr .
43:1:045:0	Cahel o Philip Nathanael a’ dywedyt wrthaw , Ys cawsam hvvn yscrifennawdd Moysen o hanaw yn y Ddeddyf , ef , a’r Prophwyti , ’sef Iesu o Nazaret map Ioseph .
43:1:046:0	Yno y dyuot Nathanael wrthaw , ’All dim da ddyvot o Nazaret ? Dywedyt o Philip wrthaw , Dyred , a’ gwyl .
43:1:047:0	Iesu a welas Nathanael yn dyvot ataw , ac a ddyuot , am dano , Wely , yn ddiau Israeliat , yn yr hwn ny d oes dichell .
43:1:048:0	Dywedei Nathanael wrtho , O b’le yr adnabuost vi ? Yr Iesu atepawdd ac a ddyuot wrthaw , Cyn na galw o Philip dydi , pan oeddyt ’y dan y fficuspren , mi ith welwn .
43:1:049:0	Nathanael atepawdd , ac eb yr ef wrthaw , Rabbi , ti yw yr Map Duw : ti yw yr Brenhin yr Israel .
43:1:050:0	Iesu atepawdd ac a ddyuot wrthaw , Can ddywedyt o hanof y‐ty , Mi ath welais ydan y fficuspren , y credy ? cai weled pethae mwy na ’rein .
43:1:051:0	Ac ef a ddyuot wrthaw , Yn wir , yn wir dywedaf y‐chwy , Ar ol hyn y gwelwch y nef yn agoret , a’r Angelon Duw yn escend , ac yn descend ar y Map y dyn .
