43:11:001:1	Pen . xj .
43:11:045:0	Yno llawer o’r Iuddaeon , y ddaethent at Vair , ac a welesont y pethe , ’rei wnaethoedd yr Iesu , a gredesont yndo ef .
43:11:046:0	An’d ’rei o hanynt aethant ymaith at y Pharisaieit , ac a ddywedesont ydd‐wynt y pethe a wnaethoedd yr Iesu .
43:11:047:0	Yno y cynullawð yr Archoffeiriait a’r Pharisaieit synneðr , ac ey dywedesōt , Pa beth a wnawn ; can ys y mae’r dyn hwn yn gwneythur llawer o wyrthiae .
43:11:048:0	A’s gadwn yddo val hyn , pavvp oll a credant ynddo , ac yddaw y Ruueinwyr , ac a gymerant ymaith a’ ein lle , a’r genedl hefyt .
43:11:049:0	Yno vn o hanaddynt a elvvit Caiaphas , vn oedd Archoffeiriat y vlwyðyn hono , a’ ddyuot wrthwyut . Nyd y‐chwi yn dyally dim oll ,
43:11:050:0	ac nyd ych yn ystyried y llesa i ni , bot marw vn dyn tros y popul ac na chyfergoller yr oll genetl .
43:11:051:0	Hyn a ddyvod ef nyd o hano yhun : eithyr can y vot yn Archoffeiriat y vlwyddyn hono y prophwytawdd ef y byddei ’r Iesu varw tros y genetl :
43:11:052:0	ac nyd tros y genetl yn vnic , eithr ar vot yddaw gascly hefyt ynghyd yn vn blant Dew yr ei a ’oyscaresit .
43:11:053:0	Yno or dydd hwnw allan y cyd ymgygcoresont , , yw ddienyddu ef .
43:11:054:0	Iesu gan hyny ny rodiawdd mwyach yn gyoeddus ym‐plith yr Iuddæon , eithyr mynet o ddyno y wlat ysydd yn agos i’r diffaithvvch , y ddinas a elwir Ephraim , ac aros yno y gyd au’ ddiscipulon .
43:11:055:0	A’r Pasc yr Iuddæon oedd yn agos , a’ llawer o’r wlat aeth y vynydd y Cairusalem o vlaen y Pasc , yr ymlanhay .
43:11:056:0	Yno y ceisiesont vvy ’r Iesu , ac a ddywedent wrth y gylydd , ac wy yn sefyll yn y Templ , Beth a dybywchwi , can na ddaw ef ir wyl ?
43:11:057:0	Ac e roesei ’r Archoffeirieit a’r Pharisaiait hefyt ’orchymyn , a’s gwyðiat neb p’le ydd oedd ef ar ddangos o hanaw , val y gallent y ddalha ef .
