43:3:001:1	Pen . iij .
43:3:023:0	Ac ydd oedd Ioan hefyt yn batyddiaw yn Ainon geyr llaw Salim , can ys bot dyfredd lliosawc yno : a’ daethant vvy , ac eu betyddiwyt .
43:3:024:0	Can na vwriesit eto Ioan yn‐carchar .
43:3:025:0	Yno y bu ’orchest rhwng discipulon Ioan a’r Iuddaeon , yn‐cylch purhau .
43:3:026:0	A’ daethwynt ad Ioan , ac a ddywedesont wrthaw , Rabbi , hwn oedd y gyd a thi y tu hwnt i Iorddonen , i’r vn y testolaethais‐ti , nycha , y batyddia ef , a’ phawp oll ’sy yn dyuot attavv .
43:3:027:0	Ioan a atepawdd , ac addyuot , Ny aill dyn dderbyn dim a ny’s roddir yddaw o’r nef .
43:3:028:0	Chwychwi ychunain ydyw vy‐testion i , ar ddywedyt o hano vi , Nyd mi yw yr Christ , eithr darvot vy’n anvon o y vlaen ef .
43:3:029:0	Hwn ’sy iddo ddyweddivvreic , y w’r dyweddiwr : a’ char y dyweðiwr yr hwn a saif ac y clyw ef , a lawenha yn vawr , o bleit llef y dyweddiwr . Y llawenydd hyn meu vi gan hyny a gyflawnwyt .
43:3:030:0	Raid yðaw ef ymangwanegy , ac y minef ymleihau .
43:3:031:0	Hwn a ddaeth o dduchod , ysy goruwch pavvp oll : hwn ysy o’r ddaiar , y sy o’r ddayar , ac o’r ddaiar yr ymadrodd : hwn a ddaeth o’r nef y sy goruch pavvp oll .
43:3:032:0	A’ hyn a welawdd ac a glywawdd , hyny a testolaetha ef : a’i destiolaeth ef ny dderbyn nebun .
43:3:033:0	Hwn a dderbyniavvdd y destiolaeth ef , ys ef a inseliawdd mai Duw ’sy gywir .
43:3:034:0	Can ys yr hwn a ddanvonawdd Duw , a lafara’ airiae Duw : can nyd wrth vesur y mae Duw yn rhodðy iddo yr Yspryt .
43:3:035:0	Y Tat a gar y Map , ac a roddes bop peth oll yn ey law .
43:3:036:0	Hwn a gred yn y Map , y mae iddo vywyt tragyvythawl , a’ hwn nyd vvyddhao i’r Map , ny wyl ef vywyt , anyd digofain Duw a erys arnaw .
