19:106:001:1	Ízrel dine'é éí nidaalteeh
19:106:030:0	Ákohgo Fíniyas yiizį'go yá nihwiiz'ą́ągo naałniih áhodiilzee'. 
19:106:031:0	Ákohgo éí oochííłgóó áádóó hool'áágóó t'áá ákogi ádziidzaago há bił éélta'.  
19:106:032:0	Náá'ákóne'é tó bíká saad hólǫ́ǫgi ánááhóót'įįdígíí biniinaa Bóhólníihii hach'į' báhóóchįįd; éí ákóhóót'įįdígíí Mózes bá nantł'a silį́į́', 
19:106:033:0	háálá Mózes yik'ee bił niiłch'iihgo ádayiilaa, áko t'áá na'níle'dii saad yee hahaasdzíí'.  
19:106:034:0	Ał'ąą dine'é hanaagóó kéédahat'ínígíí t'áá ałtso nidadoołtsxił, Bóhólníihii áhodííniidii éí t'áadoo ádadziidzaa da. 
19:106:035:0	Nidi ał'ąą dine'é bił ałtaa dajildeehgo éí yaa nidaakaígíí baa nidajikaigo bídahojiił'ą́ą́'. 
19:106:036:0	E'elyaii yich'į' nidahałáhígíí bich'į' nidahojiłáago éí biniinaa łoh biih jííyá nahalingo azajookai. 
19:106:037:0	T'áá aaníí, biye'ké índa bitsi'ké níłch'i bida'iiníziinii yich'į' náádayiisnii'. 
19:106:038:0	Biye'ké áádóó bitsi'ké nideistseedígíí t'áadoo yee ádidahodiilt'i'í da nidi, dabidił danílį́įgo ádayiilaa; éí Kéínan kéyahdi eda'alyaii yich'į' náádayiisnii'. Áko diłígíí bee kéyah t'óó baa'ih silį́į́'. 
19:106:039:0	Kót'éego yaa nidaakaígíí bee t'óó baa'ih daazlį́į́'. Ákódaat'į́įgo ałjiłniigi ádaadzaa. 
19:106:040:0	Áko índa Bóhólníihii bidine'é yich'į' báhóóchįįd. Bíí' danilíinii t'óó yaa'ih niizį́į́'. 
19:106:041:0	Ał'ąą dine'é yaa hodiní'ą́, áko hak'ee dadiniihígíí hondant'áá nít'éé'. 
19:106:042:0	Hoda'ana'í ałdó' hade ádahósingo biyaa jizhjaa'go áho'diilyaa. 
19:106:043:0	Lą'ídi yisdáhóónil, nidi nidahoji'áhígíí bee bich'į' nidajilteeh nít'éé', áko doo ákwii ádajíít'įįdii bee hadahojoobá'ígo ádaho'diilyaa. 
19:106:044:0	Azhą́ ákódzaa lá nidi, nídahookąąhgo jidiizts'ą́ą'go bich'į' nidahwii' nánígíí baa ákozniizį́į́'. 
19:106:045:0	Áádóó bibee aha'deet'áanii há yénáálnii'go aa a'ááh nízinii t'óó ahayóígíí bik'ehgo łahgo át'éego haa tsíńdeezkééz. 
19:106:046:0	Dahasnáanii t'áá ałtso haa a'ááh danízingo áyiilaa.  
19:106:047:0	Bóhólníihii nihiDiyin God nílíinii, yisdánihínííł. Ał'ąą dine'é bitahdę́ę́' áłah ánánihídlééh, áko nízhi' diyinii bee danííníijíigo nich'į' ahééh daniidzin doo áádóó nihił dahózhǫ́ǫgo naa dahwii'niih doo. 
19:106:048:0	Hool'áádę́ę́' áádóó ahóyéel'áágóó Bóhólníihii, Ízrel dine'é biDiyin God nilíinii baa ha'niih le'! Áádóó diné t'áá ałtso, T'áá ákót'ée doo, daaníi le'! Bóhólníihii baa dahohniih! 
