19:107:001:1	Bóhólníihii éí ach'į' nahwii'ná yits'ą́ąjį' yisdá'iinííł
19:107:018:0	Ch'iyáán t'áá ałtso deiz'įįd, k'asdą́ą́' daneezná. 
19:107:019:0	Áko índa bich'į' nidahwii'náago Bóhólníihii nídayookąąhgo tsístł'adahaaskaii yits'ą́ąjį' yisdáyíínil. 
19:107:020:0	Hane' yich'į' áyiilaago hadaałt'é áńdayiidlaa áádóó áho'niidįįd yę́ę bits'ą́ąjį' yisdáhóónil. 
19:107:021:0	Bóhólníihii aa a'ááh nízinígíí áádóó t'óó bik'eda'ayóii diné bada'áłchíní yá yaa naayáhígíí yaa dahaniih laanaa! 
19:107:022:0	Ahééh danízingo nááhániihii náádayiiłniih le'! Áádóó bił dahózhǫ́ǫgo baa nijiyáhígíí yaa dahalne' le'! 
19:107:023:0	Tónteel bikáá'góó ahaa na'iiniih yaa nidaakai doo biniyé tsinaa'eełtsoh yiih dahakáahii 
19:107:024:0	éí Bóhólníihii áyoolíłígíí índa táyi'góó t'óó bik'eda'ayóigo ó'ooł'įįłígíí dayoo'į́. 
19:107:025:0	Háálá níyol yich'į' hahadziihgo éí tó náádadiidáahgo ííł'į́įgo 
19:107:026:0	hoł wót'ááh néí'ááh áádóó níléí góyaa hoł taah náyii'aah, áko hach'į' nidahwii'nánígíí hoł áńdahadįįh. 
19:107:027:0	Adláanii nahalingo nidazhnit'i áádóó naanídazhnéekaad índa t'áadoo ánáádajó'ne'é da. 
19:107:028:0	Áko índa bich'į' nidahwii'náago Bóhólníihii nídayookąąhgo tsístł'adahaaskaii yits'ą́ąjį' yisdáyíínil. 
19:107:029:0	Ayóogo níyolígíí ííyolgo áyiilaa, áko tó náádadiidáhígíí ádahodiilzee'. 
19:107:030:0	Ákohgo hodiiyeelígíí baa hoł dahóózhǫǫd áádóó táts'áda'diil'oł dazhnízingo da'jíł'eeł yę́ęjį' táłts'áházh'eezh. 
19:107:031:0	Bóhólníihii aa a'ááh nízinígíí áádóó t'óó bik'eda'ayóii diné bada'áłchíní yá yaa naayáhígíí yaa dahaniih laanaa! 
19:107:032:0	Diné áłah nilį́įgi baa dahaniih le'! Aląąjį' naazíinii áłah danilį́įgi baa dahaniih le'! 
19:107:033:0	Tooh danílínígóó dahonoojíigo áyoolííł. Tó hadaazlínígóó dahóółtseigo áyoolííł. 
19:107:034:0	T'áadoo le'é nidant'ą'ígóó tááníí' hadaasgaigo áyoolííł; ákwii kéédahat'íinii doo yá'ádaashónígíí biniinaa ákót'éego áyoolííł. 
19:107:035:0	Honoojíígóó tó naazką́ągo áyoolííł. Hazgango haz'ą́ągi tó hadaazlį́įgo áyoolííł. 
19:107:036:0	Dichin danilíinii ákwii kéédahat'į́įgo áyoolííł, áko ákwii kin haal'á yii' kéédahat'į́į dooígíí ádeidoolííł. 
19:107:037:0	Áádóó dá'ák'ehgóó k'ééda'didlééh áádóó ch'il na'atł'o'ii k'éédeididléehgo t'áá doozhǫǫgo nínáda'niłt'į́į́h. 
19:107:038:0	Yik'ijidlíhígíí bee t'áá íiyisí k'ee'ąą noot'į́į́ł, áádóó bibéégashii éí doo ła' bits'ą́ą́' bi'oh dooleełgóó yá yaa áhályą́. 
19:107:039:0	Náánáłahgo hade ádahólzingo áádóó atídaho'dil'į́įgo índa yínííł dajílį́įgo ájíłch'į́dí dadzizlį́į́' áádóó hadahojoobá'í ádaho'diilyaa. 
19:107:040:0	Naat'áanii danilíinii t'óó daho'didláashgo honoojíidi doo nida'aztiindi t'áá ádzaagóó t'óó ahii' naaníjookah nít'éé'. 
19:107:041:0	Nidi bich'į' nidahwiiłnáanii bits'ą́ą́dóó badahojoobá'íii néidiyiiłjeeh áádóó dibé deíl'á nahalingo bada'áłchíní k'ee'ąą noot'į́įłgo áyoolííł. 
19:107:042:0	Diné t'áá ákogi ádaat'éii éí dayiiłtséehgo bił nidahoozhǫǫh łeh. Nidi diné doo ákwii ádaaníiłii t'áá ałtso dabidi'doolyił. 
19:107:043:0	Hojíyáanii díidí t'áá ałtso baa ákoznízin doo áádóó Bóhólníihii aa a'ááh nízinígíí baa nitsídzíkees doo.
