46:7:001:1	Nihłeedhidii Nąįį
46:7:012:0	Zhit juu gwik'injiighit nąįį gwik'injiighit kwaa eegaadii nąįį, K'eegwaadhat Jesus jyaa dakhwa'in nyąą kwaa gaa shįį ąįį jyaa dakhwa'in nakhwaihnyąą. Dinjii gwik'injiighit ąįį tr'injaa gwik'injiighit kwaa eedhidii ts'ą' ąįį tr'injaa vihłeehoihshii kwaa yuunyąą ji', ąįį da'at duuyeh akhoonyąą goo'aii. 
46:7:013:0	Ąįįts'ą' tr'injaa gwik'injiighit chan vakai' gwik'injiighit kwaa ts'ą' vihłeehoihshi' yuunyąą kwaa ji', dakai' akhoonyą' shrǫ'! 
46:7:014:0	Tr'injaa gwik'injiighit inlii geh'an nakąį' gwik'injiighit kwaa K'eegwaadhat yak'ąąhtii t'oonchy'aa, ąįį gwik'it dinjii gwik'injiighit va'at gwik'injiighit kwaa gaa K'eegwaadhat yak'ąąhtii. Jii gwik'it t'oonchy'aa kwaa ji' gooyehghan gwik'injiighit kwaa nąįį gii giinlii k'it t'igiinchy'aa. 
46:7:015:0	Gaa ąįį ch'akai' akwat ch'a'at gwik'injiighit kwaa dakai' akwat da'at iłeehoihshi' nindhan ji' goo'at akwat gookai' gwik'injiighit zhat yuutą' shrǫ'! Gwik'injiighit, vakai' akwat va'at gwik'injiighit kwaa vihłeehoihdyaa kwaa yuunyąą ji'. Zhit juu gwik'injiighit yeedhidii gwat'aahchy'aa kwaa. Gaa nakąį' akwat na'at gwik'injiighit kwaa veehindyaa gwik'eegwiindaii, Vit'eegwijyąhchy'aa tsinehdan tr'oolį' diinoohnyąą. 
46:7:002:1	Vit'eegwijyąhchy'aa Nats'ąą Goiihndaii Noonyąą Gwik'it Gwiindaii
46:7:016:0	Vit'eegwijyąhchy'aa vik'injuhkhit ts'ą' nihk'it nakhwakai' haa dhoodii. Ąįį ji' duulee nakhwakai' gwik'injahohthaa. Ąįį gwik'it ch'akai' gwik'injiighit nąįį nakhwan t'ee nakhwa'at haa nihk'it dhoodii ji' duulee nakhwa'at gwik'injahohthaa t'oonchy'aa. 
46:7:017:0	Gwik'injiighit nąįį nijin gwik'injohkhit dhoodlit dąį' nats'ąą gǫhdaii chy'aa. Nihk'it jyąhts'ą' gǫhdaii, ąįįt'ee Vit'eegwijyąhchy'aa jyąhts'ą' gwaraheendaii diiniłtsąįį. Nijuk ihshyaa datthak gwik'injiighit nąįį tr'igiinkhii zheh nineedal nąįį jyaa aihnyąą t'oonchy'aa. 
46:7:018:0	Jii jyaa dihnyąą t'ihnyąą, Vit'eegwijyąhchy'aa dinjii Jews nilii Jesus tąįį hinkhaii ahnyąą ji' ąįį vatthąį' gihłeerihiłt'uu naagǫǫh'įį shrǫ' akwat Jew ihłii kwaa chan doiinyą' shrǫ'! Ąįį gwik'it Vit'eegwijyąhchy'aa Jews nilii kwaa Jesus vat'aii hinkhaii ahnyąą ji', jii dinjii datthąį' gihłeehaht'ii gwat'aahchy'aa kwaa. 
46:7:019:0	Dinjii vatthąį' gihłeehoht'uu gaa t'ohłii t'oonchy'aa kwaa, Vit'eegwijyąhchy'aa deediinahnyąą gwizhit gwik'it t'igwii'in dąį' łyaa shoo tr'ahtsii t'oonchy'aa. 
46:7:020:0	Vit'eegwijyąhchy'aa vik'injireheeghit gwehkįį dąį' nats'ąą gwarandaii ąįį nihk'it gwik'it juk gwik'injiriighit gaa gwarandaii ts'ąįį gwinzii. 
46:7:021:0	Nijin Vit'eegwijyąhchy'aa k'injuhjik dąį' zhyaa ch'itsyaa inlii ji' geenjit tr'agoiindii shrǫ'! Gaa jii dinjii nats'ą' k'eedeegwaadhat t'ohłii neehindii nahnyąą ji' gwizhrįh, t'oołii neehindyaa yuu. 
46:7:022:0	Dinjii gwik'injiheeghit gwehkįį dąį', dinjii ch'ihłee zhyaa slave nilii ji', gwik'injiindhat geh'an Christ Jesus ąįį dinjii ts'ą' k'eedeegwaadhat dhidlit. Ąįį gwik'it dinjii slave nilii kwaa ąįį gwik'injiighit dhidlit t'ee Christ vats'an inlii ts'ą' vitsyaa dhindlit t'oonchy'aa. 
46:7:023:0	Vit'eegwijyąhchy'aa nakhweenjit gwintsii goiinkwat ts'ą' ch'anky'aa tr'aanduu nakhwats'ą' k'eedeegwaadhat kwaa, Christ vats'an ǫhłįį, izhit geh'an dinjii jyaa dini'in nahnyąą ts'ą' Vit'eegwijyąhchy'aa shoohahtsyaa nahnyąą ji' gwik'it t'anoo'ya' shrǫ'! 
46:7:024:0	Shachaa nąįį, nijin Vit'eegwijyąhchy'aa vigii tr'iheelyaa geenjit aanaii diinahnyąą dąį' geeraadii akwat geeraadii kwaa ts'ą' Jews tr'inlii akwat Jews tr'inlii kwaa, ts'ą' ch'itsyaa akwat ch'itsyaa nilii kwaa nihk'it nats'ąą dinjii tr'inlii chy'aa tth'aii hee nihk'it dinjii tr'iheelyaa. 
46:7:025:0	Et'ee juk juu gwik'injiighit ts'ą' geegiilk'ii kwaa nąįį eegihihkhyaa, nijin K'eegwaadhat Jesus dzaa nankat dhidii dąį' juu veeraadii kwaa nąįį deeheechy'aa diinaiinyą' kwaa. Ąįį googaa K'eegwaadhat nats'ąą dinjii tr'iheelyaa shits'inyą' ts'ą' vit'eegwahahchy'aa geh'an nats'ahts'ą' gwinzii nakhwaagwahaldak. 
46:7:026:0	Juk gweendaa gwik'injiighit nąįį eenjit gwagwantrii, geh'an jii jyaa dakhwa'in nakhweenjit gweheezyaa, gwich'in nihthan. Juu veeraadii kwaa nąįį zhyaa jyaa diginchy'aa ji' gweheezyaa. 
46:7:027:0	Dinjii inlii ts'ą' ch'adąį' hee neeraadii ji' na'at akhooheenjyaa gwankeegoh'ya' shrǫ'. Ąįįts'ą' na'at kwaa ji'. neereheedyaa geenjit tr'injaa keegoh'ya' shrǫ'. 
46:7:028:0	Googaa tr'injaa oodhinjik ji', natr'agwaanduu ideenjit gwahtsii t'ini'in kwaa. Ąįįts'ą' chan shats'ą' ch'adanǫįįtł'oo dąį' tr'injaa veeraadii kwaa ąįį tr'oonjik ji' yu' shohnyąą? Ąįį geenjit gwatr'agwaanduu gwakwaa t'oonchy'aa. Gaa dinjii goonjii nąįį googwandaii gwizhit goovaa gwigweheetrii t'oonchy'aa gaakhwandaii. Ąįį nakhwaa gwigweheetrii gwits'į' t'anakhwaihnyąą. 
46:7:029:0	Shachaa nąįį, jii deihnyąą t'ihnyąą nakhwaagwahaldak. Jii nankat łyaa nahgwan gwizhrįh gwarandaii. Ąįįts'ą' deegwąhkhyuk dzaa nankat tr'iilk'įį ąįį zhyaa na'at kwaa geenjit ninjich'oiindhat shrǫ'. 
46:7:030:0	Deegwahtł'oo intree ts'ą' tr'igwiindii gaa nihk'it K'eegwaadhat veenjit tr'agwah'in. It'ee niighit kwaa naashrigweheechy'aa t'oonchy'aa gaanandaii. Gwik'injuhkhit ts'ą' gweedhaa datthak nakhwaa shroonchy'aa, gaa nakhwaa shrigweheechy'aa gwizhrįh gininjich'ohthat kwaa. K'eiich'ii ohkwat dąį', ąįį k'eiich'ii kwaii ch'andaa vininjich'ohthat shrǫ'. Yeendaa ji' duuyeh vakhwa'įį t'inchy'aa. 
46:7:031:0	Gwik'injiighit nąįį dzaa nankat gwik'eiich'ii haa gwinzii gwigweheendaii geenjit gwizhrįh gininjich'agahthat gwit'eegaahchy'aa kwaa. Jyąhts'ą' gwizhrįh juk dzaa nankat gwarandaii, gaa niighit kwaa gwats'ą' gwizhrįh t'igwii'in geh'an. 
46:7:032:0	Jidii datthak geenjit tr'agoiindii noihnyąą t'ihnyąą kwaa. Dinjii gwik'injiighit va'at kwaa dąį' K'eegwaadhat eenjit tr'agwahaah'ya' gwizhrįh gininjich'ahthat. K'eegwaadhat shoo ołtsyaa zhrįh yiindhan. 
46:7:033:0	Gaa dinjii gwik'injiighit va'at gwanlii dąį' ąįį dzaa nankat drin gwiteegwaanchy'aa nats'ąą gweheendaii zhrįh gininjich'ahthat. Da'at shoo ołtsyaa indhan geh'an. 
46:7:034:0	Ąįįts'ą' neekwaii ininjich'ahahthat geenjit dagwandaii haa nigwii'ąįį, K'eegwaadhat eenjit gwitr'it t'agwahah'yaa ąįįts'ą' da'at zhit shoohah'aa haa geenjit. Tr'injaa vakai' niindhat ts'ą' ch'ihłok gaa geedhidii kwaa chan K'eegwaadhat eenjit gwitr'it t'agwahah'yaa gwizhrįh gininjich'ahthat. Nats'ąą ninjich'agadhat ts'ą' deegii'in datthak K'eegwaadhat veenjit gwizhrįh t'asho'ya' giindhan. Gaa tr'injaa vakai' gwanlii ąįį drin gwit'eegwaanchy'aa nats'ąą gweheendaii zhrįh gininjich'ahthat. Dakai' shoo ołtsyaa yiindhan. 
46:7:035:0	Jii jyąhts'ą' nakhwats'ą' gihkhii dąį' nakhwats'ihnyąą t'ihnyąą, nakhweenjit gweheezyaa gwizhrįh gininjich'ałthat. Jyaa dakhwa'in dihnyąą t'ihnyąą kwaa, gaa K'eegwaadhat k'injiighit nąįį nats'ąą gwigweheendaii goo'aii gwik'it gǫhdaii nakhwaihnyąą t'ihnyąą. Gwik'iighai' nakhwats'ooghaii gwehee'aa kwaa haa K'eegwaadhat veenjit gwitr'it t'agahoh'yaa geenjit. 
46:7:036:0	Nakhwatee ch'ihłee vichi' eeraadii kwaa ts'ą' ninghit kwaa tr'ooheendal eenjit vaghaii hee lęįį yuunyąą ts'ą' gee'ołchyaa yuunyąą ji', geehahchyaa geenjit shrigwiinlii. Geehahchyaa geenjit tr'agwaanduu ni'in kwaa t'oonchy'aa. Tr'ooheendal geenjit t'oohłii t'oonchy'aa kwaa t'oonchy'aa. 
46:7:037:0	Dinjii deesho'ya' niindhan ąįį adakhai' gwik'it t'iizhik ji' adan deesho'ya' nindhan ąįį t'oohłii t'oonchy'aa kwaa. Dichį' gwantł'ołchyaa niindhan kwaa ji' yu'? Gwantł'eeyahchįį gwat'aahchy'aa kwaa t'inchy'aa. 
46:7:003:1	Tr'injaa Vakai' Niindhat Nąįį ts'ą' Ginkhii
46:7:038:0	Ąįįts'ą', dinjii vichį' tr'ooheendal geenjit shrigwinlik ji' gwinzii t'iheenjyaa. Akwat tr'oonjii yuunyąą kwaa ji' gaa gwandaa gweheezyaa. 
46:7:039:0	Tr'injaa, tr'oonjik ji' dakai' haa dhidii kwaa gaa nihk'it deegwąhkhyuk gwandaii gwizhit gahkhyuk datthak neegahoondal kwaa goo'aii, gaa vakai' yits'į' niindhat ji', neegoiinjii niindhan ji' K'eegwaadhat vindee ts'ą' t'oohłii t'oonchy'aa kwaa, dinjii ooheendal gwik'injiighit nilii ji' gwizhrįh. 
46:7:040:0	Ąįį gwik'iighai' jii jyaa dii'in ji' gaa gweheezyaa nihthan t'ihnyąą, geedhidii kwaa ji' ts'ąįį gwandaa vaashrigweheechy'aa. Jii jyaa dihnyąą dąį' Vit'eegwijyąhchy'aa va-Ch'anky'aa Shroodiinyąą nats'ahts'ą' niinjich'adhat ąįį k'it ninjich'ihthat gwich'in nihthan t'ihnyąą.
