25:1:001:1	Záíyan bi'disnáago yínííł nilį́
25:1:013:0	Wót'ááhdę́ę́' shits'in bii'jį' kǫ' yi'níłnii'go shik'eh deesdlį́į́'; shidááhgóó biih dideeshtałii neineesdizgo t'ą́ą́' kónáshiidlaa; shinaagi doo naagháhígóó áshiilaago shá bíighah doo shidziilgóó i'ii'aah. 
25:1:014:0	Bee haz'áanii héti'ii éí yishbizhgo ałk'ístasgo shizéédéeláago áádóó doo shidziilgóó áshiilaa. Bóhólníihii éí shi'ana'í doo bílák'ee haosha' át'éii yílák'ee shidíí'ą́. 
25:1:015:0	Kééhasht'į́ biníí'dóó Bóhólníihii éí diné dabidziilii shits'ą́ą́' yik'i naayá áádóó shitsíłkéí éí dabidi'dooljish biniyé dadine'é áłah áyiilaa; Júdah bitsi' ch'ikę́ę́h nilíinii ch'il na'atł'o'ii yiljizhígi át'éego Bóhólníihii hashjizh. 
25:1:016:0	Díí biniinaa yishcha; t'áá íiyisí shinák'eeshto' náálį́, háálá shíká adoolwołii doo deeghánídi shits'ą́ądi hólǫ́; ana'í bik'eh dadeesdlį́į'go biniinaa sha'áłchíní t'áá ádzaagóó ch'éékai. 
25:1:017:0	Záíyan k'ídeeshchidgo doo ła' habi'iyółníhí da. Jéíkab bídéét' i'go Bóhólníihii haadzíí'; hwe'ana'í danilíinii honás'áa doo. Jerúsalem éí hatahgi asdzání ąądii nilį́ nahalin. 
25:1:018:0	Bóhólníihii éí t'áá ákogi át'é; jó, bibik'eh ó'oo'níiłii bik'ijį' naasdzil. Ánihidishní, dine'é t'áá ánółtso da'íísółts'ą́ą'go yínííł nishłínígíí danół'į́; shich'eekę'í t'ah doo diné bee haleehii áádóó shitsíłkéí ałtso dabi'disnááh. 
25:1:019:0	Bił ałch'į' dah daashwo'ii hágo bidííniid, nidi éí shinda'azlo'; shá nááda'iiłniih nít'éé' yę́ę índa aląąjį' naazį́į́ nít'éé' yę́ę kin haal'áágóó ch'iyáán bee dahadziil dooleełii ch'ééh hadazhnitáago dichin dahóóghą́ą́'. 
25:1:020:0	Shoo, Bóhólníihii nílíinii, yéego shich'į' nahwii'náago shide áhoot'é; yínííł bik'ee shijéí neezgai, háálá t'áá íiyisí nich'į' nisisdzil. Tł'óó'góó diltłish bits'ą́ą́dóó yínííł hólǫ́; dahooghan góne' bik'ee da'dootsaałii hólǫ́. 
25:1:021:0	Ádił hanásdzołgo dashidiizts'ą́ą'go t'áadoo hashi'iyółníhí da. Shich'į' nahwii'náago shi'ana'í t'áá ałtso yaa dahodiizts'ą́ą́'; ákót'éego íinilaaígíí yaa bił dahózhǫ́. Baa hodoolzhishígíí baa ch'íhwííní'ánígíí baa honíyáago t'áá shígi ádajít'ée doo. 
25:1:022:0	Bíni'dii doo yá'áshǫ́ǫ́góó ádadziidzaii nidáahgi hólǫ́ǫ doo, índa t'áá shí bee haz'áanii héti'ii biniinaa áshiinilaaígi át'éego áhólééh, áko ádił hahasdzoołii t'óó ahayóigo bik'ee shijéí bąąh nahóókaad.
