44:4:001:1	Peter , John Haa Council Nąįį Ęhdaa Nagadhat
44:4:011:0	Jii t'ee Jesus veenjit jyąhts'ą' gwadanakhwatł'oo , ‘Zheh gwahtsii nąįį datthak , kii vaa zheh ndak gwehee'aa , ąįį kii nizįį nilįį kwaa k'it t'inchy'aa . Gaa ndaagwąą'ąį' dąį' , kii hil'ee dhidlit . ’ gwinyąą .
44:4:012:0	Dzaa nankak Jesus voozhri' zhit gwizhrįh neediirahahshii goo'aii . Vit'eegwijyąhchy'aa , nihky'aa nankak datthak gwizhit dinjii ch'ihłak gaa neediihahshii gwiłtsąįį kwaa . ” Peter jyaa goovahnyąą .
44:4:013:0	Peter , John haa łyaa geegavoltin kwaa gąą nihk'it gąąnjat kwaa haa ginkhii . Kwaiik'it k'eedeegwaadhat ts'an nilįį nąįį eenjit łyaa geegagoolii kwaa gwik'it gininjich'agahthat . Akhai' łyaa Jesus haa t'iginchy'a' gavaagiindaii .
44:4:014:0	Dinjii shrineegiinlik goovaanadhat gąąh'in , geenjit deegiheenjyaa gaagiindaii kwaa .
44:4:015:0	Jii geh'an , “ Jii zheh gwats'an cheekhwajyaa ! ” dzaa kwaiik'it gwats'ą' k'eedeegwaadhat nilįį nąįį googahnyąą . Ąįįtł'ęę nihłihtee ts'ą' gwintł'oo geenjit nihłaa giginkhii .
44:4:016:0	“ Jii dinjii nąįį deegooreheelyaa ? Łyaa gwigwee'in gwintsii t'igii'in , akwat nats'ahts'ą' goodirihęę'aa . Jerusalem gwizhit gwich'įį nąįį datthak jii ch'adąį' hee gaagiindaii , ts'ą' duuyeh jyaa digiizhik kwaa gwinyąą .
44:4:017:0	Zhyąą goorǫhjat ts'ą' chan ch'ihłok Jesus eenjit dinjii haa googwahaandak kwaa goorohtsyaa . Ąįįts'ą' ch'adanh gwich'in nąįį giiyeenjit neegweheetth'ak kwaa eenjit . ” jyaa dinihłagaanyąą .
44:4:018:0	Ąįįtł'ęę Peter , John haa nihdineegogąhchįį , “ Dinjii ch'ihłak gąą juk gwats'an Jesus eeneech'ahohchyaa ts'ą' veegwahoondak kwaa ! ” googahnyąą .
44:4:019:0	Peter , John haa jyaa googahnyąą , “ Juk dząą Vit'eegwijyąhchy'aa vandah , Vit'eegwijyąhchy'aa deediinahnyąą gwik'eegwarahahthat akwat nakhwan deediinohnyąą , ąįį gwik'eegwarahahthat ? Ąįį nakhwakhai' giky'uunjii .
44:4:020:0	Gąą diikhwan , jidii tr'agwah'ya' akwat tr'igwiitth'ak , ąįį geegwaraandak duuyeh akharagoonyąą t'oonchy'aa . ”
44:4:021:0	Ąįįtł'ęę chan gwintł'oo goozhit najat neegiin'ąįį ts'ą' gooneegiinjik . Dinjii neehidik kwaa ąįį neehidik neegiłtsąįį geenjit googwarahąąhshii giveenjit gogogwąh'ąįį kwaa . Dinjii nąįį datthak Vit'eegwijyąhchy'aa deegihił'ee geh'an .
44:4:002:1	Gwik'injiighit Nąįį T'aih Eenjit Khagidiinjii
44:4:022:0	Jii dinjii Vit'eegwijyąhchy'aa t'aih k'iighai' nihidik neehoodlit t'ee 40 years gwandaa nilįį t'agahnyąą .
44:4:023:0	Nijin gooneegiinjik dąį' , khants'ą' gwik'injiighit nąįį ts'eegoohoojil . Ch'anjaa kįh dilk'ii ąįįts'ą' giinkhih kįh dilk'ii nąįį nats'ąą deegavahnyąą datthak gavaa gwagwaandak
44:4:024:0	Nijin gwik'injiighit nąįį datthak geenjit gwigwiitth'ak dąį' , datthak khaihłok geenjit Vit'eegwijyąhchy'aa ts'ą' khagigideedi' , ts'ą' jyaa diginyąą , “ K'eegwiichy'aa datthak geenjit Vit'eegwijyąhchy'aa inlii . Zhee kat , nankak , chųų choh haa datthak gwizhit goodlii iłtsąįį inlii .
44:4:025:0	Diitsii David nakhwatsyaa nilįį ąįį Ch'anky'aa Shroodiinyąą k'iighai' nakhweenjit ginkhe' dąį' jii jyaa dinyąą , ‘Jaghaii dee aakin nąįį geenjit gwint'aiizhagąąnts'įį ? Jaghaii dee gwik'itgweheelyaa kwaa gaagiindaii gwizhit geenjitninjich'agadhat ?
44:4:026:0	Jii nankak k'eedeegwaadhat chohnąįį nich'itsagahahthat geenjit shrigwigwinlikąįįts'ą' k'eedeegwaadhat nąįįK'eegwaadhat , ts'ą' Va-Christ haanehts'į' nihłaa łigeeljil . ’
44:4:027:0	“ Jii łyaa gwik'it t'igwiizhik , gaagwiindaii . Ąįįts'ą' Nidinji' shroodiinyąą Jesus , dinjii neehahshii heelyaa geenjit thok videegwadǫǫhkii . Jii kwaiik'it gwachoh gwizhit Herod Antipas , ts'ą' Pontius Pilate , Jews gwich'in nąįį , Jews nilįį kwaa nąįį haa łigiiljil , “ Tr'ahahkhwaa ! ” giiyahnyąą eenjit .
44:4:028:0	Deenaa dąį' nats'ahts'ą' deegwehee'yaa gavaiinyąą chy'ąą . Ąįį łąą gwik'it t'igee'ya' .
44:4:029:0	K'eegwaadhat , juk diigahąąhjat eenjit jyaa diigahnyąą , ąįį gavoodǫǫhk'įį . Nitsyaa nąįį tr'inlii geh'an diits'iinyąą gwiizhik tr'ahąąnjat kwaa ts'ą' niginjik eegwarahaandak .
44:4:030:0	Nidinji' shroodiinyąą Jesus vat'aii k'iighai' iłts'ik nąįį nizįį neeheelyaa ąįįts'ą' gwigwii'in ts'ą' geegagoolii kwaa gwitr'it t'agwahaa'yaa . ” Peter khadigeedi' ts'ą' jyaa nyąą .
44:4:003:1	Gwik'injiighit Nąįį K'aiich'ii Datthak Nihłaa Gwinzii T'eegaahchy'aa
44:4:031:0	Khagigidiinjii gigiinjik tł'ęę zhat giilk'ii gwiizhit khan hee zheh datthak gwaatrat nagwaanąįį . Ąįįts'ą' Ch'anky'aa Shroodiinyąą datthak goozhit t'iizhik k'iighai' , gąąnjat kwaa haa Vit'eegwijyąhchy'aa viginjik eegwagwaandak .
44:4:032:0	Dinjii juu gwik'injiighit nąįį datthak nihk'it ninjich'agadhat ts'ą' digidrii zhit deegwehee'yaa giindhan , ąįį łyaa gwik'it t'igii'in . Ch'ihłak gąą gootee adan zhrįh dak'aiich'ii t'aahchy'aa kwaa . Jidii gii'įį datthak khaihłok t'eegaahchy'aa .
44:4:033:0	Nijin Tr'ihił'e' nąįį , “ Diik'eegwaadhat Jesus neegwiindaii ! ” ginyąą ts'ą' t'aih nint'aii haa gwagwąąh'ya' ts'ą' geegwagwaandak . Vit'eegwijyąhchy'aa vich'eegoonzhrii haa gwintsii goots'inyąą .
44:4:034-035:0	Gootee gwats'an dinjii ch'ihłak gąą k'aiich'ii t'aahchy'aa gwanlii kwaa . Juu zheh , akwat nan haa dii'įį nąįį datthak tr'oohookwat googwahtsii ąįį giit'įį larąą goonjii , Tr'ihił'e' nąįį antł'eegilii . Nijin gootee ch'ihłak gwat'aahchy'aa gwanlii dąį' jii ts'an larąą goots'an gahtsii . Ąįį haa deegwąhtsii gwit'eegaahchy'aa gwik'it goots'iginyąą .
44:4:036:0	Ąįįts'ą' Cyprus nahkat gwats'an dinjii ch'ihłak , Joseph oozhii , giinkhih Levite nąįį ts'an deedhaa nilįį . Tr'ihił'e' nąįį , giiyoozhri' niłtsąįį Barnabas giiyahnyąą . ( Dinjii tr'igwidii k'it t'inchy'aa nąįį shoo nilįį ąhtsii gwinyąą t'igwinyąą ) .
44:4:037:0	Adan t'ee gook'it gwanzhįh deehk'it gwii'įį gwintł'inlii ąįį t'įį larąą oonjik ts'ą' Tr'ihił'e' nąįį antł'eeyinlii .
