44:10:001:1	Cornelius , Peter Oo'an Kach'ił'e'
44:10:016:0	Gwideezhuh tik gwagwaanchy'aa nihk'it t'iiyaiinyą' . Ąįįtł'ęę ts'at daagąįį k'it t'inchy'aa zhit nin dilk'ii kwaii zheekat gwats'ą' neeroonjik .
44:10:017:0	Nijin Simon Peter gineiinlyaa k'it t'inchy'aa zhit gwąąh'ya' dąį' , gininjich'ahthat ts'ą' jidii eenjit t'igwii'in li' , yiindhan . Ąįį gwiizhik dinjii Cornelius , Simon Peter ts'ą' yihił'e' , ąįį nąįį giikwantee niinjil .
44:10:018:0	“ Dinjii Simon Peter oozhii , ąįį lee dząą gwich'įį ? ” gazhral ts'ą' ginyąą .
44:10:019:0	Ąįį gwiizhik tth'aii hee Peter gwintł'oo gininjich'ahthat , jidii gwąąh'ya' deegwinyąą t'igwinyąą li' yiindhan . Ch'anky'aa Shroodiinyąą jyaa yahnyąą , “ Juk dinjii tik nąįį ninkeegwagwąąh'in ts'ą' nakwaiitee nigiilzhii t'igiinchy'aa .
44:10:020:0	Nineendii ts'ą' goovaahinkhaii . Geenjit tr'agoiindii shrǫ' ! Shįį dząą nankagoovał'ęę t'igii'in . ”
44:10:021:0	Jii geh'an vakwantee dinjii niilzhii nąįį ts'ą' nineezhii , “ Shįį t'ee dinjii vankeegǫǫh'in chy'ąą t'ihchy'aa . Jidii nohthan ? ” gavahnyąą .
44:10:022:0	“ Dinjii niveet'ah'in kįh Cornelius oozhii nats'ą' diinah'ęę t'igwii'in . Łyaa dinjii nizįį nilįį ts'ą' Vit'eegwijyąhchy'aa ts'ą' khit khagidiinjii . Jews nąįį łyaa giihił'ee . Vit'eegwijyąhchy'aa vizheekat gwich'in ch'ihłee yits'ą' ginkhe' . Vizheh veenihinkhaa ąįįts'ą' deiinyąą datthak noohaaky'aa geenjit . ” giiyahnyąą .
44:10:023:0	“ Nihdǫhjyaa ts'ą' shaa nohshaa . ” gavahnyąą . Gęhdaa drin zhit nijin idishriinąąnjik dąį' , k'iinjik gavaa neehoozhii . Joppa kwaiik'it gwats'an Jesus k'injigiighit lat nąįį chan giiyaahaajil .
44:10:024:0	Ąįįtł'ęę gęhdaa drin Caesarea kwaiik'it k'idik . Izhik Cornelius niyuul'in . Vijyaa ts'ą' valak yinlii nąįį zhat gwats'ą' givinkeeginkhe' .
44:10:025:0	Peter nihdeehahkhaii gwiizhit Cornelius yits'ą' chiinzhii ts'ą' yakwai' chan neet'aanąįį ts'ą' nikiigwiintthaii .
44:10:026:0	Gąą “ Ndak nininjii , ts'ą' k'iidak nindhat . Shęhdaa nikiigwąh'ee gishrigwąąhchy'aa kwaa t'oonchy'aa . Shant'ee dinjii nik'it t'inchy'aa inlįį t'ihchy'aa . ” Peter yahnyąą .
44:10:027:0	Peter , Cornelius vizheh gwizhit nihdeegiin'oo gwiizhik , ąįį datthak Peter yaa ginkhii . Gwizhit dinjii lęįį nąįį nihłaa łigiiljil łee . Peter gavąąh'in .
44:10:028:0	Ąįįtł'ęę goots'ą' ginkhii . Jyaa dinyąą , “ Diikhwan Jews gwich'in nąįį tr'inlii ts'ą' dii-law zhit , Israel gwich'in nilįį kwaa eenarehee'al ąįįts'ą' goozheh gwizhit nihdeerehee'al . Ąįį łyaa tr'agwaanduu , gwiindhan . Jii nakhwan t'ee łyaa gaakhwandaii . ‘Israel gwich'in nilįį kwaa nąįį łyaa ginzįį kwaa ąįįts'ą' shroodiinyąą ginlii kwaa . ’ Gąą shįį , Vit'eegwijyąhchy'aa datthak jyąhts'ą' ininjich'ałthat kwaa giveet'ihįįhkhyaa eenjit , datthak gwik'eesh'eełtii .
44:10:029:0	Jii geh'an nijin shoonkach'ąh'ee dąį' , łyaa nagwal'ya' kwaa ts'ą' dzaa khan nats'ą' hoiizhii . Jaghaii shankach'ah'e' ? ” Peter yahnyąą .
44:10:030:0	Cornelius jyaa nyąą , “ Drin tł'an gęhdaa 3 o'clock gwandaa juk nats'ąą nagwiindhat gwik'it gweedhaa gwiizhik , dząą shizheh gwizhit khagidihjii ts'ą' adach'al'aa kwaa . Gwiizhik gineiinlyaa k'it t'inchy'aa zhit khan hee dinjii ik ch'ąhndit naazhii , shandaa nadhat , nał'in .
44:10:031:0	‘Cornelius , nijin khagidiinjii dąį' , Vit'eegwijyąhchy'aa khit niitth'ak t'oonchy'aa . Nats'ahts'ą' neeshraahchy'aa nąįį ts'iinyąą . Ąįį datthak chan nah'in .
44:10:032:0	Dinjii Joppa kwaiik'it gwats'ą' hah'ee , dinjii Simon Peter oozhii , “ dząą gwats'ą' hinkhaii , ” ahaanjyaa eenjit . Chųų choh vee dinjii , Simon oozhii , ch'adhah ahkhii nilįį . Ąįį haa gwich'įį t'inchy'aa . ’ jyaa , dinjii ik ch'ąhndit naazhii shahnyąą .
44:10:002:1	Peter Goots'ą' Ginkhii
44:10:033:0	Ąįįtł'ęę khants'ą' dinjii ch'ihłee nonkadhał'e' . Juk dząą k'indik , geenjit łyaa shoo ihłįį . Juk K'eegwaadhat andah datthak łiriiljil . Izhik Vit'eegwijyąhchy'aa nats'ąą deenaiinyą' datthak geenjit naroohaahky'aa . ” Cornelius yahnyąą .
44:10:034:0	Ąįįtł'ęę Peter goots'ą' gahaakhe' . Jyaa dinyąą , “ Vit'eegwijyąhchy'aa dinjii nąįį datthak ts'ą' łyaa nihk'it t'ii'in .
44:10:035:0	Juu datthak nijin gwats'an ahaa ji' , googaa yits'ą' khagidiinjii nąįį ts'ą' gwinzii t'ii'in , Vit'eegwijyąhchy'aa łyaa giveenjit shoo nilįį . Ąįį łyaa juk łi'deegwidlii gwanlii gaashandaii .
44:10:036:0	Israel gwich'in nąįį eenjit Gwandak Nizįį ąįį łyaa gohtth'ak gwizhrįh gaakhwandaii , Jesus Christ k'iighai' Vit'eegwijyąhchy'aa vats'an tsinehdan gwanlii , dinjii nąįį datthak eenjit K'eegwaadhat nilįį t'inchy'aa .
44:10:037:0	Jii datthak gaakhwandaii , tr'ookit John chųų gwats'an ąhtsii ąįį dinjii nąįį ts'ą' ginkhe' ts'ą' chųų goots'an iłtsąįį . Ąįįtł'ęę Jesus , Galilee nahkat ts'ą' Judea nahkat gwizhit datthak gwintsii t'ee'ya' .
44:10:038:0	Nats'ahts'ą' Jesus Nazareth gwats'an Vit'eegwijyąhchy'aa yigwiiłkįį ts'ą' Ch'anky'aa Shroodiinyąą yats'an iłtsąįį . Jyąhts'ą' dat'aii yats'an iłtsąįį . Ąįį datthak gaakhwandaii . Nijuk datthak neehidik ts'ą' dinjii ts'ą' gwinzii t'ii'in . Juu dinjii Ch'anky'aa Tr'aanduu vizhit nąįį goozhit cheehahchik ąįįts'ą' nizįį neegoovahtsik . Jyaa dii'in , Vit'eegwijyąhchy'aa khit yaa nilįį geh'an . Ąįį datthak gaakhwandaii .
44:10:039:0	Israel nahkat ąįįts'ą' Jerusalem kwaiik'it gwizhit gwa'an datthak jidii t'ee'ya' , gwarąąh'ya' . Ąįį datthak dinjii ts'ą' geegwaandak . Giiyuunjik ts'ą' Cross kat gigiiyiłtsak ts'ą' giiyiiłkhwąįį .
44:10:040:0	Gąą drin tik gwiindhat ąįįtł'ęę Vit'eegwijyąhchy'aa ch'ichį' ts'an ninęęyiłkhin . Ąįįtł'ęę Vit'eegwijyąhchy'aa k'iighai' diits'ą' vigwiilkįį .
44:10:041:0	Dinjii datthak yąąh'ya' kwaa gąą diikhwan zhrįh tr'ąąh'ya' . Ąįį gwehkįį dąį' , Jesus veegwarahaandak eenjit diigwiiłkįį . Vit'eegwijyąhchy'aa ch'ichį' ts'an ninęęyiłkhin ts'ą' vaa ch'irin'al ts'ą' vaa chųų tr'eenį' .
44:10:042:0	Jii Gwandak Nizįį dinjii haa gwarahaandak eenjit gwats'ą' diihił'e' . Jyaa dagoorahaanjyaa , “ Adan łyaa Vit'eegwijyąhchy'aa yigwiiłkįį nilįį t'inchy'aa ! ” Dinjii ch'adąį' niinjik nąįį ąįįts'ą' juu gwandaii nąįį oohaahkat heelyaa eenjit t'iiyah'in .
44:10:003:1	Israel Gwich'in Nilįį Kwaa Nąįį Ch'anky'aa Shroodiinyąą Goonjii
44:10:043:0	Juu deenaa dąį' Vit'eegwijyąhchy'aa Eenjit Ginkhii inli' nąįį datthak giiyeeginkhe' . Jesus voozhri' zhit juu deenyąą yik'injiighit nąįį datthak gootr'agwaanduu gooveenjit oo'an gweheelyaa , zhit Vit'eegwijyąhchy'aa Eenjit Ginkhii inli' nąįį datthak jyaa giiyeeginkhe' . ” Peter gavahnyąą .
44:10:044:0	Peter tth'aii hee goots'ą' ginkhii gwiizhik datthak Ch'anky'aa Shroodiinyąą juu yuułk'įį nąįį k'ąą t'iizhik .
44:10:045:0	Jews nąįį Jesus k'injigiighit nilįį nąįį Joppa kwaiik'it gwats'an giiyaak'eedal ąįį nąįį Israel gwich'in nilįį kwaa nąįį googaa Ch'anky'aa Shroodiinyąą oonjii , łyaa geegagoolii kwaa giveenjit t'igwii'in .
44:10:046:0	Ch'anky'aa Shroodiinyąą gwikyaa zhit giginkhii geh'an . Vit'eegwijyąhchy'aa jiintsii deegihiił'ee gooviitth'ak geh'an . Peter jyaa goovahnyąą ,
44:10:047:0	“ Jii dinjii nąįį geedan t'ee diik'it Ch'anky'aa Shroodiinyąą goonjik . Khan chųų goots'an tr'ahtsii kwaa gwarahahtsyaa lee t'oonchy'aa ? ” nyąą .
44:10:048:0	“ Nakhwan t'ee Jesus Christ voozhri' zhit chųų nakhwats'an tr'ahtsii . ” jyaa Israel nilįį kwaa nąįį ahnyąą . “ Ąįį ji' , dząą drin shriit'agwąąnchy'aa tth'aii hee diihaa dhindii ? ” giiyahnyąą .
