44:27:001:1	Nijin Paul Tr'ihchoo Haa Rome gwats'ą' Hahkhaii Dąį'
44:27:011:0	Gąą niveet'ah'in kįh nilįį , Paul deenyąą k'injiighit kwaa . Gwiizhik tr'ihchoo ts'ą' k'eedeegwaadhat tr'ihtł'i' , k'ineehąhdak nąįį deeginyąą giik'injiighit .
44:27:002:1	Łyaa Gwintł'oo Dryahtsai' Gwiizhik Tr'ihchoo Haa Geedaa
44:27:012:0	Gąą zhat khaii tr'ihchoo dhidlii deek'it gwinzii goo'aii kwaa , zhat khit ahtr'aii deek'it gwanlii geh'an . Jii geh'an dinjii datthak neerahoojyaa , giindhan . Ąįį njuu choh Crete oozhii , khaiinjii anaa'ąį' kwaiik'it Phoenix , izhik gwats'ą' tr'ahoojyaa gwik'eeragoondaii , giindhan . Izhik khaii gęhdaa tr'igweheedhaa gwats'ą' zhat tr'ook'i' , giindhan . Izhik gwandaa khit , deenihjyaa , deedihjyaa haa gwintł'oo ahtr'aii kwaa goo'aii eenjit .
44:27:013:0	Nijin ch'ijuk ahtr'aii neegwaanąįį dąį' , yeedihjyaa gwintsal hiłtr'aii , juk it'ee deegwehee'yaa , giindhan , eenjit gwinzii , ąįį gwik'it t'oonchy'aa gwich'in , giindhan . ts'ą' tr'ihchoo haa chehkii khaneegiin'ąįį , tł'ęę neegahoojil . Łyaa teeghaii ts'ąįį gwats'ą' nahgwan tr'ihchoo gahahłaa gwik'eegwagwandaii .
44:27:014:0	Gąą ninghyuk gwahaadhat kwaa ts'ą' , ąįį njuu ts'an k'iindaa ahtr'aii nint'aii haa hiłtr'aii ( Northeastern wind ) .
44:27:015:0	Łyaa tr'ihchoo eenjit gwintł'oo ahtr'aii niint'aii , ąįį geh'an nijuk tr'ihchoo tr'ohłaa gwiindhan gwik'it tr'ihchoo tr'ahłaa kwaa . Ąįį geh'an datthak nijuk ts'ąįį ahtr'aii ts'ąįį alaa gwats'ą' t'igiiyahthan .
44:27:016:0	Njuu tsal Cauda oozhii ehgoorijyaa gwiizhik gwintsal gwizhrįh ahtr'aii nagwaanąįį , gwehkįį dąį' gwintł'oo ahtr'aii gwik'it t'igwii'in kwaa . Izhik łyaa gwintł'oo diihaa gogoontrii , googaa tr'ihchoo tsal vatąįį gahoochaa gęhdaa tr'ihchoo choh kat deeriintin .
44:27:017:0	Ąįįtł'ęę tr'ihchoo choh tł'ęę khadeenin giitł'ee tły'ah chųų zhit oozhak nagaakhyuu , ąįį haa giitł'andich'iłchaa . “ Łyaa duulee tr'ihchoo Libya nahkat teeghaii gwa'an cheekihzhuu kat videehahtr'al gwich'in . ” giiyuunyąą . Ąįį geh'an łyaa gwintł'oo gąąnjat . Ąįįts'ą' tr'ihchoo neevyaa choh ąįį nineegąhtsuu . Nijuk ahtr'aii ts'ąįį gwinjik diihaa neehaatr'ak geenjit .
44:27:018:0	Łyaa nihk'it gwintł'oo gavaa ahtr'aii . Ąįį geh'an gęhdaa drin tr'ihchoo zhit k'aiich'ii dhidlii lat oondaa gihilii , tr'ihchoo nidzik heelyaa eenjit . Ąįį ji' , gwintł'oo łihts'iteeyeheechik kwaa eenjit .
44:27:019:0	Gęhdaa drin tr'ihchoo eenjit k'aiich'ii t'eegaahchy'aa kwaii lat oondaa gehiłjil .
44:27:020:0	Ąįįtł'ęę łyaa drin gwinlęįį gwizhit shree ąįįts'ą' są' haa tr'ąąh'in kwaa . Gąhkhyuk datthak ahtr'aii nint'aii haa ahtr'aii . Łyaa datthak teerahineenjyaa gwich'in gwiindhan .
44:27:021:0	Łyaa drin gwinlęįį gwizhit ch'aga'aa kwaa . Ąįįtł'ęę Paul diitł'an nadhat ts'ą' diits'ą' ginkhii , “ Nijin Crete njuu choh izhik t'iichy'aa dąį' , ‘nats'ąą deekhwa'in , ’ nakhwaiinyą' gwik'it t'ahokhwa'ya' jaghaii ? Izhik zhat dąį' , zhat gwats'an neerahoojil kwaa ji' , jidii tr'ihchoo zhit k'aiich'ii dhidlii , ąįį kwaii an tr'ahahtsyaa kwaa . Ąįįts'ą' chan diihaa gwit'igwehee'aa kwaa .
44:27:022:0	Gaa tr'agohdii kwaa , tr'ihchoo datthak an dhidlit ji' , gąą ch'ihłak gąą nakhwatee niheedhaa kwaa .
44:27:023:0	Vit'eegwijyąhchy'aa Shik'eegwaadhat , ąįį veenjit gwitr'it t'agwał'in , ąįį ts'an zheekat gwich'in k'ehdąį' haa shats'ą' igweełch'in ąįįts'ą' shats'ą' ginkhe' .
44:27:024:0	“ ‘Paul noonjat shrǫ' ! Nan ąįįts'ą' tr'ihchoo zhit naa dilk'ii nąįį haa nakhwagweheendal kwaa t'oonchy'aa , dąhthee Rome k'eedeegwaadhat choh kįh dhidii andaa nihindhat gwats'ą' , ’ shahnyąą .
44:27:025:0	Jii geh'an dinjii nąįį noojat kwaa . Vit'eegwijyąhchy'aa ‘deehishi'yaa , ’ nyąą , gwik'it t'ihee'yaa t'inchy'aa . Zheekat gwich'in deenyą' ‘datthak gwik'it t'igweheenjyaa , ’ Łyaa gaashandaii .
44:27:026:0	Gąą njuu kat teeghaii gwa'an diiteehahtr'al ts'ą' diitr'ihchoo khaadahaandhal . ” Paul gavahnyąą .
44:27:027:0	Juk t'ee drin k'ideetit neekwąįį ( 14 ) diihaa gwintł'oo ahtr'aii . Chųų choh Mediterranean oozhii , gwakat diihaa hiłtr'aii gwich'in . Tǫǫ tł'an gwandaa tr'ihchoo zhit gwitr'it t'agwah'in nąįį , njuu kat gwats'ą' ninghit kwaa tr'ihchoo niinlit gwich'in , giindhan .
44:27:028:0	Ąįį geh'an tły'ah haa cheh gwa'an gwik'eegagaandaii . Tąąhkhit 120 feet gwiilii . Ąįįtł'ęę ninghit kwaa chan hee cheh gwik'eeneegaandaii . Akhai' 90 feet zhrįh gwanlii .
44:27:029:0	Khan tąąhgwan gwilii geh'an , łyaa gąąnjat . “ Duulee tr'ihchoo ahtr'aii haa kiit'it heelaa ts'ą' khadahaadhal gwich'in . ” gwiindhan . Ąįį geh'an , kii choo'ąįį dǫǫ tr'ihchoo tł'i'tsii chigiinlii . ‘vanh yahahkaa gwats'ą' khyų' , ’ nagoogwal'in .
44:27:030:0	Nijin tr'ihchoo zhit gwitr'it t'agwah'in nąįį tr'ihchoo ihłeereheedaa giindhan dąį' tły'ah haa tr'ihchoo tsal haa tr'ihchoo ndih it'ee neevyaa gweheelyaa nigwiindhat . Dinjii nąįį ininjigwagwaazhii ts'ą' goots'it haa , “ Tr'ihchoo ki' chan haa chehkii neereheelyaa eenjit t'igwii'in . ” ginyąą .
44:27:031:0	Gąą Paul gavąąh'in , ąįįts'ą' niveet'ah'in k'įh , niveet'ah'in nąįį geenjit haa ginkhii , “ Zhik tr'ihchoo zhit gwitr'it t'agwah'in nąįį tr'ihchoo ihłeegahoojil ji' , teerahineenjyaa t'oonchy'aa . ” Paul gavahnyąą .
44:27:032:0	Jii geh'an niveet'ah'in nąįį tr'ihchoo tsal tły'ah yuutą' k'eech'agiint'uu , ts'ą' teiinjil ts'ą' gihłeehaalit .
44:27:033:0	Nijin it'ee gwintsal yahkaa dąį' , chan hee Paul goots'ą' neeginkhii , “ Juk gwintsal ch'oh'aa ji' , łyaa gweheezyaa . Drin k'ideetit neekwąįį ( 14 days datthak ) tr'agohdii ts'ą' ch'oh'aa gąą kwaa .
44:27:034:0	Juk dąį' hee ch'oh'aa , hohvyaa eenjit t'aih khwa'yaa eenjit . Łyaa ch'ihłee gąą nakhwatee niheedhaa kwaa ts'ą' gwintsal gąą nakhwagweheendal kwaa t'oonchy'aa . ” Paul gavahnyąą .
44:27:035:0	Ąįįtł'ęę Paul łųhchy'aa oonjik . Datthak gavandah Vit'eegwijyąhchy'aa mahsį' ahnyąą . Tł'ęę nitr'iiyinzhoo ts'ą' neech'ahaa'al .
44:27:036:0	Jidii t'agavaiinyą' datthak eenjit łyaa shoo ginlii ts'ą' goot'aii neegahoodlit . Ąįįtł'ęę datthak ch'igin'al .
44:27:037:0	Ąįį tr'ihchoo zhit 276 nąįį dilk'ii .
44:27:003:1	Nijin Tr'ihchoo Chiinlit Dąį'
44:27:038:0	Ąįįtł'ęę datthak ts'ą' deegwąhtsii ch'agoo'aa , giindhan gwik'it ch'igin'al . Ąįįtł'ęę tr'ihchoo nidii gwats'an nidzik gahahtsyaa eenjit tł'ooli' vaa łųhchy'aa tr'ahtsii lęįį giits'an oondaa hiłjil .
44:27:039:0	Nijin neeyiłkaa dąį' , tr'ihchoo zhit gwitr'it t'agwah'in nąįį nijin t'iginchy'aa , gaagiindaii kwaa . Ndak neeteedhi'ee gwizhit teeghaii chehkii zhuu tsal gwanlii , gwagwaah'in . Izhik teeghaii chehkii zhuu kat tr'ihchoo teegahahłaa gwik'eegwagwandaii .
44:27:040:0	Ąįįts'ą' tr'ihchoo vaachikyuudlii it'ee giit'aahchy'aa kwaa eenjit , giitły'a' k'anch'ąąht'uu . Ąįįts'ą' tr'ihchoo vaak'eerahndak tły'ah haa gahoochaa gwats'an tr'eegiinlii . Ąįįtł'ęę tr'ihchoo kį' kat neevyaa choh deeneegiłtsuu . Ąįįts'ą' ahtr'aii haa gwats'an tr'ineiinlit giitł'i' ineehahndak ts'ą' teeghaii gwats'ą' giihiłit .
44:27:041:0	Gąą gwats'ą' tr'ihchoo gwankaiinlik ts'ą' teetł'an gwats'an ndaats'ą' viki' datthak gwankaiinlik . Ąįįts'ą' tr'ihchoo vitł'i' ąįį alaa ąįį chųų vitit haa gwint'aii niteeyahahchik ts'ą' khadąąnghii .
44:27:042:0	Niveet'ah'in nąįį tr'ihchoo zhit zhee gwaazhrąįį dilk'ii nąįį datthak tr'oogha' , giindhan . Teeghaii teegiinjil ji' , datthak tr'algalgahahdaa , googoonyąą , izhik niveet'ah'in geet'igiindhan kwaa geenjit .
44:27:043:0	Gąą niveet'ah'in k'įh Paul ninghit gitr'ii'ee , ąįį geh'an gooreheeghaa kwaa gwiłtsąįį . Juu neehiivik gadhan ji' , ąįį tr'ookit oondaa hijyaa , teeghaii teegiheevaa eenjit .
44:27:044:0	Ąįįts'ą' juu neehiivik kwaa nąįį , dachanchyaa gooheetą' , ąįį haa teeghaii teegooheelyaa eenjit . Jyąhts'ą' t'igwii'in ts'ą' , gwinzii teeghaii datthak teeraajil .
