44:25:001:1	Paul , Rome gwizhit K'eedeegwaadhat Choh Kįh Nilįį Ts'ą' Nasharohchyaa Nyąą
44:25:011:0	K'eegwiichy'aa gwiizųų gwitr'it t'agwaał'ya' ji' , ąįį geenjit nihkhit gaa gwinzii . Ąįį ji' gwadashąhchįį nahaihnjyaa kwaa . Gąą k'eegwiichy'aa gwiizųų sheegiginkhii , ąįį łi'deegwidlii nilįį kwaa . Jii geh'an ch'ihłee gaa givintł'eeshahahchyaa kwaa . Juk noohaałkat , Rome gwizhit k'eedeegwaadhat choh ( Emporer ) nilįį ąįį shoohkat nihthan . ” Paul Festus ahnyąą .
44:25:002:1	Paul K'eedeegwaadhat Choh ( King ) Agrippa Digijuu Bernice Haa Ndaanadhat Dąį'
44:25:012:0	Ąįįtł'ęę zhat dinjii goonzhįį yits'inyąą nąįį haa ginkhe' , “ Rome k'eegwaadhat choh kįh nilįį shoohkat jiinyąą . Jii geh'an vats'ą' hinkhaa . ” Festus Paul ahnyąą .
44:25:013:0	Ąįį gwats'an ninghyuk gwahaadhat kwaa , tł'ęę k'eedeegwaadhat choh ( king ) Agrippa ts'ą' vijuu Bernice haa Caesarea kwaiik'it k'eegii'oo , Festus shoo gahahtsyaa eenjit giiyeena'oo .
44:25:014:0	Gwintsal ninghyuk zhat gaadii Ąįįtł'ęę Festus , Paul eenjit k'eedeegwaadhat choh Agrippa haa gwaandak . Nijin tr'ookit Governor hoihłi' dąį' , dząą gwizhit dinjii zhee gwaazhrąįį dhidii . Felix shats'ą' akhayuunyąą .
44:25:015:0	Ąįįtł'ęę Jerusalem nihshee dąį' Jews googiinkhii kįh dilk'ii nąįį , Jews ch'anjaa kįh dilk'ii nąįį haa łyaa k'eegwiichy'aa gwiizųų giiyeenjit ginkhii . Ąįįtł'ęę shagoahkat , haałkhwaa ji' geenjit .
44:25:016:0	Gąą , ‘diikhwan Rome gwats'an dinjii tr'inlii ts'ą' juu dinjii gwiizųų gwitr'it t'agwah'in yahnyąą dąį' , ąįį dinjii nąįį andaa narahchik , ideenjit gigiheehkhyaa eenjit . Ąįįtł'ęę gwiizųų t'ii'in vaagwiindaii dąį' , tr'ahahkhwaa gwats'ą' gwintł'eerahchik . ’ gavaihnyąą .
44:25:017:0	Jii geh'an datthak dząą k'eegiidal dąį' , gęhdaa drin khants'ą' nijin ch'aroahkat zheh gwizhit noiidii tł'ęę , ‘Paul oo'ee nǫhchįį , ’ gavaihnyąą . Geenjit ninghyuk nagwal'ya' kwaa ts'ą' .
44:25:018:0	Gąą zhik juu yeeginkhii nąįį , giiyeenjit ndak nigiinjil , ‘łyaa gwiizųų gwitr'it t'agwah'ya' , ’ giihahnjyaa oihnyąą . Gąą ąįį gwiizųų gwitee ‘ch'ihłak gąą gwik'it t'ee'ya' , ’ giiyahnyąą kwaa .
44:25:019:0	‘Diikhwan gwik'injirijii gwiky'ąą' łyaa gwiizųų gwitr'it t'agwah'ya' , ’ giiyahnyąą . Dinjii , Jesus oozhii , eegiginkhii , ‘niindhat t'inchy'aa , ’ giiyahnyąą , gąą Paul ‘ąįį gwandaii t'inchy'aa , ’ yahnyąą geh'an .
44:25:020:0	Nats'ahts'ą' jii geenjit deehishi'yaa , gaashandaii kwaa . Ąįį geh'an “ Nik'ee Jerusalem gwats'ą' hoihshi' , niindhan ? Izhik hee nats'ahts'ą' gwiizųų gwitr'it t'agwah'ya' , nagahnyąą eenjit narahaahkat , ” vaihnyąą .
44:25:021:0	Gąą ‘Rome k'eedeegwaadhat choh k'įh yahahkat eenjit ts'ą' hoihshi' nihthan , ’ shahnyąą . Ąįįtł'ęę , ‘vak'ǫǫhtii dąhthee Rome k'eegwaadhat choh k'įh ts'ą' nahaałchyaa gwats'ą' , ’ niveet'ah'in nąįį aihnyąą . ”
44:25:022:0	“ Shant'ee łyaa deenyąą oołk'i' , oihnyąą . ” “ Nihkaa ji' , ohąąky'aa t'inchy'aa . ” Festus , Agrippa ahnyąą .
44:25:023:0	Gęhdaa drin k'eedeegwaadhat choh ( king ) Agrippa , ts'ą' Bernice haa gwach'aa chil'ee nineegaazhii , tł'ęę ch'aroahkat zheh gwats'ą' gahaa'oo . Ąįį gwiizhik zhat ch'iitsiidlii giveenjit ch'agahłii , dinjii gavaa heendaii eenjit . Niveet'ah'in choh k'įh nąįį ts'ą' kwaiik'it gwachoh k'eedeegwaadhat nąįį giiyah nihdeiinjil . Ąįįtł'ęę Festus , Paul nihdeerahahchyaa eenjit keeginkhe' .
44:25:024:0	Ąįįts'ą' Paul nihdeiinzhii , tł'ęę Festus gahaakhe' , “ Agrippa k'eedeegwaadhat choh , ts'ą' juu dząą gwizhit dilk'ii nąįį datthak , jii dinjii nǫh'in . Jerusalem gwizhit Jews nąįį ąįįts'ą' dząą kwaiik'it gwizhit Jews nąįį haa datthak ‘Paul łyaa gwiizųų gwitr'it t'agwah'ya' t'inchy'aa , ’ shagahnyąą . ‘Jii dinjii geenjit łyaa ninghyuk gwandaii gwat'aahchy'aa kwaa , ’ łyaa gwintł'oo gazhral ts'ą' shagahnyąą .
44:25:025:0	Gąą ‘k'eegwiichy'aa gwiizųų gwitr'it t'agwah'ya'’ giiyahnyąą , ąįį gwitee ch'ihłak geh'an niheedhaa łyaa gwagwał'ąįį kwaa . Nijin ‘Rome k'eedeegwaadhat choh k'įh shoohkat , ’ nyąą dąį' , ąįį geh'an Rome k'eedeegwaadhat choh k'įh ts'ą' nahaałchyaa oihnyą' . Jyąhts'ą' diihishi'yaa goołtsąįį .
44:25:026:0	Gąą nijin Rome k'eedeegwaadhat choh k'įh ts'ą' veenjit ch'adahįhtł'oo ji' , ‘nats'ahts'ą' gwiizųų gwitr'it t'agwah'ya' , ’ vaahaihnjyaa , gaashandaii kwaa . Jii geh'an dząą nakhwandaa niheedhat geenjit nihdaałchįį . K'eedeegwaadhat choh Agrippa , nan t'ee łyaa ch'andaa nandaa niheedhat dhałtsąįį t'inchy'aa . Oohaahkat geenjit dząą nihdaałchįį . Oahkat tł'ęę nats'ahts'ą' gwiizųų gwitr'it t'agwah'ya' duulee geeshaagwahaandak . Ąįį haa Rome k'eedeegwaadhat choh k'įh vats'ą' cheehidįhtł'oo .
44:25:027:0	Dinjii zhee gwaazhrąįį dhidii Rome gwats'ą' nahaałchyaa ji' , nats'ahts'ą' gwiizųų gwitr'it t'agwah'ya' datthak geegwahaaldak ąįį k'iighai' gwats'ą' nahaałchyaa goo'aii . ” Festus jyaa gavahnyąą .
